日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601858,20.07,19.48,20.33,19.22,70454,141460573.0,5.52,-3.13,-0.63,0.89
2025-01-03,601858,19.72,18.6,19.79,18.51,70706,136140757.0,6.57,-4.52,-0.88,0.89
2025-01-06,601858,18.57,18.6,18.95,18.24,54778,103561731.0,3.82,0.0,0.0,0.69
2025-01-07,601858,18.6,18.77,18.8,18.42,45416,85739920.0,2.04,0.91,0.17,0.57
2025-01-08,601858,18.77,18.92,19.03,18.49,75176,143623823.0,2.88,0.8,0.15,0.95
2025-01-09,601858,18.73,18.95,19.09,18.7,50972,97996286.0,2.06,0.16,0.03,0.64
2025-01-10,601858,18.85,18.33,19.11,18.33,47333,89999413.0,4.12,-3.27,-0.62,0.6
2025-01-13,601858,18.2,18.46,18.52,17.88,35778,66394736.0,3.49,0.71,0.13,0.45
2025-01-14,601858,18.72,19.4,19.43,18.64,67271,130347366.0,4.28,5.09,0.94,0.85
2025-01-15,601858,19.4,19.51,19.62,19.27,57842,114217232.0,1.8,0.57,0.11,0.73
2025-01-16,601858,19.53,19.32,20.01,19.17,55447,109813136.0,4.31,-0.97,-0.19,0.7
2025-01-17,601858,19.13,19.32,19.48,19.0,31565,61651668.0,2.48,0.0,0.0,0.4
2025-01-20,601858,19.51,19.36,19.65,19.28,39023,76861626.0,1.92,0.21,0.04,0.49
2025-01-21,601858,19.33,19.88,19.93,19.1,64528,128063780.0,4.29,2.69,0.52,0.82
2025-01-22,601858,19.7,19.4,19.74,19.29,46220,91317987.0,2.26,-2.41,-0.48,0.58
2025-01-23,601858,19.48,19.42,19.84,19.39,50715,100891228.0,2.32,0.1,0.02,0.64
2025-01-24,601858,19.36,19.8,19.87,19.23,59269,118155873.0,3.3,1.96,0.38,0.75
2025-01-27,601858,20.13,19.77,20.22,19.77,49132,99444470.0,2.27,-0.15,-0.03,0.62
2025-02-05,601858,19.9,20.57,20.96,19.9,89617,185634918.0,5.36,4.05,0.8,1.13
2025-02-06,601858,20.21,21.02,21.03,20.21,85752,180623623.0,3.99,2.19,0.45,1.08
2025-02-07,601858,21.06,20.84,21.19,20.55,139638,295902678.0,3.04,-0.86,-0.18,1.77
2025-02-10,601858,20.73,21.15,21.18,20.73,100545,213838730.0,2.16,1.49,0.31,1.27
2025-02-11,601858,21.15,21.16,21.31,20.82,75042,160026955.0,2.32,0.05,0.01,0.95
2025-02-12,601858,20.98,21.33,21.43,20.91,80674,173673709.0,2.46,0.8,0.17,1.02
2025-02-13,601858,21.55,21.38,21.72,20.99,99373,215244112.0,3.42,0.23,0.05,1.26
2025-02-14,601858,22.33,21.96,22.36,21.4,176507,391191450.0,4.49,2.71,0.58,2.23
2025-02-17,601858,21.85,22.48,23.0,21.63,186053,419977082.0,6.24,2.37,0.52,2.35
2025-02-18,601858,22.26,21.19,22.26,21.13,125854,276470435.0,5.03,-5.74,-1.29,1.59
2025-02-19,601858,21.19,21.73,21.75,21.19,76183,166150068.0,2.64,2.55,0.54,0.96
2025-02-20,601858,21.68,21.8,22.12,21.35,83068,182594940.0,3.54,0.32,0.07,1.05
2025-02-21,601858,21.79,22.45,22.59,21.69,135096,303958877.0,4.13,2.98,0.65,1.71
2025-02-24,601858,22.46,22.18,22.7,21.95,90843,204087973.0,3.34,-1.2,-0.27,1.15
2025-02-25,601858,21.91,21.67,22.02,21.58,73469,162247939.0,1.98,-2.3,-0.51,0.93
2025-02-26,601858,21.67,21.65,21.84,21.48,71268,155916216.0,1.66,-0.09,-0.02,0.9
2025-02-27,601858,21.52,21.3,21.67,20.85,73891,158988959.0,3.79,-1.62,-0.35,0.93
2025-02-28,601858,21.33,20.04,21.33,20.0,74278,154531008.0,6.24,-5.92,-1.26,0.94
2025-03-03,601858,20.29,20.28,20.59,19.91,53143,109702466.0,3.39,1.2,0.24,0.67
2025-03-04,601858,20.05,20.59,20.62,20.05,38329,79582988.0,2.81,1.53,0.31,0.48
