日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601888,65.73,63.4,65.89,63.03,186712,1227701233.0,4.35,-3.52,-2.31,0.96
2025-01-03,601888,63.69,61.53,63.9,61.46,153838,979895136.0,3.85,-2.95,-1.87,0.79
2025-01-06,601888,61.53,61.24,61.99,60.85,95956,601081040.0,1.85,-0.47,-0.29,0.49
2025-01-07,601888,61.24,61.17,61.41,60.56,96165,599735313.0,1.39,-0.11,-0.07,0.49
2025-01-08,601888,61.17,60.49,61.17,59.36,137648,846538814.0,2.96,-1.11,-0.68,0.7
2025-01-09,601888,60.3,59.71,60.69,59.52,128240,786838965.0,1.93,-1.29,-0.78,0.66
2025-01-10,601888,59.5,58.68,59.7,58.63,112651,680046801.0,1.79,-1.73,-1.03,0.58
2025-01-13,601888,58.2,58.87,59.35,58.07,91989,552403607.0,2.18,0.32,0.19,0.47
2025-01-14,601888,58.9,60.57,60.68,58.9,165426,1012419547.0,3.02,2.89,1.7,0.85
2025-01-15,601888,60.49,59.99,60.49,59.75,93725,574830485.0,1.22,-0.96,-0.58,0.48
2025-01-16,601888,60.07,60.3,61.08,59.81,103093,636356291.0,2.12,0.52,0.31,0.53
2025-01-17,601888,59.13,59.72,60.08,58.7,107556,654759281.0,2.29,-0.96,-0.58,0.55
2025-01-20,601888,59.98,60.58,61.18,59.98,132100,818951687.0,2.01,1.44,0.86,0.68
2025-01-21,601888,61.19,60.23,61.3,60.04,87085,537580744.0,2.08,-0.58,-0.35,0.45
2025-01-22,601888,59.92,59.08,60.02,58.73,116120,701639134.0,2.14,-1.91,-1.15,0.59
2025-01-23,601888,59.9,59.22,60.59,59.22,113413,693548986.0,2.32,0.24,0.14,0.58
2025-01-24,601888,58.88,59.95,59.96,58.81,95981,584040869.0,1.94,1.23,0.73,0.49
2025-01-27,601888,60.1,59.4,60.87,59.38,100539,616498485.0,2.49,-0.92,-0.55,0.51
2025-02-05,601888,59.9,58.92,60.06,58.88,110136,667079316.0,1.99,-0.81,-0.48,0.56
2025-02-06,601888,58.83,59.65,59.66,57.85,143384,863950564.0,3.07,1.24,0.73,0.73
2025-02-07,601888,59.46,60.34,60.93,59.31,194260,1197663729.0,2.72,1.16,0.69,0.99
2025-02-10,601888,60.35,60.75,61.03,60.02,146779,907967172.0,1.67,0.68,0.41,0.75
2025-02-11,601888,60.8,59.67,61.03,59.59,134303,822547087.0,2.37,-1.78,-1.08,0.69
2025-02-12,601888,59.57,60.18,60.2,59.1,149343,908759842.0,1.84,0.85,0.51,0.76
2025-02-13,601888,59.9,60.69,61.14,59.82,215228,1332058052.0,2.19,0.85,0.51,1.1
2025-02-14,601888,60.5,60.79,61.3,60.38,156815,973622350.0,1.52,0.16,0.1,0.8
2025-02-17,601888,60.9,60.45,61.69,60.21,171805,1067312999.0,2.43,-0.56,-0.34,0.88
2025-02-18,601888,60.25,59.01,60.39,58.97,157672,960338481.0,2.35,-2.38,-1.44,0.81
