日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601899,14.7,14.68,14.98,14.5,1990531,3037419314.0,3.28,0.41,0.06,0.97
2025-01-03,601899,14.8,15.07,15.42,14.77,3124885,4898067955.0,4.43,2.66,0.39,1.52
2025-01-06,601899,15.18,14.99,15.36,14.83,2252832,3516450288.0,3.52,-0.53,-0.08,1.1
2025-01-07,601899,15.05,15.52,15.55,14.9,2298933,3655875985.0,4.34,3.54,0.53,1.12
2025-01-08,601899,15.52,15.35,15.67,15.24,1768437,2815392400.0,2.77,-1.1,-0.17,0.86
2025-01-09,601899,15.41,15.42,15.53,15.22,1342998,2132733325.0,2.02,0.46,0.07,0.65
2025-01-10,601899,15.59,15.65,15.84,15.37,1955517,3158715409.0,3.05,1.49,0.23,0.95
2025-01-13,601899,15.64,15.9,16.16,15.53,2377232,3905138856.0,4.03,1.6,0.25,1.16
2025-01-14,601899,15.79,15.91,15.98,15.55,1800898,2933492770.0,2.7,0.06,0.01,0.88
2025-01-15,601899,15.85,15.28,15.9,15.03,3279464,5211318615.0,5.47,-3.96,-0.63,1.6
2025-01-16,601899,15.53,15.67,15.8,15.53,2207643,3573654017.0,1.77,2.55,0.39,1.07
2025-01-17,601899,15.81,15.77,15.91,15.62,1682692,2741904814.0,1.85,0.64,0.1,0.82
2025-01-20,601899,15.75,15.79,15.89,15.57,1446115,2346499184.0,2.03,0.13,0.02,0.7
2025-01-21,601899,15.8,15.75,15.89,15.64,1091089,1775020124.0,1.58,-0.25,-0.04,0.53
2025-01-22,601899,15.86,15.7,15.89,15.55,1283152,2077766555.0,2.16,-0.32,-0.05,0.62
2025-01-23,601899,15.69,15.38,15.86,15.36,1808043,2905923917.0,3.18,-2.04,-0.32,0.88
2025-01-24,601899,15.51,15.52,15.62,15.31,1376563,2200932990.0,2.02,0.91,0.14,0.67
2025-01-27,601899,15.5,15.74,15.81,15.44,1547943,2507171803.0,2.38,1.42,0.22,0.75
2025-02-05,601899,16.09,15.97,16.23,15.81,2061406,3391610271.0,2.67,1.46,0.23,1.0
2025-02-06,601899,16.08,15.81,16.08,15.61,2001627,3258744766.0,2.94,-1.0,-0.16,0.97
2025-02-07,601899,15.85,16.12,16.16,15.66,2165528,3565663121.0,3.16,1.96,0.31,1.05
2025-02-10,601899,16.31,16.37,16.56,16.24,2212065,3733076553.0,1.99,1.55,0.25,1.07
2025-02-11,601899,16.54,16.78,17.08,16.42,2925262,5070661925.0,4.03,2.5,0.41,1.42
2025-02-12,601899,16.53,16.48,16.62,16.37,1582010,2685571782.0,1.49,-1.79,-0.3,0.77
2025-02-13,601899,16.58,16.51,16.7,16.48,1272922,2173308264.0,1.33,0.18,0.03,0.62
2025-02-14,601899,16.65,16.66,16.84,16.51,1155270,1979857333.0,2.0,0.91,0.15,0.56
2025-02-17,601899,16.21,16.0,16.21,15.91,2385440,3938646125.0,1.8,-3.96,-0.66,1.16
2025-02-18,601899,15.91,15.91,16.09,15.81,1449983,2385640200.0,1.75,-0.56,-0.09,0.7
2025-02-19,601899,16.01,15.85,16.11,15.79,1566817,2572213147.0,2.01,-0.38,-0.06,0.76
2025-02-20,601899,15.88,15.94,15.98,15.62,1300819,2124966943.0,2.27,0.57,0.09,0.63
2025-02-21,601899,15.98,15.69,16.06,15.63,2061611,3357537473.0,2.7,-1.57,-0.25,1.0
2025-02-24,601899,15.49,15.58,15.72,15.3,1735860,2779918368.0,2.68,-0.7,-0.11,0.84
2025-02-25,601899,15.56,15.28,15.63,15.25,1558633,2486448005.0,2.44,-1.93,-0.3,0.76
2025-02-26,601899,15.33,15.36,15.59,15.18,1575441,2498948794.0,2.68,0.52,0.08,0.77
2025-02-27,601899,15.37,15.25,15.37,15.11,1363072,2143446762.0,1.69,-0.72,-0.11,0.66
2025-02-28,601899,15.11,14.85,15.17,14.85,1793746,2776454070.0,2.1,-2.62,-0.4,0.87
2025-03-03,601899,14.98,15.14,15.36,14.95,1461700,2290750530.0,2.76,1.95,0.29,0.71
2025-03-04,601899,15.19,15.43,15.56,15.1,1529355,2423804478.0,3.04,1.92,0.29,0.74
2025-03-05,601899,15.43,15.51,15.59,15.31,1237582,1976188829.0,1.81,0.52,0.08,0.6
2025-03-06,601899,15.75,15.8,15.99,15.69,1782082,2906467183.0,1.93,1.87,0.29,0.87
2025-03-07,601899,15.83,15.93,16.25,15.7,1932341,3190133931.0,3.48,0.82,0.13,0.94
2025-03-10,601899,16.0,16.15,16.19,15.81,1631583,2696257981.0,2.39,1.38,0.22,0.79
