日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601995,33.35,32.29,33.41,31.9,216450,709753151.0,4.51,-3.64,-1.22,0.74
2025-01-03,601995,32.27,31.25,32.41,31.17,173097,551754965.0,3.84,-3.22,-1.04,0.59
2025-01-06,601995,31.12,31.23,31.39,30.77,126277,395082542.0,1.98,-0.06,-0.02,0.43
2025-01-07,601995,31.22,31.37,31.42,31.0,100197,314748193.0,1.34,0.45,0.14,0.34
2025-01-08,601995,31.4,31.04,31.4,30.54,123667,384734613.0,2.74,-1.05,-0.33,0.42
2025-01-09,601995,31.04,30.86,31.18,30.86,86175,268861544.0,1.03,-0.58,-0.18,0.29
2025-01-10,601995,30.86,30.46,31.06,30.46,84078,260277819.0,1.94,-1.3,-0.4,0.29
2025-01-13,601995,30.17,30.47,30.6,30.13,94354,288662710.0,1.54,0.03,0.01,0.32
2025-01-14,601995,30.52,31.62,31.68,30.3,191788,600810899.0,4.53,3.77,1.15,0.66
2025-01-15,601995,31.35,31.21,31.52,31.12,111834,352370203.0,1.27,-1.3,-0.41,0.38
2025-01-16,601995,31.31,31.17,31.75,30.99,105604,332817829.0,2.44,-0.13,-0.04,0.36
2025-01-17,601995,31.02,31.29,31.47,30.99,74709,235097555.0,1.54,0.38,0.12,0.26
2025-01-20,601995,31.66,31.48,31.68,31.36,111165,352703613.0,1.02,0.61,0.19,0.38
2025-01-21,601995,31.62,31.54,31.76,31.36,73624,233634693.0,1.27,0.19,0.06,0.25
2025-01-22,601995,31.49,31.32,31.6,31.15,72121,227154934.0,1.43,-0.7,-0.22,0.25
2025-01-23,601995,31.81,31.42,32.36,31.42,162937,522494321.0,3.0,0.32,0.1,0.56
2025-01-24,601995,31.33,31.63,31.7,31.27,104436,331437745.0,1.37,0.67,0.21,0.36
2025-01-27,601995,31.62,31.0,31.73,30.97,114375,360741392.0,2.4,-1.99,-0.63,0.39
2025-02-05,601995,31.23,31.25,31.48,31.07,87574,275252277.0,1.32,0.81,0.25,0.3
2025-02-06,601995,31.14,31.65,31.67,31.0,133868,422760584.0,2.14,1.28,0.4,0.46
2025-02-07,601995,31.62,32.18,32.67,31.52,208732,674321749.0,3.63,1.67,0.53,0.71
2025-02-10,601995,32.19,32.24,32.38,32.1,122524,397143112.0,0.87,0.19,0.06,0.42
2025-02-11,601995,32.15,31.97,32.24,31.74,110039,353392800.0,1.55,-0.84,-0.27,0.38
2025-02-12,601995,31.93,32.52,32.53,31.83,140975,455319180.0,2.19,1.72,0.55,0.48
2025-02-13,601995,32.42,32.91,33.53,32.26,323559,1074491102.0,3.91,1.2,0.39,1.11
2025-02-14,601995,32.68,32.92,33.06,32.53,162257,535006281.0,1.61,0.03,0.01,0.56
2025-02-17,601995,34.12,33.28,34.12,33.05,317824,1074928453.0,3.25,1.09,0.36,1.09
2025-02-18,601995,33.0,32.39,33.33,32.24,180864,597086865.0,3.28,-2.67,-0.89,0.62
2025-02-19,601995,32.1,33.51,33.79,32.1,256474,855514404.0,5.22,3.46,1.12,0.88
2025-02-20,601995,33.3,33.79,34.15,33.15,259591,881833707.0,2.98,0.84,0.28,0.89
2025-02-21,601995,33.6,34.0,34.05,33.12,306570,1038306062.0,2.75,0.62,0.21,1.05
2025-02-24,601995,34.02,33.5,34.02,33.35,184610,624537799.0,1.97,-1.47,-0.5,0.63
2025-02-25,601995,33.2,32.94,33.3,32.82,150340,499755055.0,1.43,-1.67,-0.56,0.51
