日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603008,15.96,15.79,16.17,15.65,67738,112979469.0,3.26,-1.07,-0.17,1.79
2025-01-03,603008,15.73,15.4,16.07,15.26,66905,110110813.0,5.13,-2.47,-0.39,1.77
2025-01-06,603008,15.45,15.48,15.8,15.15,64269,104597520.0,4.22,0.52,0.08,1.7
2025-01-07,603008,15.5,15.8,15.98,15.42,56243,93222634.0,3.62,2.07,0.32,1.48
2025-01-08,603008,15.74,15.73,15.8,15.37,38659,63467924.0,2.72,-0.44,-0.07,1.02
2025-01-09,603008,15.69,15.49,15.72,15.45,31185,51010489.0,1.72,-1.53,-0.24,0.82
2025-01-10,603008,15.51,15.06,15.58,15.0,33512,53777474.0,3.74,-2.78,-0.43,0.88
2025-01-13,603008,15.1,14.92,15.3,14.81,56251,88840752.0,3.25,-0.93,-0.14,1.48
2025-01-14,603008,14.95,15.38,15.41,14.79,44140,70444932.0,4.16,3.08,0.46,1.16
2025-01-15,603008,15.4,15.13,15.46,15.06,42355,67731204.0,2.6,-1.63,-0.25,1.12
2025-01-16,603008,15.2,15.19,15.5,15.05,72058,115915977.0,2.97,0.4,0.06,1.9
2025-01-17,603008,15.18,15.05,15.18,14.81,48169,76083133.0,2.44,-0.92,-0.14,1.27
2025-01-20,603008,15.15,15.52,15.58,15.15,69310,112629685.0,2.86,3.12,0.47,1.83
2025-01-21,603008,15.59,15.73,15.81,15.36,70500,115872173.0,2.9,1.35,0.21,1.86
2025-01-22,603008,15.8,15.47,15.8,15.18,53342,86402544.0,3.94,-1.65,-0.26,1.41
2025-01-23,603008,15.58,15.56,15.95,15.45,50288,82816891.0,3.23,0.58,0.09,1.33
2025-01-24,603008,15.6,15.81,15.87,15.48,50955,84209488.0,2.51,1.61,0.25,1.34
2025-01-27,603008,15.82,15.95,16.12,15.81,47006,79101635.0,1.96,0.89,0.14,1.24
2025-02-05,603008,16.0,15.4,16.08,15.38,48525,79254706.0,4.39,-3.45,-0.55,1.28
2025-02-06,603008,15.45,15.52,15.53,15.25,45973,74384043.0,1.82,0.78,0.12,1.21
2025-02-07,603008,15.49,15.54,15.68,15.33,50320,82242541.0,2.26,0.13,0.02,1.33
2025-02-10,603008,15.58,15.59,15.7,15.42,51854,84993612.0,1.8,0.32,0.05,1.37
2025-02-11,603008,15.67,15.68,15.79,15.58,49719,82030579.0,1.35,0.58,0.09,1.31
2025-02-12,603008,15.6,15.6,15.67,15.38,34548,56346077.0,1.85,-0.51,-0.08,0.91
2025-02-13,603008,15.64,15.68,15.82,15.42,50015,82447973.0,2.56,0.51,0.08,1.32
2025-02-14,603008,15.68,15.77,15.94,15.56,40022,66166746.0,2.42,0.57,0.09,1.06
2025-02-17,603008,15.8,16.59,16.85,15.68,110460,189206302.0,7.42,5.2,0.82,2.91
2025-02-18,603008,16.54,16.25,16.59,16.08,57763,98497116.0,3.07,-2.05,-0.34,1.52
2025-02-19,603008,16.1,16.35,16.39,16.03,62014,105791639.0,2.22,0.62,0.1,1.64
2025-02-20,603008,16.26,16.55,16.58,15.95,72470,123859882.0,3.85,1.22,0.2,1.91
2025-02-21,603008,16.54,16.46,16.88,16.37,52750,91292027.0,3.08,-0.54,-0.09,1.39
2025-02-24,603008,16.5,16.68,16.81,16.35,66532,115999348.0,2.79,1.34,0.22,1.76
2025-02-25,603008,16.6,16.17,16.68,16.14,50460,86854542.0,3.24,-3.06,-0.51,1.33
