日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603009,38.47,39.43,40.92,37.6,141473,559326682.0,8.51,1.1,0.43,4.18
2025-01-03,603009,38.99,35.57,39.21,35.49,206534,763281782.0,9.43,-9.79,-3.86,6.1
2025-01-06,603009,35.52,36.04,36.69,34.9,117511,422962179.0,5.03,1.32,0.47,3.47
2025-01-07,603009,36.5,36.64,37.2,35.81,120581,441308279.0,3.86,1.66,0.6,3.56
2025-01-08,603009,36.01,39.52,40.12,35.62,240947,925364643.0,12.28,7.86,2.88,7.12
2025-01-09,603009,39.19,43.3,43.48,38.83,357539,1500233521.0,11.77,9.56,3.78,10.57
2025-01-10,603009,42.92,44.01,47.64,42.62,383662,1724774055.0,11.59,1.64,0.71,11.34
2025-01-13,603009,43.19,43.12,44.92,42.64,247528,1082484979.0,5.18,-2.02,-0.89,7.31
2025-01-14,603009,43.12,47.44,47.44,42.82,337999,1561459882.0,10.71,10.02,4.32,9.99
2025-01-15,603009,47.92,49.3,49.42,46.43,284831,1365641238.0,6.3,3.92,1.86,8.42
2025-01-16,603009,49.92,47.73,50.2,46.58,255233,1232235420.0,7.34,-3.18,-1.57,7.54
2025-01-17,603009,47.44,47.68,48.51,46.75,164872,788082630.0,3.69,-0.1,-0.05,4.87
2025-01-20,603009,49.22,47.98,49.39,46.66,153715,736927976.0,5.73,0.63,0.3,4.54
2025-01-21,603009,48.08,51.46,51.72,47.72,204168,1017395626.0,8.34,7.25,3.48,6.03
2025-01-22,603009,50.72,52.07,52.09,50.28,146589,754610876.0,3.52,1.19,0.61,4.33
2025-01-23,603009,52.08,49.78,52.8,49.11,202191,1028863184.0,7.09,-4.4,-2.29,5.97
2025-01-24,603009,48.52,51.07,51.41,48.52,155348,782206376.0,5.81,2.59,1.29,4.59
2025-01-27,603009,50.47,48.52,50.69,48.23,144844,713104993.0,4.82,-4.99,-2.55,4.28
2025-02-05,603009,49.2,49.92,51.02,48.55,174499,868123582.0,5.09,2.89,1.4,5.16
2025-02-06,603009,49.77,53.19,54.72,49.23,201120,1054545097.0,11.0,6.55,3.27,5.94
2025-02-07,603009,52.41,52.0,53.42,50.01,233175,1209686223.0,6.41,-2.24,-1.19,6.89
2025-02-10,603009,50.42,50.11,50.83,48.5,162973,807867004.0,4.48,-3.63,-1.89,4.82
2025-02-11,603009,50.12,50.97,51.65,49.32,129912,659364346.0,4.65,1.72,0.86,3.84
2025-02-12,603009,48.92,50.48,50.8,47.92,152818,757732647.0,5.65,-0.96,-0.49,4.52
2025-02-13,603009,49.82,50.22,52.32,49.03,165426,839177560.0,6.52,-0.52,-0.26,4.89
2025-02-14,603009,49.69,47.69,51.05,47.6,162964,795837943.0,6.87,-5.04,-2.53,4.82
