日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603032,13.39,13.04,13.56,12.89,41265,54765153.0,5.0,-2.61,-0.35,1.79
2025-01-03,603032,13.14,12.5,13.23,12.5,41558,53572634.0,5.6,-4.14,-0.54,1.81
2025-01-06,603032,12.49,12.89,13.04,12.19,49871,63393983.0,6.8,3.12,0.39,2.17
2025-01-07,603032,12.89,13.07,13.09,12.84,35961,46895340.0,1.94,1.4,0.18,1.56
2025-01-08,603032,12.99,12.85,13.01,12.47,38129,48972790.0,4.13,-1.68,-0.22,1.66
2025-01-09,603032,12.85,13.12,13.22,12.75,33020,43414190.0,3.66,2.1,0.27,1.43
2025-01-10,603032,13.02,12.75,13.31,12.75,31878,41841010.0,4.27,-2.82,-0.37,1.39
2025-01-13,603032,12.75,12.75,12.85,12.5,21560,27494301.0,2.75,0.0,0.0,0.94
2025-01-14,603032,12.75,13.35,13.36,12.75,40009,52771946.0,4.78,4.71,0.6,1.74
2025-01-15,603032,13.41,13.45,13.51,13.14,29958,40148882.0,2.77,0.75,0.1,1.3
2025-01-16,603032,13.45,13.49,13.7,13.26,32717,44349580.0,3.27,0.3,0.04,1.42
2025-01-17,603032,13.33,13.55,13.63,13.33,24987,33953071.0,2.22,0.44,0.06,1.09
2025-01-20,603032,13.55,13.42,13.7,13.19,43218,58081984.0,3.76,-0.96,-0.13,1.88
2025-01-21,603032,13.5,13.23,13.5,13.14,27351,36365245.0,2.68,-1.42,-0.19,1.19
2025-01-22,603032,13.23,13.03,13.23,12.96,18832,24695243.0,2.04,-1.51,-0.2,0.82
2025-01-23,603032,13.24,12.94,13.36,12.94,28368,37596408.0,3.22,-0.69,-0.09,1.23
2025-01-24,603032,12.86,13.12,13.13,12.85,25024,32667771.0,2.16,1.39,0.18,1.09
2025-01-27,603032,13.13,12.94,13.38,12.94,23811,31417171.0,3.35,-1.37,-0.18,1.03
2025-02-05,603032,13.05,13.21,13.25,13.02,28488,37625759.0,1.78,2.09,0.27,1.24
2025-02-06,603032,13.21,13.94,14.08,13.15,67855,92944388.0,7.04,5.53,0.73,2.95
2025-02-07,603032,13.94,13.98,14.2,13.84,53895,75991669.0,2.58,0.29,0.04,2.34
2025-02-10,603032,14.12,14.14,14.15,13.84,40507,56990109.0,2.22,1.14,0.16,1.76
2025-02-11,603032,14.04,13.93,14.14,13.86,28515,39890102.0,1.98,-1.49,-0.21,1.24
2025-02-12,603032,13.99,14.08,14.16,13.8,39418,55333240.0,2.58,1.08,0.15,1.71
2025-02-13,603032,14.05,14.13,14.57,13.96,63758,91627493.0,4.33,0.36,0.05,2.77
2025-02-14,603032,14.11,14.27,14.54,14.08,52664,75817425.0,3.26,0.99,0.14,2.29
2025-02-17,603032,14.26,14.13,14.32,14.0,42118,59854406.0,2.24,-0.98,-0.14,1.83
2025-02-18,603032,14.24,13.86,14.47,13.8,60454,86249297.0,4.74,-1.91,-0.27,2.63
2025-02-19,603032,13.74,14.14,14.16,13.72,40461,57107193.0,3.17,2.02,0.28,1.76
2025-02-20,603032,14.14,14.15,14.24,13.92,40678,57588307.0,2.26,0.07,0.01,1.77
2025-02-21,603032,14.18,14.17,14.2,13.97,38247,54210222.0,1.63,0.14,0.02,1.66
2025-02-24,603032,14.19,14.15,14.29,13.97,45546,64522700.0,2.26,-0.14,-0.02,1.98
2025-02-25,603032,14.03,14.34,14.54,13.91,61910,89161948.0,4.45,1.34,0.19,2.69
2025-02-26,603032,14.4,14.94,15.13,14.36,97667,145897228.0,5.37,4.18,0.6,4.24
2025-02-27,603032,14.99,15.54,16.24,14.99,169804,266118559.0,8.37,4.02,0.6,7.38
2025-02-28,603032,15.54,14.85,15.77,14.69,105494,161133036.0,6.95,-4.44,-0.69,4.58
2025-03-03,603032,15.14,16.34,16.34,15.14,100393,162649677.0,8.08,10.03,1.49,4.36
2025-03-04,603032,16.5,16.67,17.14,15.92,296224,491438810.0,7.47,2.02,0.33,12.87
2025-03-05,603032,16.14,15.91,16.3,15.74,147473,236731476.0,3.36,-4.56,-0.76,6.41
2025-03-06,603032,15.89,16.09,16.36,15.75,128519,206581364.0,3.83,1.13,0.18,5.58
2025-03-07,603032,15.93,15.5,15.94,15.31,108664,170236972.0,3.92,-3.67,-0.59,4.72
2025-03-10,603032,15.47,15.71,15.72,15.41,61248,95594247.0,2.0,1.35,0.21,2.66
2025-03-11,603032,15.42,15.56,15.6,15.26,58730,90875683.0,2.16,-0.95,-0.15,2.55
2025-03-12,603032,15.62,15.74,15.9,15.62,73008,115491298.0,1.8,1.16,0.18,3.17
2025-03-13,603032,15.84,15.43,15.94,15.26,56202,87564347.0,4.32,-1.97,-0.31,2.44
2025-03-14,603032,15.41,15.56,15.59,15.1,55129,85140222.0,3.18,0.84,0.13,2.4
2025-03-17,603032,15.55,15.48,15.72,15.44,39874,62119217.0,1.8,-0.51,-0.08,1.73
2025-03-18,603032,15.59,15.63,15.92,15.56,55236,87061329.0,2.33,0.97,0.15,2.4
2025-03-19,603032,15.49,15.78,15.92,15.35,68550,107887767.0,3.65,0.96,0.15,2.98
2025-03-20,603032,15.8,15.98,16.3,15.67,110795,178603149.0,3.99,1.27,0.2,4.81
2025-03-21,603032,15.84,15.13,15.89,15.1,89854,138965136.0,4.94,-5.32,-0.85,3.9
2025-03-24,603032,15.12,14.48,15.12,13.99,80210,116342452.0,7.47,-4.3,-0.65,3.49
2025-03-25,603032,14.5,14.23,14.5,14.13,36196,51980648.0,2.56,-1.73,-0.25,1.57
2025-03-26,603032,13.94,14.27,14.46,13.92,36704,52759883.0,3.79,0.28,0.04,1.6
