日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603039,48.85,46.04,49.04,45.45,26109,123089217.0,7.35,-5.75,-2.81,1.0
2025-01-03,603039,46.01,43.84,46.02,43.51,24083,107966773.0,5.45,-4.78,-2.2,0.92
2025-01-06,603039,43.95,42.13,44.55,41.76,27845,119951503.0,6.36,-3.9,-1.71,1.07
2025-01-07,603039,42.06,42.86,43.35,42.06,17973,77082382.0,3.06,1.73,0.73,0.69
2025-01-08,603039,42.83,41.85,43.1,40.95,25656,107893768.0,5.02,-2.36,-1.01,0.98
2025-01-09,603039,41.67,42.86,43.88,41.15,22236,95299985.0,6.52,2.41,1.01,0.85
2025-01-10,603039,42.83,42.2,44.51,41.86,18899,82025648.0,6.18,-1.54,-0.66,0.73
2025-01-13,603039,41.85,44.32,45.35,41.33,30055,131829193.0,9.53,5.02,2.12,1.15
2025-01-14,603039,44.65,46.27,46.54,43.93,25902,118315650.0,5.89,4.4,1.95,0.99
2025-01-15,603039,46.28,47.21,47.43,45.71,24090,112834187.0,3.72,2.03,0.94,0.92
2025-01-16,603039,47.21,46.46,49.03,46.35,23211,110609674.0,5.68,-1.59,-0.75,0.89
2025-01-17,603039,46.28,46.83,47.49,45.75,12827,59811204.0,3.75,0.8,0.37,0.49
2025-01-20,603039,47.31,47.6,48.22,46.84,14679,70228775.0,2.95,1.64,0.77,0.56
2025-01-21,603039,47.7,49.35,49.53,47.28,17754,86604049.0,4.73,3.68,1.75,0.68
2025-01-22,603039,49.04,48.7,49.63,48.06,10838,52780713.0,3.18,-1.32,-0.65,0.42
2025-01-23,603039,49.02,48.61,51.3,48.55,21502,107263747.0,5.65,-0.18,-0.09,0.83
2025-01-24,603039,48.89,53.49,53.49,48.82,48474,255443789.0,9.61,10.04,4.88,1.86
2025-01-27,603039,55.63,58.85,58.85,55.16,62175,359504411.0,6.9,10.02,5.36,2.39
2025-02-05,603039,62.85,64.75,64.75,62.48,19425,124722713.0,3.86,10.03,5.9,0.75
2025-02-06,603039,64.11,69.24,71.24,61.58,121986,820811345.0,14.92,6.93,4.49,4.68
2025-02-07,603039,66.85,67.85,71.83,64.35,108039,726318788.0,10.8,-2.01,-1.39,4.15
2025-02-10,603039,67.56,67.43,68.83,66.01,66889,451425689.0,4.16,-0.62,-0.42,2.57
2025-02-11,603039,65.85,68.71,74.19,65.51,86028,596835635.0,12.87,1.9,1.28,3.3
2025-02-12,603039,69.57,71.35,73.44,66.13,79480,558219985.0,10.64,3.84,2.64,3.05
2025-02-13,603039,70.83,70.25,72.58,68.9,59441,419824173.0,5.16,-1.54,-1.1,2.28
2025-02-14,603039,70.06,77.29,77.29,69.65,72549,531437967.0,10.88,10.02,7.04,2.78
2025-02-17,603039,85.03,79.75,85.03,78.63,115930,951767503.0,8.28,3.18,2.46,4.45
2025-02-18,603039,77.5,71.76,77.5,71.76,60824,446842415.0,7.2,-10.02,-7.99,2.33
2025-02-19,603039,69.85,70.54,70.84,68.1,94624,657732909.0,3.82,-1.7,-1.22,3.63
2025-02-20,603039,70.67,68.75,70.84,67.1,76974,529183503.0,5.3,-2.54,-1.79,2.95
2025-02-21,603039,68.95,72.35,73.82,68.35,87222,620172381.0,7.96,5.24,3.6,3.35
2025-02-24,603039,73.67,71.61,75.13,70.35,74928,544314730.0,6.61,-1.02,-0.74,2.88
2025-02-25,603039,69.85,68.08,70.33,67.15,60740,419480422.0,4.44,-4.93,-3.53,2.33
2025-02-26,603039,69.16,67.75,69.16,67.35,40178,273506937.0,2.66,-0.48,-0.33,1.54
2025-02-27,603039,67.41,64.49,67.69,63.26,58685,383358293.0,6.54,-4.81,-3.26,2.25
2025-02-28,603039,63.97,61.89,64.13,61.46,35343,222009014.0,4.14,-4.03,-2.6,1.36
2025-03-03,603039,63.84,65.13,68.09,62.97,93799,619826482.0,8.27,5.24,3.24,3.6
2025-03-04,603039,62.53,65.95,68.13,62.53,60646,404463908.0,8.6,1.26,0.82,2.33
2025-03-05,603039,66.95,67.31,69.75,65.82,49193,332910894.0,5.96,2.06,1.36,1.89
2025-03-06,603039,74.06,74.06,74.06,74.06,24092,178783096.0,0.0,10.03,6.75,0.92
2025-03-07,603039,81.48,81.35,81.48,76.18,129355,1038368185.0,7.16,9.84,7.29,4.96
2025-03-10,603039,75.1,73.34,77.28,73.2,125307,927885335.0,5.02,-9.85,-8.01,4.81
2025-03-11,603039,71.35,75.85,76.61,70.6,84426,627656114.0,8.19,3.42,2.51,3.24
2025-03-12,603039,77.34,76.34,78.68,74.45,81017,621526428.0,5.58,0.65,0.49,3.11
2025-03-13,603039,76.25,71.44,76.25,70.0,71064,514512232.0,8.19,-6.42,-4.9,2.73
2025-03-14,603039,71.35,71.97,72.5,70.1,49005,351163011.0,3.36,0.74,0.53,1.88
2025-03-17,603039,71.56,69.73,72.15,69.35,45783,322964602.0,3.89,-3.11,-2.24,1.76
2025-03-18,603039,69.4,70.09,72.32,69.35,37929,269761687.0,4.26,0.52,0.36,1.46
2025-03-19,603039,70.44,69.05,70.49,68.15,26959,186692367.0,3.34,-1.48,-1.04,1.03
2025-03-20,603039,68.5,67.45,69.85,67.15,34715,236868779.0,3.91,-2.32,-1.6,1.33
2025-03-21,603039,66.25,65.66,67.52,65.27,20621,136528062.0,3.34,-2.65,-1.79,0.79
2025-03-24,603039,65.45,64.32,66.15,63.15,26561,171398348.0,4.57,-2.04,-1.34,1.02
2025-03-25,603039,64.36,64.76,66.51,63.6,29741,193645451.0,4.52,0.68,0.44,1.14
2025-03-26,603039,64.71,65.97,66.35,64.35,32044,209671744.0,3.09,1.87,1.21,1.23
2025-03-27,603039,65.42,64.04,66.65,63.76,40192,262336548.0,4.38,-2.93,-1.93,1.54
2025-03-28,603039,63.85,63.35,64.67,63.13,19749,126118421.0,2.4,-1.08,-0.69,0.76
2025-03-31,603039,63.41,67.02,67.45,62.25,55783,366770513.0,8.21,5.79,3.67,2.14
2025-04-01,603039,66.16,65.52,67.6,65.25,29429,194669240.0,3.51,-2.24,-1.5,1.13
2025-04-02,603039,65.18,66.59,68.03,65.05,26060,174994797.0,4.55,1.63,1.07,1.0
2025-04-03,603039,65.81,65.83,66.87,64.65,16586,109181638.0,3.33,-1.14,-0.76,0.64
2025-04-07,603039,60.83,59.23,64.1,59.23,22169,134811442.0,7.4,-10.03,-6.6,0.85
2025-04-08,603039,59.23,57.22,60.53,55.49,42095,241649493.0,8.51,-3.39,-2.01,1.62
2025-04-09,603039,55.0,57.91,58.63,53.26,40114,227739142.0,9.38,1.21,0.69,1.54
2025-04-10,603039,60.22,58.27,60.5,58.05,28231,167553392.0,4.23,0.62,0.36,1.08
2025-04-11,603039,57.81,60.95,61.3,57.51,31645,190179680.0,6.5,4.6,2.68,1.21
2025-04-14,603039,60.93,62.85,64.24,60.4,39951,250855465.0,6.3,3.12,1.9,1.53
2025-04-15,603039,62.75,64.24,65.95,61.53,40088,256629984.0,7.03,2.21,1.39,1.54
2025-04-16,603039,63.55,62.16,64.58,61.51,26364,166346163.0,4.78,-3.24,-2.08,1.01
2025-04-17,603039,62.26,68.39,68.39,62.26,33050,220673843.0,9.86,10.02,6.23,1.27
2025-04-18,603039,68.96,65.57,69.71,65.41,40118,267431723.0,6.29,-4.12,-2.82,1.54
2025-04-21,603039,66.01,68.85,69.66,64.91,39246,268449847.0,7.24,5.0,3.28,1.51
2025-04-22,603039,68.65,65.1,68.85,63.35,57939,380177223.0,7.99,-5.45,-3.75,2.22
2025-04-23,603039,65.84,64.65,66.83,64.05,47832,312931749.0,4.27,-0.69,-0.45,1.84
2025-04-24,603039,64.65,63.26,65.81,62.91,35169,226560764.0,4.49,-2.15,-1.39,1.35
2025-04-25,603039,63.25,66.18,67.97,62.91,45738,301969801.0,8.0,4.62,2.92,1.76
2025-04-28,603039,67.65,67.28,69.35,66.86,36356,247853344.0,3.76,1.66,1.1,1.4
2025-04-29,603039,67.11,67.85,68.65,66.54,22929,155791750.0,3.14,0.85,0.57,0.88
2025-04-30,603039,67.56,70.83,71.56,67.56,46327,325525838.0,5.9,4.39,2.98,1.78
2025-05-06,603039,70.83,71.35,71.7,68.84,48328,341713860.0,4.04,0.73,0.52,1.85
2025-05-07,603039,70.95,70.6,72.64,69.1,32792,232597890.0,4.96,-1.05,-0.75,1.26
2025-05-08,603039,69.46,69.22,71.05,69.0,24157,168757769.0,2.9,-1.95,-1.38,0.93
2025-05-09,603039,69.05,64.54,69.15,64.15,41655,275205524.0,7.22,-6.76,-4.68,1.6
2025-05-12,603039,65.0,66.35,66.65,64.45,30646,201579553.0,3.41,2.8,1.81,1.18
2025-05-13,603039,67.85,67.34,68.35,66.65,23071,155886117.0,2.56,1.49,0.99,0.89
2025-05-14,603039,67.35,65.78,68.22,65.2,21691,143764732.0,4.48,-2.32,-1.56,0.83
2025-05-15,603039,65.86,63.09,65.95,62.73,24517,156681992.0,4.9,-4.09,-2.69,0.94
2025-05-16,603039,62.16,62.3,63.15,61.15,17771,110805561.0,3.17,-1.25,-0.79,0.68
2025-05-19,603039,62.31,61.85,62.44,60.65,15182,93703813.0,2.87,-0.72,-0.45,0.58
2025-05-20,603039,61.23,62.21,64.05,60.68,20853,129300546.0,5.45,0.58,0.36,0.8
2025-05-21,603039,62.44,61.82,62.86,61.34,12603,78389935.0,2.44,-0.63,-0.39,0.48
2025-05-22,603039,61.35,61.91,62.34,60.98,15691,97006708.0,2.2,0.15,0.09,0.6
2025-05-23,603039,61.7,60.88,63.05,60.7,21166,131119585.0,3.8,-1.66,-1.03,0.81
2025-05-26,603039,60.51,60.66,61.44,60.18,14155,86270103.0,2.07,-0.36,-0.22,0.54
2025-05-27,603039,60.66,59.29,60.85,59.03,17574,104898910.0,3.0,-2.26,-1.37,0.67
2025-05-28,603039,58.87,58.54,59.91,58.3,12663,74684410.0,2.72,-1.26,-0.75,0.49
2025-05-29,603039,58.84,59.67,59.77,58.57,17582,104439614.0,2.05,1.93,1.13,0.67
2025-05-30,603039,59.2,58.94,59.65,58.18,10354,60917678.0,2.46,-1.22,-0.73,0.4
2025-06-03,603039,58.81,58.28,59.73,58.15,11958,70193930.0,2.68,-1.12,-0.66,0.46
2025-06-04,603039,59.17,59.3,59.74,58.15,16176,96316974.0,2.73,1.75,1.02,0.62
2025-06-05,603039,59.41,61.09,61.13,59.27,17386,105126211.0,3.14,3.02,1.79,0.67
2025-06-06,603039,61.57,60.83,61.63,59.95,14686,89185363.0,2.75,-0.43,-0.26,0.56
2025-06-09,603039,60.6,63.59,64.39,60.6,30004,189051139.0,6.23,4.54,2.76,1.15
2025-06-10,603039,63.56,60.49,63.61,59.03,30056,182697641.0,7.2,-4.87,-3.1,1.15
2025-06-11,603039,60.11,59.19,60.71,59.03,14935,89216672.0,2.78,-2.15,-1.3,0.57
2025-06-12,603039,58.73,58.82,59.5,58.38,8708,51425435.0,1.89,-0.63,-0.37,0.33
2025-06-13,603039,59.08,54.84,59.08,54.38,41628,231842176.0,7.99,-6.77,-3.98,1.6
2025-06-16,603039,54.3,54.84,55.58,53.93,32279,177399401.0,3.01,0.0,0.0,1.24
2025-06-17,603039,55.13,53.25,55.23,52.82,34450,185309694.0,4.39,-2.9,-1.59,1.32
2025-06-18,603039,53.13,54.31,54.83,52.92,26530,143412421.0,3.59,1.99,1.06,1.02
2025-06-19,603039,54.73,54.29,56.31,54.09,23369,128590471.0,4.09,-0.04,-0.02,0.9
2025-06-20,603039,54.03,52.93,54.56,52.22,37831,200233868.0,4.31,-2.51,-1.36,1.45
2025-06-23,603039,51.93,53.64,53.83,51.93,22737,121324495.0,3.59,1.34,0.71,0.87
2025-06-24,603039,53.46,54.57,55.13,53.46,27254,148943969.0,3.11,1.73,0.93,1.05
2025-06-25,603039,54.59,55.26,55.48,54.13,27444,150335624.0,2.47,1.26,0.69,1.05
2025-06-26,603039,55.28,55.0,56.2,54.56,24862,137841111.0,2.97,-0.47,-0.26,0.95
2025-06-27,603039,54.93,54.62,55.84,53.93,23437,128909205.0,3.47,-0.69,-0.38,0.9
2025-06-30,603039,54.83,55.63,55.98,54.27,24950,138355806.0,3.13,1.85,1.01,0.96
2025-07-01,603039,55.59,54.43,55.59,54.05,17599,96037662.0,2.77,-2.16,-1.2,0.68
2025-07-02,603039,54.03,53.53,54.37,53.25,17804,95596825.0,2.06,-1.65,-0.9,0.68
2025-07-03,603039,53.53,53.39,54.13,53.03,10322,55242100.0,2.05,-0.26,-0.14,0.4
2025-07-04,603039,53.38,52.99,54.08,52.68,15980,85348084.0,2.62,-0.75,-0.4,0.61
2025-07-07,603039,52.99,52.52,53.26,52.3,13357,70406286.0,1.81,-0.89,-0.47,0.51
2025-07-08,603039,52.66,53.08,53.23,52.41,13963,74045708.0,1.56,1.07,0.56,0.54
2025-07-09,603039,53.23,52.72,53.42,52.62,20793,110269885.0,1.51,-0.68,-0.36,0.8
2025-07-10,603039,52.62,52.41,52.74,52.13,11853,62207224.0,1.16,-0.59,-0.31,0.45
2025-07-11,603039,52.23,54.57,55.63,51.75,55186,299965355.0,7.4,4.12,2.16,2.12
2025-07-14,603039,54.58,53.95,54.58,53.19,32129,172865805.0,2.55,-1.14,-0.62,1.23
2025-07-15,603039,53.62,59.35,59.35,53.39,55826,314912840.0,11.05,10.01,5.4,2.14
2025-07-16,603039,61.13,62.43,62.53,59.61,126515,777270581.0,4.92,5.19,3.08,4.85
2025-07-17,603039,61.3,62.64,65.42,60.24,92167,579032536.0,8.3,0.34,0.21,3.54
2025-07-18,603039,64.43,63.63,68.61,63.26,106142,694777249.0,8.54,1.58,0.99,4.07
2025-07-21,603039,62.43,64.73,66.41,62.18,67686,437035327.0,6.65,1.73,1.1,2.6
2025-07-22,603039,63.68,62.9,64.73,62.05,52802,333752284.0,4.14,-2.83,-1.83,2.03
2025-07-23,603039,62.64,62.91,64.23,61.95,37508,236874667.0,3.62,0.02,0.01,1.44
2025-07-24,603039,62.83,63.2,64.13,61.98,41305,260324746.0,3.42,0.46,0.29,1.58
2025-07-25,603039,63.43,65.35,66.05,63.06,65636,426938548.0,4.73,3.4,2.15,2.52
2025-07-28,603039,65.43,64.73,65.68,62.93,39874,254722918.0,4.21,-0.95,-0.62,1.53
2025-07-29,603039,64.23,66.31,66.51,63.93,45845,301187967.0,3.99,2.44,1.58,1.76
2025-07-30,603039,65.88,64.81,66.33,64.63,30852,201629715.0,2.56,-2.26,-1.5,1.18
2025-07-31,603039,66.23,67.92,70.86,65.28,73990,504751199.0,8.61,4.8,3.11,2.84
2025-08-01,603039,68.84,69.37,70.43,65.52,61446,417561347.0,7.23,2.13,1.45,2.36
2025-08-04,603039,67.24,70.44,71.33,66.11,60289,414581186.0,7.52,1.54,1.07,2.31
2025-08-05,603039,69.92,69.1,70.73,68.53,35379,245382409.0,3.12,-1.9,-1.34,1.36
2025-08-06,603039,69.09,68.01,69.37,67.23,43196,294814301.0,3.1,-1.58,-1.09,1.66
2025-08-07,603039,68.43,68.39,70.19,67.15,34695,238680239.0,4.47,0.56,0.38,1.33
2025-08-08,603039,67.39,65.93,67.43,64.81,39777,262678257.0,3.83,-3.6,-2.46,1.53
2025-08-11,603039,65.77,65.97,66.66,65.26,30889,204115355.0,2.12,0.06,0.04,1.19
2025-08-12,603039,65.99,64.38,66.21,64.03,31310,202847834.0,3.3,-2.41,-1.59,1.2
2025-08-13,603039,64.71,64.18,65.92,63.59,39618,256285813.0,3.62,-0.31,-0.2,1.52
2025-08-14,603039,64.73,63.08,64.73,62.54,34675,220710154.0,3.41,-1.71,-1.1,1.33
2025-08-15,603039,63.93,64.35,65.24,63.44,48046,309208162.0,2.85,2.01,1.27,1.84
2025-08-18,603039,65.06,67.19,67.93,64.78,49623,332168806.0,4.9,4.41,2.84,1.9
2025-08-19,603039,67.18,66.65,67.92,65.94,28927,193270282.0,2.95,-0.8,-0.54,1.11
2025-08-20,603039,66.23,64.89,66.26,63.44,36627,236055841.0,4.23,-2.64,-1.76,1.41
2025-08-21,603039,64.59,64.12,65.86,63.75,36438,236344988.0,3.25,-1.19,-0.77,1.4
2025-08-22,603039,64.43,66.9,66.93,63.98,46517,307108718.0,4.6,4.34,2.78,1.78
2025-08-25,603039,68.6,67.83,68.93,67.22,46961,319867699.0,2.56,1.39,0.93,1.8
2025-08-26,603039,67.61,67.71,68.88,66.54,34693,235551312.0,3.45,-0.18,-0.12,1.33
2025-08-27,603039,70.41,65.14,70.41,64.85,64053,435621296.0,8.21,-3.8,-2.57,2.46
2025-08-28,603039,63.97,63.93,64.61,61.6,67942,427016736.0,4.62,-1.86,-1.21,2.61
2025-08-29,603039,63.67,61.94,63.67,61.6,49064,305369148.0,3.24,-3.11,-1.99,1.88
2025-09-01,603039,62.34,61.23,62.81,60.74,44257,272139251.0,3.34,-1.15,-0.71,1.7
2025-09-02,603039,60.93,59.51,60.93,58.79,37808,226495014.0,3.5,-2.81,-1.72,1.45
2025-09-03,603039,59.91,57.03,59.92,56.89,34161,199033237.0,5.09,-4.17,-2.48,1.31
2025-09-04,603039,57.04,56.44,57.7,55.65,34118,194142055.0,3.59,-1.03,-0.59,1.31
2025-09-05,603039,56.93,57.03,57.08,55.42,28223,159255089.0,2.94,1.05,0.59,1.08
2025-09-08,603039,57.04,56.94,57.48,56.03,30940,175440908.0,2.54,-0.16,-0.09,1.19
2025-09-09,603039,56.93,55.17,56.98,54.42,39946,221669710.0,4.5,-3.11,-1.77,1.53
2025-09-10,603039,55.35,55.51,56.12,55.06,25758,143543272.0,1.92,0.62,0.34,0.99
2025-09-11,603039,56.03,57.22,57.29,54.93,40888,230163357.0,4.25,3.08,1.71,1.57
2025-09-12,603039,58.8,58.36,61.31,57.93,66269,395813969.0,5.91,1.99,1.14,2.54
2025-09-15,603039,57.78,56.54,58.25,56.47,39511,225667768.0,3.05,-3.12,-1.82,1.52
2025-09-16,603039,56.54,57.7,57.79,56.03,27733,158737349.0,3.11,2.05,1.16,1.06
2025-09-17,603039,57.41,57.53,57.77,56.59,26906,153833962.0,2.05,-0.29,-0.17,1.03
2025-09-18,603039,57.24,57.57,58.55,56.11,40760,233956862.0,4.24,0.07,0.04,1.56
2025-09-19,603039,57.14,56.41,57.33,56.35,25893,147168632.0,1.7,-2.01,-1.16,0.99
2025-09-22,603039,56.48,56.16,56.63,55.33,23544,131835376.0,2.3,-0.44,-0.25,0.9
2025-09-23,603039,56.18,55.93,57.36,54.95,24710,137865397.0,4.29,-0.41,-0.23,0.95
2025-09-24,603039,55.43,56.64,56.83,55.23,25796,145416084.0,2.86,1.27,0.71,0.99
2025-09-25,603039,56.47,58.11,60.03,56.34,53252,311739345.0,6.51,2.6,1.47,2.04
2025-09-26,603039,57.46,55.73,57.83,55.65,33703,190307311.0,3.75,-4.1,-2.38,1.29
2025-09-29,603039,55.04,55.8,56.35,54.94,20265,112801160.0,2.53,0.13,0.07,0.78
2025-09-30,603039,56.47,57.18,58.21,56.24,33749,194215455.0,3.53,2.47,1.38,1.3
2025-10-09,603039,57.34,58.99,59.67,56.32,47080,275300899.0,5.86,3.17,1.81,1.81
2025-10-10,603039,58.4,57.16,58.4,56.94,35295,203015154.0,2.47,-3.1,-1.83,1.35
2025-10-13,603039,55.05,57.61,60.59,55.05,60515,355615490.0,9.69,0.79,0.45,2.32
2025-10-14,603039,57.6,58.33,59.33,56.58,58369,337335020.0,4.77,1.25,0.72,2.24
2025-10-15,603039,58.33,58.63,60.06,57.13,59723,352117035.0,5.02,0.51,0.3,2.29
2025-10-16,603039,58.16,57.58,58.33,56.68,36927,211795863.0,2.81,-1.79,-1.05,1.42
2025-10-17,603039,57.43,55.95,57.81,55.81,28040,158702602.0,3.47,-2.83,-1.63,1.08
2025-10-20,603039,56.43,55.32,56.87,55.1,26753,149131451.0,3.16,-1.13,-0.63,1.03
2025-10-21,603039,55.35,55.76,56.18,55.33,17308,96414754.0,1.54,0.8,0.44,0.66
2025-10-22,603039,55.68,54.88,55.68,54.8,13003,71465696.0,1.58,-1.58,-0.88,0.5
2025-10-23,603039,54.99,55.0,55.18,53.64,14951,81134422.0,2.81,0.22,0.12,0.57
2025-10-24,603039,55.1,55.33,55.55,54.91,12034,66460313.0,1.16,0.6,0.33,0.46
2025-10-27,603039,55.64,55.05,56.0,54.81,17929,98833256.0,2.15,-0.51,-0.28,0.69
2025-10-28,603039,55.01,55.88,57.16,54.5,44065,247025845.0,4.83,1.51,0.83,1.69
2025-10-29,603039,55.0,54.64,55.6,54.2,28607,155964457.0,2.51,-2.22,-1.24,1.1
2025-10-30,603039,54.2,54.47,55.83,53.59,28975,158697486.0,4.1,-0.31,-0.17,1.11
2025-10-31,603039,54.3,57.09,58.23,54.02,68801,392937015.0,7.73,4.81,2.62,2.64
2025-11-03,603039,57.58,57.51,57.8,56.7,31223,178514608.0,1.93,0.74,0.42,1.2
2025-11-04,603039,57.02,57.28,57.46,56.61,23907,136443580.0,1.48,-0.4,-0.23,0.92
2025-11-05,603039,56.5,55.7,57.1,55.08,24789,138510001.0,3.53,-2.76,-1.58,0.95
2025-11-06,603039,55.7,54.75,55.85,54.36,24858,136383746.0,2.68,-1.71,-0.95,0.95
