日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603050,13.81,13.32,13.81,13.27,18020,36404259.0,3.91,-3.55,-0.49,0.66
2025-01-03,603050,13.33,12.97,13.57,12.91,17393,34164554.0,4.95,-2.63,-0.35,0.64
2025-01-06,603050,12.84,14.28,14.28,12.64,43718,90597341.0,12.64,10.1,1.31,1.6
2025-01-07,603050,14.24,15.11,15.18,14.06,79604,175311442.0,7.84,5.81,0.83,2.92
2025-01-08,603050,14.95,14.49,14.95,14.11,51845,111888558.0,5.56,-4.1,-0.62,1.9
2025-01-09,603050,14.49,14.36,14.59,14.31,31111,67105296.0,1.93,-0.9,-0.13,1.14
2025-01-10,603050,14.43,13.59,14.44,13.59,30562,63601498.0,5.92,-5.36,-0.77,1.12
2025-01-13,603050,13.37,13.64,13.8,13.26,27727,56347555.0,3.97,0.37,0.05,1.02
2025-01-14,603050,13.69,13.97,13.97,13.55,26140,53929520.0,3.08,2.42,0.33,0.96
2025-01-15,603050,13.85,13.85,14.05,13.71,19143,39684932.0,2.43,-0.86,-0.12,0.7
2025-01-16,603050,13.88,13.84,14.02,13.72,14123,29244131.0,2.17,-0.07,-0.01,0.52
2025-01-17,603050,13.79,13.91,13.93,13.66,10750,22205514.0,1.95,0.51,0.07,0.39
2025-01-20,603050,13.97,14.31,14.31,13.91,24779,52502313.0,2.88,2.88,0.4,0.91
2025-01-21,603050,14.29,14.32,14.46,14.18,16800,35918829.0,1.96,0.07,0.01,0.62
2025-01-22,603050,14.3,14.32,14.46,14.22,14018,30017373.0,1.68,0.0,0.0,0.51
2025-01-23,603050,14.38,14.08,14.45,14.05,17844,38015750.0,2.79,-1.68,-0.24,0.65
2025-01-24,603050,14.03,14.25,14.3,14.03,15750,33350404.0,1.92,1.21,0.17,0.58
2025-01-27,603050,14.33,14.16,14.39,14.06,19721,41761987.0,2.32,-0.63,-0.09,0.72
2025-02-05,603050,14.18,13.64,14.27,13.55,22509,46239853.0,5.08,-3.67,-0.52,0.83
2025-02-06,603050,13.66,13.73,13.73,13.46,16453,33461825.0,1.98,0.66,0.09,0.6
2025-02-07,603050,13.65,14.04,14.05,13.65,25814,53425641.0,2.91,2.26,0.31,0.95
2025-02-10,603050,14.04,14.28,14.39,13.84,21909,46229738.0,3.92,1.71,0.24,0.8
2025-02-11,603050,14.22,14.13,14.32,14.03,14916,31529923.0,2.03,-1.05,-0.15,0.55
2025-02-12,603050,14.05,14.39,14.45,14.05,19151,41054487.0,2.83,1.84,0.26,0.7
2025-02-13,603050,14.39,13.99,14.39,13.95,21443,45064676.0,3.06,-2.78,-0.4,0.79
