日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603065,7.16,7.07,7.29,7.0,24426,17747719.0,4.05,-1.26,-0.09,1.24
2025-01-03,603065,7.07,6.93,7.13,6.91,27878,19881079.0,3.11,-1.98,-0.14,1.42
2025-01-06,603065,6.95,6.97,7.03,6.74,22916,16097411.0,4.18,0.58,0.04,1.17
2025-01-07,603065,6.94,7.14,7.14,6.91,23951,17060201.0,3.3,2.44,0.17,1.22
2025-01-08,603065,7.14,7.01,7.17,6.9,27242,19446150.0,3.78,-1.82,-0.13,1.39
2025-01-09,603065,7.0,7.04,7.11,6.98,14411,10319986.0,1.85,0.43,0.03,0.73
2025-01-10,603065,7.03,6.83,7.19,6.82,24859,17616437.0,5.26,-2.98,-0.21,1.26
2025-01-13,603065,6.77,6.91,6.92,6.64,18321,12616990.0,4.1,1.17,0.08,0.93
2025-01-14,603065,6.92,7.18,7.18,6.89,27090,19442737.0,4.2,3.91,0.27,1.38
2025-01-15,603065,7.18,7.17,7.21,7.11,18605,13538707.0,1.39,-0.14,-0.01,0.95
2025-01-16,603065,7.2,7.18,7.31,7.11,22164,16234531.0,2.79,0.14,0.01,1.13
2025-01-17,603065,7.18,7.2,7.25,7.12,13999,10226227.0,1.81,0.28,0.02,0.71
2025-01-20,603065,7.19,7.36,7.4,7.15,28293,20939027.0,3.47,2.22,0.16,1.44
2025-01-21,603065,7.33,7.29,7.4,7.23,15571,11511578.0,2.31,-0.95,-0.07,0.79
2025-01-22,603065,7.29,7.24,7.29,7.17,12441,9127256.0,1.65,-0.69,-0.05,0.63
2025-01-23,603065,7.34,7.24,7.36,7.22,17162,12701921.0,1.93,0.0,0.0,0.87
2025-01-24,603065,7.22,7.23,7.25,7.14,15219,11120249.0,1.52,-0.14,-0.01,0.77
2025-01-27,603065,7.21,7.31,7.4,7.21,21607,16069408.0,2.63,1.11,0.08,1.1
2025-02-05,603065,7.35,7.37,7.53,7.27,22108,16543934.0,3.56,0.82,0.06,1.12
2025-02-06,603065,7.36,7.45,7.45,7.3,19973,14966761.0,2.04,1.09,0.08,1.02
2025-02-07,603065,7.45,7.47,7.51,7.37,27312,20677792.0,1.88,0.27,0.02,1.39
2025-02-10,603065,7.49,7.64,7.75,7.43,44703,34324832.0,4.28,2.28,0.17,2.27
2025-02-11,603065,7.6,7.58,7.68,7.55,25252,19433416.0,1.7,-0.79,-0.06,1.28
2025-02-12,603065,7.58,7.59,7.6,7.5,25297,19394446.0,1.32,0.13,0.01,1.29
2025-02-13,603065,7.55,7.44,7.64,7.44,21514,16420258.0,2.64,-1.98,-0.15,1.09
2025-02-14,603065,7.44,7.51,7.55,7.44,17903,13623092.0,1.48,0.94,0.07,0.91
2025-02-17,603065,7.5,7.61,7.62,7.5,23877,18348982.0,1.6,1.33,0.1,1.21
2025-02-18,603065,7.6,7.44,7.66,7.41,25382,19455654.0,3.29,-2.23,-0.17,1.29
2025-02-19,603065,7.45,7.56,7.57,7.41,20639,15749660.0,2.15,1.61,0.12,1.05
2025-02-20,603065,7.59,7.64,7.64,7.52,23090,17783652.0,1.59,1.06,0.08,1.17
2025-02-21,603065,7.6,7.65,7.67,7.54,22013,17020775.0,1.7,0.13,0.01,1.12
2025-02-24,603065,7.64,7.65,7.75,7.59,21511,16662122.0,2.09,0.0,0.0,1.09
2025-02-25,603065,7.64,7.56,7.65,7.56,15023,11593418.0,1.18,-1.18,-0.09,0.76
2025-02-26,603065,7.56,7.64,7.67,7.56,22556,17486145.0,1.46,1.06,0.08,1.15
2025-02-27,603065,7.63,7.72,7.8,7.58,56149,43776396.0,2.88,1.05,0.08,2.85
2025-02-28,603065,7.67,7.58,7.74,7.54,44675,34594399.0,2.59,-1.81,-0.14,2.27
2025-03-03,603065,7.62,7.53,7.67,7.47,36055,27800573.0,2.64,-0.66,-0.05,1.83
2025-03-04,603065,7.52,7.59,7.59,7.46,29680,22753187.0,1.73,0.8,0.06,1.51
2025-03-05,603065,7.58,7.53,7.59,7.43,23480,17845267.0,2.11,-0.79,-0.06,1.19
2025-03-06,603065,7.54,7.73,7.78,7.53,52998,41402570.0,3.32,2.66,0.2,2.69
2025-03-07,603065,7.73,7.6,7.73,7.57,29908,23148084.0,2.07,-1.68,-0.13,1.52
2025-03-10,603065,7.63,7.88,7.96,7.62,85807,67912684.0,4.47,3.68,0.28,4.36
2025-03-11,603065,7.76,7.87,7.88,7.73,57532,45480118.0,1.9,-0.13,-0.01,2.93
2025-03-12,603065,7.85,7.82,7.95,7.8,31488,25082252.0,1.91,-0.64,-0.05,1.6
2025-03-13,603065,7.8,7.76,7.84,7.68,34641,27162152.0,2.05,-0.77,-0.06,1.76
2025-03-14,603065,7.77,7.77,7.94,7.68,70215,55511403.0,3.35,0.13,0.01,3.57
2025-03-17,603065,7.79,7.81,7.82,7.75,27783,21950086.0,0.9,0.51,0.04,1.41
2025-03-18,603065,7.8,7.87,7.88,7.77,27892,22160411.0,1.41,0.77,0.06,1.42
2025-03-19,603065,7.82,7.81,7.88,7.75,25944,20559956.0,1.65,-0.76,-0.06,1.32
2025-03-20,603065,7.79,7.82,7.84,7.74,21727,17173126.0,1.28,0.13,0.01,1.1
2025-03-21,603065,7.82,7.71,7.83,7.68,27591,21664186.0,1.92,-1.41,-0.11,1.4
2025-03-24,603065,7.74,7.52,7.74,7.35,33271,25408126.0,5.06,-2.46,-0.19,1.69
2025-03-25,603065,7.46,7.66,7.68,7.46,29602,22820631.0,2.93,1.86,0.14,1.51
2025-03-26,603065,7.66,7.81,7.86,7.62,42861,33874093.0,3.13,1.96,0.15,2.18
2025-03-27,603065,7.82,7.92,8.04,7.69,76522,61263483.0,4.48,1.41,0.11,3.89
2025-03-28,603065,7.94,7.67,7.94,7.67,50978,40206894.0,3.41,-3.16,-0.25,2.59
2025-03-31,603065,7.65,7.5,7.66,7.41,36467,27781703.0,3.26,-2.22,-0.17,1.85
2025-04-01,603065,7.49,7.7,7.79,7.49,48882,38206675.0,4.0,2.67,0.2,2.49
2025-04-02,603065,7.74,7.59,7.74,7.56,27469,21306729.0,2.34,-1.43,-0.11,1.4
2025-04-03,603065,7.57,7.59,7.67,7.48,22564,17344842.0,2.5,0.0,0.0,1.15
2025-04-07,603065,7.4,6.82,7.4,6.82,40881,28911209.0,7.64,-10.14,-0.77,2.08
2025-04-08,603065,6.79,6.82,6.93,6.71,36005,24927850.0,3.23,0.0,0.0,1.83
2025-04-09,603065,6.77,6.9,6.93,6.46,34877,23774222.0,6.89,1.17,0.08,1.77
2025-04-10,603065,6.94,7.05,7.1,6.94,27485,19653720.0,2.32,2.17,0.15,1.4
2025-04-11,603065,7.05,7.04,7.09,6.99,21367,15281856.0,1.42,-0.14,-0.01,1.09
2025-04-14,603065,7.09,7.17,7.19,7.09,16348,11859525.0,1.42,1.85,0.13,0.83
2025-04-15,603065,7.17,7.21,7.29,7.12,20210,14762207.0,2.37,0.56,0.04,1.03
2025-04-16,603065,7.19,7.11,7.24,6.99,23374,16843189.0,3.47,-1.39,-0.1,1.19
2025-04-17,603065,7.08,7.27,7.28,7.06,24862,18211585.0,3.09,2.25,0.16,1.26
2025-04-18,603065,7.27,7.24,7.27,7.13,16513,12060558.0,1.93,-0.41,-0.03,0.84
2025-04-21,603065,7.24,7.22,7.27,7.17,16572,12140566.0,1.38,-0.28,-0.02,0.84
2025-04-22,603065,7.22,7.24,7.25,7.14,22438,16406215.0,1.52,0.28,0.02,1.14
2025-04-23,603065,7.22,7.24,7.28,7.2,18126,13313877.0,1.1,0.0,0.0,0.92
2025-04-24,603065,7.19,7.75,7.98,7.17,198392,157086466.0,11.19,7.04,0.51,10.09
2025-04-25,603065,7.45,7.54,7.73,7.45,182629,140216062.0,3.61,-2.71,-0.21,9.29
2025-04-28,603065,7.59,8.31,8.31,7.28,198450,157670697.0,13.66,10.21,0.77,10.09
2025-04-29,603065,9.15,9.15,9.15,9.15,67231,62255508.0,0.0,10.11,0.84,3.42
2025-04-30,603065,9.55,8.44,9.55,8.35,396840,359901363.0,13.11,-7.76,-0.71,20.18
2025-05-06,603065,7.95,8.29,8.32,7.84,262026,215334984.0,5.69,-1.78,-0.15,13.32
2025-05-07,603065,8.2,8.42,8.55,8.2,236574,200501714.0,4.22,1.57,0.13,12.03
2025-05-08,603065,8.27,8.27,8.37,8.11,150339,126013115.0,3.09,-1.78,-0.15,7.64
2025-05-09,603065,8.25,7.99,8.34,7.96,119391,97797361.0,4.59,-3.39,-0.28,6.07
2025-05-12,603065,7.99,8.05,8.2,7.94,87970,71639661.0,3.25,0.75,0.06,4.47
2025-05-13,603065,8.06,8.23,8.27,8.01,150291,124354905.0,3.23,2.24,0.18,7.64
2025-05-14,603065,8.15,8.52,8.61,8.14,213319,182159000.0,5.71,3.52,0.29,10.85
