日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603090,17.28,17.2,17.8,16.9,19077,33674220.0,5.23,-0.06,-0.01,1.91
2025-01-03,603090,17.18,16.6,17.56,16.39,21105,35988446.0,6.8,-3.49,-0.6,2.11
2025-01-06,603090,16.5,16.7,17.39,15.86,22714,38543359.0,9.22,0.6,0.1,2.27
2025-01-07,603090,16.95,17.52,17.65,16.58,25499,44581101.0,6.41,4.91,0.82,2.55
2025-01-08,603090,17.45,17.19,17.8,16.6,20718,36086087.0,6.85,-1.88,-0.33,2.07
2025-01-09,603090,17.1,17.41,17.78,17.03,12116,21559278.0,4.36,1.28,0.22,1.21
2025-01-10,603090,17.45,16.69,17.5,16.66,14984,25878544.0,4.82,-4.14,-0.72,1.5
2025-01-13,603090,16.4,16.7,16.87,16.07,10249,17261221.0,4.79,0.06,0.01,1.02
2025-01-14,603090,16.73,17.66,17.69,16.73,14474,25588058.0,5.75,5.75,0.96,1.45
2025-01-15,603090,17.66,17.39,17.79,17.2,10490,18692203.0,3.34,-1.53,-0.27,1.05
2025-01-16,603090,17.67,17.45,17.71,17.28,9938,17691824.0,2.47,0.35,0.06,0.99
2025-01-17,603090,17.4,17.52,17.55,17.2,7710,13642117.0,2.01,0.4,0.07,0.77
2025-01-20,603090,17.71,18.07,18.29,17.64,18326,33655888.0,3.71,3.14,0.55,1.83
2025-01-21,603090,18.2,17.9,18.26,17.64,13030,23699801.0,3.43,-0.94,-0.17,1.3
2025-01-22,603090,18.07,17.88,18.59,17.62,16459,30258771.0,5.42,-0.11,-0.02,1.65
2025-01-23,603090,18.24,18.23,19.41,18.01,24770,47078866.0,7.83,1.96,0.35,2.48
2025-01-24,603090,17.96,18.3,18.43,17.74,15635,28837821.0,3.78,0.38,0.07,1.56
2025-01-27,603090,18.19,18.49,19.29,18.19,26257,50068816.0,6.01,1.04,0.19,2.63
2025-02-05,603090,18.49,18.07,18.79,17.91,18074,33371368.0,4.76,-2.27,-0.42,1.81
2025-02-06,603090,17.92,18.21,18.28,17.91,14782,27255989.0,2.05,0.77,0.14,1.48
2025-02-07,603090,18.38,18.17,18.5,17.95,21635,40138351.0,3.02,-0.22,-0.04,2.16
2025-02-10,603090,19.3,20.02,20.02,18.53,49674,97905278.0,8.2,10.18,1.85,4.97
2025-02-11,603090,20.2,19.46,20.3,19.33,63908,128124274.0,4.85,-2.8,-0.56,6.39
2025-02-12,603090,19.48,19.42,19.88,19.2,38749,76797513.0,3.49,-0.21,-0.04,3.87
2025-02-13,603090,19.39,19.22,19.98,18.89,35278,69599709.0,5.61,-1.03,-0.2,3.53
2025-02-14,603090,19.39,19.45,20.0,19.34,48735,97597622.0,3.43,1.2,0.23,4.87
2025-02-17,603090,19.6,20.72,20.81,19.3,62846,128302291.0,7.76,6.53,1.27,6.28
2025-02-18,603090,20.5,19.76,20.68,19.55,41756,84895017.0,5.45,-4.63,-0.96,4.18
2025-02-19,603090,19.73,19.73,19.92,19.36,30358,60411491.0,2.83,-0.15,-0.03,3.04
2025-02-20,603090,19.73,19.7,19.89,19.17,28342,56243680.0,3.65,-0.15,-0.03,2.83
2025-02-21,603090,19.6,19.8,20.2,19.43,33500,67440350.0,3.91,0.51,0.1,3.35
2025-02-24,603090,19.7,19.2,19.78,18.86,34626,67486706.0,4.65,-3.03,-0.6,3.46
2025-02-25,603090,18.9,19.01,19.36,18.9,17972,34936807.0,2.4,-0.99,-0.19,1.8
2025-02-26,603090,19.09,18.98,19.35,18.85,22428,43341448.0,2.63,-0.16,-0.03,2.24
2025-02-27,603090,18.94,18.7,19.06,18.23,29281,55279451.0,4.37,-1.48,-0.28,2.93
2025-02-28,603090,18.75,18.42,18.89,18.28,19162,36043877.0,3.26,-1.5,-0.28,1.92
2025-03-03,603090,18.54,18.41,18.85,18.26,18339,34679682.0,3.2,-0.05,-0.01,1.83
2025-03-04,603090,18.48,19.22,19.67,18.31,34196,66642820.0,7.39,4.4,0.81,3.42
2025-03-05,603090,19.18,19.04,19.33,18.72,17685,34139322.0,3.17,-0.94,-0.18,1.77
2025-03-06,603090,18.9,19.48,19.58,18.81,26993,53149002.0,4.04,2.31,0.44,2.7
2025-03-07,603090,19.59,20.21,20.5,19.17,49284,99845588.0,6.83,3.75,0.73,4.93
2025-03-10,603090,20.45,19.83,20.45,19.66,22055,44508085.0,3.91,-1.88,-0.38,2.21
2025-03-11,603090,19.69,19.87,19.88,19.3,23110,45891619.0,2.92,0.2,0.04,2.31
2025-03-12,603090,20.33,20.29,20.75,19.86,34395,70991494.0,4.48,2.11,0.42,3.44
2025-03-13,603090,20.29,19.76,20.29,19.29,28059,56008423.0,4.93,-2.61,-0.53,2.81
2025-03-14,603090,19.76,20.05,20.17,19.39,21698,43668455.0,3.95,1.47,0.29,2.17
2025-03-17,603090,19.95,20.26,20.36,19.73,19291,39279773.0,3.14,1.05,0.21,1.93
2025-03-18,603090,20.26,22.32,22.32,20.26,35219,77046748.0,10.17,10.17,2.06,3.52
2025-03-19,603090,22.42,21.55,22.71,21.41,100397,222198725.0,5.82,-3.45,-0.77,10.04
2025-03-20,603090,21.92,21.98,22.38,21.49,75805,168672880.0,4.13,2.0,0.43,7.58
2025-03-21,603090,21.7,22.6,23.66,21.45,85555,192490384.0,10.05,2.82,0.62,8.56
2025-03-24,603090,22.4,24.89,24.89,22.0,109280,258271414.0,12.79,10.13,2.29,10.93
2025-03-25,603090,23.36,23.22,23.99,22.83,81353,192380089.0,4.66,-6.71,-1.67,8.14
2025-03-26,603090,22.92,25.57,25.57,22.2,90257,221405796.0,14.51,10.12,2.35,9.03
2025-03-27,603090,25.57,24.72,27.42,24.03,113281,291177067.0,13.26,-3.32,-0.85,11.33
2025-03-28,603090,23.83,23.94,25.2,23.54,62612,153028112.0,6.72,-3.16,-0.78,6.26
2025-03-31,603090,23.4,22.03,24.0,21.53,61677,140008029.0,10.32,-7.98,-1.91,6.17
2025-04-01,603090,22.0,22.22,22.47,21.55,43927,97725179.0,4.18,0.86,0.19,4.39
2025-04-02,603090,22.0,22.6,22.65,21.6,35625,80575960.0,4.73,1.71,0.38,3.56
2025-04-03,603090,22.2,21.75,22.59,21.53,36969,82416033.0,4.69,-3.76,-0.85,3.7
2025-04-07,603090,19.56,19.55,20.31,19.55,13506,26903515.0,3.49,-10.11,-2.2,1.35
2025-04-08,603090,17.63,17.89,18.7,17.57,53755,97298386.0,5.78,-8.49,-1.66,5.38
2025-04-09,603090,18.17,19.05,19.42,16.22,47365,87367133.0,17.89,6.48,1.16,4.74
2025-04-10,603090,19.51,19.2,19.94,18.98,40824,80492176.0,5.04,0.79,0.15,4.08
2025-04-11,603090,18.84,19.31,19.5,18.83,22169,43476239.0,3.49,0.57,0.11,2.22
2025-04-14,603090,19.8,20.28,20.62,19.61,29863,61522369.0,5.23,5.02,0.97,2.99
2025-04-15,603090,20.64,22.34,22.34,20.25,56697,124860364.0,10.31,10.16,2.06,5.67
2025-04-16,603090,22.03,23.2,23.77,21.99,82574,193328659.0,7.97,3.85,0.86,8.26
2025-04-17,603090,23.2,24.3,24.7,22.7,77394,183792837.0,8.62,4.74,1.1,7.74
2025-04-18,603090,24.0,23.58,24.13,23.41,44942,108143986.0,2.96,-2.96,-0.72,4.49
2025-04-21,603090,23.36,25.19,25.7,23.2,71991,182137813.0,10.6,6.83,1.61,7.2
2025-04-22,603090,25.2,25.39,25.58,24.97,36211,92611552.0,2.42,0.79,0.2,3.62
2025-04-23,603090,25.5,25.2,25.88,24.96,28016,71689787.0,3.62,-0.75,-0.19,2.8
2025-04-24,603090,25.19,24.98,26.18,24.9,29229,74681572.0,5.08,-0.87,-0.22,2.92
2025-04-25,603090,24.91,24.23,25.22,23.31,54347,132594902.0,7.65,-3.0,-0.75,5.43
2025-04-28,603090,24.23,24.56,25.63,23.9,43035,108708453.0,7.14,1.36,0.33,4.3
2025-04-29,603090,24.56,24.46,24.79,24.17,24518,60598172.0,2.52,-0.41,-0.1,2.45
2025-04-30,603090,24.6,24.28,24.6,24.1,16079,39593857.0,2.04,-0.74,-0.18,1.61
2025-05-06,603090,25.19,24.74,25.2,24.3,23707,58958890.0,3.71,1.89,0.46,2.37
2025-05-07,603090,24.85,24.69,25.69,24.42,33832,85288102.0,5.13,-0.2,-0.05,3.38
2025-05-08,603090,24.88,24.7,25.0,24.44,22937,57329437.0,2.27,0.04,0.01,2.29
2025-05-09,603090,24.58,24.17,24.69,23.88,20736,50922383.0,3.28,-2.15,-0.53,2.07
2025-05-12,603090,24.58,24.23,24.7,23.9,32465,79916882.0,3.31,0.25,0.06,3.25
2025-05-13,603090,24.57,24.0,24.98,23.9,20526,50400014.0,4.46,-0.95,-0.23,2.05
2025-05-14,603090,24.03,23.47,24.1,23.11,21508,51330243.0,4.13,-2.21,-0.53,2.15
2025-05-15,603090,23.38,23.28,23.68,22.96,18438,43463720.0,3.07,-0.81,-0.19,1.84
2025-05-16,603090,23.28,23.4,23.61,23.0,18717,43632507.0,2.62,0.52,0.12,1.87
2025-05-19,603090,23.39,23.09,23.49,22.85,18576,42906661.0,2.74,-1.32,-0.31,1.86
2025-05-20,603090,23.09,24.36,24.77,23.0,46009,111130032.0,7.67,5.5,1.27,4.6
2025-05-21,603090,24.16,23.87,24.72,23.75,23965,57694301.0,3.98,-2.01,-0.49,2.4
2025-05-22,603090,23.73,24.78,25.47,23.69,51868,128691378.0,7.46,3.81,0.91,5.19
2025-05-23,603090,24.6,23.26,24.9,22.97,47561,113870328.0,7.79,-6.13,-1.52,4.76
2025-05-26,603090,23.33,22.98,23.93,22.93,31690,73867440.0,4.3,-1.2,-0.28,3.17
2025-05-27,603090,23.06,22.98,23.22,22.3,22516,51495816.0,4.0,0.0,0.0,2.25
2025-05-28,603090,23.23,22.72,23.49,22.66,18180,41767073.0,3.61,-1.13,-0.26,1.82
2025-05-29,603090,22.7,23.39,23.8,22.52,28390,66270346.0,5.63,2.95,0.67,2.84
2025-05-30,603090,23.43,23.85,24.4,22.62,42748,100977314.0,7.61,1.97,0.46,4.27
2025-06-03,603090,23.55,24.91,25.78,23.35,49079,121570369.0,10.19,4.44,1.06,4.91
2025-06-04,603090,24.96,25.2,25.41,24.8,38221,95891606.0,2.45,1.16,0.29,3.82
2025-06-05,603090,25.2,25.55,25.93,25.03,39888,101917024.0,3.57,1.39,0.35,3.99
2025-06-06,603090,25.48,24.59,25.84,24.53,42712,107238915.0,5.13,-3.76,-0.96,4.27
2025-06-09,603090,24.6,25.85,26.15,24.6,55204,140756187.0,6.3,5.12,1.26,5.52
2025-06-10,603090,25.88,25.1,26.02,24.6,35398,89194502.0,5.49,-2.9,-0.75,3.54
2025-06-11,603090,24.88,24.79,25.39,24.7,26581,66340188.0,2.75,-1.24,-0.31,2.66
2025-06-12,603090,24.55,25.16,25.89,24.55,34676,88023610.0,5.41,1.49,0.37,3.47
2025-06-13,603090,25.57,24.26,25.67,23.7,49735,120296931.0,7.83,-3.58,-0.9,4.97
2025-06-16,603090,23.83,24.29,24.8,23.83,24641,60112260.0,4.0,0.12,0.03,2.46
2025-06-17,603090,24.46,23.97,24.6,23.74,19334,46635726.0,3.54,-1.32,-0.32,1.93
2025-06-18,603090,24.0,23.39,24.15,23.25,19352,45506678.0,3.75,-2.42,-0.58,1.94
2025-06-19,603090,23.4,22.76,23.55,22.68,16758,38610146.0,3.72,-2.69,-0.63,1.68
2025-06-20,603090,22.66,22.46,23.2,22.28,17395,39181124.0,4.04,-1.32,-0.3,1.74
2025-06-23,603090,22.55,22.7,22.91,22.0,25911,58233449.0,4.05,1.07,0.24,2.59
2025-06-24,603090,22.96,23.5,23.55,22.81,20410,47452232.0,3.26,3.52,0.8,2.04
2025-06-25,603090,23.48,23.48,23.9,23.15,25744,60469924.0,3.19,-0.09,-0.02,2.57
2025-06-26,603090,23.62,23.0,23.67,22.8,23480,54290588.0,3.71,-2.04,-0.48,2.35
2025-06-27,603090,23.02,23.96,24.0,22.87,29397,69759030.0,4.91,4.17,0.96,2.94
2025-06-30,603090,23.96,24.37,24.6,23.73,27564,66708103.0,3.63,1.71,0.41,2.76
2025-07-01,603090,24.3,24.46,24.94,24.2,20153,49341641.0,3.04,0.37,0.09,2.02
2025-07-02,603090,24.3,24.24,24.63,24.09,18587,45209764.0,2.21,-0.9,-0.22,1.86
2025-07-03,603090,24.25,24.52,24.7,24.08,20456,50000582.0,2.56,1.16,0.28,2.05
2025-07-04,603090,24.66,24.2,24.98,24.13,19576,47887306.0,3.47,-1.31,-0.32,1.96
2025-07-07,603090,24.1,24.19,24.3,23.97,13612,32812886.0,1.36,-0.04,-0.01,1.36
2025-07-08,603090,24.18,24.28,24.47,24.02,20394,49525001.0,1.86,0.37,0.09,2.04
2025-07-09,603090,24.4,24.44,24.63,23.96,26953,65519245.0,2.76,0.66,0.16,2.7
2025-07-10,603090,24.2,23.97,24.67,23.89,24510,59263462.0,3.19,-1.92,-0.47,2.45
