日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603105,8.79,8.32,8.79,8.23,236949,205525033.0,6.36,-5.56,-0.49,4.74
2025-01-03,603105,8.25,7.93,8.37,7.92,149090,124432765.0,5.41,-4.69,-0.39,2.98
2025-01-06,603105,7.96,8.06,8.29,7.74,123756,102099784.0,6.94,1.64,0.13,2.48
2025-01-07,603105,8.05,8.2,8.2,7.93,100220,82859499.0,3.35,1.74,0.14,2.0
2025-01-08,603105,8.17,8.03,8.18,7.82,103103,84630650.0,4.39,-2.07,-0.17,2.06
2025-01-09,603105,7.96,7.98,8.14,7.95,65789,54129291.0,2.37,-0.62,-0.05,1.32
2025-01-10,603105,7.98,7.6,7.99,7.6,118615,94569232.0,4.89,-4.76,-0.38,2.37
2025-01-13,603105,7.52,7.58,7.62,7.33,66614,51408254.0,3.82,-0.26,-0.02,1.33
2025-01-14,603105,7.65,7.93,7.93,7.6,95774,76531881.0,4.35,4.62,0.35,1.92
2025-01-15,603105,7.94,7.91,8.01,7.79,77603,62828481.0,2.77,-0.25,-0.02,1.55
2025-01-16,603105,7.91,7.99,8.1,7.9,71716,58789944.0,2.53,1.01,0.08,1.43
2025-01-17,603105,7.95,7.96,8.01,7.88,53989,44019597.0,1.63,-0.38,-0.03,1.08
2025-01-20,603105,8.0,8.05,8.09,7.96,65123,53683705.0,1.63,1.13,0.09,1.3
2025-01-21,603105,8.08,8.0,8.12,7.91,55321,45273528.0,2.61,-0.62,-0.05,1.11
2025-01-22,603105,7.97,8.06,8.25,7.94,99476,82244266.0,3.88,0.75,0.06,1.99
2025-01-23,603105,8.12,8.06,8.2,8.05,100271,83563069.0,1.86,0.0,0.0,2.01
2025-01-24,603105,8.06,8.13,8.14,8.0,62841,52031291.0,1.74,0.87,0.07,1.26
2025-01-27,603105,8.1,8.13,8.23,8.1,66407,55598719.0,1.6,0.0,0.0,1.33
2025-02-05,603105,8.19,8.14,8.24,8.1,53896,45045545.0,1.72,0.12,0.01,1.08
2025-02-06,603105,8.14,8.25,8.25,8.06,78702,65868790.0,2.33,1.35,0.11,1.57
2025-02-07,603105,8.24,8.35,8.45,8.24,124102,106211852.0,2.55,1.21,0.1,2.48
2025-02-10,603105,8.44,8.43,8.45,8.33,85519,73580837.0,1.44,0.96,0.08,1.71
2025-02-11,603105,8.56,8.41,8.56,8.32,92679,79615723.0,2.85,-0.24,-0.02,1.85
2025-02-12,603105,8.4,8.45,8.48,8.36,82734,71420240.0,1.43,0.48,0.04,1.65
2025-02-13,603105,8.41,8.26,8.43,8.25,87591,74592733.0,2.13,-2.25,-0.19,1.75
