日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603131,16.95,16.56,17.24,16.44,65765,110855616.0,4.72,-2.36,-0.4,2.07
2025-01-03,603131,16.57,16.7,17.07,16.15,95690,159823103.0,5.56,0.85,0.14,3.01
2025-01-06,603131,16.52,16.46,16.91,16.22,56405,93435838.0,4.13,-1.44,-0.24,1.77
2025-01-07,603131,16.53,16.84,16.84,16.39,47586,79045660.0,2.73,2.31,0.38,1.5
2025-01-08,603131,16.74,16.82,16.9,16.27,61939,103269165.0,3.74,-0.12,-0.02,1.95
2025-01-09,603131,16.77,16.92,17.15,16.65,56805,96298066.0,2.97,0.59,0.1,1.79
2025-01-10,603131,16.92,16.37,17.07,16.37,54777,91940689.0,4.14,-3.25,-0.55,1.72
2025-01-13,603131,16.19,16.44,16.65,15.74,47586,77508535.0,5.56,0.43,0.07,1.5
2025-01-14,603131,16.49,17.26,17.26,16.49,84871,144469229.0,4.68,4.99,0.82,2.67
2025-01-15,603131,17.2,17.19,17.37,17.14,52117,89965260.0,1.33,-0.41,-0.07,1.64
2025-01-16,603131,17.19,17.55,17.82,17.17,103598,181841316.0,3.78,2.09,0.36,3.26
2025-01-17,603131,17.49,17.53,17.79,17.25,57119,99957911.0,3.08,-0.11,-0.02,1.8
2025-01-20,603131,17.69,17.62,17.8,17.39,42975,75692007.0,2.34,0.51,0.09,1.35
2025-01-21,603131,17.74,17.63,17.76,17.4,44819,78871306.0,2.04,0.06,0.01,1.41
2025-01-22,603131,17.66,17.69,17.85,17.52,55390,98126146.0,1.87,0.34,0.06,1.74
2025-01-23,603131,17.92,17.53,18.08,17.51,57986,103647341.0,3.22,-0.9,-0.16,1.82
2025-01-24,603131,17.59,17.72,17.79,17.44,48485,85314687.0,2.0,1.08,0.19,1.52
2025-01-27,603131,17.79,17.46,17.87,17.45,36199,64002017.0,2.37,-1.47,-0.26,1.14
2025-02-05,603131,17.58,17.81,17.97,17.46,52195,92598294.0,2.92,2.0,0.35,1.64
2025-02-06,603131,17.77,18.32,18.41,17.68,83158,151614088.0,4.1,2.86,0.51,2.62
2025-02-07,603131,18.45,18.77,18.84,18.27,117398,218993847.0,3.11,2.46,0.45,3.69
2025-02-10,603131,18.65,18.99,19.14,18.6,80703,152126967.0,2.88,1.17,0.22,2.54
2025-02-11,603131,18.99,18.73,18.99,18.64,56761,106493763.0,1.84,-1.37,-0.26,1.78
2025-02-12,603131,18.69,18.92,18.99,18.6,59417,112066085.0,2.08,1.01,0.19,1.87
2025-02-13,603131,18.92,18.56,18.99,18.49,62534,116975332.0,2.64,-1.9,-0.36,1.97
2025-02-14,603131,18.43,18.57,18.67,18.4,49363,91679574.0,1.45,0.05,0.01,1.55
2025-02-17,603131,18.41,18.62,18.74,18.41,52710,97870290.0,1.78,0.27,0.05,1.66
2025-02-18,603131,18.62,17.98,18.66,17.91,59087,108157240.0,4.03,-3.44,-0.64,1.86
2025-02-19,603131,17.97,18.38,18.41,17.89,49232,90184880.0,2.89,2.22,0.4,1.55
2025-02-20,603131,18.44,19.49,20.22,18.38,225478,440237534.0,10.01,6.04,1.11,7.09
2025-02-21,603131,19.19,19.55,19.73,19.05,158682,308565003.0,3.49,0.31,0.06,4.99
2025-02-24,603131,19.49,19.76,20.09,19.25,123786,243319557.0,4.3,1.07,0.21,3.89
2025-02-25,603131,19.44,19.59,19.94,19.39,100778,198762895.0,2.78,-0.86,-0.17,3.17
2025-02-26,603131,19.47,20.23,20.49,19.42,168640,338840282.0,5.46,3.27,0.64,5.3
2025-02-27,603131,20.23,19.9,20.44,19.6,115069,229965663.0,4.15,-1.63,-0.33,3.62
2025-02-28,603131,19.58,18.43,19.75,18.38,149262,282856250.0,6.88,-7.39,-1.47,4.69
2025-03-03,603131,18.43,18.48,18.96,18.3,83953,156408697.0,3.58,0.27,0.05,2.64
2025-03-04,603131,18.37,19.03,19.07,18.31,78729,148703182.0,4.11,2.98,0.55,2.48
2025-03-05,603131,19.05,19.89,20.0,19.05,143032,281911059.0,4.99,4.52,0.86,4.5
2025-03-06,603131,19.94,20.18,20.37,19.75,169622,341825924.0,3.12,1.46,0.29,5.33
2025-03-07,603131,20.1,20.24,20.62,20.06,161622,329194087.0,2.78,0.3,0.06,5.08
2025-03-10,603131,20.26,20.29,20.75,20.17,130652,266838809.0,2.87,0.25,0.05,4.11
2025-03-11,603131,19.99,20.21,20.59,19.89,109031,221121744.0,3.45,-0.39,-0.08,3.43
2025-03-12,603131,20.29,19.94,20.53,19.88,97201,195770221.0,3.22,-1.34,-0.27,3.06
2025-03-13,603131,19.97,19.49,20.05,19.07,117380,228298713.0,4.91,-2.26,-0.45,3.69
2025-03-14,603131,19.44,19.69,20.04,19.14,113617,223232287.0,4.62,1.03,0.2,3.57
2025-03-17,603131,19.74,19.68,19.92,19.55,69692,137575526.0,1.88,-0.05,-0.01,2.19
2025-03-18,603131,19.65,19.47,19.83,19.4,61233,119869671.0,2.18,-1.07,-0.21,1.93
2025-03-19,603131,19.35,19.42,19.65,19.29,55132,107400495.0,1.85,-0.26,-0.05,1.73
2025-03-20,603131,19.31,20.03,20.23,19.1,136244,270963313.0,5.82,3.14,0.61,4.28
2025-03-21,603131,20.11,20.74,21.57,19.87,312022,643272548.0,8.49,3.54,0.71,9.81
2025-03-24,603131,21.25,20.21,21.25,19.38,239208,481676117.0,9.02,-2.56,-0.53,7.52
2025-03-25,603131,19.77,19.38,20.69,19.38,215997,434303845.0,6.48,-4.11,-0.83,6.79
2025-03-26,603131,19.02,19.16,19.59,18.86,143547,275476278.0,3.77,-1.14,-0.22,4.51
2025-03-27,603131,19.08,18.57,19.12,18.47,110612,207303225.0,3.39,-3.08,-0.59,3.48
2025-03-28,603131,18.61,17.82,18.76,17.79,115606,209225489.0,5.22,-4.04,-0.75,3.64
