日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603267,35.81,34.36,35.83,33.88,46772,164617311.0,5.42,-4.45,-1.6,2.02
2025-01-03,603267,34.43,33.71,34.81,33.68,33948,117185158.0,3.29,-1.89,-0.65,1.47
2025-01-06,603267,33.73,33.23,34.15,32.92,31083,104846875.0,3.65,-1.42,-0.48,1.35
2025-01-07,603267,33.23,33.66,33.68,33.08,28782,96854244.0,1.81,1.29,0.43,1.25
2025-01-08,603267,33.57,33.29,33.7,32.17,34823,115572967.0,4.55,-1.1,-0.37,1.51
2025-01-09,603267,33.07,33.43,33.8,32.78,29072,98287475.0,3.06,0.42,0.14,1.26
2025-01-10,603267,33.3,32.52,34.12,32.52,26544,89120626.0,4.79,-2.72,-0.91,1.15
2025-01-13,603267,32.38,32.85,33.12,31.88,21263,69858124.0,3.81,1.01,0.33,0.92
2025-01-14,603267,33.51,34.14,34.23,32.75,31946,108619467.0,4.51,3.93,1.29,1.38
2025-01-15,603267,34.13,34.34,34.42,33.58,32548,111473298.0,2.46,0.59,0.2,1.41
2025-01-16,603267,34.49,34.18,35.31,33.88,26456,92115818.0,4.16,-0.47,-0.16,1.14
2025-01-17,603267,34.0,35.24,35.49,33.91,36565,128767717.0,4.62,3.1,1.06,1.58
2025-01-20,603267,34.73,36.5,36.86,34.66,54313,196639957.0,6.24,3.58,1.26,2.35
2025-01-21,603267,36.59,36.25,36.83,35.66,27074,98394534.0,3.21,-0.68,-0.25,1.17
2025-01-22,603267,35.93,35.45,36.16,35.19,18329,65675962.0,2.68,-2.21,-0.8,0.79
2025-01-23,603267,35.66,35.19,36.17,35.13,21889,78678385.0,2.93,-0.73,-0.26,0.95
2025-01-24,603267,35.14,35.64,35.64,34.91,18343,65397651.0,2.07,1.28,0.45,0.79
2025-01-27,603267,35.74,34.71,35.95,34.71,16107,57100842.0,3.48,-2.61,-0.93,0.7
2025-02-05,603267,34.89,34.92,35.33,34.7,19934,70404971.0,1.82,0.61,0.21,0.86
2025-02-06,603267,34.8,36.23,36.29,34.63,31966,115404479.0,4.75,3.75,1.31,1.38
2025-02-07,603267,36.34,36.31,36.8,35.78,28440,104080231.0,2.82,0.22,0.08,1.23
2025-02-10,603267,36.37,36.93,37.43,35.93,33751,125123795.0,4.13,1.71,0.62,1.46
2025-02-11,603267,36.93,36.34,36.93,36.18,22849,83727945.0,2.03,-1.6,-0.59,0.99
2025-02-12,603267,36.15,36.76,36.76,36.11,23292,85393738.0,1.79,1.16,0.42,1.01
2025-02-13,603267,36.63,35.8,36.68,35.75,27470,100057970.0,2.53,-2.61,-0.96,1.19
2025-02-14,603267,35.74,35.9,36.03,35.43,19881,71558060.0,1.68,0.28,0.1,0.86
2025-02-17,603267,35.94,35.72,36.2,35.52,21628,77866199.0,1.89,-0.5,-0.18,0.94
2025-02-18,603267,35.63,34.15,35.99,33.92,42116,148130633.0,5.8,-4.4,-1.57,1.82
2025-02-19,603267,34.14,35.46,35.53,34.1,32345,113850944.0,4.19,3.84,1.31,1.4
2025-02-20,603267,35.76,37.48,38.23,35.6,93820,351134202.0,7.42,5.7,2.02,4.06
2025-02-21,603267,37.25,37.83,37.88,36.74,48437,182280789.0,3.04,0.93,0.35,2.1
2025-02-24,603267,37.13,37.38,37.77,37.11,33045,124583928.0,1.74,-1.19,-0.45,1.43
2025-02-25,603267,36.93,37.33,37.7,36.54,30394,114156340.0,3.1,-0.13,-0.05,1.32
2025-02-26,603267,37.32,40.55,40.88,37.23,123859,498033339.0,9.78,8.63,3.22,5.36
2025-02-27,603267,40.22,40.83,40.93,39.76,80678,328428399.0,2.89,0.69,0.28,3.49
2025-02-28,603267,40.73,39.25,41.1,39.11,56859,229869661.0,4.87,-3.87,-1.58,2.46
2025-03-03,603267,39.23,39.93,40.73,39.23,55061,223149679.0,3.82,1.73,0.68,2.38
