日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603278,7.55,7.78,8.12,7.5,216380,169756861.0,8.17,2.5,0.19,6.33
2025-01-03,603278,7.77,7.41,7.83,7.36,155342,116662175.0,6.04,-4.76,-0.37,4.55
2025-01-06,603278,7.42,7.54,7.68,7.2,134033,100554334.0,6.48,1.75,0.13,3.92
2025-01-07,603278,7.56,7.56,7.62,7.27,127045,94428593.0,4.64,0.27,0.02,3.72
2025-01-08,603278,7.51,7.82,7.87,7.33,188628,143660882.0,7.14,3.44,0.26,5.52
2025-01-09,603278,7.75,8.15,8.22,7.68,275000,221643155.0,6.91,4.22,0.33,8.05
2025-01-10,603278,8.17,7.97,8.5,7.95,300594,247375725.0,6.75,-2.21,-0.18,8.8
2025-01-13,603278,7.75,8.36,8.6,7.66,330722,272917085.0,11.79,4.89,0.39,9.68
2025-01-14,603278,8.32,8.71,8.78,8.1,336451,285347489.0,8.13,4.19,0.35,9.84
2025-01-15,603278,8.6,8.63,8.92,8.54,240680,209871302.0,4.36,-0.92,-0.08,7.04
2025-01-16,603278,8.53,8.65,9.0,8.51,209007,181866162.0,5.68,0.23,0.02,6.12
2025-01-17,603278,8.5,8.37,8.86,8.31,216641,185431574.0,6.36,-3.24,-0.28,6.34
2025-01-20,603278,8.48,8.39,8.7,8.21,164016,137934471.0,5.85,0.24,0.02,4.8
2025-01-21,603278,8.44,8.36,8.64,8.15,127553,106490003.0,5.84,-0.36,-0.03,3.73
2025-01-22,603278,8.25,8.78,9.2,8.13,420722,368886821.0,12.8,5.02,0.42,12.31
2025-01-23,603278,8.7,9.66,9.66,8.68,731371,690637521.0,11.16,10.02,0.88,21.4
2025-01-24,603278,9.4,9.37,9.49,8.69,573050,519397672.0,8.28,-3.0,-0.29,16.77
2025-01-27,603278,9.06,8.62,9.17,8.43,260015,227350026.0,7.9,-8.0,-0.75,7.61
2025-02-05,603278,8.63,8.73,9.0,8.21,304276,259457703.0,9.16,1.28,0.11,8.9
2025-02-06,603278,8.51,9.6,9.6,8.51,193338,179696655.0,12.49,9.97,0.87,5.66
2025-02-07,603278,9.59,9.72,10.0,9.34,536555,520951711.0,6.88,1.25,0.12,15.7
2025-02-10,603278,9.63,9.98,10.13,9.38,418669,408368524.0,7.72,2.67,0.26,12.25
2025-02-11,603278,10.2,10.38,10.98,10.0,651215,683921016.0,9.82,4.01,0.4,19.05
2025-02-12,603278,10.2,10.05,10.55,9.95,435127,441894551.0,5.78,-3.18,-0.33,12.73
2025-02-13,603278,10.62,11.06,11.06,10.62,493705,541363193.0,4.38,10.05,1.01,14.45
2025-02-14,603278,10.67,11.03,11.24,10.43,558261,605306159.0,7.32,-0.27,-0.03,16.33
2025-02-17,603278,11.39,11.57,12.13,10.77,524499,600857761.0,12.33,4.9,0.54,15.35
2025-02-18,603278,11.08,11.23,11.63,10.98,460596,516528204.0,5.62,-2.94,-0.34,13.48
2025-02-19,603278,11.12,11.69,12.0,10.9,507880,591424579.0,9.8,4.1,0.46,14.86
2025-02-20,603278,11.7,11.42,12.28,11.37,450461,531712837.0,7.78,-2.31,-0.27,13.18
2025-02-21,603278,10.97,10.66,11.25,10.32,600863,642134256.0,8.14,-6.65,-0.76,17.58
2025-02-24,603278,10.7,10.51,10.83,10.03,395756,406014314.0,7.5,-1.41,-0.15,11.58
2025-02-25,603278,10.29,11.56,11.56,10.22,247555,278665492.0,12.75,9.99,1.05,7.24
2025-02-26,603278,11.43,12.71,12.72,11.11,790560,949842050.0,13.93,9.95,1.15,23.13
2025-02-27,603278,12.37,13.98,13.98,12.35,765188,1020483372.0,12.82,9.99,1.27,22.39
2025-02-28,603278,13.4,12.58,14.44,12.58,442648,584533891.0,13.3,-10.01,-1.4,12.95
2025-03-03,603278,12.19,11.7,12.58,11.51,461441,550876833.0,8.51,-7.0,-0.88,13.5
2025-03-04,603278,11.71,12.25,12.87,11.69,489661,604696087.0,10.09,4.7,0.55,14.33
2025-03-05,603278,12.26,13.35,13.48,12.11,675239,878416250.0,11.18,8.98,1.1,19.76
2025-03-06,603278,13.05,13.66,14.58,13.05,597292,826369255.0,11.46,2.32,0.31,17.48
2025-03-07,603278,13.75,13.57,14.2,13.35,401661,552822531.0,6.22,-0.66,-0.09,11.75
2025-03-10,603278,13.81,12.92,14.0,12.65,327903,428655031.0,9.95,-4.79,-0.65,9.59
2025-03-11,603278,12.79,12.56,12.99,12.09,354371,439567623.0,6.97,-2.79,-0.36,10.37
2025-03-12,603278,12.62,12.39,12.96,12.3,329445,416111143.0,5.25,-1.35,-0.17,9.64
2025-03-13,603278,12.24,11.16,12.24,11.15,462378,530729881.0,8.8,-9.93,-1.23,13.53
2025-03-14,603278,11.03,11.61,11.79,10.72,366450,409512859.0,9.59,4.03,0.45,10.72
2025-03-17,603278,11.66,11.72,11.82,11.51,217129,253411790.0,2.67,0.95,0.11,6.35
2025-03-18,603278,11.69,11.96,12.23,11.46,388401,460273176.0,6.57,2.05,0.24,11.36
2025-03-19,603278,11.69,11.64,11.95,11.41,217582,253377135.0,4.52,-2.68,-0.32,6.37
2025-03-20,603278,11.61,12.8,12.8,11.35,650389,807307847.0,12.46,9.97,1.16,19.03
2025-03-21,603278,12.8,11.93,12.8,11.79,489901,592044880.0,7.89,-6.8,-0.87,14.33
2025-03-24,603278,11.5,11.02,11.79,10.74,287167,319326537.0,8.8,-7.63,-0.91,8.4
2025-03-25,603278,11.04,11.2,11.5,10.8,232880,259508121.0,6.35,1.63,0.18,6.81
2025-03-26,603278,11.21,11.14,11.65,10.97,230738,258578235.0,6.07,-0.54,-0.06,6.75
2025-03-27,603278,11.0,10.09,11.0,10.03,278807,286352526.0,8.71,-9.43,-1.05,8.16
2025-03-28,603278,10.14,9.87,10.44,9.8,197558,197009525.0,6.34,-2.18,-0.22,5.78
2025-03-31,603278,9.78,9.47,9.78,9.1,190483,176966926.0,6.89,-4.05,-0.4,5.57
2025-04-01,603278,9.56,9.75,9.95,9.37,189591,181159773.0,6.12,2.96,0.28,5.55
2025-04-02,603278,9.47,9.36,9.56,9.28,141036,132806890.0,2.87,-4.0,-0.39,4.13
2025-04-03,603278,9.08,9.17,9.5,9.01,151912,140065452.0,5.24,-2.03,-0.19,4.44
2025-04-07,603278,8.49,8.25,8.6,8.25,102135,84698099.0,3.82,-10.03,-0.92,2.99
2025-04-08,603278,8.0,7.89,8.18,7.7,154038,121775586.0,5.82,-4.36,-0.36,4.51
2025-04-09,603278,7.79,8.2,8.25,7.21,173273,135742318.0,13.18,3.93,0.31,5.07
2025-04-10,603278,8.37,8.65,8.92,8.37,158000,137307770.0,6.71,5.49,0.45,4.62
2025-04-11,603278,8.57,8.97,9.1,8.5,143127,126945963.0,6.94,3.7,0.32,4.19
2025-04-14,603278,9.1,9.07,9.23,9.0,112098,102108270.0,2.56,1.11,0.1,3.28
2025-04-15,603278,9.01,9.14,9.22,8.91,91103,82554602.0,3.42,0.77,0.07,2.67
2025-04-16,603278,9.1,8.88,9.22,8.72,85738,76583458.0,5.47,-2.84,-0.26,2.51
2025-04-17,603278,8.87,9.18,9.46,8.87,156633,145350026.0,6.64,3.38,0.3,4.58
2025-04-18,603278,9.35,8.86,9.4,8.83,113164,101650080.0,6.21,-3.49,-0.32,3.31
2025-04-21,603278,8.84,9.0,9.05,8.71,89249,79736124.0,3.84,1.58,0.14,2.61
2025-04-22,603278,9.07,9.15,9.63,8.94,182207,168984726.0,7.67,1.67,0.15,5.33
2025-04-23,603278,9.7,9.79,10.07,9.58,371952,366511737.0,5.36,6.99,0.64,10.88
2025-04-24,603278,9.49,9.08,9.74,9.07,265130,248419650.0,6.84,-7.25,-0.71,7.76
2025-04-25,603278,9.18,8.99,9.33,8.88,150315,136228177.0,4.96,-0.99,-0.09,4.4
2025-04-28,603278,8.99,8.71,9.03,8.59,194145,169231599.0,4.89,-3.11,-0.28,5.68
