日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603279,16.89,16.36,16.99,16.2,38080,66560522.0,4.65,-3.65,-0.62,0.67
2025-01-03,603279,16.37,16.16,16.58,16.11,45094,77669267.0,2.87,-1.22,-0.2,0.79
2025-01-06,603279,16.16,16.14,16.35,16.0,33720,57581590.0,2.17,-0.12,-0.02,0.59
2025-01-07,603279,16.13,16.09,16.3,16.04,32369,55147143.0,1.61,-0.31,-0.05,0.57
2025-01-08,603279,16.09,15.6,16.19,15.36,56056,92803872.0,5.16,-3.05,-0.49,0.98
2025-01-09,603279,15.58,15.46,15.6,15.11,48773,79187461.0,3.14,-0.9,-0.14,0.85
2025-01-10,603279,15.42,15.35,15.57,15.17,32031,52179733.0,2.59,-0.71,-0.11,0.56
2025-01-13,603279,15.21,15.27,15.47,15.16,24361,39442652.0,2.02,-0.52,-0.08,0.43
2025-01-14,603279,15.27,15.9,15.9,15.22,35727,59307215.0,4.45,4.13,0.63,0.62
2025-01-15,603279,15.93,15.97,16.05,15.76,32694,55047652.0,1.82,0.44,0.07,0.57
2025-01-16,603279,15.97,15.77,16.21,15.75,29270,49418016.0,2.88,-1.25,-0.2,0.51
2025-01-17,603279,15.68,15.9,16.02,15.61,21214,35523441.0,2.6,0.82,0.13,0.37
2025-01-20,603279,15.91,15.77,16.2,15.75,29287,49313258.0,2.83,-0.82,-0.13,0.51
2025-01-21,603279,15.84,15.52,15.93,15.44,29571,48685520.0,3.11,-1.59,-0.25,0.52
2025-01-22,603279,15.43,15.42,15.63,15.31,26172,42756523.0,2.06,-0.64,-0.1,0.46
2025-01-23,603279,15.61,15.47,15.8,15.33,37488,61681144.0,3.05,0.32,0.05,0.66
2025-01-24,603279,15.43,15.78,15.79,15.4,33964,56303768.0,2.52,2.0,0.31,0.59
2025-01-27,603279,15.79,15.9,16.08,15.79,20442,34465271.0,1.84,0.76,0.12,0.36
2025-02-05,603279,16.03,15.66,16.06,15.58,27888,46501846.0,3.02,-1.51,-0.24,0.49
2025-02-06,603279,15.48,15.73,15.75,15.42,27387,45259817.0,2.11,0.45,0.07,0.48
2025-02-07,603279,15.73,15.8,16.0,15.64,47166,78776196.0,2.29,0.45,0.07,0.82
2025-02-10,603279,15.81,15.98,16.13,15.68,49710,83440822.0,2.85,1.14,0.18,0.87
2025-02-11,603279,15.95,15.83,16.15,15.71,47946,80433006.0,2.75,-0.94,-0.15,0.84
2025-02-12,603279,15.83,15.8,15.89,15.69,47361,79041229.0,1.26,-0.19,-0.03,0.83
2025-02-13,603279,15.78,15.72,15.88,15.68,38757,64646296.0,1.27,-0.51,-0.08,0.68
2025-02-14,603279,15.72,15.86,16.03,15.72,29198,48963351.0,1.97,0.89,0.14,0.51
2025-02-17,603279,15.86,15.58,15.96,15.48,51557,85142816.0,3.03,-1.77,-0.28,0.9
2025-02-18,603279,15.57,15.42,15.72,15.35,39362,64639156.0,2.37,-1.03,-0.16,0.69
2025-02-19,603279,15.42,15.67,15.73,15.35,34284,56488292.0,2.46,1.62,0.25,0.6
2025-02-20,603279,15.64,15.81,15.96,15.54,42584,70953100.0,2.68,0.89,0.14,0.74
2025-02-21,603279,15.88,15.9,16.04,15.77,39145,65789774.0,1.71,0.57,0.09,0.68
2025-02-24,603279,15.93,15.88,16.1,15.8,33088,55659696.0,1.89,-0.13,-0.02,0.58
2025-02-25,603279,15.89,15.74,15.89,15.7,34794,58028053.0,1.2,-0.88,-0.14,0.61
2025-02-26,603279,15.8,16.14,16.3,15.72,63742,108177547.0,3.68,2.54,0.4,1.11
2025-02-27,603279,16.15,16.24,16.24,16.02,38400,65375748.0,1.36,0.62,0.1,0.67
2025-02-28,603279,16.24,15.78,16.24,15.68,51904,87202905.0,3.45,-2.83,-0.46,0.91
2025-03-03,603279,15.78,15.73,15.95,15.66,49099,81963778.0,1.84,-0.32,-0.05,0.86
2025-03-04,603279,15.7,15.96,16.04,15.66,34448,57881577.0,2.42,1.46,0.23,0.6
2025-03-05,603279,16.0,15.91,16.11,15.76,42383,71293849.0,2.19,-0.31,-0.05,0.74
2025-03-06,603279,15.91,16.02,16.18,15.87,32248,54535588.0,1.95,0.69,0.11,0.56
2025-03-07,603279,16.01,16.12,16.19,15.93,34425,58509305.0,1.62,0.62,0.1,0.6
2025-03-10,603279,16.16,16.54,16.59,16.1,65138,112811582.0,3.04,2.61,0.42,1.14
2025-03-11,603279,16.45,17.25,17.9,16.33,139335,252767132.0,9.49,4.29,0.71,2.44
2025-03-12,603279,17.19,17.3,17.37,17.05,52772,95661676.0,1.86,0.29,0.05,0.92
2025-03-13,603279,17.31,17.49,17.59,17.21,54453,99489815.0,2.2,1.1,0.19,0.95
2025-03-14,603279,17.46,17.35,17.66,17.29,53468,98103890.0,2.12,-0.8,-0.14,0.93
2025-03-17,603279,17.35,17.36,17.49,17.24,35018,63900326.0,1.44,0.06,0.01,0.61
2025-03-18,603279,17.35,17.31,17.4,17.25,37745,68723706.0,0.86,-0.29,-0.05,0.66
2025-03-19,603279,17.24,16.9,17.35,16.85,44287,79317421.0,2.89,-2.37,-0.41,0.77
2025-03-20,603279,16.88,16.93,17.06,16.74,34075,60599124.0,1.89,0.18,0.03,0.6
2025-03-21,603279,16.9,16.78,17.09,16.68,26148,46359618.0,2.42,-0.89,-0.15,0.46
2025-03-24,603279,16.77,16.7,17.03,16.46,27783,49003902.0,3.4,-0.48,-0.08,0.49
2025-03-25,603279,16.68,16.72,16.84,16.65,18926,33378293.0,1.14,0.12,0.02,0.33
