日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-10,603284,63.11,58.93,75.13,58.88,139954,891900721.0,42.9,55.57,21.05,75.76
2026-02-11,603284,53.59,53.66,55.96,52.22,98315,530208116.0,6.35,-8.94,-5.27,53.22
2026-02-12,603284,52.65,53.2,57.69,51.66,81296,444231560.0,11.24,-0.86,-0.46,44.01
2026-02-13,603284,52.05,55.06,57.6,52.05,84603,464896407.0,10.43,3.5,1.86,45.8
2026-02-24,603284,54.0,50.87,54.5,50.8,78683,408641698.0,6.72,-7.61,-4.19,42.59
2026-02-25,603284,50.15,51.62,53.47,49.51,66227,342140794.0,7.78,1.47,0.75,35.85
2026-02-26,603284,51.0,54.1,56.78,51.0,89702,488200377.0,11.2,4.8,2.48,48.56
2026-02-27,603284,53.6,51.97,54.5,51.71,63396,332715891.0,5.16,-3.94,-2.13,34.32
2026-03-02,603284,50.7,49.39,51.0,49.25,52191,260520054.0,3.37,-4.96,-2.58,28.25
2026-03-03,603284,49.17,47.7,49.8,47.6,38780,188568462.0,4.45,-3.42,-1.69,20.99
2026-03-04,603284,47.06,48.0,48.0,46.66,23694,111869186.0,2.81,0.63,0.3,12.83
2026-03-05,603284,48.11,48.0,49.0,47.7,24888,120345806.0,2.71,0.0,0.0,13.47
2026-03-06,603284,47.98,48.32,48.96,47.29,18287,88105864.0,3.48,0.67,0.32,9.9
2026-03-09,603284,47.51,48.24,48.24,47.2,15758,75283751.0,2.15,-0.17,-0.08,8.53
2026-03-10,603284,48.39,48.8,49.22,48.25,19299,94137795.0,2.01,1.16,0.56,10.45
2026-03-11,603284,48.81,48.79,49.29,48.61,21127,103445450.0,1.39,-0.02,-0.01,11.44
2026-03-12,603284,48.79,49.82,50.12,48.51,32097,158937064.0,3.3,2.11,1.03,17.37
2026-03-13,603284,49.4,49.27,49.93,48.88,18095,89306411.0,2.11,-1.1,-0.55,9.8
