日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603315,10.65,10.87,11.02,10.62,119403,130573695.0,3.76,2.16,0.23,3.81
2025-01-03,603315,10.92,11.26,11.97,10.82,193810,221234387.0,10.58,3.59,0.39,6.18
2025-01-06,603315,11.06,11.82,11.85,11.0,209355,243353112.0,7.55,4.97,0.56,6.67
2025-01-07,603315,11.5,11.86,11.9,11.19,190955,221177761.0,6.01,0.34,0.04,6.09
2025-01-08,603315,11.63,12.48,13.05,11.6,342214,437692837.0,12.23,5.23,0.62,10.91
2025-01-09,603315,11.97,12.04,12.36,11.67,220393,267043740.0,5.53,-3.53,-0.44,7.03
2025-01-10,603315,11.9,10.83,11.92,10.83,192440,218069470.0,9.05,-10.05,-1.21,6.13
2025-01-13,603315,10.03,9.74,10.34,9.74,134876,134238729.0,5.54,-10.06,-1.09,4.3
2025-01-14,603315,9.64,10.13,10.17,9.62,124919,124947596.0,5.65,4.0,0.39,3.98
2025-01-15,603315,10.12,11.15,11.15,9.93,200747,215200943.0,12.04,10.07,1.02,6.4
2025-01-16,603315,11.42,10.96,11.86,10.96,239437,272256602.0,8.07,-1.7,-0.19,7.63
2025-01-17,603315,11.06,10.76,11.15,10.63,126385,137912406.0,4.74,-1.82,-0.2,4.03
2025-01-20,603315,10.93,10.94,11.11,10.71,105387,116062705.0,3.72,1.67,0.18,3.36
2025-01-21,603315,11.01,10.78,11.08,10.63,76721,83096603.0,4.11,-1.46,-0.16,2.45
2025-01-22,603315,10.78,10.49,10.82,10.46,69984,74795385.0,3.34,-2.69,-0.29,2.23
2025-01-23,603315,10.7,10.46,10.8,10.45,64623,69305031.0,3.34,-0.29,-0.03,2.06
2025-01-24,603315,10.46,10.55,10.59,10.28,50375,53106494.0,2.96,0.86,0.09,1.61
2025-01-27,603315,10.55,10.28,10.74,10.28,61777,65330101.0,4.36,-2.56,-0.27,1.97
2025-02-05,603315,10.31,10.5,10.82,10.19,69887,73596765.0,6.13,2.14,0.22,2.23
2025-02-06,603315,10.4,10.72,10.78,10.35,76593,81749713.0,4.1,2.1,0.22,2.44
2025-02-07,603315,10.68,10.87,11.07,10.68,100023,109474641.0,3.64,1.4,0.15,3.19
2025-02-10,603315,10.87,11.17,11.17,10.83,98077,109228814.0,3.13,2.76,0.3,3.13
2025-02-11,603315,11.2,11.29,11.54,11.05,130849,148287817.0,4.39,1.07,0.12,4.17
2025-02-12,603315,11.29,11.5,11.68,11.15,126952,145560667.0,4.69,1.86,0.21,4.05
