日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603319,13.96,14.02,14.58,13.81,99200,199759106.0,5.55,1.01,0.14,4.52
2025-01-03,603319,14.08,13.71,14.15,13.49,77994,152236581.0,4.71,-2.21,-0.31,3.55
2025-01-06,603319,13.92,13.36,14.07,13.21,72755,139451375.0,6.27,-2.55,-0.35,3.31
2025-01-07,603319,13.38,14.01,14.01,13.23,72637,141546367.0,5.84,4.87,0.65,3.31
2025-01-08,603319,14.0,14.86,14.97,13.61,117326,238720809.0,9.71,6.07,0.85,5.34
2025-01-09,603319,14.78,15.92,15.96,14.67,132079,287172065.0,8.68,7.13,1.06,6.01
2025-01-10,603319,15.67,15.5,16.0,15.24,122670,270775450.0,4.77,-2.64,-0.42,5.59
2025-01-13,603319,15.53,15.6,16.29,15.03,96386,215542796.0,8.13,0.65,0.1,4.39
2025-01-14,603319,15.88,16.89,17.17,15.25,163100,380453362.0,12.31,8.27,1.29,7.43
2025-01-15,603319,16.96,16.43,17.5,16.27,182632,434460292.0,7.28,-2.72,-0.46,8.32
2025-01-16,603319,16.67,16.92,17.35,16.31,153381,368279550.0,6.33,2.98,0.49,6.98
2025-01-17,603319,16.88,17.02,17.42,16.46,133241,320025615.0,5.67,0.59,0.1,6.07
2025-01-20,603319,17.1,17.53,17.66,17.01,127312,313159962.0,3.82,3.0,0.51,5.8
2025-01-21,603319,18.18,18.71,18.9,17.9,256569,667483007.0,5.7,6.73,1.18,11.68
2025-01-22,603319,18.54,18.16,18.73,17.89,150981,389790043.0,4.49,-2.94,-0.55,6.88
2025-01-23,603319,18.24,17.81,18.71,17.61,151236,386892419.0,6.06,-1.93,-0.35,6.89
2025-01-24,603319,17.81,17.8,18.08,17.48,135820,341677471.0,3.37,-0.06,-0.01,6.18
2025-01-27,603319,17.74,17.09,17.81,16.96,83601,204346175.0,4.78,-3.99,-0.71,3.81
2025-02-05,603319,17.19,18.31,18.39,17.14,147163,373612828.0,7.31,7.14,1.22,6.7
2025-02-06,603319,18.31,19.7,20.15,18.18,233143,633676036.0,10.76,7.59,1.39,10.62
2025-02-07,603319,19.63,19.19,20.16,18.87,272086,755161473.0,6.55,-2.59,-0.51,12.39
2025-02-10,603319,18.99,19.44,19.57,18.74,142219,385941741.0,4.33,1.3,0.25,6.48
2025-02-11,603319,19.46,19.74,20.47,19.29,145337,409047462.0,6.07,1.54,0.3,6.62
2025-02-12,603319,19.56,21.21,21.53,19.1,253082,734996348.0,12.31,7.45,1.47,11.52
2025-02-13,603319,21.43,22.47,23.35,20.88,437987,1392494555.0,11.65,5.94,1.26,19.94
2025-02-14,603319,22.36,22.26,23.8,21.76,298656,957220160.0,9.08,-0.93,-0.21,13.6
2025-02-17,603319,21.56,22.52,22.57,20.88,258521,800327886.0,7.59,1.17,0.26,11.77
2025-02-18,603319,21.96,22.96,23.96,21.81,239719,772542771.0,9.55,1.95,0.44,10.92
2025-02-19,603319,22.73,25.27,25.27,22.73,358613,1256107770.0,11.06,10.06,2.31,16.33
2025-02-20,603319,25.24,26.44,27.09,24.54,340523,1230247787.0,10.09,4.63,1.17,15.51
2025-02-21,603319,26.53,27.48,28.12,25.66,264427,1006577082.0,9.3,3.93,1.04,12.04
2025-02-24,603319,26.96,25.81,27.88,25.33,298340,1109162401.0,9.28,-6.08,-1.67,13.59
2025-02-25,603319,24.53,27.81,28.41,24.49,345505,1320280030.0,15.19,7.75,2.0,15.73
2025-02-26,603319,27.67,28.4,30.61,27.46,431661,1775650531.0,11.33,2.12,0.59,19.66
2025-02-27,603319,29.23,31.1,31.2,28.46,424289,1779694033.0,9.65,9.51,2.7,19.32
2025-02-28,603319,29.96,27.97,30.06,27.97,213965,858766003.0,6.72,-10.06,-3.13,9.29
2025-03-03,603319,27.37,25.16,27.46,25.16,320388,1159370149.0,8.22,-10.05,-2.81,13.9
2025-03-04,603319,24.45,25.44,26.38,24.42,248747,898554927.0,7.79,1.11,0.28,10.79
2025-03-05,603319,25.33,27.24,27.41,25.33,249004,934367643.0,8.18,7.08,1.8,10.81
2025-03-06,603319,27.67,28.38,29.57,27.46,269706,1085317206.0,7.75,4.19,1.14,11.7
2025-03-07,603319,28.67,30.37,30.93,27.81,284718,1188511267.0,10.99,7.01,1.99,12.36
2025-03-10,603319,30.56,28.43,30.74,27.36,230435,933076688.0,11.13,-6.39,-1.94,10.0
2025-03-11,603319,27.95,29.13,29.41,26.53,267443,1047159057.0,10.13,2.46,0.7,11.61
2025-03-12,603319,30.38,29.44,31.21,29.02,282561,1191098488.0,7.52,1.06,0.31,12.26
2025-03-13,603319,29.39,26.55,29.51,26.48,281138,1081722300.0,10.29,-9.82,-2.89,12.2
2025-03-14,603319,26.5,28.16,28.44,26.1,245868,951278783.0,8.81,6.06,1.61,10.67
2025-03-17,603319,28.46,29.08,29.39,27.23,251556,1005208867.0,7.67,3.27,0.92,10.92
2025-03-18,603319,28.95,28.44,29.06,27.67,199294,796220277.0,4.78,-2.2,-0.64,8.65
