日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603332,8.38,8.25,8.55,8.15,40232,34495192.0,4.77,-1.67,-0.14,1.86
2025-01-03,603332,8.24,7.75,8.34,7.72,53099,43436350.0,7.52,-6.06,-0.5,2.45
2025-01-06,603332,7.81,7.95,8.14,7.48,62177,50459490.0,8.52,2.58,0.2,2.87
2025-01-07,603332,7.98,8.33,8.35,7.94,55330,46315527.0,5.16,4.78,0.38,2.56
2025-01-08,603332,8.26,8.22,8.39,7.98,46257,38841138.0,4.92,-1.32,-0.11,2.14
2025-01-09,603332,8.14,8.29,8.3,8.14,32880,27853633.0,1.95,0.85,0.07,1.52
2025-01-10,603332,8.3,7.94,8.38,7.94,32958,27458750.0,5.31,-4.22,-0.35,1.52
2025-01-13,603332,7.82,8.03,8.09,7.68,35968,29276378.0,5.16,1.13,0.09,1.66
2025-01-14,603332,8.07,8.43,8.46,8.07,44495,37792079.0,4.86,4.98,0.4,2.06
2025-01-15,603332,8.4,8.43,8.47,8.3,33437,28723274.0,2.02,0.0,0.0,1.55
2025-01-16,603332,8.43,8.48,8.58,8.36,36075,31372082.0,2.61,0.59,0.05,1.67
2025-01-17,603332,8.4,8.49,8.53,8.35,30046,26033261.0,2.12,0.12,0.01,1.39
2025-01-20,603332,8.55,8.69,8.71,8.41,43085,38125991.0,3.53,2.36,0.2,1.99
2025-01-21,603332,8.76,9.58,9.58,8.6,138681,130883044.0,11.28,10.24,0.89,6.41
2025-01-22,603332,9.49,9.42,9.88,9.18,223374,215501162.0,7.31,-1.67,-0.16,10.32
2025-01-23,603332,9.36,9.45,9.73,9.21,182601,177834644.0,5.52,0.32,0.03,8.44
2025-01-24,603332,9.26,9.24,9.47,9.0,118905,111679042.0,4.97,-2.22,-0.21,5.5
2025-01-27,603332,9.24,9.34,9.8,9.24,128914,125520749.0,6.06,1.08,0.1,5.96
2025-02-05,603332,9.34,9.35,9.52,9.27,95996,91953941.0,2.68,0.11,0.01,4.44
2025-02-06,603332,9.35,9.51,9.51,9.24,106012,101841243.0,2.89,1.71,0.16,4.9
2025-02-07,603332,9.51,9.48,9.56,9.33,118611,114935438.0,2.42,-0.32,-0.03,5.48
2025-02-10,603332,9.48,9.81,9.82,9.38,131229,128859675.0,4.64,3.48,0.33,6.07
2025-02-11,603332,9.63,9.58,9.68,9.5,83545,81750442.0,1.83,-2.34,-0.23,3.86
2025-02-12,603332,9.57,9.42,9.58,9.36,79472,76718597.0,2.3,-1.67,-0.16,3.67
2025-02-13,603332,9.44,9.27,9.46,9.26,63177,60468356.0,2.12,-1.59,-0.15,2.92
2025-02-14,603332,9.33,9.18,9.33,9.14,47895,45147381.0,2.05,-0.97,-0.09,2.21
