日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-15,603352,66.01,68.58,80.0,66.0,349468,2527085508.0,63.99,213.44,46.7,78.67
2026-01-16,603352,60.0,55.68,64.88,55.5,268304,1570850667.0,13.68,-18.81,-12.9,60.4
2026-01-19,603352,53.49,52.04,54.31,51.0,167922,875507222.0,5.94,-6.54,-3.64,37.8
2026-01-20,603352,53.05,53.43,56.65,52.43,173735,945425181.0,8.11,2.67,1.39,39.11
2026-01-21,603352,51.0,49.0,51.41,48.93,171357,850962481.0,4.64,-8.29,-4.43,38.57
2026-01-22,603352,48.15,46.63,48.2,46.5,135072,635666903.0,3.47,-4.84,-2.37,30.41
2026-01-23,603352,46.6,46.7,46.89,46.03,77785,362592615.0,1.84,0.15,0.07,17.51
2026-01-26,603352,46.98,46.11,47.07,45.99,68821,318230945.0,2.31,-1.26,-0.59,15.49
2026-01-27,603352,46.3,45.4,46.3,45.11,56277,255828902.0,2.58,-1.54,-0.71,12.67
2026-01-28,603352,45.33,45.1,45.74,44.99,44359,200479727.0,1.65,-0.66,-0.3,9.99
2026-01-29,603352,45.11,44.17,45.11,44.08,51720,229371429.0,2.28,-2.06,-0.93,11.64
2026-01-30,603352,44.33,44.35,44.88,43.8,43063,191118133.0,2.45,0.41,0.18,9.69
2026-02-02,603352,44.18,44.22,44.75,43.8,32735,144852720.0,2.14,-0.29,-0.13,7.37
2026-02-03,603352,44.4,44.39,44.43,44.1,28674,126922746.0,0.75,0.38,0.17,6.45
2026-02-04,603352,44.31,44.28,44.39,43.94,28377,125377151.0,1.01,-0.25,-0.11,6.39
2026-02-05,603352,44.18,44.76,44.87,44.03,38571,171959288.0,1.9,1.08,0.48,8.68
2026-02-06,603352,44.81,44.49,44.85,44.3,25324,112700209.0,1.23,-0.6,-0.27,5.7
2026-02-09,603352,44.66,44.71,44.83,44.58,24755,110645976.0,0.56,0.49,0.22,5.57
2026-02-10,603352,44.72,44.23,44.72,44.15,29455,130651056.0,1.27,-1.07,-0.48,6.63
2026-02-11,603352,44.31,43.94,44.31,43.92,23108,101885872.0,0.88,-0.66,-0.29,5.2
2026-02-12,603352,43.88,43.15,43.88,43.15,32613,141726762.0,1.66,-1.8,-0.79,7.34
2026-02-13,603352,43.07,43.0,43.31,43.0,14771,63736420.0,0.72,-0.35,-0.15,3.33
2026-02-24,603352,43.34,43.42,43.43,43.01,15819,68380900.0,0.98,0.98,0.42,3.56
2026-02-25,603352,43.3,43.47,43.54,43.23,16162,70215486.0,0.71,0.12,0.05,3.64
2026-02-26,603352,43.49,43.62,43.75,43.31,17613,76751485.0,1.01,0.35,0.15,3.96
2026-02-27,603352,43.59,43.35,43.63,43.24,17130,74244549.0,0.89,-0.62,-0.27,3.86
2026-03-02,603352,42.85,41.7,42.85,41.6,34122,143734028.0,2.88,-3.81,-1.65,7.68
2026-03-03,603352,41.75,40.07,42.04,39.88,31589,129030641.0,5.18,-3.91,-1.63,7.11
2026-03-04,603352,39.8,39.24,39.97,38.91,23887,93982638.0,2.65,-2.07,-0.83,5.38
2026-03-05,603352,39.64,39.53,40.0,39.5,16985,67447471.0,1.27,0.74,0.29,3.82
2026-03-06,603352,39.5,39.96,39.97,39.32,14700,58543329.0,1.64,1.09,0.43,3.31
2026-03-09,603352,39.32,39.55,39.56,39.07,17746,69730571.0,1.23,-1.03,-0.41,3.99
2026-03-10,603352,39.6,40.33,40.33,39.6,17686,70898152.0,1.85,1.97,0.78,3.98
2026-03-11,603352,40.22,40.48,40.58,40.02,17636,71018143.0,1.39,0.37,0.15,3.97
2026-03-12,603352,40.48,41.9,42.13,40.34,50681,210696359.0,4.42,3.51,1.42,11.41
2026-03-13,603352,41.8,41.3,41.8,41.15,24140,99954550.0,1.55,-1.43,-0.6,5.43
