日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603499,18.65,18.76,19.11,18.07,37697,99552533.0,5.68,2.4,0.44,1.74
2025-01-03,603499,18.66,17.56,19.25,17.5,38882,99378035.0,9.33,-6.4,-1.2,1.8
2025-01-06,603499,17.8,17.02,17.8,16.79,33013,80379511.0,5.75,-3.08,-0.54,1.53
2025-01-07,603499,17.02,17.41,17.52,16.99,31378,76546777.0,3.11,2.29,0.39,1.45
2025-01-08,603499,17.35,18.01,18.36,17.18,44419,111177385.0,6.78,3.45,0.6,2.06
2025-01-09,603499,17.83,18.24,18.49,17.72,29549,75910150.0,4.28,1.28,0.23,1.37
2025-01-10,603499,18.47,17.5,18.48,17.5,27342,69190707.0,5.37,-4.06,-0.74,1.27
2025-01-13,603499,17.51,17.53,17.93,17.06,23208,57390279.0,4.97,0.17,0.03,1.07
2025-01-14,603499,17.59,18.4,18.41,17.54,28222,72037647.0,4.96,4.96,0.87,1.31
2025-01-15,603499,18.68,18.71,19.36,18.11,48688,128730530.0,6.79,1.68,0.31,2.25
2025-01-16,603499,18.94,18.76,18.99,18.54,28611,75628494.0,2.41,0.27,0.05,1.32
2025-01-17,603499,18.76,18.69,19.07,18.42,26932,70984631.0,3.46,-0.37,-0.07,1.25
2025-01-20,603499,18.77,18.71,19.21,18.34,30612,80958703.0,4.65,0.11,0.02,1.42
2025-01-21,603499,18.84,18.94,19.04,18.57,30035,79819846.0,2.51,1.23,0.23,1.39
2025-01-22,603499,18.94,19.45,20.13,18.79,58092,159919519.0,7.07,2.69,0.51,2.69
2025-01-23,603499,19.58,19.98,20.21,19.58,47330,133199205.0,3.24,2.72,0.53,2.19
2025-01-24,603499,19.98,19.86,20.04,19.17,39697,109786280.0,4.35,-0.6,-0.12,1.84
2025-01-27,603499,20.57,21.63,21.76,20.07,66617,198772172.0,8.51,8.91,1.77,3.08
2025-02-05,603499,20.61,22.36,22.57,20.61,63926,194636582.0,9.06,3.37,0.73,2.96
2025-02-06,603499,22.0,22.17,22.34,21.26,57564,175383568.0,4.83,-0.85,-0.19,2.66
2025-02-07,603499,21.64,22.07,22.47,21.64,42195,131565716.0,3.74,-0.45,-0.1,1.95
2025-02-10,603499,21.96,22.8,23.07,21.64,48461,154008514.0,6.48,3.31,0.73,2.24
2025-02-11,603499,22.59,22.38,22.73,22.25,32212,101976159.0,2.11,-1.84,-0.42,1.49
2025-02-12,603499,22.39,21.36,22.59,21.26,67863,208138177.0,5.94,-4.56,-1.02,3.14
2025-02-13,603499,21.36,21.39,21.64,21.22,36228,109425680.0,1.97,0.14,0.03,1.68
2025-02-14,603499,21.29,20.39,21.34,20.21,43018,125910465.0,5.28,-4.68,-1.0,1.99
2025-02-17,603499,20.39,20.42,20.59,20.06,37981,109082396.0,2.6,0.15,0.03,1.76
2025-02-18,603499,20.54,19.48,20.56,19.46,39190,109551059.0,5.39,-4.6,-0.94,1.81
2025-02-19,603499,19.5,19.36,19.54,19.1,40700,110772895.0,2.26,-0.62,-0.12,1.88
2025-02-20,603499,19.32,19.46,19.51,19.11,32554,88734064.0,2.07,0.52,0.1,1.51
2025-02-21,603499,19.46,18.75,19.46,18.57,46051,122361709.0,4.57,-3.65,-0.71,2.13
2025-02-24,603499,18.51,18.69,18.85,18.29,39259,103069529.0,2.99,-0.32,-0.06,1.82
2025-02-25,603499,18.59,18.59,19.18,18.49,40048,105889333.0,3.69,-0.54,-0.1,1.85
2025-02-26,603499,18.61,18.41,18.81,18.29,36080,94227395.0,2.8,-0.97,-0.18,1.67
2025-02-27,603499,18.45,18.22,18.59,17.86,41488,106591967.0,3.97,-1.03,-0.19,1.92
2025-02-28,603499,18.25,18.56,19.11,17.74,63357,165209893.0,7.52,1.87,0.34,2.93
2025-03-03,603499,18.57,18.09,19.03,17.9,51410,134381092.0,6.09,-2.53,-0.47,2.38
2025-03-04,603499,18.01,18.36,18.46,17.86,27970,71856150.0,3.32,1.49,0.27,1.29
2025-03-05,603499,18.36,18.0,18.43,17.69,34027,85953894.0,4.03,-1.96,-0.36,1.57
2025-03-06,603499,17.93,18.31,18.43,17.87,37355,95777655.0,3.11,1.72,0.31,1.73
2025-03-07,603499,18.5,19.43,19.59,18.22,73730,197025120.0,7.48,6.12,1.12,3.41
2025-03-10,603499,19.43,17.86,19.61,17.54,92891,239137482.0,10.65,-8.08,-1.57,4.3
2025-03-11,603499,17.71,17.84,17.84,17.56,31064,77607480.0,1.57,-0.11,-0.02,1.44
2025-03-12,603499,17.84,18.43,18.71,17.64,55656,143505004.0,6.0,3.31,0.59,2.58
2025-03-13,603499,18.56,18.21,18.64,17.84,46825,120734408.0,4.34,-1.19,-0.22,2.17
2025-03-14,603499,18.21,18.03,18.21,17.72,44988,113961584.0,2.69,-0.99,-0.18,2.08
2025-03-17,603499,18.07,17.52,18.16,17.42,64345,160274283.0,4.1,-2.83,-0.51,2.98
2025-03-18,603499,17.51,17.65,17.79,17.38,29124,72418358.0,2.34,0.74,0.13,1.35
2025-03-19,603499,17.64,17.55,17.89,17.44,28292,70501396.0,2.55,-0.57,-0.1,1.31
2025-03-20,603499,17.58,17.63,17.79,17.43,21221,52810476.0,2.05,0.46,0.08,0.98
2025-03-21,603499,17.64,17.04,17.65,16.88,35584,86099418.0,4.37,-3.35,-0.59,1.65
2025-03-24,603499,17.0,16.87,17.36,16.55,28920,68906622.0,4.75,-1.0,-0.17,1.34
2025-03-25,603499,16.87,16.97,17.11,16.68,23638,56414658.0,2.55,0.59,0.1,1.09
2025-03-26,603499,16.96,17.17,17.48,16.86,23956,58348227.0,3.65,1.18,0.2,1.11
2025-03-27,603499,17.16,16.68,17.18,16.63,26555,63071875.0,3.2,-2.85,-0.49,1.23
2025-03-28,603499,16.65,16.45,16.74,16.44,18959,44356315.0,1.8,-1.38,-0.23,0.88
2025-03-31,603499,16.51,16.22,16.57,15.84,25702,58394246.0,4.44,-1.4,-0.23,1.19
2025-04-01,603499,16.22,16.34,16.46,16.16,18369,42350102.0,1.85,0.74,0.12,0.85
2025-04-02,603499,17.99,17.99,17.99,17.99,31984,81206157.0,0.0,10.1,1.65,1.48
2025-04-03,603499,17.99,18.92,19.79,17.99,195841,520428318.0,10.01,5.17,0.93,9.06
2025-04-07,603499,17.01,17.01,17.64,17.01,23274,55997734.0,3.33,-10.1,-1.91,1.08
2025-04-08,603499,15.3,15.91,16.49,15.3,115795,256989570.0,7.0,-6.47,-1.1,5.36
2025-04-09,603499,14.64,15.56,15.82,14.31,94365,198576053.0,9.49,-2.2,-0.35,4.37
2025-04-10,603499,15.88,15.7,16.39,15.7,84005,190018741.0,4.43,0.9,0.14,3.89
2025-04-11,603499,15.56,16.08,16.37,15.5,66624,151412282.0,5.54,2.42,0.38,3.08
2025-04-14,603499,16.27,16.74,17.31,16.27,59015,140509324.0,6.47,4.1,0.66,2.73
2025-04-15,603499,16.74,16.54,17.13,16.35,40773,95633669.0,4.66,-1.19,-0.2,1.89
2025-04-16,603499,16.52,16.71,17.29,16.29,63129,150055342.0,6.05,1.03,0.17,2.92
2025-04-17,603499,16.45,16.42,16.7,16.3,35023,81618136.0,2.39,-1.74,-0.29,1.62
2025-04-18,603499,16.49,16.09,16.49,15.99,28132,64139037.0,3.05,-2.01,-0.33,1.3
2025-04-21,603499,16.09,16.46,16.54,15.94,34501,79302279.0,3.73,2.3,0.37,1.6
2025-04-22,603499,16.43,16.29,16.77,16.29,28154,65502803.0,2.92,-1.03,-0.17,1.3
2025-04-23,603499,16.32,16.34,16.54,16.19,31675,73270550.0,2.15,0.31,0.05,1.47
2025-04-24,603499,16.36,16.61,16.84,16.23,46519,108624510.0,3.73,1.65,0.27,2.15
2025-04-25,603499,16.61,16.7,16.94,16.46,50995,120537801.0,2.89,0.54,0.09,2.36
