日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603505,16.86,16.42,17.02,16.34,31059,72744199.0,4.04,-2.55,-0.43,0.51
2025-01-03,603505,16.48,16.56,16.89,16.47,30707,71912223.0,2.56,0.85,0.14,0.51
2025-01-06,603505,16.47,16.82,17.02,16.47,30203,71283534.0,3.32,1.57,0.26,0.5
2025-01-07,603505,16.79,16.65,16.97,16.52,20761,48914114.0,2.68,-1.01,-0.17,0.34
2025-01-08,603505,16.64,16.14,16.64,15.84,48078,109095522.0,4.8,-3.06,-0.51,0.79
2025-01-09,603505,16.09,16.42,16.64,15.99,36982,85366086.0,4.03,1.73,0.28,0.61
2025-01-10,603505,16.35,16.38,16.67,16.31,24914,57654699.0,2.19,-0.24,-0.04,0.41
2025-01-13,603505,16.32,17.21,17.53,16.13,57431,137777730.0,8.55,5.07,0.83,0.95
2025-01-14,603505,17.16,17.39,17.57,16.93,61896,151131936.0,3.72,1.05,0.18,1.02
2025-01-15,603505,17.39,17.24,17.39,17.07,22474,54467243.0,1.84,-0.86,-0.15,0.37
2025-01-16,603505,17.34,17.09,17.47,17.07,36670,89246484.0,2.32,-0.87,-0.15,0.61
2025-01-17,603505,17.07,17.39,17.54,17.0,37671,91940965.0,3.16,1.76,0.3,0.62
2025-01-20,603505,17.44,17.47,17.98,17.39,36475,90616579.0,3.39,0.46,0.08,0.6
2025-01-21,603505,17.58,18.25,18.41,17.26,80264,204089461.0,6.58,4.46,0.78,1.33
2025-01-22,603505,18.25,18.52,18.64,17.97,58561,152192242.0,3.67,1.48,0.27,0.97
2025-01-23,603505,18.75,18.09,18.75,18.05,49340,127741555.0,3.78,-2.32,-0.43,0.82
2025-01-24,603505,18.09,18.12,18.3,17.97,27379,69904999.0,1.82,0.17,0.03,0.45
2025-01-27,603505,18.18,17.99,18.3,17.97,20939,53447569.0,1.82,-0.72,-0.13,0.35
2025-02-05,603505,18.17,18.16,18.3,17.82,36506,92613570.0,2.67,0.94,0.17,0.6
2025-02-06,603505,18.04,18.08,18.17,17.41,60547,151566850.0,4.19,-0.44,-0.08,1.0
2025-02-07,603505,17.97,17.73,18.2,17.67,59808,150805591.0,2.93,-1.94,-0.35,0.99
2025-02-10,603505,17.77,17.21,17.83,17.13,72747,177176602.0,3.95,-2.93,-0.52,1.2
2025-02-11,603505,17.22,17.05,17.27,16.97,37313,89640797.0,1.74,-0.93,-0.16,0.62
2025-02-12,603505,17.09,17.27,17.5,16.98,41648,101313242.0,3.05,1.29,0.22,0.69
2025-02-13,603505,17.29,17.05,17.29,17.01,31581,76150982.0,1.62,-1.27,-0.22,0.52
2025-02-14,603505,17.05,17.15,17.37,16.99,44089,106424061.0,2.23,0.59,0.1,0.73
