日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603507,23.57,22.82,23.95,22.7,41585,97544641.0,5.27,-3.88,-0.92,2.26
2025-01-03,603507,22.82,22.27,23.3,22.25,33511,77197942.0,4.6,-2.41,-0.55,1.82
2025-01-06,603507,22.27,22.4,22.77,21.9,24623,55843718.0,3.91,0.58,0.13,1.34
2025-01-07,603507,22.31,23.11,23.28,22.25,29857,69180660.0,4.6,3.17,0.71,1.62
2025-01-08,603507,23.12,24.02,24.5,23.12,73923,179416584.0,5.97,3.94,0.91,4.01
2025-01-09,603507,23.7,23.59,24.0,23.25,43574,104220396.0,3.12,-1.79,-0.43,2.36
2025-01-10,603507,23.66,23.32,24.22,23.31,37514,90647837.0,3.86,-1.14,-0.27,2.04
2025-01-13,603507,22.97,22.48,23.25,22.25,33879,77784377.0,4.29,-3.6,-0.84,1.84
2025-01-14,603507,22.86,23.74,23.77,22.6,30834,72752881.0,5.2,5.6,1.26,1.67
2025-01-15,603507,23.85,23.41,23.85,23.34,18895,44953817.0,2.15,-1.39,-0.33,1.03
2025-01-16,603507,23.32,23.18,23.72,22.79,25903,60885586.0,3.97,-0.98,-0.23,1.41
2025-01-17,603507,23.24,23.4,23.89,23.01,38198,90871449.0,3.8,0.95,0.22,2.07
2025-01-20,603507,23.4,23.9,23.98,23.37,32713,78840640.0,2.61,2.14,0.5,1.77
2025-01-21,603507,23.95,24.2,24.25,23.59,34528,83976925.0,2.76,1.26,0.3,1.87
2025-01-22,603507,24.18,24.91,25.1,24.14,70258,175650791.0,3.97,2.93,0.71,3.81
2025-01-23,603507,24.9,24.24,25.18,24.0,63871,158042193.0,4.74,-2.69,-0.67,3.47
2025-01-24,603507,24.1,24.43,24.66,23.95,34741,85757803.0,2.93,0.78,0.19,1.89
2025-01-27,603507,24.34,23.73,24.36,23.6,31663,76408903.0,3.11,-2.87,-0.7,1.72
2025-02-05,603507,23.73,22.78,23.87,22.62,52532,122151714.0,5.27,-4.0,-0.95,2.85
2025-02-06,603507,22.77,22.76,22.84,22.26,47711,109180659.0,2.55,-0.09,-0.02,2.59
2025-02-07,603507,22.77,22.86,23.08,22.54,60817,140802968.0,2.37,0.44,0.1,3.3
2025-02-10,603507,22.84,22.47,22.85,22.11,78451,177888277.0,3.24,-1.71,-0.39,4.26
2025-02-11,603507,22.49,22.24,22.49,22.1,28950,65267684.0,1.74,-1.02,-0.23,1.57
2025-02-12,603507,22.19,22.43,22.43,22.0,23694,53568298.0,1.93,0.85,0.19,1.29
2025-02-13,603507,22.4,22.34,22.53,22.26,26908,61083563.0,1.2,-0.4,-0.09,1.46
2025-02-14,603507,22.35,22.37,22.77,22.3,30196,68771343.0,2.1,0.13,0.03,1.64
2025-02-17,603507,22.41,22.2,22.45,22.1,28547,64242728.0,1.56,-0.76,-0.17,1.55
2025-02-18,603507,22.22,22.01,22.29,22.0,20486,46005177.0,1.31,-0.86,-0.19,1.11
