日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603511,12.6,12.53,13.0,12.34,29659,38930351.0,5.24,-0.56,-0.07,0.74
2025-01-03,603511,12.46,11.74,12.68,11.69,31070,38643458.0,7.9,-6.3,-0.79,0.77
2025-01-06,603511,11.06,11.4,11.7,11.06,28992,34099269.0,5.45,-2.9,-0.34,0.72
2025-01-07,603511,11.43,11.49,11.5,11.3,14914,17622554.0,1.75,0.79,0.09,0.37
2025-01-08,603511,11.43,11.64,11.68,11.35,14609,17426606.0,2.87,1.31,0.15,0.36
2025-01-09,603511,11.52,11.54,11.9,11.47,13394,16097847.0,3.69,-0.86,-0.1,0.33
2025-01-10,603511,11.42,11.0,11.58,11.0,16845,19653932.0,5.03,-4.68,-0.54,0.42
2025-01-13,603511,10.86,10.97,11.03,10.74,10073,11375740.0,2.64,-0.27,-0.03,0.25
2025-01-14,603511,12.11,12.11,12.11,12.11,5946,7438446.0,0.0,10.39,1.14,0.15
2025-01-15,603511,13.36,13.36,13.36,13.36,10371,14270496.0,0.0,10.32,1.25,0.26
2025-01-16,603511,14.74,14.74,14.74,14.62,138865,210233633.0,0.9,10.33,1.38,3.46
2025-01-17,603511,14.6,16.25,16.25,13.95,201789,320328090.0,15.6,10.24,1.51,5.02
2025-01-20,603511,17.5,17.92,17.92,15.9,241548,434520421.0,12.43,10.28,1.67,6.01
2025-01-21,603511,16.53,16.09,18.1,16.09,196262,333053603.0,11.22,-10.21,-1.83,4.88
2025-01-22,603511,14.44,14.44,14.44,14.44,10417,15458828.0,0.0,-10.25,-1.65,0.26
2025-01-23,603511,12.96,13.05,13.7,12.96,263836,357519810.0,5.12,-9.63,-1.39,6.56
2025-01-24,603511,12.6,12.73,12.99,12.37,131787,171715139.0,4.75,-2.45,-0.32,3.28
2025-01-27,603511,12.76,12.45,12.85,12.39,68531,88847335.0,3.61,-2.2,-0.28,1.71
2025-02-05,603511,12.45,12.66,12.68,12.13,67232,86550353.0,4.42,1.69,0.21,1.67
2025-02-06,603511,12.48,12.7,12.7,12.46,62647,81390297.0,1.9,0.32,0.04,1.56
2025-02-07,603511,12.63,12.8,12.86,12.54,99764,130577780.0,2.52,0.79,0.1,2.48
2025-02-10,603511,12.7,12.88,12.91,12.62,77260,101480738.0,2.27,0.63,0.08,1.92
2025-02-11,603511,12.99,14.21,14.21,12.81,149801,206268587.0,10.87,10.33,1.33,3.73
2025-02-12,603511,14.21,13.91,14.48,13.78,154528,222927095.0,4.93,-2.11,-0.3,3.85
2025-02-13,603511,13.92,13.76,14.1,13.61,100702,143393166.0,3.52,-1.08,-0.15,2.51
2025-02-14,603511,13.7,13.5,13.86,13.37,71867,100105867.0,3.56,-1.89,-0.26,1.79
2025-02-17,603511,13.5,14.0,14.1,13.5,91468,130009791.0,4.44,3.7,0.5,2.28
2025-02-18,603511,13.99,13.14,13.99,13.1,76000,105562772.0,6.36,-6.14,-0.86,1.89
2025-02-19,603511,13.1,13.45,13.45,13.05,43595,59692034.0,3.04,2.36,0.31,1.08
2025-02-20,603511,13.48,14.84,14.84,13.36,83927,123310306.0,11.0,10.33,1.39,2.09
2025-02-21,603511,14.91,15.29,16.1,14.87,218319,343377608.0,8.29,3.03,0.45,5.43
2025-02-24,603511,14.76,15.96,15.97,14.42,162961,254279867.0,10.14,4.38,0.67,4.05
2025-02-25,603511,15.34,15.05,15.5,15.01,106962,166843119.0,3.07,-5.7,-0.91,2.66
2025-02-26,603511,15.2,15.2,15.4,14.86,70016,108714725.0,3.59,1.0,0.15,1.74
