日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603558,10.17,10.27,10.58,10.17,80292,87485939.0,4.02,0.59,0.06,2.18
2025-01-03,603558,10.22,9.94,10.32,9.86,62714,66534289.0,4.48,-3.21,-0.33,1.7
2025-01-06,603558,9.87,9.88,10.26,9.6,73168,76863546.0,6.64,-0.6,-0.06,1.98
2025-01-07,603558,9.89,10.13,10.14,9.65,53093,55511523.0,4.96,2.53,0.25,1.44
2025-01-08,603558,10.22,10.53,10.55,10.14,95127,103763644.0,4.05,3.95,0.4,2.58
2025-01-09,603558,10.4,10.35,10.48,10.25,61331,67089845.0,2.18,-1.71,-0.18,1.66
2025-01-10,603558,10.4,10.77,11.11,10.4,136430,154789105.0,6.86,4.06,0.42,3.7
2025-01-13,603558,10.59,10.5,11.1,10.25,88461,99559935.0,7.89,-2.51,-0.27,2.4
2025-01-14,603558,10.51,10.89,11.05,10.33,86506,97508159.0,6.86,3.71,0.39,2.34
2025-01-15,603558,10.77,10.93,11.31,10.77,94759,109206680.0,4.96,0.37,0.04,2.57
2025-01-16,603558,10.9,10.67,11.09,10.6,81919,92963598.0,4.48,-2.38,-0.26,2.22
2025-01-17,603558,10.6,10.79,11.06,10.56,67301,76454194.0,4.69,1.12,0.12,1.82
2025-01-20,603558,10.7,10.76,10.94,10.63,51366,58197629.0,2.87,-0.28,-0.03,1.39
2025-01-21,603558,10.76,10.47,10.87,10.42,53795,59687941.0,4.18,-2.7,-0.29,1.46
2025-01-22,603558,10.45,10.49,10.57,10.22,49552,54364601.0,3.34,0.19,0.02,1.34
2025-01-23,603558,10.4,10.43,10.59,10.39,37120,40987123.0,1.91,-0.57,-0.06,1.01
2025-01-24,603558,10.39,10.44,10.51,10.22,40881,44681939.0,2.78,0.1,0.01,1.11
2025-01-27,603558,10.47,10.55,10.69,10.45,39125,43473472.0,2.3,1.05,0.11,1.06
2025-02-05,603558,10.57,10.14,10.65,10.12,67820,73401224.0,5.02,-3.89,-0.41,1.84
2025-02-06,603558,10.12,10.19,10.25,9.91,44635,47472571.0,3.35,0.49,0.05,1.21
2025-02-07,603558,10.22,10.17,10.3,10.11,47563,51123016.0,1.86,-0.2,-0.02,1.29
2025-02-10,603558,10.21,10.2,10.23,10.06,32212,34539219.0,1.67,0.29,0.03,0.87
2025-02-11,603558,10.23,10.37,10.38,10.15,37059,40164091.0,2.25,1.67,0.17,1.0
2025-02-12,603558,10.37,10.19,10.37,10.09,41674,44679412.0,2.7,-1.74,-0.18,1.13
2025-02-13,603558,10.2,9.97,10.2,9.96,35415,37622989.0,2.36,-2.16,-0.22,0.96
2025-02-14,603558,9.95,9.97,10.01,9.85,33264,34903150.0,1.6,0.0,0.0,0.9
2025-02-17,603558,10.0,9.87,10.0,9.73,43801,45379071.0,2.71,-1.0,-0.1,1.19
2025-02-18,603558,9.83,9.77,9.99,9.77,29422,30691558.0,2.23,-1.01,-0.1,0.8
2025-02-19,603558,9.76,9.87,9.88,9.72,22745,23582143.0,1.64,1.02,0.1,0.62
2025-02-20,603558,9.86,9.91,10.07,9.82,33025,34652397.0,2.53,0.41,0.04,0.89
2025-02-21,603558,9.96,9.79,9.96,9.64,49874,51446041.0,3.23,-1.21,-0.12,1.35
2025-02-24,603558,9.81,9.86,9.88,9.74,31701,32871949.0,1.43,0.72,0.07,0.86
2025-02-25,603558,9.85,9.53,9.85,9.48,46884,47740571.0,3.75,-3.35,-0.33,1.33
2025-02-26,603558,9.53,9.63,9.83,9.52,48831,50021796.0,3.25,1.05,0.1,1.38
2025-02-27,603558,9.63,9.75,9.8,9.6,49014,50276522.0,2.08,1.25,0.12,1.39
2025-02-28,603558,9.74,9.66,9.76,9.56,29680,30329362.0,2.05,-0.92,-0.09,0.84
2025-03-03,603558,9.68,9.54,9.81,9.49,70132,71410184.0,3.31,-1.24,-0.12,1.99
2025-03-04,603558,9.52,9.58,9.62,9.48,24973,25248190.0,1.47,0.42,0.04,0.71
2025-03-05,603558,9.55,9.54,9.61,9.38,35496,35637879.0,2.4,-0.42,-0.04,1.01
2025-03-06,603558,9.56,9.38,9.58,9.32,84557,84158909.0,2.73,-1.68,-0.16,2.39
2025-03-07,603558,9.37,9.29,9.41,9.25,41463,40969124.0,1.71,-0.96,-0.09,1.17
2025-03-10,603558,9.26,9.21,9.32,9.16,62414,60952705.0,1.72,-0.86,-0.08,1.77
2025-03-11,603558,9.17,9.29,9.29,9.05,48985,47694326.0,2.61,0.87,0.08,1.39
2025-03-12,603558,9.31,9.3,9.36,9.15,37881,37268396.0,2.26,0.11,0.01,1.07
2025-03-13,603558,9.29,9.29,9.31,9.16,30137,29460393.0,1.61,-0.11,-0.01,0.85
2025-03-14,603558,9.29,9.53,9.54,9.25,54123,54085379.0,3.12,2.58,0.24,1.53
2025-03-17,603558,9.57,9.53,9.59,9.5,39539,39861337.0,0.94,0.0,0.0,1.12
2025-03-18,603558,9.56,9.87,9.87,9.51,65940,67698340.0,3.78,3.57,0.34,1.87
2025-03-19,603558,9.97,9.79,10.01,9.73,42389,43933426.0,2.84,-0.81,-0.08,1.2
2025-03-20,603558,9.81,9.81,9.96,9.79,51149,53229617.0,1.74,0.2,0.02,1.45
