日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603613,26.49,25.78,26.99,25.52,181517,474613884.0,5.55,-2.75,-0.73,2.52
2025-01-03,603613,25.78,25.44,25.9,25.33,121905,312049339.0,2.21,-1.32,-0.34,1.69
2025-01-06,603613,25.11,23.62,25.13,23.38,177276,431816465.0,6.88,-7.15,-1.82,2.46
2025-01-07,603613,23.61,24.11,24.53,23.61,102105,245802923.0,3.9,2.07,0.49,1.42
2025-01-08,603613,24.09,23.7,24.25,23.13,96314,229093823.0,4.65,-1.7,-0.41,1.34
2025-01-09,603613,23.47,24.49,25.12,23.43,131634,322994278.0,7.13,3.33,0.79,1.83
2025-01-10,603613,24.28,23.74,24.53,23.73,74643,180640837.0,3.27,-3.06,-0.75,1.04
2025-01-13,603613,23.43,23.5,23.7,23.16,51382,121031535.0,2.27,-1.01,-0.24,0.71
2025-01-14,603613,23.72,24.78,25.3,23.65,185109,458609390.0,7.02,5.45,1.28,2.57
2025-01-15,603613,24.78,25.07,25.22,24.69,101030,253013845.0,2.14,1.17,0.29,1.4
2025-01-16,603613,25.0,25.0,25.77,24.79,92870,234526146.0,3.91,-0.28,-0.07,1.29
2025-01-17,603613,24.83,25.01,25.2,24.79,61640,154496978.0,1.64,0.04,0.01,0.86
2025-01-20,603613,25.31,25.04,25.38,24.91,79961,201090105.0,1.88,0.12,0.03,1.11
2025-01-21,603613,25.24,25.13,25.35,24.82,80749,203100668.0,2.12,0.36,0.09,1.12
2025-01-22,603613,25.01,24.88,25.6,24.73,76480,191916548.0,3.46,-0.99,-0.25,1.06
2025-01-23,603613,25.13,24.93,25.62,24.88,98081,248809683.0,2.97,0.2,0.05,1.36
2025-01-24,603613,24.92,25.7,25.7,24.83,127249,323801070.0,3.49,3.09,0.77,1.77
2025-01-27,603613,25.78,25.82,26.33,25.54,108997,284235446.0,3.07,0.47,0.12,1.51
2025-02-05,603613,26.22,25.87,26.22,25.46,84837,220063003.0,2.94,0.19,0.05,1.18
2025-02-06,603613,25.73,26.04,26.14,25.58,97297,252842719.0,2.16,0.66,0.17,1.35
2025-02-07,603613,25.93,26.55,26.8,25.84,141211,375044436.0,3.69,1.96,0.51,1.96
2025-02-10,603613,26.6,26.55,26.68,26.13,104118,275684019.0,2.07,0.0,0.0,1.45
2025-02-11,603613,26.53,27.51,28.47,26.25,234352,644226559.0,8.36,3.62,0.96,3.25
2025-02-12,603613,27.26,29.25,29.7,27.23,388165,1121256914.0,8.98,6.32,1.74,5.39
2025-02-13,603613,29.45,28.37,29.68,28.12,268962,771503240.0,5.33,-3.01,-0.88,3.73
2025-02-14,603613,28.36,29.79,29.79,28.16,328900,955607457.0,5.75,5.01,1.42,4.56
2025-02-17,603613,30.33,29.53,30.84,29.05,296222,879228757.0,6.01,-0.87,-0.26,4.11
2025-02-18,603613,29.17,28.1,29.48,27.89,247160,709119590.0,5.38,-4.84,-1.43,3.43
2025-02-19,603613,28.22,28.71,28.92,28.08,155232,445172917.0,2.99,2.17,0.61,2.15
2025-02-20,603613,28.62,29.23,29.58,28.58,189635,554517704.0,3.48,1.81,0.52,2.63
2025-02-21,603613,29.43,29.4,29.62,28.84,205771,604011260.0,2.67,0.58,0.17,2.86
2025-02-24,603613,29.23,28.65,29.23,28.4,195231,562156080.0,2.82,-2.55,-0.75,2.71
