日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603648,9.89,9.44,10.07,9.32,134712,134640208.0,7.53,-5.22,-0.52,3.72
2025-01-03,603648,9.51,8.8,9.56,8.79,116893,109257246.0,8.16,-6.78,-0.64,3.23
2025-01-06,603648,8.87,8.86,9.0,8.7,68980,63081308.0,3.41,0.68,0.06,1.9
2025-01-07,603648,8.9,9.07,9.07,8.78,61341,56692878.0,3.27,2.37,0.21,1.69
2025-01-08,603648,8.97,8.93,9.06,8.67,64939,59637372.0,4.3,-1.54,-0.14,1.79
2025-01-09,603648,8.9,8.85,8.95,8.78,53102,48670766.0,1.9,-0.9,-0.08,1.47
2025-01-10,603648,8.8,8.54,8.9,8.54,48905,43990600.0,4.07,-3.5,-0.31,1.35
2025-01-13,603648,8.47,8.65,8.66,8.24,50877,44735291.0,4.92,1.29,0.11,1.4
2025-01-14,603648,8.66,8.93,8.94,8.66,55506,50802714.0,3.24,3.24,0.28,1.53
2025-01-15,603648,8.93,8.93,9.02,8.84,44080,40789650.0,2.02,0.0,0.0,1.22
2025-01-16,603648,8.93,8.99,9.13,8.88,52259,48707011.0,2.8,0.67,0.06,1.44
2025-01-17,603648,8.99,8.95,9.01,8.88,31973,29575454.0,1.45,-0.44,-0.04,0.88
2025-01-20,603648,9.1,9.18,9.23,8.97,51570,48734390.0,2.91,2.57,0.23,1.42
2025-01-21,603648,9.26,9.03,9.27,8.95,43085,40309909.0,3.49,-1.63,-0.15,1.19
2025-01-22,603648,9.04,8.95,9.16,8.93,33585,31214868.0,2.55,-0.89,-0.08,0.93
2025-01-23,603648,9.03,9.07,9.24,9.0,43772,41322464.0,2.68,1.34,0.12,1.21
2025-01-24,603648,9.13,9.18,9.26,9.0,42683,40252047.0,2.87,1.21,0.11,1.18
2025-01-27,603648,9.19,9.09,9.32,9.08,42418,40315961.0,2.61,-0.98,-0.09,1.17
2025-02-05,603648,9.04,8.92,9.2,8.92,44781,41677954.0,3.08,-1.87,-0.17,1.24
2025-02-06,603648,8.9,9.2,9.21,8.85,48857,45565910.0,4.04,3.14,0.28,1.35
2025-02-07,603648,9.2,9.45,9.66,9.17,101483,98675648.0,5.33,2.72,0.25,2.8
2025-02-10,603648,9.51,9.44,9.53,9.34,62725,60798296.0,2.01,-0.11,-0.01,1.73
2025-02-11,603648,9.43,9.48,9.48,9.36,48614,47313517.0,1.27,0.42,0.04,1.34
2025-02-12,603648,9.54,9.5,9.62,9.42,46754,45810722.0,2.11,0.21,0.02,1.29
2025-02-13,603648,9.46,9.43,9.58,9.43,66989,65728252.0,1.58,-0.74,-0.07,1.85
2025-02-14,603648,9.5,9.53,9.73,9.44,95236,94116952.0,3.08,1.06,0.1,2.63
2025-02-17,603648,9.53,9.59,9.61,9.45,62362,61398625.0,1.68,0.63,0.06,1.72
2025-02-18,603648,9.54,9.3,9.59,9.25,54203,52564141.0,3.55,-3.02,-0.29,1.5
2025-02-19,603648,9.29,9.7,9.71,9.26,81026,80129379.0,4.84,4.3,0.4,2.24
2025-02-20,603648,9.79,9.84,9.84,9.57,96336,96253024.0,2.78,1.44,0.14,2.66
2025-02-21,603648,9.78,9.8,9.9,9.63,97096,97593205.0,2.74,-0.41,-0.04,2.68
2025-02-24,603648,9.76,10.0,10.14,9.71,114179,116385767.0,4.39,2.04,0.2,3.15
2025-02-25,603648,9.89,9.86,10.07,9.75,77898,79265614.0,3.2,-1.4,-0.14,2.15
2025-02-26,603648,9.88,9.82,10.05,9.77,86672,88421363.0,2.84,-0.41,-0.04,2.39
2025-02-27,603648,9.86,9.71,9.89,9.54,88944,88755755.0,3.56,-1.12,-0.11,2.45
2025-02-28,603648,9.71,9.46,9.71,9.44,58729,57930720.0,2.78,-2.57,-0.25,1.62
2025-03-03,603648,9.45,9.4,9.55,9.33,44300,43182351.0,2.33,-0.63,-0.06,1.22
2025-03-04,603648,9.44,9.56,9.56,9.34,36842,35988489.0,2.34,1.7,0.16,1.02
2025-03-05,603648,9.5,9.49,9.55,9.3,45623,44332237.0,2.62,-0.73,-0.07,1.26
2025-03-06,603648,9.49,9.57,9.58,9.42,52256,51272034.0,1.69,0.84,0.08,1.44
2025-03-07,603648,9.51,9.4,9.58,9.36,39257,38336866.0,2.3,-1.78,-0.17,1.08
2025-03-10,603648,9.38,9.29,9.42,9.19,54946,52659980.0,2.45,-1.17,-0.11,1.52
2025-03-11,603648,9.2,9.36,9.36,9.17,36425,34895274.0,2.05,0.75,0.07,1.01
2025-03-12,603648,9.36,9.4,9.43,9.34,37028,35869537.0,0.96,0.43,0.04,1.02
2025-03-13,603648,9.41,9.66,9.75,9.19,129136,126924298.0,5.96,2.77,0.26,3.56
2025-03-14,603648,9.57,9.71,9.79,9.46,76437,75815360.0,3.42,0.52,0.05,2.11
2025-03-17,603648,9.77,9.66,9.79,9.61,48690,48526154.0,1.85,-0.51,-0.05,1.34
2025-03-18,603648,9.69,9.74,9.76,9.61,52842,52841221.0,1.55,0.83,0.08,1.46
2025-03-19,603648,9.74,9.7,9.74,9.62,41148,41031503.0,1.23,-0.41,-0.04,1.14
