日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603661,29.38,28.46,29.7,28.28,16054,48655765.0,4.83,-3.1,-0.91,1.15
2025-01-03,603661,28.61,28.14,28.89,28.03,11217,33395228.0,3.02,-1.12,-0.32,0.81
2025-01-06,603661,28.42,28.35,28.52,27.55,7686,22634568.0,3.45,0.75,0.21,0.55
2025-01-07,603661,28.35,29.08,29.49,28.31,13996,42339031.0,4.16,2.57,0.73,1.01
2025-01-08,603661,29.09,28.42,29.09,27.93,8108,24110953.0,3.99,-2.27,-0.66,0.58
2025-01-09,603661,28.43,28.1,28.51,28.03,5725,16901441.0,1.69,-1.13,-0.32,0.41
2025-01-10,603661,28.31,27.65,28.5,27.63,6953,20307339.0,3.1,-1.6,-0.45,0.5
2025-01-13,603661,27.25,27.65,27.79,27.25,5455,15697016.0,1.95,0.0,0.0,0.39
2025-01-14,603661,27.66,28.19,28.19,27.53,9406,27574660.0,2.39,1.95,0.54,0.68
2025-01-15,603661,28.23,28.25,28.54,28.06,6059,17930676.0,1.7,0.21,0.06,0.44
2025-01-16,603661,28.21,28.29,28.62,28.1,6835,20280911.0,1.84,0.14,0.04,0.49
2025-01-17,603661,28.14,28.37,28.59,27.98,5199,15373801.0,2.16,0.28,0.08,0.37
2025-01-20,603661,29.01,28.61,29.01,28.46,6961,20837374.0,1.94,0.85,0.24,0.5
2025-01-21,603661,28.62,28.7,28.91,28.36,7086,21190830.0,1.92,0.31,0.09,0.51
2025-01-22,603661,28.78,28.42,28.78,28.24,3953,11715644.0,1.88,-0.98,-0.28,0.28
2025-01-23,603661,28.52,28.4,28.76,28.36,4077,12169055.0,1.41,-0.07,-0.02,0.29
2025-01-24,603661,28.38,28.35,28.5,28.11,5374,15895491.0,1.37,-0.18,-0.05,0.39
2025-01-27,603661,28.39,28.69,28.96,28.38,7502,22545017.0,2.05,1.2,0.34,0.54
2025-02-05,603661,28.73,27.78,28.73,27.63,11813,34505156.0,3.83,-3.17,-0.91,0.85
2025-02-06,603661,27.81,28.02,28.02,27.55,7408,21559815.0,1.69,0.86,0.24,0.53
2025-02-07,603661,28.1,28.3,28.53,27.83,10852,32094747.0,2.5,1.0,0.28,0.78
2025-02-10,603661,28.25,28.38,28.43,27.95,8558,25205093.0,1.7,0.28,0.08,0.62
2025-02-11,603661,28.46,28.48,28.5,27.95,13176,38862170.0,1.94,0.35,0.1,0.95
2025-02-12,603661,28.48,30.42,31.1,28.34,44597,138921867.0,9.69,6.81,1.94,3.21
2025-02-13,603661,30.18,29.74,30.61,29.66,17094,53476074.0,3.12,-2.24,-0.68,1.23
2025-02-14,603661,29.63,29.52,30.02,29.44,10597,32801714.0,1.95,-0.74,-0.22,0.76
2025-02-17,603661,29.79,29.55,29.79,29.16,10168,31190972.0,2.13,0.1,0.03,0.73
2025-02-18,603661,29.51,28.83,29.71,28.74,9626,29255544.0,3.28,-2.44,-0.72,0.69
2025-02-19,603661,28.87,29.28,29.29,28.74,8929,27028507.0,1.91,1.56,0.45,0.64
2025-02-20,603661,29.28,29.56,29.59,29.17,8582,26322073.0,1.43,0.96,0.28,0.62
2025-02-21,603661,29.46,29.31,29.55,29.08,8056,24590292.0,1.59,-0.85,-0.25,0.58
2025-02-24,603661,29.31,29.28,29.33,29.11,6639,20249913.0,0.75,-0.1,-0.03,0.48
2025-02-25,603661,29.13,29.04,29.31,29.01,5896,17913992.0,1.02,-0.82,-0.24,0.42
2025-02-26,603661,28.99,29.24,29.39,28.99,7263,22169993.0,1.38,0.69,0.2,0.52
2025-02-27,603661,29.21,29.73,29.87,28.95,10415,31884391.0,3.15,1.68,0.49,0.75
2025-02-28,603661,29.63,28.98,29.7,28.88,7842,23928955.0,2.76,-2.52,-0.75,0.56
2025-03-03,603661,29.08,28.99,29.35,28.76,10266,31160545.0,2.04,0.03,0.01,0.74
2025-03-04,603661,28.8,29.02,29.03,28.8,5847,17653327.0,0.79,0.1,0.03,0.42
2025-03-05,603661,28.96,28.75,29.02,28.49,6286,18846530.0,1.83,-0.93,-0.27,0.45
2025-03-06,603661,28.78,29.0,29.13,28.67,10042,30339650.0,1.6,0.87,0.25,0.72
2025-03-07,603661,29.06,28.79,29.06,28.7,5908,17791980.0,1.24,-0.72,-0.21,0.42
2025-03-10,603661,28.73,29.07,29.11,28.61,8344,25140672.0,1.74,0.97,0.28,0.6
2025-03-11,603661,29.4,29.17,29.41,28.85,11189,34032528.0,1.93,0.34,0.1,0.8
2025-03-12,603661,29.43,29.55,29.72,29.12,13352,40954264.0,2.06,1.3,0.38,0.96
2025-03-13,603661,29.66,29.25,29.72,29.08,8034,24617356.0,2.17,-1.02,-0.3,0.58
2025-03-14,603661,29.42,29.7,29.86,29.14,11505,35425669.0,2.46,1.54,0.45,0.83
2025-03-17,603661,29.97,29.63,30.01,29.54,8770,27180246.0,1.58,-0.24,-0.07,0.63
2025-03-18,603661,29.55,29.76,29.79,29.34,13641,42010211.0,1.52,0.44,0.13,0.98
2025-03-19,603661,29.77,29.58,29.77,29.39,6565,20223397.0,1.28,-0.6,-0.18,0.47
2025-03-20,603661,29.71,29.44,29.78,29.28,9948,30680028.0,1.69,-0.47,-0.14,0.72
2025-03-21,603661,29.36,29.06,29.42,28.88,8685,26387554.0,1.83,-1.29,-0.38,0.62
2025-03-24,603661,29.03,28.8,29.17,28.4,8616,25833540.0,2.65,-0.89,-0.26,0.62
2025-03-25,603661,28.8,28.74,28.83,28.44,8844,26430043.0,1.35,-0.21,-0.06,0.64
2025-03-26,603661,28.75,29.08,29.17,28.68,7156,21646284.0,1.7,1.18,0.34,0.51
2025-03-27,603661,29.02,28.83,29.08,28.49,6241,18758988.0,2.03,-0.86,-0.25,0.45
2025-03-28,603661,28.85,28.8,28.94,28.55,6358,19089951.0,1.35,-0.1,-0.03,0.46
2025-03-31,603661,28.62,28.2,28.72,28.2,6893,20460954.0,1.81,-2.08,-0.6,0.5
2025-04-01,603661,28.2,28.63,28.73,28.2,5396,16068907.0,1.88,1.52,0.43,0.39
2025-04-02,603661,28.6,28.77,29.03,28.51,4623,13911312.0,1.82,0.49,0.14,0.33
2025-04-03,603661,28.32,28.05,28.43,27.79,10797,31732413.0,2.22,-2.5,-0.72,0.78
2025-04-07,603661,26.73,25.12,26.74,25.12,10739,28769230.0,5.78,-10.45,-2.93,0.77
2025-04-08,603661,24.94,23.03,25.01,22.75,27907,69054126.0,9.0,-8.32,-2.09,2.01
2025-04-09,603661,23.03,23.12,23.16,21.63,16905,40108036.0,6.64,0.39,0.09,1.22
2025-04-10,603661,24.17,24.32,24.83,24.03,15983,41123110.0,3.46,5.19,1.2,1.15
2025-04-11,603661,24.06,24.28,24.68,24.04,8300,21329127.0,2.63,-0.16,-0.04,0.6
2025-04-14,603661,24.61,24.84,24.97,24.43,9292,24163127.0,2.22,2.31,0.56,0.67
2025-04-15,603661,24.76,25.3,25.7,24.56,11973,31521427.0,4.59,1.85,0.46,0.86
2025-04-16,603661,25.29,24.76,25.29,24.24,9056,23467150.0,4.15,-2.13,-0.54,0.65
2025-04-17,603661,24.72,24.71,25.1,24.54,6709,17541936.0,2.26,-0.2,-0.05,0.48
2025-04-18,603661,24.88,24.78,24.88,24.46,3928,10182174.0,1.7,0.28,0.07,0.28
2025-04-21,603661,24.83,25.15,25.17,24.47,5234,13698125.0,2.82,1.49,0.37,0.38
2025-04-22,603661,24.98,25.21,25.35,24.98,3632,9606486.0,1.47,0.24,0.06,0.26
2025-04-23,603661,25.31,25.59,25.77,25.3,7134,19169947.0,1.86,1.51,0.38,0.51
2025-04-24,603661,25.68,25.51,25.89,25.23,7295,19540076.0,2.58,-0.31,-0.08,0.52
2025-04-25,603661,25.5,25.65,25.68,25.33,5790,15529323.0,1.37,0.55,0.14,0.42
2025-04-28,603661,25.12,24.97,25.23,24.45,12137,31599783.0,3.04,-2.65,-0.68,0.87
2025-04-29,603661,24.88,25.1,25.31,24.88,6295,16639655.0,1.72,0.52,0.13,0.45
2025-04-30,603661,25.23,25.12,25.38,24.98,5368,14180254.0,1.59,0.08,0.02,0.39
2025-05-06,603661,25.21,25.43,25.49,25.02,9326,24740421.0,1.87,1.23,0.31,0.67
2025-05-07,603661,25.44,25.53,26.23,25.33,11846,31838833.0,3.54,0.39,0.1,0.85
2025-05-08,603661,25.49,25.73,26.01,25.33,10717,29074687.0,2.66,0.78,0.2,0.77
2025-05-09,603661,25.86,25.58,25.86,25.34,5939,15957863.0,2.02,-0.58,-0.15,0.43
2025-05-12,603661,26.41,25.97,26.42,25.77,9845,26833914.0,2.54,1.52,0.39,0.71
2025-05-13,603661,26.71,26.44,27.52,26.33,23426,65902375.0,4.58,1.81,0.47,1.68
2025-05-14,603661,26.62,26.56,26.66,25.73,15939,43696241.0,3.52,0.45,0.12,1.15
2025-05-15,603661,27.11,26.36,27.19,26.13,11401,31626168.0,3.99,-0.75,-0.2,0.82
2025-05-16,603661,26.09,26.11,26.28,26.04,6724,18438494.0,0.91,-0.95,-0.25,0.48
2025-05-19,603661,26.27,26.16,26.27,25.83,9930,27096064.0,1.69,0.19,0.05,0.71
