日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603682,7.55,7.9,7.9,7.55,187682,151322056.0,4.9,10.49,0.75,3.97
2025-01-03,603682,8.47,7.08,8.47,7.08,834845,642183845.0,17.59,-10.38,-0.82,17.67
2025-01-06,603682,6.95,6.34,6.97,6.34,321819,218639564.0,8.9,-10.45,-0.74,6.81
2025-01-07,603682,5.67,5.77,6.3,5.67,573224,351508730.0,9.94,-8.99,-0.57,12.13
2025-01-08,603682,5.7,6.06,6.32,5.59,499721,315307540.0,12.65,5.03,0.29,10.58
2025-01-09,603682,5.87,6.7,6.7,5.69,481371,313152209.0,16.67,10.56,0.64,10.19
2025-01-10,603682,6.74,6.74,7.24,6.52,654531,468240692.0,10.75,0.6,0.04,13.85
2025-01-13,603682,6.69,7.25,7.44,6.5,557827,413813863.0,13.95,7.57,0.51,11.81
2025-01-14,603682,7.12,7.53,7.72,7.02,580597,445013466.0,9.66,3.86,0.28,12.29
2025-01-15,603682,7.37,6.97,7.53,6.74,559060,417929097.0,10.49,-7.44,-0.56,11.83
2025-01-16,603682,7.24,7.13,7.48,6.97,469020,355205403.0,7.32,2.3,0.16,9.93
2025-01-17,603682,6.9,6.38,6.94,6.38,442615,305333780.0,7.85,-10.52,-0.75,9.37
2025-01-20,603682,6.27,6.42,6.65,6.06,380585,254084375.0,9.25,0.63,0.04,8.05
2025-01-21,603682,6.46,5.93,6.52,5.86,402135,259662309.0,10.28,-7.63,-0.49,8.51
2025-01-22,603682,5.97,5.52,5.97,5.42,361727,214989193.0,9.27,-6.91,-0.41,7.66
2025-01-23,603682,5.6,5.38,5.68,5.37,280308,163257401.0,5.62,-2.54,-0.14,5.93
2025-01-24,603682,5.32,5.24,5.32,5.14,248688,137892873.0,3.35,-2.6,-0.14,5.26
2025-01-27,603682,5.25,4.95,5.29,4.87,198500,107128262.0,8.02,-5.53,-0.29,4.2
2025-02-05,603682,4.98,4.97,5.03,4.85,179267,94626358.0,3.64,0.4,0.02,3.79
2025-02-06,603682,4.97,5.04,5.04,4.91,196933,104780921.0,2.62,1.41,0.07,4.17
2025-02-07,603682,5.04,5.07,5.14,4.94,270151,145764489.0,3.97,0.6,0.03,5.72
2025-02-10,603682,5.08,5.16,5.28,5.07,387510,212111770.0,4.14,1.78,0.09,8.2
2025-02-11,603682,5.19,5.02,5.25,4.96,305319,163921047.0,5.62,-2.71,-0.14,6.46
2025-02-12,603682,5.03,5.11,5.13,5.0,269277,145731367.0,2.59,1.79,0.09,5.7
2025-02-13,603682,5.13,5.65,5.65,5.12,182511,107033086.0,10.37,10.57,0.54,3.86
2025-02-14,603682,5.73,5.83,6.07,5.67,782461,484831319.0,7.08,3.19,0.18,16.56
2025-02-17,603682,5.65,6.29,6.45,5.56,692700,431152093.0,15.27,7.89,0.46,14.66
2025-02-18,603682,6.07,5.63,6.07,5.63,467868,288264053.0,7.0,-10.49,-0.66,9.9
2025-02-19,603682,5.55,5.7,5.78,5.42,345982,205792347.0,6.39,1.24,0.07,7.32
2025-02-20,603682,5.64,5.88,5.96,5.53,385083,233342737.0,7.54,3.16,0.18,8.15
2025-02-21,603682,5.8,5.72,5.88,5.7,360431,220077919.0,3.06,-2.72,-0.16,7.63
2025-02-24,603682,5.66,5.59,5.67,5.55,224951,133291305.0,2.1,-2.27,-0.13,4.76
2025-02-25,603682,5.54,5.61,5.73,5.47,214443,128052719.0,4.65,0.36,0.02,4.54
2025-02-26,603682,5.61,5.58,5.7,5.47,199372,118179469.0,4.1,-0.53,-0.03,4.22
2025-02-27,603682,5.62,5.74,5.81,5.55,328946,198045719.0,4.66,2.87,0.16,6.96
2025-02-28,603682,5.72,5.19,5.72,5.18,308545,176989853.0,9.41,-9.58,-0.55,6.53
2025-03-03,603682,5.18,5.28,5.39,5.13,172597,96595843.0,5.01,1.73,0.09,3.65
2025-03-04,603682,5.25,5.4,5.42,5.21,155063,88080397.0,3.98,2.27,0.12,3.28
2025-03-05,603682,5.43,5.29,5.43,5.2,157740,88181122.0,4.26,-2.04,-0.11,3.34
2025-03-06,603682,5.29,5.33,5.38,5.21,158204,89154603.0,3.21,0.76,0.04,3.35
2025-03-07,603682,5.28,5.13,5.31,5.11,161972,89542207.0,3.75,-3.75,-0.2,3.43
2025-03-10,603682,5.17,5.22,5.27,5.16,118334,65625248.0,2.14,1.75,0.09,2.5
2025-03-11,603682,5.17,5.17,5.21,5.08,128004,69995342.0,2.49,-0.96,-0.05,2.71
2025-03-12,603682,5.18,5.21,5.26,5.12,126378,69892198.0,2.71,0.77,0.04,2.67
2025-03-13,603682,5.21,5.08,5.22,4.99,140283,75757594.0,4.41,-2.5,-0.13,2.97
2025-03-14,603682,5.09,5.24,5.31,5.09,205634,114121582.0,4.33,3.15,0.16,4.35
2025-03-17,603682,5.28,5.28,5.35,5.21,145641,81671578.0,2.67,0.76,0.04,3.08
2025-03-18,603682,5.29,5.31,5.33,5.19,133353,74829102.0,2.65,0.57,0.03,2.82
2025-03-19,603682,5.32,5.21,5.32,5.19,106219,58964453.0,2.45,-1.88,-0.1,2.25
2025-03-20,603682,5.21,5.21,5.27,5.17,82839,45988968.0,1.92,0.0,0.0,1.75
2025-03-21,603682,5.19,5.11,5.21,5.09,98627,53937132.0,2.3,-1.92,-0.1,2.09
2025-03-24,603682,5.11,4.98,5.15,4.87,107555,57319247.0,5.48,-2.54,-0.13,2.28
2025-03-25,603682,4.95,4.97,5.01,4.84,101006,53051467.0,3.41,-0.2,-0.01,2.14
2025-03-26,603682,4.97,5.07,5.11,4.96,80243,43305468.0,3.02,2.01,0.1,1.7
2025-03-27,603682,5.12,5.08,5.21,5.05,118166,64658067.0,3.16,0.2,0.01,2.5
2025-03-28,603682,5.07,4.91,5.09,4.88,95259,50389426.0,4.13,-3.35,-0.17,2.02
2025-03-31,603682,4.92,4.86,4.92,4.8,74998,38799936.0,2.44,-1.02,-0.05,1.59
2025-04-01,603682,4.86,4.93,4.99,4.85,74091,39005663.0,2.88,1.44,0.07,1.57
2025-04-02,603682,4.92,4.92,4.95,4.88,44850,23530574.0,1.42,-0.2,-0.01,0.95
2025-04-03,603682,4.88,4.94,5.0,4.88,62649,33059836.0,2.44,0.41,0.02,1.33
2025-04-07,603682,4.68,4.41,4.89,4.41,86271,41427035.0,9.72,-10.73,-0.53,1.83
2025-04-08,603682,4.18,4.38,4.54,4.15,180625,84144307.0,8.84,-0.68,-0.03,3.82
2025-04-09,603682,4.22,4.44,4.5,3.91,193506,87915780.0,13.47,1.37,0.06,4.1
2025-04-10,603682,4.52,4.77,4.84,4.5,182537,91784690.0,7.66,7.43,0.33,3.86
2025-04-11,603682,4.76,4.8,4.88,4.7,159538,81709170.0,3.77,0.63,0.03,3.38
2025-04-14,603682,4.77,4.87,4.96,4.77,132812,69441742.0,3.96,1.46,0.07,2.81
2025-04-15,603682,4.87,4.89,4.94,4.82,88138,45773864.0,2.46,0.41,0.02,1.87
2025-04-16,603682,4.89,4.82,4.92,4.71,91007,46764284.0,4.29,-1.43,-0.07,1.93
2025-04-17,603682,4.77,5.02,5.28,4.77,221750,119014483.0,10.58,4.15,0.2,4.69
2025-04-18,603682,4.96,5.11,5.18,4.88,231344,124174275.0,5.98,1.79,0.09,4.9
2025-04-21,603682,5.07,5.21,5.26,5.0,227745,124876288.0,5.09,1.96,0.1,4.82
2025-04-22,603682,5.22,5.5,5.76,5.19,684850,403570871.0,10.94,5.57,0.29,14.49
2025-04-23,603682,5.41,5.26,5.52,5.22,514766,290372264.0,5.45,-4.36,-0.24,10.89
2025-04-24,603682,5.28,5.16,5.6,5.1,307556,171839457.0,9.51,-1.9,-0.1,6.51
2025-04-25,603682,5.1,5.06,5.37,5.05,297865,165277683.0,6.2,-1.94,-0.1,6.3
2025-04-28,603682,4.98,4.85,5.07,4.75,222619,115662075.0,6.32,-4.15,-0.21,4.71
2025-04-29,603682,5.08,5.11,5.37,5.02,489012,272616176.0,7.22,5.36,0.26,10.35
2025-04-30,603682,5.17,5.18,5.38,5.15,357891,199998335.0,4.5,1.37,0.07,7.57
2025-05-06,603682,5.27,5.33,5.36,5.22,267389,149909894.0,2.7,2.9,0.15,5.66
2025-05-07,603682,5.43,5.32,5.59,5.3,217678,119862063.0,5.44,-0.19,-0.01,4.61
2025-05-08,603682,5.39,5.36,5.41,5.29,142124,77894275.0,2.26,0.75,0.04,3.01
2025-05-09,603682,5.37,5.38,5.52,5.3,169103,92623458.0,4.1,0.37,0.02,3.58
