日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603693,9.7,9.35,9.73,9.29,43547,42088160.0,4.54,-3.61,-0.35,0.49
2025-01-03,603693,9.4,9.23,9.53,9.18,32338,30755058.0,3.74,-1.28,-0.12,0.36
2025-01-06,603693,9.16,9.37,9.43,9.14,26898,25454829.0,3.14,1.52,0.14,0.3
2025-01-07,603693,9.43,9.29,9.43,9.24,23898,22606542.0,2.03,-0.85,-0.08,0.27
2025-01-08,603693,9.33,9.3,9.34,9.08,27087,25422888.0,2.8,0.11,0.01,0.3
2025-01-09,603693,9.24,9.14,9.26,9.12,26046,24317342.0,1.51,-1.72,-0.16,0.29
2025-01-10,603693,9.11,9.0,9.19,9.0,22050,20324475.0,2.08,-1.53,-0.14,0.25
2025-01-13,603693,8.94,9.02,9.04,8.92,14928,13633118.0,1.33,0.22,0.02,0.17
2025-01-14,603693,9.02,9.21,9.25,9.02,30441,28336665.0,2.55,2.11,0.19,0.34
2025-01-15,603693,9.22,9.15,9.23,9.1,19046,17706648.0,1.41,-0.65,-0.06,0.21
2025-01-16,603693,9.15,9.19,9.28,9.12,27363,25622121.0,1.75,0.44,0.04,0.31
2025-01-17,603693,9.16,9.24,9.28,9.12,18569,17405496.0,1.74,0.54,0.05,0.21
2025-01-20,603693,9.28,9.31,9.41,9.25,21417,20261848.0,1.73,0.76,0.07,0.24
2025-01-21,603693,9.3,9.26,9.41,9.22,13689,12901520.0,2.04,-0.54,-0.05,0.15
2025-01-22,603693,9.22,9.34,9.35,9.2,20877,19718739.0,1.62,0.86,0.08,0.23
2025-01-23,603693,9.4,9.36,9.5,9.36,24283,23275013.0,1.5,0.21,0.02,0.27
2025-01-24,603693,9.39,9.39,9.42,9.25,19444,18454567.0,1.82,0.32,0.03,0.22
2025-01-27,603693,9.37,9.49,9.58,9.37,23392,22625397.0,2.24,1.06,0.1,0.26
2025-02-05,603693,9.57,9.39,9.59,9.36,22833,21893972.0,2.42,-1.05,-0.1,0.26
2025-02-06,603693,9.44,10.0,10.18,9.33,83154,83180856.0,9.05,6.5,0.61,0.93
2025-02-07,603693,10.03,9.94,10.03,9.87,49025,49471865.0,1.6,-0.6,-0.06,0.55
2025-02-10,603693,10.07,9.96,10.14,9.93,41232,41867789.0,2.11,0.2,0.02,0.46
2025-02-11,603693,9.91,9.96,9.99,9.85,27369,27547524.0,1.41,0.0,0.0,0.31
2025-02-12,603693,9.88,9.95,10.02,9.88,27853,28155958.0,1.41,-0.1,-0.01,0.31
2025-02-13,603693,9.97,9.82,9.98,9.82,24821,24903898.0,1.61,-1.31,-0.13,0.28
2025-02-14,603693,9.84,9.86,9.94,9.83,18223,18265027.0,1.12,0.41,0.04,0.2
2025-02-17,603693,9.86,9.93,9.95,9.82,27536,27659728.0,1.32,0.71,0.07,0.31
2025-02-18,603693,9.94,9.88,10.02,9.82,25530,25728747.0,2.01,-0.5,-0.05,0.29
2025-02-19,603693,9.88,9.89,9.91,9.82,21870,21902138.0,0.91,0.1,0.01,0.25
2025-02-20,603693,9.92,9.76,9.92,9.55,58845,58040067.0,3.74,-1.31,-0.13,0.66
2025-02-21,603693,9.76,9.76,9.8,9.67,31521,31145077.0,1.33,0.0,0.0,0.35
2025-02-24,603693,9.76,9.77,9.82,9.7,30226,29957933.0,1.23,0.1,0.01,0.34
2025-02-25,603693,9.73,9.64,9.76,9.62,25211,24800364.0,1.43,-1.33,-0.13,0.28
2025-02-26,603693,9.65,9.68,9.71,9.63,22321,21911932.0,0.83,0.41,0.04,0.25
2025-02-27,603693,9.7,9.64,9.71,9.53,32247,31436492.0,1.86,-0.41,-0.04,0.36
2025-02-28,603693,9.64,9.58,9.71,9.52,29821,29095745.0,1.97,-0.62,-0.06,0.33
2025-03-03,603693,9.58,9.57,9.71,9.53,33035,32309607.0,1.88,-0.1,-0.01,0.37
2025-03-04,603693,9.58,9.61,9.64,9.53,24380,23772696.0,1.15,0.42,0.04,0.27
2025-03-05,603693,9.65,9.49,9.65,9.45,29171,28139758.0,2.08,-1.25,-0.12,0.33
2025-03-06,603693,9.53,9.58,9.61,9.43,30420,29511680.0,1.9,0.95,0.09,0.34
2025-03-07,603693,9.58,9.71,9.71,9.5,32445,31737167.0,2.19,1.36,0.13,0.36
2025-03-10,603693,9.8,9.82,9.93,9.69,50272,49912640.0,2.47,1.13,0.11,0.56
2025-03-11,603693,9.77,9.81,9.81,9.71,22001,21814861.0,1.02,-0.1,-0.01,0.25
2025-03-12,603693,9.81,9.87,9.93,9.77,38883,38969623.0,1.63,0.61,0.06,0.44
2025-03-13,603693,9.87,9.97,9.98,9.83,46618,46887951.0,1.52,1.01,0.1,0.52
2025-03-14,603693,9.98,9.99,10.06,9.92,44600,45204152.0,1.4,0.2,0.02,0.5
2025-03-17,603693,10.0,10.05,10.05,9.96,39895,40531313.0,0.9,0.6,0.06,0.45
2025-03-18,603693,10.01,10.06,10.17,9.97,41597,42418309.0,1.99,0.1,0.01,0.47
2025-03-19,603693,10.05,10.25,10.42,10.0,96267,100224256.0,4.17,1.89,0.19,1.08
2025-03-20,603693,10.25,10.6,11.05,10.25,167803,181465922.0,7.8,3.41,0.35,1.88
2025-03-21,603693,10.53,10.82,11.05,10.53,174315,191422337.0,4.91,2.08,0.22,1.96
2025-03-24,603693,10.99,11.92,11.92,10.86,392960,462998605.0,9.8,10.17,1.1,4.41
2025-03-25,603693,11.7,13.13,13.13,11.43,403985,502494015.0,14.26,10.15,1.21,4.53
2025-03-26,603693,13.35,13.05,14.45,12.69,652675,890329563.0,13.4,-0.61,-0.08,7.32
2025-03-27,603693,12.79,11.74,13.29,11.73,518901,648483525.0,11.95,-10.04,-1.31,5.82
2025-03-28,603693,11.62,11.13,11.99,11.09,394662,459223567.0,7.67,-5.2,-0.61,4.43
2025-03-31,603693,11.2,12.26,12.26,10.95,458682,549642769.0,11.77,10.15,1.13,5.15
2025-04-01,603693,12.26,13.5,13.5,12.23,515613,670137511.0,10.36,10.11,1.24,5.78
2025-04-02,603693,13.37,13.35,14.4,12.59,542469,736080807.0,13.41,-1.11,-0.15,6.09
2025-04-03,603693,13.33,14.7,14.7,13.09,590119,837826496.0,12.06,10.11,1.35,6.62
2025-04-07,603693,13.85,15.0,16.19,13.53,715257,1078279057.0,18.1,2.04,0.3,8.02
2025-04-08,603693,14.35,15.65,16.07,14.35,613777,948588044.0,11.47,4.33,0.65,6.88
2025-04-09,603693,15.17,14.07,15.57,14.07,554303,803465415.0,9.58,-10.1,-1.58,6.22
2025-04-10,603693,13.56,14.24,14.75,12.84,481241,681638764.0,13.57,1.21,0.17,5.4
2025-04-11,603693,13.95,13.18,14.06,13.13,395515,541057972.0,6.53,-7.44,-1.06,4.44
2025-04-14,603693,13.41,14.51,14.51,13.27,563822,810528062.0,9.41,10.09,1.33,6.32
2025-04-15,603693,14.73,14.63,15.0,14.2,549188,807582937.0,5.51,0.83,0.12,6.16
2025-04-16,603693,14.4,13.75,14.71,13.65,390413,556684885.0,7.25,-6.02,-0.88,4.38
2025-04-17,603693,13.41,13.57,14.14,13.12,304980,421799747.0,7.42,-1.31,-0.18,3.42
2025-04-18,603693,13.31,12.75,13.35,12.66,321312,417978734.0,5.08,-6.04,-0.82,3.6
2025-04-21,603693,12.5,12.86,13.05,12.48,233314,303474889.0,4.47,0.86,0.11,2.62
2025-04-22,603693,12.77,12.46,13.0,12.3,259821,330005176.0,5.44,-3.11,-0.4,2.91
2025-04-23,603693,12.1,12.18,12.58,12.1,208704,259407239.0,3.85,-2.25,-0.28,2.34
2025-04-24,603693,12.08,12.5,12.95,11.98,339802,429338416.0,7.96,2.63,0.32,3.81
2025-04-25,603693,12.28,13.22,13.68,12.24,435195,570164277.0,11.52,5.76,0.72,4.88
2025-04-28,603693,13.35,12.56,13.36,12.54,288291,373144565.0,6.2,-4.99,-0.66,3.23
2025-04-29,603693,12.32,11.85,12.37,11.66,264555,317112974.0,5.65,-5.65,-0.71,2.97
2025-04-30,603693,11.69,11.73,11.87,11.69,141078,168148131.0,1.52,-1.01,-0.12,1.58
2025-05-06,603693,11.79,12.09,12.1,11.74,147647,178638370.0,3.07,3.07,0.36,1.66
2025-05-07,603693,12.2,12.13,12.26,11.96,158197,193575842.0,2.48,0.33,0.04,1.77
