日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603703,11.11,10.98,11.28,10.77,68581,75339953.0,4.63,-0.27,-0.03,1.65
2025-01-03,603703,11.0,10.54,11.0,10.48,65098,69956343.0,4.74,-4.01,-0.44,1.57
2025-01-06,603703,10.53,10.99,11.17,10.3,121677,132698813.0,8.25,4.27,0.45,2.93
2025-01-07,603703,10.95,11.17,11.18,10.82,77139,85133820.0,3.28,1.64,0.18,1.86
2025-01-08,603703,11.12,11.7,11.7,10.76,117796,132265082.0,8.42,4.74,0.53,2.84
2025-01-09,603703,11.52,11.73,12.01,11.44,145830,171082394.0,4.87,0.26,0.03,3.51
2025-01-10,603703,11.61,11.47,12.05,11.4,106201,125102110.0,5.54,-2.22,-0.26,2.56
2025-01-13,603703,11.18,10.91,11.31,10.76,103955,114140983.0,4.8,-4.88,-0.56,2.51
2025-01-14,603703,11.01,11.67,11.8,10.83,130922,148532872.0,8.89,6.97,0.76,3.15
2025-01-15,603703,11.6,11.24,11.65,11.2,71256,80905436.0,3.86,-3.68,-0.43,1.72
2025-01-16,603703,11.26,11.35,11.52,11.24,63468,72166433.0,2.49,0.98,0.11,1.53
2025-01-17,603703,11.32,11.14,11.45,11.09,58894,66220103.0,3.17,-1.85,-0.21,1.42
2025-01-20,603703,11.25,11.68,11.8,11.12,112273,130561848.0,6.1,4.85,0.54,2.71
2025-01-21,603703,11.57,11.61,11.91,11.43,79648,92726481.0,4.11,-0.6,-0.07,1.92
2025-01-22,603703,11.81,11.95,12.29,11.63,200432,239732712.0,5.68,2.93,0.34,4.83
2025-01-23,603703,11.86,11.82,12.14,11.7,114597,136796816.0,3.68,-1.09,-0.13,2.76
2025-01-24,603703,11.83,11.85,11.93,11.62,88697,104641703.0,2.62,0.25,0.03,2.14
2025-01-27,603703,11.77,11.34,11.87,11.3,71059,82307462.0,4.81,-4.3,-0.51,1.71
2025-02-05,603703,11.49,12.05,12.05,11.4,111896,131971284.0,5.73,6.26,0.71,2.7
2025-02-06,603703,11.86,12.0,12.22,11.86,143348,171597386.0,2.99,-0.41,-0.05,3.45
2025-02-07,603703,11.91,11.99,12.28,11.85,159509,191704047.0,3.58,-0.08,-0.01,3.84
2025-02-10,603703,11.55,11.94,11.94,11.42,200090,233188171.0,4.34,-0.42,-0.05,4.82
2025-02-11,603703,11.91,12.85,13.12,11.85,388091,489422363.0,10.64,7.62,0.91,9.35
2025-02-12,603703,12.83,12.79,13.09,12.7,197470,252978876.0,3.04,-0.47,-0.06,4.76
2025-02-13,603703,12.8,12.66,12.98,12.57,148133,189484884.0,3.21,-1.02,-0.13,3.57
2025-02-14,603703,12.66,12.62,12.87,12.52,92747,117318578.0,2.76,-0.32,-0.04,2.23
2025-02-17,603703,12.65,12.53,12.85,12.41,118225,148584432.0,3.49,-0.71,-0.09,2.85
2025-02-18,603703,12.5,12.05,12.5,12.02,153695,187072636.0,3.83,-3.83,-0.48,3.7
2025-02-19,603703,12.1,12.45,12.46,12.05,159516,195407220.0,3.4,3.32,0.4,3.84
2025-02-20,603703,12.25,12.45,12.7,12.05,162280,199816844.0,5.22,0.0,0.0,3.91
2025-02-21,603703,12.4,12.91,13.08,12.23,246092,314610208.0,6.83,3.69,0.46,5.93
2025-02-24,603703,13.08,13.93,14.2,13.08,624767,870427062.0,8.68,7.9,1.02,15.06
2025-02-25,603703,13.45,13.49,13.92,13.36,326367,445579001.0,4.02,-3.16,-0.44,7.86
2025-02-26,603703,13.54,13.77,13.87,13.3,191861,261447520.0,4.23,2.08,0.28,4.62
2025-02-27,603703,13.89,13.06,14.0,12.7,320027,418704738.0,9.44,-5.16,-0.71,7.71
2025-02-28,603703,12.9,12.63,13.28,12.61,154932,200761249.0,5.13,-3.29,-0.43,3.73
2025-03-03,603703,12.65,12.58,13.1,12.48,135805,172771584.0,4.91,-0.4,-0.05,3.27
2025-03-04,603703,12.5,12.64,12.81,12.4,118040,149449853.0,3.26,0.48,0.06,2.84
2025-03-05,603703,12.56,12.94,12.94,12.38,135800,172804731.0,4.43,2.37,0.3,3.27
2025-03-06,603703,12.9,12.87,13.11,12.81,150254,194107190.0,2.32,-0.54,-0.07,3.62
2025-03-07,603703,12.87,12.69,13.04,12.59,97513,125047695.0,3.5,-1.4,-0.18,2.35
2025-03-10,603703,12.68,12.73,12.75,12.49,72625,91768314.0,2.05,0.32,0.04,1.75
2025-03-11,603703,12.68,12.82,12.82,12.47,77375,98507845.0,2.75,0.71,0.09,1.86
2025-03-12,603703,12.85,13.03,13.08,12.83,102478,133182400.0,1.95,1.64,0.21,2.47
2025-03-13,603703,13.03,12.65,13.03,12.46,95008,120370346.0,4.37,-2.92,-0.38,2.29
2025-03-14,603703,12.65,12.67,12.72,12.38,76777,96791741.0,2.69,0.16,0.02,1.85
2025-03-17,603703,12.68,12.72,12.88,12.63,62995,80201382.0,1.97,0.39,0.05,1.52
2025-03-18,603703,12.66,12.75,12.85,12.49,65056,82189967.0,2.83,0.24,0.03,1.57
2025-03-19,603703,12.75,12.54,12.75,12.51,54362,68446350.0,1.88,-1.65,-0.21,1.31
