日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603706,17.74,17.79,18.08,17.2,39357,73291183.0,4.94,-0.11,-0.02,2.08
2025-01-03,603706,17.65,18.31,18.59,17.23,52319,99159603.0,7.64,2.92,0.52,2.76
2025-01-06,603706,18.32,18.6,18.87,17.8,50364,97228390.0,5.84,1.58,0.29,2.66
2025-01-07,603706,18.4,18.73,18.82,18.25,36197,70405151.0,3.06,0.7,0.13,1.91
2025-01-08,603706,18.67,17.99,18.67,17.6,30528,57920607.0,5.71,-3.95,-0.74,1.61
2025-01-09,603706,17.63,17.4,17.95,17.38,26044,48102771.0,3.17,-3.28,-0.59,1.38
2025-01-10,603706,17.2,16.17,17.4,16.14,32900,57689851.0,7.24,-7.07,-1.23,1.74
2025-01-13,603706,16.17,16.23,16.3,15.86,13541,23018050.0,2.72,0.37,0.06,0.72
2025-01-14,603706,16.3,16.66,16.72,16.26,19594,34266691.0,2.83,2.65,0.43,1.03
2025-01-15,603706,16.64,17.09,17.29,16.5,22558,40169030.0,4.74,2.58,0.43,1.19
2025-01-16,603706,17.03,16.92,17.18,16.67,13063,23295491.0,2.98,-0.99,-0.17,0.69
2025-01-17,603706,16.86,16.84,16.95,16.68,7591,13453270.0,1.6,-0.47,-0.08,0.4
2025-01-20,603706,17.07,17.33,17.54,16.73,14348,26038128.0,4.81,2.91,0.49,0.76
2025-01-21,603706,17.33,17.0,17.53,16.82,9821,17602918.0,4.1,-1.9,-0.33,0.52
2025-01-22,603706,16.83,16.89,17.06,16.82,6772,12090935.0,1.41,-0.65,-0.11,0.36
2025-01-23,603706,17.1,16.81,17.3,16.78,8804,15786195.0,3.08,-0.47,-0.08,0.46
2025-01-24,603706,16.78,16.7,16.89,16.5,9263,16293102.0,2.32,-0.65,-0.11,0.49
2025-01-27,603706,16.76,16.97,17.26,16.76,10940,19662210.0,2.99,1.62,0.27,0.58
2025-02-05,603706,16.99,16.76,17.19,16.61,12691,22491449.0,3.42,-1.24,-0.21,0.67
2025-02-06,603706,17.0,17.18,17.18,16.6,10590,18942172.0,3.46,2.51,0.42,0.56
2025-02-07,603706,17.18,17.31,17.49,17.1,13490,24514082.0,2.27,0.76,0.13,0.71
2025-02-10,603706,17.31,17.49,17.5,17.25,11429,20886465.0,1.44,1.04,0.18,0.6
2025-02-11,603706,17.59,17.41,17.59,17.34,9262,16963789.0,1.43,-0.46,-0.08,0.49
2025-02-12,603706,17.38,17.43,17.55,17.16,10320,18793182.0,2.24,0.11,0.02,0.54
2025-02-13,603706,17.4,17.01,17.4,17.0,11148,20110521.0,2.29,-2.41,-0.42,0.59
2025-02-14,603706,16.9,16.99,17.11,16.89,6898,12363781.0,1.29,-0.12,-0.02,0.36
2025-02-17,603706,17.04,17.07,17.14,16.83,10688,19118991.0,1.82,0.47,0.08,0.56
2025-02-18,603706,17.02,16.66,17.3,16.56,13893,24812688.0,4.34,-2.4,-0.41,0.73
2025-02-19,603706,16.6,16.78,16.8,16.6,7924,13968191.0,1.2,0.72,0.12,0.42
2025-02-20,603706,16.68,16.83,16.93,16.68,6652,11795687.0,1.49,0.3,0.05,0.35
2025-02-21,603706,16.74,16.46,16.91,16.34,13427,23367622.0,3.39,-2.2,-0.37,0.71
2025-02-24,603706,16.45,16.7,16.74,16.39,8858,15472917.0,2.13,1.46,0.24,0.47
2025-02-25,603706,16.59,16.55,16.68,16.46,8564,14926079.0,1.32,-0.9,-0.15,0.45
2025-02-26,603706,16.55,16.73,16.76,16.5,7137,12546486.0,1.57,1.09,0.18,0.38
2025-02-27,603706,16.63,16.64,16.84,16.4,7526,13158834.0,2.63,-0.54,-0.09,0.4
2025-02-28,603706,16.57,16.47,16.87,16.45,9161,16085472.0,2.52,-1.02,-0.17,0.48
2025-03-03,603706,16.41,16.9,17.05,16.41,16758,29801238.0,3.89,2.61,0.43,0.88
2025-03-04,603706,16.9,17.17,17.18,16.72,12344,22162068.0,2.72,1.6,0.27,0.65
2025-03-05,603706,17.37,16.95,17.39,16.89,9792,17558251.0,2.91,-1.28,-0.22,0.52
2025-03-06,603706,16.96,17.07,17.07,16.81,8624,15425558.0,1.53,0.71,0.12,0.46
2025-03-07,603706,17.06,16.85,17.15,16.8,10722,19150260.0,2.05,-1.29,-0.22,0.57
2025-03-10,603706,16.7,17.08,17.12,16.66,11112,19906840.0,2.73,1.36,0.23,0.59
2025-03-11,603706,17.04,16.92,17.04,16.56,14603,25774647.0,2.81,-0.94,-0.16,0.77
2025-03-12,603706,16.98,17.2,17.35,16.78,18188,32550138.0,3.37,1.65,0.28,0.96
2025-03-13,603706,17.18,17.39,17.53,17.01,23275,42252454.0,3.02,1.1,0.19,1.23
2025-03-14,603706,17.46,17.68,17.85,17.28,25055,46235151.0,3.28,1.67,0.29,1.32
2025-03-17,603706,17.76,17.89,18.04,17.55,24369,45553917.0,2.77,1.19,0.21,1.29
2025-03-18,603706,17.88,17.73,17.94,17.6,13102,24366190.0,1.9,-0.89,-0.16,0.69
2025-03-19,603706,17.73,17.78,17.91,17.57,11647,21686630.0,1.92,0.28,0.05,0.61
2025-03-20,603706,17.78,17.59,17.82,17.53,9619,17853189.0,1.63,-1.07,-0.19,0.51
2025-03-21,603706,17.52,17.43,17.68,17.33,10357,19044897.0,1.99,-0.91,-0.16,0.55
2025-03-24,603706,17.43,17.32,17.54,16.92,13033,23654247.0,3.56,-0.63,-0.11,0.69
2025-03-25,603706,18.07,17.47,18.09,17.33,20683,38143183.0,4.39,0.87,0.15,1.09
2025-03-26,603706,17.47,17.77,17.89,17.36,14654,27183070.0,3.03,1.72,0.3,0.77
2025-03-27,603706,17.6,17.61,17.85,17.5,10465,19402339.0,1.97,-0.9,-0.16,0.55
2025-03-28,603706,17.6,17.34,17.67,17.2,9895,18094104.0,2.67,-1.53,-0.27,0.52
2025-03-31,603706,17.32,17.04,17.39,16.87,13209,23787543.0,3.0,-1.73,-0.3,0.7
2025-04-01,603706,17.02,17.62,17.69,17.02,17794,32755622.0,3.93,3.4,0.58,0.94
2025-04-02,603706,17.48,18.14,18.41,17.45,26309,49864943.0,5.45,2.95,0.52,1.39
2025-04-03,603706,18.15,17.99,18.26,17.85,13688,25915639.0,2.26,-0.83,-0.15,0.72
2025-04-07,603706,17.12,16.1,17.4,16.1,21078,36409325.0,7.23,-10.51,-1.89,1.11
2025-04-08,603706,16.3,15.97,16.3,15.21,17788,29929299.0,6.77,-0.81,-0.13,0.94
2025-04-09,603706,15.85,15.89,16.04,14.7,19154,31359938.0,8.39,-0.5,-0.08,1.01
2025-04-10,603706,16.09,16.43,16.61,16.09,14511,25114097.0,3.27,3.4,0.54,0.77
2025-04-11,603706,16.46,16.27,16.56,16.18,7518,13008524.0,2.31,-0.97,-0.16,0.4
2025-04-14,603706,16.38,16.6,16.9,16.38,8177,14342272.0,3.2,2.03,0.33,0.43
2025-04-15,603706,16.68,16.65,16.77,16.43,6707,11710616.0,2.05,0.3,0.05,0.35
2025-04-16,603706,16.55,16.44,16.75,16.14,7381,12799751.0,3.66,-1.26,-0.21,0.39
2025-04-17,603706,16.25,16.66,16.73,16.24,5858,10253567.0,2.98,1.34,0.22,0.31
2025-04-18,603706,17.63,16.76,18.0,16.51,18746,33226669.0,8.94,0.6,0.1,0.99
2025-04-21,603706,16.59,17.23,17.27,16.52,15946,28448047.0,4.47,2.8,0.47,0.84
2025-04-22,603706,17.23,17.28,17.43,17.15,10309,18731911.0,1.63,0.29,0.05,0.54
2025-04-23,603706,17.32,17.44,17.45,17.22,8624,15727904.0,1.33,0.93,0.16,0.46
2025-04-24,603706,17.47,17.5,17.61,17.24,9650,17716033.0,2.12,0.34,0.06,0.51
2025-04-25,603706,17.5,17.53,17.8,17.39,13480,24864176.0,2.34,0.17,0.03,0.71
2025-04-28,603706,17.5,17.25,17.64,17.16,11816,21512458.0,2.74,-1.6,-0.28,0.62
2025-04-29,603706,17.34,17.53,17.67,17.14,14427,26582135.0,3.07,1.62,0.28,0.76
2025-04-30,603706,17.49,17.58,17.8,17.38,13747,25401065.0,2.4,0.29,0.05,0.73
2025-05-06,603706,17.57,18.05,18.06,17.57,15345,28825833.0,2.79,2.67,0.47,0.81
2025-05-07,603706,18.08,18.16,18.38,18.0,16039,30607826.0,2.11,0.61,0.11,0.85
2025-05-08,603706,18.07,18.3,18.32,18.0,12529,23955161.0,1.76,0.77,0.14,0.66
2025-05-09,603706,18.34,18.23,18.37,18.14,8255,15813537.0,1.26,-0.38,-0.07,0.44
2025-05-12,603706,18.31,18.35,18.43,18.08,14320,27427693.0,1.92,0.66,0.12,0.76
2025-05-13,603706,18.39,18.08,18.48,17.95,14118,26906540.0,2.89,-1.47,-0.27,0.75
2025-05-14,603706,18.17,18.02,18.17,17.82,8995,16975443.0,1.94,-0.33,-0.06,0.47
2025-05-15,603706,17.87,18.05,18.19,17.87,7699,14607247.0,1.78,0.17,0.03,0.41
2025-05-16,603706,18.08,18.4,18.53,18.08,13756,26447339.0,2.49,1.94,0.35,0.73
2025-05-19,603706,18.48,18.29,18.67,18.23,11230,21605901.0,2.39,-0.6,-0.11,0.59
2025-05-20,603706,18.29,18.51,18.52,18.22,11227,21682968.0,1.64,1.2,0.22,0.59
2025-05-21,603706,18.51,18.3,18.71,18.27,10040,19393793.0,2.38,-1.13,-0.21,0.53
2025-05-22,603706,18.37,18.09,18.45,18.04,11370,21742864.0,2.24,-1.15,-0.21,0.6
2025-05-23,603706,18.09,18.0,18.34,17.99,9885,18828658.0,1.93,-0.5,-0.09,0.52
2025-05-26,603706,17.9,17.95,18.19,17.82,9189,17338541.0,2.06,-0.28,-0.05,0.49
2025-05-27,603706,17.95,18.08,18.09,17.75,9395,17705912.0,1.89,0.72,0.13,0.5
2025-05-28,603706,18.02,18.12,18.23,17.98,6374,12105540.0,1.38,0.22,0.04,0.34
2025-05-29,603706,18.09,18.34,18.34,17.98,9857,18827810.0,1.99,1.21,0.22,0.52
2025-05-30,603706,18.34,18.11,18.38,18.01,9785,18649852.0,2.02,-1.25,-0.23,0.52
2025-06-03,603706,18.01,17.72,18.13,17.6,17940,33434675.0,2.93,-2.15,-0.39,0.95
2025-06-04,603706,17.72,17.93,17.93,17.64,9323,17443438.0,1.64,1.19,0.21,0.49
2025-06-05,603706,17.88,17.84,18.07,17.71,8052,15116006.0,2.01,-0.5,-0.09,0.43
2025-06-06,603706,17.81,17.95,17.95,17.74,8223,15435875.0,1.18,0.62,0.11,0.43
2025-06-09,603706,17.99,17.98,17.99,17.82,10357,19477614.0,0.95,0.17,0.03,0.55
2025-06-10,603706,17.92,17.91,18.03,17.68,16437,30819181.0,1.95,-0.39,-0.07,0.87
2025-06-11,603706,17.96,17.97,18.15,17.87,11114,21038730.0,1.56,0.34,0.06,0.59
2025-06-12,603706,17.91,17.99,18.1,17.87,9319,17594022.0,1.28,0.11,0.02,0.49
2025-06-13,603706,18.1,19.88,19.88,18.1,101610,207566141.0,9.89,10.51,1.89,5.37
2025-06-16,603706,19.93,20.59,20.9,19.48,119605,251793492.0,7.14,3.57,0.71,6.32
2025-06-17,603706,20.07,20.13,20.33,19.31,72785,150069888.0,4.95,-2.23,-0.46,3.84
2025-06-18,603706,20.13,21.41,22.1,19.52,101461,218906856.0,12.82,6.36,1.28,5.36
2025-06-19,603706,20.5,20.7,21.4,19.49,92805,188208915.0,8.92,-3.32,-0.71,4.9
2025-06-20,603706,19.98,21.26,22.22,19.7,94414,197388354.0,12.17,2.71,0.56,4.99
2025-06-23,603706,21.59,22.64,23.39,20.73,134018,295739883.0,12.51,6.49,1.38,7.08
2025-06-24,603706,20.5,21.16,21.4,20.5,118936,249301055.0,3.98,-6.54,-1.48,6.28
