日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603707,13.12,12.87,13.28,12.75,50568,66107427.0,4.02,-2.28,-0.3,0.31
2025-01-03,603707,12.88,12.16,12.88,11.87,253847,314322282.0,7.85,-5.52,-0.71,1.57
2025-01-06,603707,12.22,12.33,12.48,12.01,91027,112570840.0,3.87,1.4,0.17,0.56
2025-01-07,603707,11.84,11.97,12.2,11.59,133962,159718586.0,4.95,-2.92,-0.36,0.83
2025-01-08,603707,11.92,11.91,12.17,11.76,71259,85852415.0,3.43,-0.5,-0.06,0.44
2025-01-09,603707,11.88,11.95,12.11,11.71,63207,76479889.0,3.36,0.34,0.04,0.39
2025-01-10,603707,12.02,12.05,12.3,11.97,60282,74003464.0,2.76,0.84,0.1,0.37
2025-01-13,603707,11.99,11.91,12.14,11.82,46763,56420397.0,2.66,-1.16,-0.14,0.29
2025-01-14,603707,11.95,12.15,12.24,11.85,54759,66750810.0,3.27,2.02,0.24,0.34
2025-01-15,603707,12.32,11.92,12.32,11.92,38424,46479359.0,3.29,-1.89,-0.23,0.24
2025-01-16,603707,11.92,11.88,12.22,11.82,43459,52455437.0,3.36,-0.34,-0.04,0.27
2025-01-17,603707,11.78,11.87,11.98,11.78,46601,55850709.0,1.68,-0.08,-0.01,0.29
2025-01-20,603707,11.81,12.62,12.69,11.81,153614,193261929.0,7.41,6.32,0.75,0.95
2025-01-21,603707,12.6,12.77,12.96,12.6,64633,82995069.0,2.85,1.19,0.15,0.4
2025-01-22,603707,12.65,12.57,12.82,12.27,63801,80400359.0,4.31,-1.57,-0.2,0.39
2025-01-23,603707,12.63,13.07,13.16,12.58,105727,138186934.0,4.61,3.98,0.5,0.65
2025-01-24,603707,13.07,13.38,13.45,12.96,111732,149522275.0,3.75,2.37,0.31,0.69
2025-01-27,603707,13.68,13.41,13.85,13.41,109830,150342217.0,3.29,0.22,0.03,0.68
2025-02-05,603707,13.61,13.28,13.77,13.2,141548,191532055.0,4.25,-0.97,-0.13,0.88
2025-02-06,603707,13.24,13.26,13.32,12.93,103067,136388130.0,2.94,-0.15,-0.02,0.64
2025-02-07,603707,13.2,13.49,13.55,13.14,73045,98720670.0,3.09,1.73,0.23,0.45
2025-02-10,603707,13.49,13.87,14.14,13.38,150325,209843865.0,5.63,2.82,0.38,0.93
2025-02-11,603707,13.86,14.08,14.16,13.77,74944,105552565.0,2.81,1.51,0.21,0.46
2025-02-12,603707,14.0,14.01,14.16,13.93,45276,64046153.0,1.63,-0.5,-0.07,0.28
2025-02-13,603707,14.1,14.2,14.31,13.96,65974,94125531.0,2.5,1.36,0.19,0.41
2025-02-14,603707,14.05,14.35,14.51,14.05,56497,81733841.0,3.24,1.06,0.15,0.35
2025-02-17,603707,14.38,14.17,14.47,14.05,74632,106881782.0,2.93,-1.25,-0.18,0.46
2025-02-18,603707,14.15,14.07,14.38,14.03,44941,64319912.0,2.47,-0.71,-0.1,0.28
2025-02-19,603707,14.07,13.81,14.11,13.65,123374,172125273.0,3.27,-1.85,-0.26,0.76
2025-02-20,603707,13.9,13.58,13.98,13.48,125053,171956447.0,3.62,-1.67,-0.23,0.77
2025-02-21,603707,13.58,13.49,13.86,13.4,109543,150276645.0,3.39,-0.66,-0.09,0.68
2025-02-24,603707,13.5,13.04,13.62,12.95,147087,196029530.0,4.97,-3.34,-0.45,0.91
2025-02-25,603707,12.98,12.63,13.03,12.46,140600,179136625.0,4.37,-3.14,-0.41,0.87
2025-02-26,603707,12.63,12.62,12.73,12.48,114308,145085666.0,1.98,-0.08,-0.01,0.71
2025-02-27,603707,12.64,12.62,12.8,12.49,87015,110626292.0,2.46,0.0,0.0,0.54
2025-02-28,603707,12.56,12.32,12.65,12.28,77198,96544491.0,2.93,-2.38,-0.3,0.48
2025-03-03,603707,12.29,12.4,12.49,12.28,85699,106906986.0,1.7,0.65,0.08,0.53
2025-03-04,603707,12.38,12.43,12.45,12.27,78775,98203727.0,1.45,0.24,0.03,0.49
2025-03-05,603707,12.4,12.26,12.42,12.13,100889,124274994.0,2.33,-1.37,-0.17,0.62
2025-03-06,603707,12.26,13.5,13.5,12.04,239777,308162753.0,11.91,10.11,1.24,1.48
2025-03-07,603707,13.4,12.97,13.48,12.9,230846,305754446.0,4.3,-3.93,-0.53,1.43
2025-03-10,603707,13.05,12.86,13.08,12.51,157845,202394210.0,4.39,-0.85,-0.11,0.98
2025-03-11,603707,12.66,12.87,13.15,12.62,149597,193519194.0,4.12,0.08,0.01,0.93
2025-03-12,603707,12.93,13.18,13.63,12.87,176601,236788237.0,5.91,2.41,0.31,1.09
2025-03-13,603707,13.19,13.55,13.64,13.14,163801,220598515.0,3.79,2.81,0.37,1.01
2025-03-14,603707,13.54,13.97,13.98,13.5,163564,227272186.0,3.54,3.1,0.42,1.01
2025-03-17,603707,14.08,13.91,14.1,13.84,84682,118852756.0,1.86,-0.43,-0.06,0.52
2025-03-18,603707,13.9,14.05,14.21,13.9,119039,168543763.0,2.23,1.01,0.14,0.74
2025-03-19,603707,14.04,13.84,14.05,13.73,81855,114266987.0,2.28,-1.49,-0.21,0.51
2025-03-20,603707,13.84,14.09,14.53,13.84,135614,195112093.0,4.99,1.81,0.25,0.84
2025-03-21,603707,14.11,14.28,14.6,14.08,110542,159242999.0,3.69,1.35,0.19,0.68
2025-03-24,603707,14.21,13.9,14.27,13.72,104999,147565226.0,3.85,-2.66,-0.38,0.65
2025-03-25,603707,13.86,13.99,14.06,13.74,63843,89592723.0,2.3,0.65,0.09,0.4
2025-03-26,603707,13.91,13.92,14.05,13.81,44515,62381888.0,1.72,-0.5,-0.07,0.28
2025-03-27,603707,13.91,14.25,14.36,13.73,91413,130094174.0,4.53,2.37,0.33,0.57
2025-03-28,603707,14.25,14.35,14.58,14.21,84342,122209329.0,2.6,0.7,0.1,0.52
2025-03-31,603707,14.21,13.98,14.39,13.9,68341,96831176.0,3.41,-2.58,-0.37,0.42
2025-04-01,603707,14.1,14.4,14.76,14.03,148245,216724134.0,5.22,3.0,0.42,0.92
2025-04-02,603707,14.41,14.23,14.68,14.18,77015,111474010.0,3.47,-1.18,-0.17,0.48
2025-04-03,603707,14.1,13.6,14.15,12.8,427603,573503827.0,9.49,-4.43,-0.63,2.65
2025-04-07,603707,12.85,12.23,13.02,12.23,161759,203738821.0,5.81,-10.07,-1.37,1.0
2025-04-08,603707,12.1,11.43,12.1,11.21,283820,328419022.0,7.28,-6.54,-0.8,1.76
