日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603725,6.29,6.2,6.42,6.1,30286,19312056.0,5.06,-1.9,-0.12,1.06
2025-01-03,603725,6.22,5.96,6.25,5.94,37770,23367910.0,5.0,-3.87,-0.24,1.32
2025-01-06,603725,5.95,6.04,6.1,5.76,27510,16731277.0,5.7,1.34,0.08,0.96
2025-01-07,603725,6.04,6.22,6.23,6.04,24366,15209633.0,3.15,2.98,0.18,0.85
2025-01-08,603725,6.22,6.25,6.29,5.98,35329,22180191.0,4.98,0.48,0.03,1.23
2025-01-09,603725,6.18,6.21,6.28,6.17,17614,11146503.0,1.76,-0.64,-0.04,0.61
2025-01-10,603725,6.21,6.02,6.27,6.02,18686,11626116.0,4.03,-3.06,-0.19,0.65
2025-01-13,603725,5.98,6.11,6.14,5.83,15327,9401033.0,5.15,1.5,0.09,0.53
2025-01-14,603725,6.15,6.34,6.35,6.13,34371,21850002.0,3.6,3.76,0.23,1.2
2025-01-15,603725,6.3,6.36,6.4,6.26,27447,17704724.0,2.21,0.32,0.02,0.96
2025-01-16,603725,6.36,6.36,6.48,6.28,20925,13532418.0,3.14,0.0,0.0,0.73
2025-01-17,603725,6.36,6.38,6.53,6.31,28043,18324215.0,3.46,0.31,0.02,0.98
2025-01-20,603725,6.45,6.55,6.6,6.4,35773,23709379.0,3.13,2.66,0.17,1.25
2025-01-21,603725,6.55,6.42,6.65,6.37,30771,20183596.0,4.27,-1.98,-0.13,1.07
2025-01-22,603725,6.38,6.35,6.45,6.32,17407,11266394.0,2.02,-1.09,-0.07,0.61
2025-01-23,603725,6.42,6.36,6.48,6.35,28009,18265572.0,2.05,0.16,0.01,0.98
2025-01-24,603725,6.4,6.41,6.42,6.29,32077,20726829.0,2.04,0.79,0.05,1.12
2025-01-27,603725,6.41,6.45,6.57,6.41,33674,22233566.0,2.5,0.62,0.04,1.17
2025-02-05,603725,6.55,6.45,6.59,6.35,34852,22850709.0,3.72,0.0,0.0,1.22
2025-02-06,603725,6.4,6.52,6.6,6.4,55240,36556422.0,3.1,1.09,0.07,1.93
2025-02-07,603725,6.5,6.5,6.57,6.41,66990,44264478.0,2.45,-0.31,-0.02,2.34
2025-02-10,603725,6.49,6.54,6.54,6.47,43324,28657147.0,1.08,0.62,0.04,1.51
2025-02-11,603725,6.54,6.52,6.59,6.46,38875,25662384.0,1.99,-0.31,-0.02,1.36
2025-02-12,603725,6.51,6.53,6.55,6.46,31543,20825280.0,1.38,0.15,0.01,1.1
2025-02-13,603725,6.52,6.38,6.56,6.38,31371,20583312.0,2.76,-2.3,-0.15,1.09
2025-02-14,603725,6.39,6.36,6.46,6.35,27150,17628930.0,1.72,-0.31,-0.02,0.95
2025-02-17,603725,6.33,6.44,6.45,6.33,30990,20140081.0,1.89,1.26,0.08,1.08
2025-02-18,603725,6.45,6.26,6.45,6.22,30080,19375690.0,3.57,-2.8,-0.18,1.05
2025-02-19,603725,6.24,6.36,6.37,6.2,23030,14786604.0,2.72,1.6,0.1,0.8
2025-02-20,603725,6.37,6.45,6.47,6.32,35607,23165963.0,2.36,1.42,0.09,1.24
2025-02-21,603725,6.5,6.42,6.51,6.39,36083,23592162.0,1.86,-0.47,-0.03,1.26
2025-02-24,603725,6.43,6.39,6.45,6.36,50595,32879923.0,1.4,-0.47,-0.03,1.77
2025-02-25,603725,6.36,6.29,6.39,6.27,43185,27782615.0,1.88,-1.56,-0.1,1.51
2025-02-26,603725,6.29,6.41,6.42,6.29,40501,26243066.0,2.07,1.91,0.12,1.41
2025-02-27,603725,6.42,6.43,6.46,6.26,46255,29960133.0,3.12,0.31,0.02,1.61
2025-02-28,603725,6.42,6.27,6.45,6.25,38534,24782422.0,3.11,-2.49,-0.16,1.34
2025-03-03,603725,6.29,6.37,6.47,6.29,48205,31328140.0,2.87,1.59,0.1,1.68
2025-03-04,603725,6.35,6.75,6.76,6.33,111896,75043130.0,6.75,5.97,0.38,3.9
2025-03-05,603725,6.7,6.74,6.76,6.61,103511,70153518.0,2.22,-0.15,-0.01,3.61
2025-03-06,603725,6.76,6.59,6.77,6.56,104040,69924453.0,3.12,-2.23,-0.15,3.63
2025-03-07,603725,6.59,6.6,6.68,6.48,81803,54708809.0,3.03,0.15,0.01,2.85
2025-03-10,603725,6.6,6.6,6.64,6.56,49209,32954452.0,1.21,0.0,0.0,1.72
2025-03-11,603725,6.58,6.58,6.59,6.48,43383,28801338.0,1.67,-0.3,-0.02,1.51
2025-03-12,603725,6.58,6.64,6.69,6.57,53521,35950535.0,1.82,0.91,0.06,1.87
2025-03-13,603725,6.64,6.58,6.66,6.46,46373,30819505.0,3.01,-0.9,-0.06,1.62
2025-03-14,603725,6.58,6.7,6.72,6.5,53413,36028986.0,3.34,1.82,0.12,1.86
2025-03-17,603725,6.75,6.73,6.76,6.65,44807,30474849.0,1.64,0.45,0.03,1.56
2025-03-18,603725,6.7,6.78,6.82,6.69,39265,26891786.0,1.93,0.74,0.05,1.37
2025-03-19,603725,6.79,6.72,6.81,6.67,44431,30297165.0,2.06,-0.88,-0.06,1.55
2025-03-20,603725,6.7,6.75,6.8,6.67,47665,32589157.0,1.93,0.45,0.03,1.66
2025-03-21,603725,6.74,6.68,6.75,6.59,38811,26281447.0,2.37,-1.04,-0.07,1.35
2025-03-24,603725,6.7,6.48,6.73,6.38,72952,48415935.0,5.24,-2.99,-0.2,2.54
2025-03-25,603725,6.45,6.57,6.6,6.41,44839,29610485.0,2.93,1.39,0.09,1.56
2025-03-26,603725,6.53,6.75,6.78,6.53,56535,38605827.0,3.81,2.74,0.18,1.97
2025-03-27,603725,6.8,6.79,6.86,6.63,54777,37589151.0,3.41,0.59,0.04,1.91
2025-03-28,603725,6.81,6.7,6.84,6.66,55976,38288368.0,2.65,-1.33,-0.09,1.95
2025-03-31,603725,6.62,6.56,6.71,6.48,65355,43542764.0,3.43,-2.09,-0.14,2.28
2025-04-01,603725,6.55,6.66,6.79,6.55,46310,31501450.0,3.66,1.52,0.1,1.62
2025-04-02,603725,6.69,6.8,6.89,6.63,62444,43057628.0,3.9,2.1,0.14,2.18
2025-04-03,603725,6.72,6.86,6.92,6.69,66148,45716169.0,3.38,0.88,0.06,2.31
2025-04-07,603725,6.59,6.16,6.59,6.16,85390,54578005.0,6.27,-10.2,-0.7,2.98
2025-04-08,603725,5.9,5.97,6.2,5.89,86855,53007760.0,5.03,-3.08,-0.19,3.03
2025-04-09,603725,5.9,6.13,6.17,5.55,57745,34535218.0,10.39,2.68,0.16,2.01
2025-04-10,603725,6.19,6.27,6.35,6.15,50618,32332660.0,3.26,2.28,0.14,1.77
2025-04-11,603725,6.25,6.27,6.38,6.2,30282,19392033.0,2.87,0.0,0.0,1.06
2025-04-14,603725,6.33,6.39,6.47,6.32,38288,24892981.0,2.39,1.91,0.12,1.34
2025-04-15,603725,6.45,6.64,6.65,6.35,61860,40977434.0,4.69,3.91,0.25,2.16
2025-04-16,603725,6.6,6.65,6.65,6.33,57239,37841953.0,4.82,0.15,0.01,2.0
2025-04-17,603725,6.61,6.58,6.69,6.49,65026,43455322.0,3.01,-1.05,-0.07,2.27
2025-04-18,603725,6.58,6.56,6.79,6.56,50535,34095792.0,3.5,-0.3,-0.02,1.76
2025-04-21,603725,6.6,6.7,6.75,6.56,50429,34159271.0,2.9,2.13,0.14,1.76
2025-04-22,603725,6.7,6.9,6.93,6.68,74323,51398885.0,3.73,2.99,0.2,2.59
2025-04-23,603725,6.9,6.9,7.04,6.82,87129,61195206.0,3.19,0.0,0.0,3.04
2025-04-24,603725,6.89,6.85,6.98,6.73,66158,45996536.0,3.62,-0.72,-0.05,2.31
2025-04-25,603725,6.89,6.88,6.94,6.7,50459,35021712.0,3.5,0.44,0.03,1.76
2025-04-28,603725,6.88,6.77,6.9,6.63,43665,29829701.0,3.92,-1.6,-0.11,1.52
2025-04-29,603725,6.76,6.86,6.89,6.7,40974,28455612.0,2.81,1.33,0.09,1.43
2025-04-30,603725,6.92,6.91,7.0,6.81,58325,40922533.0,2.77,0.73,0.05,2.03
2025-05-06,603725,6.93,7.02,7.13,6.93,68578,48812728.0,2.89,1.59,0.11,2.39
2025-05-07,603725,7.06,7.02,7.12,6.96,41205,29350388.0,2.28,0.0,0.0,1.44
2025-05-08,603725,7.02,7.05,7.08,6.99,35245,25181502.0,1.28,0.43,0.03,1.23
2025-05-09,603725,7.07,7.03,7.1,7.0,29784,21284737.0,1.42,-0.28,-0.02,1.04
2025-05-12,603725,7.08,7.01,7.08,6.93,38308,27150145.0,2.13,-0.28,-0.02,1.34
2025-05-13,603725,7.06,6.98,7.13,6.95,31330,22310548.0,2.57,-0.43,-0.03,1.09
2025-05-14,603725,6.95,6.88,7.0,6.86,32577,22805026.0,2.01,-1.43,-0.1,1.14
2025-05-15,603725,6.89,6.88,6.98,6.84,26247,18367903.0,2.03,0.0,0.0,0.92
2025-05-16,603725,6.86,7.04,7.08,6.85,45182,32021999.0,3.34,2.33,0.16,1.58
2025-05-19,603725,7.04,7.09,7.1,6.96,38996,27895710.0,1.99,0.71,0.05,1.36
2025-05-20,603725,7.09,7.81,7.81,7.08,159390,122235413.0,10.3,10.16,0.72,5.56
2025-05-21,603725,8.18,7.94,8.39,7.62,447009,362261923.0,9.86,1.66,0.13,15.59
2025-05-22,603725,7.86,8.48,8.74,7.63,540918,462823360.0,13.98,6.8,0.54,18.87
2025-05-23,603725,7.98,8.89,9.21,7.7,528389,449052132.0,17.81,4.83,0.41,18.43
2025-05-26,603725,8.6,8.78,8.98,8.44,373357,327571964.0,6.07,-1.24,-0.11,13.02
2025-05-27,603725,8.59,8.25,8.59,8.13,301447,254223268.0,5.24,-6.04,-0.53,10.52
2025-05-28,603725,8.12,7.95,8.21,7.73,273139,216092643.0,5.82,-3.64,-0.3,9.53
2025-05-29,603725,7.88,7.92,7.98,7.69,186208,146562165.0,3.65,-0.38,-0.03,6.5
2025-05-30,603725,7.82,7.58,7.86,7.47,208464,158148748.0,4.92,-4.29,-0.34,7.27
2025-06-03,603725,7.48,7.59,7.66,7.47,118769,90198264.0,2.51,0.13,0.01,4.14
2025-06-04,603725,7.63,7.81,7.99,7.57,198159,154920712.0,5.53,2.9,0.22,6.91
2025-06-05,603725,7.81,7.67,7.88,7.67,117590,91096991.0,2.69,-1.79,-0.14,4.1
2025-06-06,603725,7.68,7.63,7.76,7.55,71990,55004632.0,2.74,-0.52,-0.04,2.51
2025-06-09,603725,7.65,7.77,7.86,7.62,98859,76567667.0,3.15,1.83,0.14,3.45
2025-06-10,603725,7.88,7.57,7.88,7.47,100363,76451929.0,5.28,-2.57,-0.2,3.5
2025-06-11,603725,7.56,8.33,8.33,7.52,247920,200450962.0,10.7,10.04,0.76,8.65
2025-06-12,603725,8.25,8.4,8.73,8.2,388868,328902706.0,6.36,0.84,0.07,13.57
2025-06-13,603725,8.3,8.3,8.45,8.1,222808,183706723.0,4.17,-1.19,-0.1,7.77
2025-06-16,603725,8.09,8.17,8.3,8.02,150820,123792559.0,3.37,-1.57,-0.13,5.26
2025-06-17,603725,8.22,7.98,8.25,7.9,143987,115322498.0,4.28,-2.33,-0.19,5.02
2025-06-18,603725,7.93,7.89,7.95,7.76,86462,67820073.0,2.38,-1.13,-0.09,3.02
2025-06-19,603725,7.88,7.59,7.88,7.51,104656,79962263.0,4.69,-3.8,-0.3,3.65
2025-06-20,603725,7.51,7.6,7.72,7.42,85194,64463957.0,3.95,0.13,0.01,2.97
2025-06-23,603725,7.5,7.95,8.04,7.42,125977,98679807.0,8.16,4.61,0.35,4.39
2025-06-24,603725,8.09,8.21,8.45,7.95,155954,127756511.0,6.29,3.27,0.26,5.44
2025-06-25,603725,8.21,8.19,8.35,8.12,94837,77805117.0,2.8,-0.24,-0.02,3.31
2025-06-26,603725,8.16,8.13,8.33,8.06,76561,62272275.0,3.3,-0.73,-0.06,2.67
2025-06-27,603725,8.2,8.55,8.65,8.03,143046,118913066.0,7.63,5.17,0.42,4.99
