日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603778,3.04,3.01,3.12,2.99,122549,37452660.0,4.29,-0.66,-0.02,1.91
2025-01-03,603778,3.03,2.9,3.05,2.89,119767,35310525.0,5.32,-3.65,-0.11,1.86
2025-01-06,603778,2.9,2.85,2.91,2.79,93266,26584243.0,4.14,-1.72,-0.05,1.45
2025-01-07,603778,2.85,2.94,2.94,2.84,95619,27566484.0,3.51,3.16,0.09,1.49
2025-01-08,603778,2.93,2.95,2.98,2.85,97212,28449903.0,4.42,0.34,0.01,1.51
2025-01-09,603778,2.93,2.96,3.0,2.91,70330,20865731.0,3.05,0.34,0.01,1.09
2025-01-10,603778,2.98,2.84,2.98,2.84,73719,21347613.0,4.73,-4.05,-0.12,1.15
2025-01-13,603778,2.83,2.84,2.85,2.75,53019,14913024.0,3.52,0.0,0.0,0.82
2025-01-14,603778,2.86,3.01,3.01,2.86,92940,27358361.0,5.28,5.99,0.17,1.45
2025-01-15,603778,3.03,3.04,3.11,2.95,118722,35954996.0,5.32,1.0,0.03,1.85
2025-01-16,603778,3.04,3.08,3.1,3.01,89797,27517693.0,2.96,1.32,0.04,1.4
2025-01-17,603778,3.09,3.03,3.09,3.01,76766,23286132.0,2.6,-1.62,-0.05,1.19
2025-01-20,603778,3.06,3.06,3.11,2.99,123029,37694860.0,3.96,0.99,0.03,1.91
2025-01-21,603778,3.12,2.98,3.12,2.96,110076,33231504.0,5.23,-2.61,-0.08,1.71
2025-01-22,603778,2.95,2.95,2.98,2.91,67860,20043085.0,2.35,-1.01,-0.03,1.06
2025-01-23,603778,3.0,2.95,3.04,2.95,75320,22594310.0,3.05,0.0,0.0,1.17
2025-01-24,603778,2.96,3.0,3.02,2.92,89438,26627488.0,3.39,1.69,0.05,1.39
2025-01-27,603778,3.0,3.01,3.1,2.97,93354,28473831.0,4.33,0.33,0.01,1.45
2025-02-05,603778,3.03,3.06,3.09,3.0,72328,22130328.0,2.99,1.66,0.05,1.13
2025-02-06,603778,3.06,3.11,3.11,3.02,89373,27427896.0,2.94,1.63,0.05,1.39
2025-02-07,603778,3.09,3.18,3.22,3.09,122348,38883900.0,4.18,2.25,0.07,1.9
2025-02-10,603778,3.19,3.27,3.27,3.14,113285,36464002.0,4.09,2.83,0.09,1.76
2025-02-11,603778,3.48,3.6,3.6,3.41,154754,55065892.0,5.81,10.09,0.33,2.41
2025-02-12,603778,3.73,3.5,3.82,3.41,649618,231564734.0,11.39,-2.78,-0.1,10.11
2025-02-13,603778,3.47,3.32,3.48,3.31,332813,112006696.0,4.86,-5.14,-0.18,5.18
2025-02-14,603778,3.32,3.31,3.39,3.3,205002,68408116.0,2.71,-0.3,-0.01,3.19
2025-02-17,603778,3.33,3.34,3.36,3.3,188204,62671119.0,1.81,0.91,0.03,2.93
2025-02-18,603778,3.35,3.24,3.37,3.24,189242,62578029.0,3.89,-2.99,-0.1,2.94
2025-02-19,603778,3.24,3.26,3.26,3.2,142710,46165142.0,1.85,0.62,0.02,2.22
2025-02-20,603778,3.24,3.25,3.27,3.2,111172,35915645.0,2.15,-0.31,-0.01,1.73
2025-02-21,603778,3.26,3.2,3.26,3.18,131320,42042987.0,2.46,-1.54,-0.05,2.04
2025-02-24,603778,3.19,3.27,3.27,3.18,148564,48031152.0,2.81,2.19,0.07,2.31
2025-02-25,603778,3.23,3.25,3.32,3.22,164058,53608981.0,3.06,-0.61,-0.02,2.55
2025-02-26,603778,3.24,3.32,3.34,3.22,219704,72361755.0,3.69,2.15,0.07,3.42
2025-02-27,603778,3.32,3.3,3.34,3.24,177005,58210414.0,3.01,-0.6,-0.02,2.75
2025-02-28,603778,3.29,3.2,3.31,3.2,105644,34197813.0,3.33,-3.03,-0.1,1.64
2025-03-03,603778,3.2,3.21,3.29,3.18,119403,38635816.0,3.44,0.31,0.01,1.86
2025-03-04,603778,3.18,3.2,3.21,3.16,106234,33804862.0,1.56,-0.31,-0.01,1.65
2025-03-05,603778,3.19,3.16,3.2,3.11,109660,34414694.0,2.81,-1.25,-0.04,1.71
2025-03-06,603778,3.16,3.22,3.22,3.11,135295,43021542.0,3.48,1.9,0.06,2.1
2025-03-07,603778,3.21,3.16,3.24,3.15,98114,31200026.0,2.8,-1.86,-0.06,1.53
2025-03-10,603778,3.16,3.21,3.26,3.14,126235,40545560.0,3.8,1.58,0.05,1.96
2025-03-11,603778,3.17,3.24,3.25,3.16,89596,28694380.0,2.8,0.93,0.03,1.39
2025-03-12,603778,3.25,3.25,3.3,3.24,112191,36615383.0,1.85,0.31,0.01,1.75
2025-03-13,603778,3.26,3.23,3.26,3.17,90679,29095299.0,2.77,-0.62,-0.02,1.41
2025-03-14,603778,3.22,3.29,3.29,3.2,123631,40267397.0,2.79,1.86,0.06,1.92
2025-03-17,603778,3.29,3.34,3.34,3.29,142271,47310511.0,1.52,1.52,0.05,2.21
2025-03-18,603778,3.34,3.33,3.35,3.3,99779,33166189.0,1.5,-0.3,-0.01,1.55
2025-03-19,603778,3.32,3.33,3.35,3.28,100548,33331088.0,2.1,0.0,0.0,1.56
2025-03-20,603778,3.33,3.35,3.38,3.31,119761,40161287.0,2.1,0.6,0.02,1.86
2025-03-21,603778,3.34,3.31,3.37,3.29,106070,35218745.0,2.39,-1.19,-0.04,1.65
2025-03-24,603778,3.33,3.15,3.34,3.1,149723,47849971.0,7.25,-4.83,-0.16,2.33
2025-03-25,603778,3.17,3.1,3.17,3.04,132779,41011488.0,4.13,-1.59,-0.05,2.07
2025-03-26,603778,3.07,3.18,3.21,3.07,131536,41761055.0,4.52,2.58,0.08,2.05
2025-03-27,603778,3.17,3.14,3.23,3.1,82899,26120032.0,4.09,-1.26,-0.04,1.29
2025-03-28,603778,3.14,3.05,3.15,3.05,106557,32862160.0,3.18,-2.87,-0.09,1.66
2025-03-31,603778,3.04,3.0,3.05,2.97,132987,39928931.0,2.62,-1.64,-0.05,2.07
2025-04-01,603778,3.0,3.01,3.09,3.0,107557,32702606.0,3.0,0.33,0.01,1.67
2025-04-02,603778,3.02,2.99,3.04,2.97,68545,20589159.0,2.33,-0.66,-0.02,1.07
2025-04-03,603778,2.99,3.05,3.09,2.97,146361,44216444.0,4.01,2.01,0.06,2.28
2025-04-07,603778,2.9,2.75,2.91,2.75,131288,36498284.0,5.25,-9.84,-0.3,2.04
2025-04-08,603778,2.75,2.67,2.76,2.62,181723,48681464.0,5.09,-2.91,-0.08,2.83
2025-04-09,603778,2.65,2.77,2.78,2.49,172000,45542725.0,10.86,3.75,0.1,2.68
2025-04-10,603778,2.82,2.84,2.88,2.78,113420,32311216.0,3.61,2.53,0.07,1.76
2025-04-11,603778,2.84,2.88,2.9,2.82,90621,25981809.0,2.82,1.41,0.04,1.41
2025-04-14,603778,2.93,2.98,3.02,2.92,106889,31895854.0,3.47,3.47,0.1,1.66
2025-04-15,603778,2.98,2.98,3.01,2.93,81799,24220106.0,2.68,0.0,0.0,1.27
2025-04-16,603778,2.96,2.9,2.98,2.86,70176,20433298.0,4.03,-2.68,-0.08,1.09
2025-04-17,603778,2.91,2.92,2.96,2.87,53294,15596961.0,3.1,0.69,0.02,0.83
2025-04-18,603778,2.92,2.92,2.93,2.87,59222,17202839.0,2.05,0.0,0.0,0.92
2025-04-21,603778,2.9,2.94,2.94,2.88,65147,19046250.0,2.05,0.68,0.02,1.01
2025-04-22,603778,2.91,2.93,2.96,2.89,79373,23271168.0,2.38,-0.34,-0.01,1.23
2025-04-23,603778,2.94,2.9,2.97,2.9,70741,20713562.0,2.39,-1.02,-0.03,1.1
2025-04-24,603778,2.91,2.89,2.92,2.85,79375,22914300.0,2.41,-0.34,-0.01,1.23
2025-04-25,603778,2.89,2.87,2.92,2.86,75052,21700076.0,2.08,-0.69,-0.02,1.17
2025-04-28,603778,2.89,2.86,2.95,2.84,114573,32981460.0,3.83,-0.35,-0.01,1.78
2025-04-29,603778,2.84,2.92,2.94,2.83,158042,45972747.0,3.85,2.1,0.06,2.46
2025-04-30,603778,2.93,2.96,3.02,2.92,109445,32446281.0,3.42,1.37,0.04,1.7
2025-05-06,603778,2.97,3.08,3.08,2.97,137121,41647535.0,3.72,4.05,0.12,2.13
2025-05-07,603778,3.1,3.12,3.14,3.08,136495,42454508.0,1.95,1.3,0.04,2.12
2025-05-08,603778,3.11,3.16,3.17,3.09,103061,32461383.0,2.56,1.28,0.04,1.6
2025-05-09,603778,3.14,3.14,3.17,3.12,89358,28099440.0,1.58,-0.63,-0.02,1.39
2025-05-12,603778,3.15,3.14,3.19,3.1,82913,25914856.0,2.87,0.0,0.0,1.29
2025-05-13,603778,3.16,3.16,3.31,3.14,208106,66859773.0,5.41,0.64,0.02,3.24
2025-05-14,603778,3.14,3.14,3.16,3.1,145028,45413546.0,1.9,-0.63,-0.02,2.26
2025-05-15,603778,3.12,3.13,3.15,3.1,67017,20969133.0,1.59,-0.32,-0.01,1.04
2025-05-16,603778,3.15,3.13,3.17,3.12,78663,24680537.0,1.6,0.0,0.0,1.22
2025-05-19,603778,3.15,3.23,3.24,3.13,106699,34117566.0,3.51,3.19,0.1,1.66
2025-05-20,603778,3.22,3.26,3.27,3.2,87589,28435521.0,2.17,0.93,0.03,1.36
2025-05-21,603778,3.28,3.26,3.28,3.23,77354,25151174.0,1.53,0.0,0.0,1.2
2025-05-22,603778,3.28,3.2,3.29,3.19,104493,33766080.0,3.07,-1.84,-0.06,1.63
2025-05-23,603778,3.22,3.13,3.22,3.12,107474,34086581.0,3.13,-2.19,-0.07,1.67
2025-05-26,603778,3.17,3.18,3.21,3.13,81981,26008296.0,2.56,1.6,0.05,1.28
2025-05-27,603778,3.16,3.2,3.2,3.14,87042,27571618.0,1.89,0.63,0.02,1.35
2025-05-28,603778,3.18,3.15,3.22,3.13,88329,27868009.0,2.81,-1.56,-0.05,1.37
2025-05-29,603778,3.17,3.22,3.23,3.13,91827,29353949.0,3.17,2.22,0.07,1.43
2025-05-30,603778,3.23,3.16,3.24,3.15,74560,23633664.0,2.8,-1.86,-0.06,1.16
2025-06-03,603778,3.17,3.19,3.2,3.13,75756,24021614.0,2.22,0.95,0.03,1.18
2025-06-04,603778,3.21,3.27,3.27,3.17,102116,32923147.0,3.13,2.51,0.08,1.59
2025-06-05,603778,3.26,3.24,3.29,3.19,118605,38403756.0,3.06,-0.92,-0.03,1.84
2025-06-06,603778,3.24,3.26,3.28,3.21,96575,31350820.0,2.16,0.62,0.02,1.5
2025-06-09,603778,3.27,3.3,3.31,3.23,103338,33913079.0,2.45,1.23,0.04,1.61
2025-06-10,603778,3.32,3.24,3.32,3.19,111341,36149539.0,3.94,-1.82,-0.06,1.73
2025-06-11,603778,3.26,3.26,3.3,3.24,90734,29641464.0,1.85,0.62,0.02,1.41
2025-06-12,603778,3.26,3.24,3.28,3.22,88184,28587552.0,1.84,-0.61,-0.02,1.37
2025-06-13,603778,3.24,3.16,3.25,3.14,111814,35551635.0,3.4,-2.47,-0.08,1.74
2025-06-16,603778,3.15,3.17,3.21,3.14,107447,34182381.0,2.22,0.32,0.01,1.67
2025-06-17,603778,3.17,3.17,3.21,3.14,87842,27773611.0,2.21,0.0,0.0,1.37
2025-06-18,603778,3.15,3.13,3.17,3.11,74196,23252317.0,1.89,-1.26,-0.04,1.15
2025-06-19,603778,3.12,3.02,3.14,3.01,128513,39258032.0,4.15,-3.51,-0.11,2.0
2025-06-20,603778,3.02,2.99,3.11,2.98,179276,54308151.0,4.3,-0.99,-0.03,2.79
2025-06-23,603778,3.21,3.11,3.29,3.05,471433,148333303.0,8.03,4.01,0.12,7.33
2025-06-24,603778,3.12,3.22,3.24,3.07,349039,110564608.0,5.47,3.54,0.11,5.43
2025-06-25,603778,3.26,3.25,3.33,3.23,311991,102143133.0,3.11,0.93,0.03,4.85
2025-06-26,603778,3.26,3.27,3.36,3.24,195057,64114302.0,3.69,0.62,0.02,3.03
2025-06-27,603778,3.33,3.36,3.39,3.27,232776,78028939.0,3.67,2.75,0.09,3.62
2025-06-30,603778,3.34,3.36,3.41,3.33,166392,55831767.0,2.38,0.0,0.0,2.59
2025-07-01,603778,3.38,3.36,3.39,3.31,154433,51672406.0,2.38,0.0,0.0,2.4
2025-07-02,603778,3.36,3.44,3.48,3.33,217710,74196682.0,4.46,2.38,0.08,3.39
2025-07-03,603778,3.44,3.5,3.54,3.43,222798,77386385.0,3.2,1.74,0.06,3.47
2025-07-04,603778,3.51,3.49,3.57,3.45,203037,70968111.0,3.43,-0.29,-0.01,3.16
2025-07-07,603778,3.45,3.47,3.5,3.41,140994,48821830.0,2.58,-0.57,-0.02,2.19
2025-07-08,603778,3.47,3.75,3.81,3.44,561070,203415266.0,10.66,8.07,0.28,8.73
2025-07-09,603778,3.68,4.13,4.13,3.65,669829,267386316.0,12.8,10.13,0.38,10.42
2025-07-10,603778,4.09,4.54,4.54,4.03,1599608,686860649.0,12.35,9.93,0.41,24.88
2025-07-11,603778,4.86,4.99,4.99,4.7,1510448,747199845.0,6.39,9.91,0.45,23.5
2025-07-14,603778,4.9,5.49,5.49,4.63,1868665,957571458.0,17.23,10.02,0.5,29.07
2025-07-15,603778,5.37,4.94,5.45,4.94,1609600,814212189.0,9.29,-10.02,-0.55,25.04
2025-07-16,603778,4.7,4.45,4.86,4.45,1568645,718503384.0,8.3,-9.92,-0.49,24.4
2025-07-17,603778,4.55,4.28,4.66,4.2,1312742,574427543.0,10.34,-3.82,-0.17,20.42
2025-07-18,603778,4.17,4.07,4.24,4.04,966050,396820104.0,4.67,-4.91,-0.21,15.03
2025-07-21,603778,4.06,4.13,4.24,4.06,942781,392768422.0,4.42,1.47,0.06,14.67
2025-07-22,603778,4.1,4.13,4.26,4.03,887050,366156156.0,5.57,0.0,0.0,13.8
2025-07-23,603778,4.1,3.92,4.13,3.91,1038032,415501568.0,5.33,-5.08,-0.21,16.15
2025-07-24,603778,3.92,3.95,3.96,3.9,524793,206464831.0,1.53,0.77,0.03,8.16
2025-07-25,603778,4.0,3.91,4.08,3.9,390152,154147479.0,4.56,-1.01,-0.04,6.07
2025-07-28,603778,3.87,3.92,3.93,3.85,334113,129998770.0,2.05,0.26,0.01,5.2
2025-07-29,603778,3.94,3.9,3.95,3.84,300401,116405532.0,2.81,-0.51,-0.02,4.67
2025-07-30,603778,3.91,3.85,3.92,3.82,291998,112386779.0,2.56,-1.28,-0.05,4.54
2025-07-31,603778,3.85,3.77,3.87,3.75,294066,111718397.0,3.12,-2.08,-0.08,4.57
2025-08-01,603778,3.79,3.8,3.84,3.75,293034,111627831.0,2.39,0.8,0.03,4.56
2025-08-04,603778,3.79,3.81,3.81,3.74,193467,73280797.0,1.84,0.26,0.01,3.01
2025-08-05,603778,3.83,3.85,3.85,3.81,201422,77177380.0,1.05,1.05,0.04,3.13
2025-08-06,603778,3.86,3.82,3.86,3.79,177114,67755968.0,1.82,-0.78,-0.03,2.76
2025-08-07,603778,3.84,3.82,3.86,3.81,264624,101394395.0,1.31,0.0,0.0,4.12
2025-08-08,603778,3.84,3.86,3.88,3.82,326053,125504266.0,1.57,1.05,0.04,5.07
2025-08-11,603778,3.89,3.93,3.96,3.84,339546,132697010.0,3.11,1.81,0.07,5.28
2025-08-12,603778,3.93,3.87,3.94,3.86,202914,78755760.0,2.04,-1.53,-0.06,3.16
2025-08-13,603778,3.88,3.82,3.91,3.81,273750,104873895.0,2.58,-1.29,-0.05,4.26
2025-08-14,603778,3.82,3.73,3.83,3.72,244329,92030947.0,2.88,-2.36,-0.09,3.8
2025-08-15,603778,3.74,3.78,3.81,3.72,211423,79742866.0,2.41,1.34,0.05,3.29
2025-08-18,603778,3.8,3.83,3.88,3.79,308491,118821476.0,2.38,1.32,0.05,4.8
2025-08-19,603778,3.83,3.91,3.91,3.78,357412,138197856.0,3.39,2.09,0.08,5.56
2025-08-20,603778,3.96,3.9,4.01,3.87,430363,168737470.0,3.58,-0.26,-0.01,6.69
2025-08-21,603778,3.87,3.92,3.95,3.87,397208,155545099.0,2.05,0.51,0.02,6.18
2025-08-22,603778,3.93,3.9,3.94,3.87,261674,101931850.0,1.79,-0.51,-0.02,4.07
2025-08-25,603778,3.92,3.87,3.92,3.86,293968,114173423.0,1.54,-0.77,-0.03,4.57
2025-08-26,603778,3.88,3.89,3.93,3.82,247742,96272453.0,2.84,0.52,0.02,3.85
2025-08-27,603778,3.89,3.73,3.91,3.72,360572,137586496.0,4.88,-4.11,-0.16,5.61
2025-08-28,603778,3.73,3.7,3.79,3.56,371010,136398803.0,6.17,-0.8,-0.03,5.77
2025-08-29,603778,3.7,3.67,3.7,3.64,219320,80456993.0,1.62,-0.81,-0.03,3.41
2025-09-01,603778,3.67,3.74,3.76,3.64,225582,83908270.0,3.27,1.91,0.07,3.51
2025-09-02,603778,3.75,3.79,3.92,3.71,491354,185831572.0,5.61,1.34,0.05,7.64
2025-09-03,603778,3.79,3.73,3.82,3.7,336690,126585148.0,3.17,-1.58,-0.06,5.24
2025-09-04,603778,3.72,3.75,3.85,3.68,409406,154915632.0,4.56,0.54,0.02,6.37
2025-09-05,603778,3.74,3.88,3.88,3.74,482257,184574722.0,3.73,3.47,0.13,7.5
2025-09-08,603778,3.9,3.97,3.97,3.83,559751,218440900.0,3.61,2.32,0.09,8.71
2025-09-09,603778,3.94,4.01,4.1,3.92,764913,307741729.0,4.53,1.01,0.04,11.9
2025-09-10,603778,3.99,3.98,4.04,3.94,393320,156616578.0,2.49,-0.75,-0.03,6.12
2025-09-11,603778,3.98,3.94,3.99,3.91,366931,144511433.0,2.01,-1.01,-0.04,5.71
2025-09-12,603778,3.95,3.91,3.99,3.9,268349,105587713.0,2.28,-0.76,-0.03,4.17
2025-09-15,603778,3.92,3.94,3.99,3.88,326714,128250437.0,2.81,0.77,0.03,5.08
2025-09-16,603778,3.95,3.99,4.03,3.93,351874,140019233.0,2.54,1.27,0.05,5.47
2025-09-17,603778,4.0,3.95,4.03,3.94,325720,129557787.0,2.26,-1.0,-0.04,5.07
2025-09-18,603778,3.97,3.8,3.97,3.76,373158,144635381.0,5.32,-3.8,-0.15,5.8
2025-09-19,603778,3.8,3.72,3.84,3.7,242199,90625108.0,3.68,-2.11,-0.08,3.77
2025-09-22,603778,3.51,3.35,3.57,3.35,500728,169748687.0,5.91,-9.95,-0.37,7.79
2025-09-23,603778,3.32,3.33,3.37,3.23,406350,133755179.0,4.18,-0.6,-0.02,6.32
2025-09-24,603778,3.3,3.42,3.43,3.27,305725,103552884.0,4.8,2.7,0.09,4.76
2025-09-25,603778,3.44,3.44,3.49,3.38,228901,79008772.0,3.22,0.58,0.02,3.56
2025-09-26,603778,3.44,3.44,3.49,3.4,185953,64064668.0,2.62,0.0,0.0,2.89
2025-09-29,603778,3.47,3.5,3.51,3.36,214070,74143779.0,4.36,1.74,0.06,3.33
2025-09-30,603778,3.51,3.48,3.53,3.46,155779,54439474.0,2.0,-0.57,-0.02,2.42
2025-10-09,603778,3.5,3.45,3.52,3.43,187670,65089246.0,2.59,-0.86,-0.03,2.92
2025-10-10,603778,3.45,3.48,3.52,3.42,212745,74038176.0,2.9,0.87,0.03,3.31
2025-10-13,603778,3.44,3.5,3.5,3.33,196086,67513984.0,4.89,0.57,0.02,3.05
2025-10-14,603778,3.52,3.58,3.65,3.52,266096,95525376.0,3.71,2.29,0.08,4.14
2025-10-15,603778,3.94,3.94,3.94,3.94,155336,61202384.0,0.0,10.06,0.36,2.42
2025-10-16,603778,4.33,4.33,4.33,4.33,166094,71918702.0,0.0,9.9,0.39,2.58
2025-10-17,603778,4.31,4.39,4.64,4.26,2041609,906995528.0,8.78,1.39,0.06,31.76
2025-10-20,603778,4.39,4.32,4.58,4.11,1397399,606434673.0,10.71,-1.59,-0.07,21.74
2025-10-21,603778,4.49,4.44,4.75,4.21,1705181,763708192.0,12.5,2.78,0.12,26.53
2025-10-22,603778,4.3,4.58,4.68,4.24,1557188,697441319.0,9.91,3.15,0.14,24.22
2025-10-23,603778,4.46,4.52,4.62,4.38,1069674,480550137.0,5.24,-1.31,-0.06,16.64
2025-10-24,603778,4.44,4.6,4.65,4.42,1036378,472836658.0,5.09,1.77,0.08,16.12
2025-10-27,603778,4.6,4.45,4.62,4.41,748433,334372591.0,4.57,-3.26,-0.15,11.64
2025-10-28,603778,4.45,4.59,4.89,4.41,1052989,489003288.0,10.79,3.15,0.14,16.38
2025-10-29,603778,4.59,4.6,4.77,4.36,1014906,461895472.0,8.93,0.22,0.01,15.79
2025-10-30,603778,4.58,4.7,5.02,4.58,1095719,523524274.0,9.57,2.17,0.1,17.04
2025-10-31,603778,4.52,4.53,4.66,4.47,773439,352075863.0,4.04,-3.62,-0.17,12.03
2025-11-03,603778,4.62,4.98,4.98,4.51,939569,446914831.0,10.38,9.93,0.45,14.62
2025-11-04,603778,5.19,4.8,5.19,4.76,1095717,533643586.0,8.63,-3.61,-0.18,17.04
2025-11-05,603778,4.71,5.05,5.14,4.64,1155943,565338881.0,10.42,5.21,0.25,17.98
2025-11-06,603778,4.97,4.98,5.26,4.89,1015266,511216874.0,7.33,-1.39,-0.07,15.79
2025-11-07,603778,4.96,5.28,5.4,4.96,1209176,632273365.0,8.84,6.02,0.3,18.81
2025-11-10,603778,5.5,5.81,5.81,5.5,631748,364251226.0,5.87,10.04,0.53,9.83
2025-11-11,603778,6.39,6.39,6.39,6.39,111229,71075631.0,0.0,9.98,0.58,1.73
2025-11-12,603778,7.03,7.03,7.03,7.03,84623,59489969.0,0.0,10.02,0.64,1.32
2025-11-13,603778,7.5,7.73,7.73,6.94,1887432,1415778518.0,11.24,9.96,0.7,29.36
2025-11-14,603778,8.01,8.5,8.5,7.82,1855645,1517258515.0,8.8,9.96,0.77,28.87
2025-11-17,603778,7.89,7.9,8.37,7.65,1965173,1564844208.0,8.47,-7.06,-0.6,30.57
2025-11-18,603778,7.86,8.15,8.69,7.48,1846242,1519681444.0,15.32,3.16,0.25,28.72
2025-11-19,603778,8.0,8.97,8.97,7.91,1850423,1618292897.0,13.01,10.06,0.82,28.78
2025-11-20,603778,8.97,8.07,9.37,8.07,1830185,1566607430.0,14.49,-10.03,-0.9,28.47
2025-11-21,603778,7.32,7.35,7.9,7.26,1570395,1163722335.0,7.93,-8.92,-0.72,24.43
