日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603786,61.27,58.15,61.44,57.86,16406,97663388.0,5.85,-4.91,-3.0,0.41
2025-01-03,603786,58.05,56.59,58.46,55.75,22672,129792070.0,4.66,-2.68,-1.56,0.56
2025-01-06,603786,55.84,57.17,57.85,55.84,12030,69478124.0,3.55,1.02,0.58,0.3
2025-01-07,603786,57.17,57.75,57.75,56.37,9129,52821178.0,2.41,1.01,0.58,0.23
2025-01-08,603786,56.36,58.75,59.11,56.36,12030,70450620.0,4.76,1.73,1.0,0.3
2025-01-09,603786,58.75,58.83,59.24,58.01,7409,44007688.0,2.09,0.14,0.08,0.18
2025-01-10,603786,59.46,61.1,62.75,58.47,19474,120422955.0,7.28,3.86,2.27,0.48
2025-01-13,603786,60.35,59.15,62.23,58.31,17445,105876622.0,6.42,-3.19,-1.95,0.43
2025-01-14,603786,59.55,60.81,61.25,58.35,8834,53682185.0,4.9,2.81,1.66,0.22
2025-01-15,603786,60.83,59.49,60.91,59.23,8022,48611633.0,2.76,-2.17,-1.32,0.2
2025-01-16,603786,59.76,58.64,60.03,57.48,14735,87076900.0,4.29,-1.43,-0.85,0.37
2025-01-17,603786,58.46,60.39,60.82,58.32,10961,66175552.0,4.26,2.98,1.75,0.27
2025-01-20,603786,60.89,60.65,62.01,59.69,8825,54416753.0,3.84,0.43,0.26,0.22
2025-01-21,603786,60.75,61.2,61.85,59.65,7818,48158245.0,3.63,0.91,0.55,0.19
2025-01-22,603786,60.83,62.23,62.52,59.55,14550,90167867.0,4.85,1.68,1.03,0.36
2025-01-23,603786,62.31,61.47,63.05,61.15,8597,53877954.0,3.05,-1.22,-0.76,0.21
2025-01-24,603786,61.38,61.19,63.51,61.15,9322,58392799.0,3.84,-0.46,-0.28,0.23
2025-01-27,603786,62.98,60.53,63.03,60.53,6674,41170798.0,4.09,-1.08,-0.66,0.17
2025-02-05,603786,60.45,61.3,61.68,59.36,14967,91631798.0,3.83,1.27,0.77,0.37
2025-02-06,603786,60.6,67.5,67.5,60.6,26717,176233594.0,11.26,10.11,6.2,0.66
2025-02-07,603786,70.35,71.0,73.82,68.55,47341,340123599.0,7.81,5.19,3.5,1.18
2025-02-10,603786,70.93,70.89,71.09,68.86,30941,218724224.0,3.14,-0.15,-0.11,0.77
2025-02-11,603786,70.35,70.85,71.35,68.99,18014,128082953.0,3.33,-0.06,-0.04,0.45
2025-02-12,603786,70.35,71.85,72.35,69.44,17383,125441082.0,4.11,1.41,1.0,0.43
2025-02-13,603786,72.35,70.32,76.11,70.13,24296,177649310.0,8.32,-2.13,-1.53,0.6
2025-02-14,603786,70.64,74.85,74.98,69.35,29423,215813136.0,8.01,6.44,4.53,0.73
2025-02-17,603786,74.54,73.55,76.32,72.96,22763,170506620.0,4.49,-1.74,-1.3,0.57
2025-02-18,603786,74.03,73.11,75.51,72.56,17306,129072970.0,4.01,-0.6,-0.44,0.43
2025-02-19,603786,73.05,73.75,74.99,72.85,15292,114018366.0,2.93,0.88,0.64,0.38
2025-02-20,603786,73.26,71.05,73.36,70.09,24083,173237048.0,4.43,-3.66,-2.7,0.6
2025-02-21,603786,70.95,72.52,73.85,70.69,28988,212622153.0,4.45,2.07,1.47,0.72
2025-02-24,603786,72.15,69.74,72.25,69.12,28193,198870985.0,4.32,-3.83,-2.78,0.7
2025-02-25,603786,69.26,69.58,71.25,67.23,30024,209737445.0,5.76,-0.23,-0.16,0.75
2025-02-26,603786,69.64,67.75,70.17,66.23,37997,259552153.0,5.66,-2.63,-1.83,0.94
2025-02-27,603786,67.61,65.58,67.75,64.88,29830,198860984.0,4.24,-3.2,-2.17,0.74
2025-02-28,603786,65.87,61.78,65.87,61.31,29120,186259598.0,6.95,-5.79,-3.8,0.72
2025-03-03,603786,62.15,60.23,62.43,59.86,28710,176888273.0,4.16,-2.51,-1.55,0.71
2025-03-04,603786,60.01,60.52,61.16,59.82,20124,123109739.0,2.22,0.48,0.29,0.5
2025-03-05,603786,60.78,60.38,61.48,59.96,17804,108728452.0,2.51,-0.23,-0.14,0.44
2025-03-06,603786,60.51,61.34,61.96,59.85,32761,202161549.0,3.49,1.59,0.96,0.81
2025-03-07,603786,61.48,61.85,62.61,60.6,27395,171311573.0,3.28,0.83,0.51,0.68
2025-03-10,603786,62.25,62.5,63.33,61.36,29475,186283353.0,3.19,1.05,0.65,0.73
2025-03-11,603786,61.85,60.89,62.59,60.43,21326,131785129.0,3.46,-2.58,-1.61,0.53
2025-03-12,603786,61.16,62.8,63.24,60.9,27009,170672294.0,3.84,3.14,1.91,0.67
2025-03-13,603786,62.62,63.01,63.63,62.29,22313,141777405.0,2.13,0.33,0.21,0.55
2025-03-14,603786,63.0,62.3,63.0,61.74,20136,126771154.0,2.0,-1.13,-0.71,0.5
2025-03-17,603786,62.34,62.02,62.95,60.86,17961,111953645.0,3.35,-0.45,-0.28,0.45
2025-03-18,603786,61.97,62.31,63.15,61.85,13683,86353654.0,2.1,0.47,0.29,0.34
2025-03-19,603786,62.15,61.99,62.75,61.2,12155,76084718.0,2.49,-0.51,-0.32,0.3
2025-03-20,603786,62.05,61.91,62.31,61.31,10206,63813858.0,1.61,-0.13,-0.08,0.25
2025-03-21,603786,61.65,60.55,61.82,60.12,11586,71083299.0,2.75,-2.2,-1.36,0.29
2025-03-24,603786,60.21,61.52,61.7,60.21,12357,76474177.0,2.46,1.6,0.97,0.31
2025-03-25,603786,61.35,60.65,62.1,60.48,8301,51154947.0,2.63,-1.41,-0.87,0.21
2025-03-26,603786,60.28,61.55,61.79,60.26,12366,76305923.0,2.52,1.48,0.9,0.31
2025-03-27,603786,60.95,62.18,62.83,60.95,13563,85233546.0,3.05,1.02,0.63,0.34
2025-03-28,603786,62.13,61.18,62.5,61.18,8032,50102466.0,2.12,-1.61,-1.0,0.2
2025-03-31,603786,61.05,59.45,61.56,59.05,17788,107805103.0,4.1,-2.83,-1.73,0.44
2025-04-01,603786,59.68,59.65,60.28,58.99,10471,63183290.0,2.17,0.34,0.2,0.26
2025-04-02,603786,59.63,60.67,61.01,59.23,8253,50507848.0,2.98,1.71,1.02,0.21
2025-04-03,603786,59.77,58.71,60.31,58.55,12894,76985255.0,2.9,-3.23,-1.96,0.32
2025-04-07,603786,54.45,52.77,55.35,52.77,12956,70298546.0,4.39,-10.12,-5.94,0.32
2025-04-08,603786,48.75,50.85,52.77,48.75,20171,103503488.0,7.62,-3.64,-1.92,0.5
2025-04-09,603786,50.02,51.73,52.5,48.55,16507,84990155.0,7.77,1.73,0.88,0.41
2025-04-10,603786,52.94,55.91,56.56,52.94,19498,108122892.0,7.0,8.08,4.18,0.48
2025-04-11,603786,55.35,56.39,57.33,55.21,10693,60887761.0,3.79,0.86,0.48,0.27
2025-04-14,603786,56.99,57.95,58.34,56.73,11041,64593397.0,2.86,2.77,1.56,0.27
2025-04-15,603786,57.35,57.45,58.53,57.25,6617,38677982.0,2.21,-0.86,-0.5,0.16
2025-04-16,603786,57.26,55.5,57.4,53.85,14453,80763598.0,6.18,-3.39,-1.95,0.36
2025-04-17,603786,55.28,54.52,55.85,54.4,7563,42119801.0,2.61,-1.77,-0.98,0.19
2025-04-18,603786,54.04,55.9,55.9,54.04,6738,37651585.0,3.41,2.53,1.38,0.17
2025-04-21,603786,55.31,55.69,56.55,55.31,6672,37788675.0,2.22,-0.38,-0.21,0.17
2025-04-22,603786,55.78,55.7,56.61,55.52,6040,34228451.0,1.96,0.02,0.01,0.15
2025-04-23,603786,56.25,57.81,57.95,55.9,9089,52606821.0,3.68,3.79,2.11,0.23
2025-04-24,603786,57.81,57.69,58.35,57.18,7278,42475361.0,2.02,-0.21,-0.12,0.18
2025-04-25,603786,56.85,55.48,56.85,54.97,15732,88582166.0,3.26,-3.83,-2.21,0.39
2025-04-28,603786,55.1,53.95,55.55,53.13,19700,107418662.0,4.36,-2.76,-1.53,0.49
2025-04-29,603786,53.44,52.25,54.15,51.99,22208,117963968.0,4.0,-3.15,-1.7,0.55
2025-04-30,603786,52.55,53.55,53.84,50.96,16094,85579462.0,5.51,2.49,1.3,0.4
2025-05-06,603786,53.89,53.35,54.34,53.16,18594,100613970.0,2.2,-0.37,-0.2,0.46
2025-05-07,603786,53.86,53.51,55.16,53.26,15971,87056441.0,3.56,0.3,0.16,0.4
2025-05-08,603786,53.84,55.0,55.54,53.55,18382,102217496.0,3.72,2.78,1.49,0.46
2025-05-09,603786,54.85,53.31,54.98,53.27,17042,92647145.0,3.11,-3.07,-1.69,0.42
2025-05-12,603786,53.6,54.69,54.78,53.6,13358,73466705.0,2.21,2.59,1.38,0.33
2025-05-13,603786,56.07,54.06,56.07,53.95,12758,70314636.0,3.88,-1.15,-0.63,0.32
2025-05-14,603786,54.05,53.21,54.05,52.97,18948,102322611.0,2.0,-1.57,-0.85,0.47
2025-05-15,603786,53.21,52.62,53.25,52.55,10837,57880021.0,1.32,-1.11,-0.59,0.27
2025-05-16,603786,52.74,52.71,54.21,52.64,20759,112105803.0,2.98,0.17,0.09,0.52
2025-05-19,603786,53.34,53.77,53.99,52.15,16269,87660990.0,3.49,2.01,1.06,0.4
2025-05-20,603786,53.79,53.08,53.8,52.96,11370,61164003.0,1.56,-1.28,-0.69,0.28
2025-05-21,603786,53.19,54.08,54.64,52.45,25235,137086102.0,4.13,1.88,1.0,0.63
2025-05-22,603786,53.65,54.59,55.84,53.4,20809,114917619.0,4.51,0.94,0.51,0.52
2025-05-23,603786,54.57,54.26,55.46,54.21,16595,92108471.0,2.29,-0.6,-0.33,0.41
2025-05-26,603786,54.26,54.11,54.84,53.43,9661,52926638.0,2.6,-0.28,-0.15,0.24
2025-05-27,603786,54.71,54.66,56.0,53.55,20640,114464639.0,4.53,1.02,0.55,0.51
2025-05-28,603786,55.54,52.95,55.75,52.75,26514,144109687.0,5.49,-3.13,-1.71,0.66
2025-05-29,603786,52.96,54.25,54.75,52.96,22467,123067488.0,3.38,2.46,1.3,0.56
2025-05-30,603786,54.0,52.95,54.65,52.76,18407,99252430.0,3.48,-2.4,-1.3,0.46
2025-06-03,603786,52.75,53.76,54.15,52.06,16465,89427067.0,3.95,1.53,0.81,0.41
2025-06-04,603786,53.91,54.15,54.72,53.9,13810,75867287.0,1.53,0.73,0.39,0.34
2025-06-05,603786,54.49,53.71,54.59,53.24,14566,79142574.0,2.49,-0.81,-0.44,0.36
2025-06-06,603786,53.88,53.47,53.88,52.46,12795,68076597.0,2.64,-0.45,-0.24,0.32
2025-06-09,603786,53.68,54.3,54.6,53.23,15453,83532911.0,2.56,1.55,0.83,0.38
2025-06-10,603786,54.4,53.89,54.76,53.65,11203,60541969.0,2.04,-0.76,-0.41,0.28
2025-06-11,603786,54.87,53.88,54.88,53.71,15011,81594720.0,2.17,-0.02,-0.01,0.37
2025-06-12,603786,53.68,53.85,54.11,53.36,7740,41660618.0,1.39,-0.06,-0.03,0.19
2025-06-13,603786,53.7,52.43,53.7,52.31,20246,106939520.0,2.58,-2.64,-1.42,0.5
2025-06-16,603786,52.44,51.9,52.75,51.88,12221,63897167.0,1.66,-1.01,-0.53,0.3
2025-06-17,603786,52.0,51.15,52.01,51.11,11026,56769725.0,1.73,-1.45,-0.75,0.27
2025-06-18,603786,51.19,51.45,51.59,50.88,7344,37673612.0,1.39,0.59,0.3,0.18
2025-06-19,603786,51.5,51.12,51.87,50.8,9197,47161535.0,2.08,-0.64,-0.33,0.23
2025-06-20,603786,51.03,51.1,51.32,50.6,9920,50485906.0,1.41,-0.04,-0.02,0.25
2025-06-23,603786,50.68,50.39,50.95,49.9,12996,65354890.0,2.05,-1.39,-0.71,0.32
2025-06-24,603786,50.74,52.1,52.3,50.74,16476,85368808.0,3.1,3.39,1.71,0.41
2025-06-25,603786,52.24,52.3,52.36,51.5,10458,54423787.0,1.65,0.38,0.2,0.26
2025-06-26,603786,52.3,51.92,52.55,51.82,8587,44806033.0,1.4,-0.73,-0.38,0.21
2025-06-27,603786,51.96,54.8,54.8,51.9,33746,181239116.0,5.59,5.55,2.88,0.84
2025-06-30,603786,54.5,55.41,56.09,54.43,23271,128987078.0,3.03,1.11,0.61,0.58
2025-07-01,603786,55.3,56.07,56.36,54.71,16978,94812241.0,2.98,1.19,0.66,0.42
2025-07-02,603786,56.0,55.7,56.2,55.0,13178,73244125.0,2.14,-0.66,-0.37,0.33
2025-07-03,603786,55.5,54.92,56.0,54.89,8767,48380020.0,1.99,-1.4,-0.78,0.22
2025-07-04,603786,54.97,55.44,55.74,54.5,10504,57982120.0,2.26,0.95,0.52,0.26
2025-07-07,603786,55.25,55.43,56.64,55.0,13295,74190221.0,2.96,-0.02,-0.01,0.33
2025-07-08,603786,55.43,55.5,56.0,55.06,7021,39089032.0,1.7,0.13,0.07,0.17
2025-07-09,603786,55.53,54.93,55.94,54.8,5822,32131561.0,2.05,-1.03,-0.57,0.14
2025-07-10,603786,55.03,54.87,55.18,54.6,5113,28100610.0,1.06,-0.11,-0.06,0.13
2025-07-11,603786,54.91,55.44,55.89,54.75,8569,47541232.0,2.08,1.04,0.57,0.21
2025-07-14,603786,55.66,55.17,55.85,55.11,4846,26827605.0,1.33,-0.49,-0.27,0.12
2025-07-15,603786,54.88,55.31,55.7,54.8,11333,62612019.0,1.63,0.25,0.14,0.28
2025-07-16,603786,55.5,55.46,56.33,55.08,15874,88600575.0,2.26,0.27,0.15,0.39
2025-07-17,603786,55.36,55.75,55.77,55.09,9077,50367378.0,1.23,0.52,0.29,0.22
2025-07-18,603786,55.8,55.32,55.95,55.2,6029,33429525.0,1.35,-0.77,-0.43,0.15
2025-07-21,603786,55.6,54.87,55.61,54.5,11965,65666518.0,2.01,-0.81,-0.45,0.3
2025-07-22,603786,54.85,54.31,54.97,54.2,13239,72062626.0,1.4,-1.02,-0.56,0.33
2025-07-23,603786,54.3,54.34,54.8,54.1,7331,39906429.0,1.29,0.06,0.03,0.18
2025-07-24,603786,54.54,54.66,54.98,54.2,7597,41486727.0,1.44,0.59,0.32,0.19
2025-07-25,603786,54.64,53.96,54.87,53.75,14046,76131158.0,2.05,-1.28,-0.7,0.35
2025-07-28,603786,53.96,54.1,54.47,53.71,9513,51416050.0,1.41,0.26,0.14,0.24
2025-07-29,603786,53.72,53.9,54.55,53.72,15893,86006105.0,1.53,-0.37,-0.2,0.39
