日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603797,3.9,3.83,3.96,3.81,66440,26419443.0,3.84,-2.05,-0.08,1.14
2025-01-03,603797,3.87,3.72,3.88,3.7,63207,24358556.0,4.7,-2.87,-0.11,1.08
2025-01-06,603797,3.74,3.71,3.77,3.61,44281,16747693.0,4.3,-0.27,-0.01,0.76
2025-01-07,603797,3.71,3.76,3.77,3.68,41346,15775567.0,2.43,1.35,0.05,0.71
2025-01-08,603797,3.77,3.75,3.78,3.66,46336,17737065.0,3.19,-0.27,-0.01,0.79
2025-01-09,603797,3.72,3.74,3.78,3.71,37460,14374727.0,1.87,-0.27,-0.01,0.64
2025-01-10,603797,3.75,3.65,3.75,3.64,33887,12798824.0,2.94,-2.41,-0.09,0.58
2025-01-13,603797,3.62,3.67,3.68,3.58,29784,11120676.0,2.74,0.55,0.02,0.51
2025-01-14,603797,3.67,3.79,3.8,3.67,36593,14067371.0,3.54,3.27,0.12,0.63
2025-01-15,603797,3.81,3.8,3.81,3.74,28359,10984455.0,1.85,0.26,0.01,0.49
2025-01-16,603797,3.8,3.8,3.87,3.78,38927,15250053.0,2.37,0.0,0.0,0.67
2025-01-17,603797,3.81,3.82,3.83,3.75,25752,10016772.0,2.11,0.53,0.02,0.44
2025-01-20,603797,3.84,3.88,3.91,3.8,48091,19025671.0,2.88,1.57,0.06,0.82
2025-01-21,603797,3.88,3.86,3.91,3.82,36966,14593256.0,2.32,-0.52,-0.02,0.63
2025-01-22,603797,3.82,3.8,3.85,3.77,35681,13898507.0,2.07,-1.55,-0.06,0.61
2025-01-23,603797,3.82,3.8,3.87,3.8,32917,12930848.0,1.84,0.0,0.0,0.56
2025-01-24,603797,3.8,3.82,3.83,3.75,36069,14003806.0,2.11,0.53,0.02,0.62
2025-01-27,603797,3.83,3.87,3.94,3.83,49339,19638333.0,2.88,1.31,0.05,0.84
2025-02-05,603797,3.88,3.87,3.92,3.84,36563,14499501.0,2.07,0.0,0.0,0.63
2025-02-06,603797,3.86,3.92,3.92,3.81,45261,17947795.0,2.84,1.29,0.05,0.77
2025-02-07,603797,3.91,3.96,3.98,3.91,50718,20483693.0,1.79,1.02,0.04,0.87
2025-02-10,603797,3.95,3.99,4.01,3.95,37998,15467950.0,1.52,0.76,0.03,0.65
2025-02-11,603797,3.99,3.99,3.99,3.94,32897,13348547.0,1.25,0.0,0.0,0.56
2025-02-12,603797,3.98,3.97,4.02,3.94,36119,14690354.0,2.01,-0.5,-0.02,0.62
2025-02-13,603797,3.97,3.94,4.0,3.94,33525,13578960.0,1.51,-0.76,-0.03,0.57
2025-02-14,603797,3.92,3.91,3.96,3.9,31599,12697892.0,1.52,-0.76,-0.03,0.54
2025-02-17,603797,3.92,3.99,4.01,3.91,47795,19373632.0,2.56,2.05,0.08,0.82
2025-02-18,603797,3.98,3.88,3.99,3.86,51485,20630706.0,3.26,-2.76,-0.11,0.88
2025-02-19,603797,3.87,3.9,3.91,3.87,36484,14515363.0,1.03,0.52,0.02,0.62
2025-02-20,603797,3.91,3.92,3.93,3.88,34852,13942024.0,1.28,0.51,0.02,0.6
2025-02-21,603797,3.92,3.88,3.94,3.84,33347,13245400.0,2.55,-1.02,-0.04,0.57
2025-02-24,603797,3.88,3.94,3.96,3.86,49144,19769234.0,2.58,1.55,0.06,0.84
2025-02-25,603797,3.93,3.9,3.94,3.89,24150,9670757.0,1.27,-1.02,-0.04,0.41
2025-02-26,603797,3.91,3.97,3.98,3.9,35898,14527121.0,2.05,1.79,0.07,0.61
2025-02-27,603797,3.98,3.94,3.99,3.88,41462,16628675.0,2.77,-0.76,-0.03,0.71
2025-02-28,603797,3.93,3.86,3.95,3.84,41388,16453389.0,2.79,-2.03,-0.08,0.71
2025-03-03,603797,3.87,3.88,3.92,3.86,46371,18456749.0,1.55,0.52,0.02,0.79
2025-03-04,603797,3.88,3.9,3.91,3.84,23935,9501639.0,1.8,0.52,0.02,0.41
2025-03-05,603797,3.9,3.83,3.92,3.78,50456,19737467.0,3.59,-1.79,-0.07,0.86
2025-03-06,603797,3.84,3.88,3.89,3.82,38312,15122176.0,1.83,1.31,0.05,0.66
2025-03-07,603797,3.86,3.89,3.93,3.85,40378,16105399.0,2.06,0.26,0.01,0.69
2025-03-10,603797,3.9,3.93,3.98,3.89,43293,17437898.0,2.31,1.03,0.04,0.74
2025-03-11,603797,3.91,3.95,3.96,3.89,42529,17049560.0,1.78,0.51,0.02,0.73
2025-03-12,603797,3.98,3.95,3.98,3.92,43249,17449427.0,1.52,0.0,0.0,0.74
2025-03-13,603797,3.93,3.95,3.96,3.88,43752,17554562.0,2.03,0.0,0.0,0.75
2025-03-14,603797,3.95,4.01,4.02,3.94,73971,30141089.0,2.03,1.52,0.06,1.27
2025-03-17,603797,4.02,4.1,4.12,4.01,80717,33521686.0,2.74,2.24,0.09,1.38
2025-03-18,603797,4.1,4.09,4.14,4.07,56464,23607861.0,1.71,-0.24,-0.01,0.97
2025-03-19,603797,4.09,4.06,4.11,4.04,45709,18988994.0,1.71,-0.73,-0.03,0.78
2025-03-20,603797,4.07,4.06,4.1,4.03,44016,18294128.0,1.72,0.0,0.0,0.75
2025-03-21,603797,4.04,4.08,4.11,4.03,65950,27428649.0,1.97,0.49,0.02,1.13
2025-03-24,603797,4.05,3.97,4.08,3.89,87926,35660241.0,4.66,-2.7,-0.11,1.5
2025-03-25,603797,3.95,4.0,4.01,3.91,58863,23882722.0,2.52,0.76,0.03,1.01
2025-03-26,603797,3.98,4.05,4.07,3.97,53624,22193577.0,2.5,1.25,0.05,0.92
2025-03-27,603797,4.06,4.0,4.06,3.95,60907,24904294.0,2.72,-1.23,-0.05,1.04
2025-03-28,603797,3.99,3.92,4.01,3.91,50502,20363153.0,2.5,-2.0,-0.08,0.86
2025-03-31,603797,3.89,3.88,3.93,3.84,62103,24632346.0,2.3,-1.02,-0.04,1.06
2025-04-01,603797,3.89,3.94,3.99,3.85,57158,23110697.0,3.61,1.55,0.06,0.98
2025-04-02,603797,3.94,3.98,4.0,3.91,53750,21838177.0,2.28,1.02,0.04,0.92
2025-04-03,603797,3.96,4.0,4.01,3.94,52463,21359252.0,1.76,0.5,0.02,0.9
2025-04-07,603797,3.87,3.59,3.88,3.59,104474,39621236.0,7.25,-10.25,-0.41,1.79
2025-04-08,603797,3.57,3.65,3.69,3.57,66934,24911582.0,3.34,1.67,0.06,1.15
2025-04-09,603797,3.6,3.69,3.71,3.46,68015,24869600.0,6.85,1.1,0.04,1.16
2025-04-10,603797,3.74,3.75,3.8,3.73,49175,18985194.0,1.9,1.63,0.06,0.84
2025-04-11,603797,3.73,3.72,3.78,3.71,36949,14151631.0,1.87,-0.8,-0.03,0.63
2025-04-14,603797,3.76,3.75,3.8,3.74,38160,14688291.0,1.61,0.81,0.03,0.65
2025-04-15,603797,3.75,3.79,3.79,3.74,27322,10537748.0,1.33,1.07,0.04,0.47
