日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603808,6.94,7.35,7.64,6.93,169944,128159642.0,10.23,5.91,0.41,4.6
2025-01-03,603808,7.31,7.52,7.8,7.31,213623,162625131.0,6.67,2.31,0.17,5.79
2025-01-06,603808,7.35,7.25,7.58,6.88,134007,97461023.0,9.31,-3.59,-0.27,3.63
2025-01-07,603808,7.19,7.44,7.47,7.02,94332,69119033.0,6.21,2.62,0.19,2.56
2025-01-08,603808,7.4,7.72,8.05,7.4,160879,124920163.0,8.74,3.76,0.28,4.36
2025-01-09,603808,7.72,7.61,8.0,7.53,115432,89730057.0,6.09,-1.42,-0.11,3.13
2025-01-10,603808,7.6,6.97,7.63,6.96,106671,77666359.0,8.8,-8.41,-0.64,2.89
2025-01-13,603808,6.77,6.57,6.77,6.33,88808,58284829.0,6.31,-5.74,-0.4,2.41
2025-01-14,603808,7.23,7.23,7.23,7.23,28413,20684664.0,0.0,10.05,0.66,0.77
2025-01-15,603808,7.96,7.96,7.96,7.96,21291,17053971.0,0.0,10.1,0.73,0.58
2025-01-16,603808,8.4,8.76,8.76,8.4,245693,213990845.0,4.52,10.05,0.8,6.66
2025-01-17,603808,8.95,8.08,9.18,7.89,474087,409932186.0,14.73,-7.76,-0.68,12.84
2025-01-20,603808,7.87,7.65,8.32,7.59,270814,211607157.0,9.03,-5.32,-0.43,7.34
2025-01-21,603808,7.73,7.18,7.73,7.05,221517,161447818.0,8.89,-6.14,-0.47,6.0
2025-01-22,603808,7.07,7.11,7.22,6.95,109656,78413058.0,3.76,-0.97,-0.07,2.97
2025-01-23,603808,7.12,6.91,7.19,6.87,125333,89128437.0,4.5,-2.81,-0.2,3.4
2025-01-24,603808,6.87,6.97,6.97,6.82,74202,51717518.0,2.17,0.87,0.06,2.01
2025-01-27,603808,6.89,6.91,7.07,6.84,77956,54676618.0,3.3,-0.86,-0.06,2.11
2025-02-05,603808,6.93,6.91,6.98,6.84,58365,40612192.0,2.03,0.0,0.0,1.58
2025-02-06,603808,6.95,6.96,6.97,6.82,75174,52237039.0,2.17,0.72,0.05,2.04
2025-02-07,603808,6.96,7.04,7.09,6.92,83074,58696556.0,2.44,1.15,0.08,2.25
2025-02-10,603808,7.03,7.17,7.17,7.01,83354,59495816.0,2.27,1.85,0.13,2.26
2025-02-11,603808,7.18,7.23,7.27,7.09,86828,62684098.0,2.51,0.84,0.06,2.35
2025-02-12,603808,7.21,7.23,7.28,7.14,63022,45764199.0,1.94,0.0,0.0,1.71
2025-02-13,603808,7.23,7.13,7.26,7.12,58384,42231019.0,1.94,-1.38,-0.1,1.58
2025-02-14,603808,7.13,7.15,7.15,7.05,55402,39625544.0,1.4,0.28,0.02,1.5
2025-02-17,603808,7.11,7.27,7.28,7.08,63388,45995248.0,2.8,1.68,0.12,1.72
2025-02-18,603808,7.28,7.07,7.29,7.05,52871,38092971.0,3.3,-2.75,-0.2,1.43
2025-02-19,603808,7.08,7.09,7.14,7.05,41834,29851922.0,1.27,0.28,0.02,1.13
2025-02-20,603808,7.1,7.21,7.24,7.06,54434,39213334.0,2.54,1.69,0.12,1.47
2025-02-21,603808,7.17,7.12,7.21,7.05,49459,35392140.0,2.22,-1.25,-0.09,1.34
2025-02-24,603808,7.11,7.16,7.22,7.05,50891,36616020.0,2.39,0.56,0.04,1.38
2025-02-25,603808,7.1,7.12,7.25,7.07,39843,28761957.0,2.51,-0.56,-0.04,1.08
2025-02-26,603808,7.12,7.2,7.25,7.12,47905,34674307.0,1.83,1.12,0.08,1.3
2025-02-27,603808,7.17,7.31,7.32,7.17,63300,46211670.0,2.08,1.53,0.11,1.72
2025-02-28,603808,7.26,7.18,7.36,7.14,55999,40800080.0,3.01,-1.78,-0.13,1.52
2025-03-03,603808,7.18,7.23,7.34,7.14,68323,49930528.0,2.79,0.7,0.05,1.85
2025-03-04,603808,7.18,7.21,7.24,7.13,43205,31224177.0,1.52,-0.28,-0.02,1.17
2025-03-05,603808,7.17,7.09,7.21,6.96,55903,39670489.0,3.47,-1.66,-0.12,1.51
2025-03-06,603808,7.1,7.17,7.18,7.02,49535,35487789.0,2.26,1.13,0.08,1.34
2025-03-07,603808,7.16,7.12,7.23,7.08,40058,28897656.0,2.09,-0.7,-0.05,1.09
2025-03-10,603808,7.13,7.23,7.28,7.13,52046,37737299.0,2.11,1.54,0.11,1.41
2025-03-11,603808,7.17,7.28,7.28,7.13,49598,36114368.0,2.07,0.69,0.05,1.34
2025-03-12,603808,7.28,7.24,7.33,7.19,72287,52778249.0,1.92,-0.55,-0.04,1.96
2025-03-13,603808,7.22,7.16,7.26,7.08,53615,38551567.0,2.49,-1.1,-0.08,1.45
2025-03-14,603808,7.17,7.32,7.38,7.11,93795,68584996.0,3.77,2.23,0.16,2.54
2025-03-17,603808,7.31,7.36,7.43,7.31,60423,44774964.0,1.64,0.55,0.04,1.64
2025-03-18,603808,7.36,7.46,7.46,7.29,53149,39514345.0,2.31,1.36,0.1,1.44
2025-03-19,603808,7.43,7.35,7.46,7.31,42097,31164424.0,2.01,-1.47,-0.11,1.14
2025-03-20,603808,7.35,7.31,7.39,7.28,41371,30536760.0,1.5,-0.54,-0.04,1.12
2025-03-21,603808,7.3,7.21,7.31,7.16,45486,33137039.0,2.05,-1.37,-0.1,1.23
2025-03-24,603808,7.21,6.96,7.22,6.87,59830,42293213.0,4.85,-3.47,-0.25,1.62
2025-03-25,603808,6.96,6.94,6.97,6.82,40629,28235563.0,2.16,-0.29,-0.02,1.1
2025-03-26,603808,6.95,7.11,7.15,6.92,44144,31451853.0,3.31,2.45,0.17,1.2
2025-03-27,603808,7.06,7.08,7.17,6.98,31886,22725217.0,2.67,-0.42,-0.03,0.86
2025-03-28,603808,7.1,6.94,7.1,6.91,36272,25469791.0,2.68,-1.98,-0.14,0.98
2025-03-31,603808,6.87,6.75,6.89,6.71,40844,27934313.0,2.59,-2.74,-0.19,1.11
2025-04-01,603808,6.77,6.89,6.99,6.76,32083,22315285.0,3.41,2.07,0.14,0.87
2025-04-02,603808,6.96,6.95,7.0,6.88,28447,19930231.0,1.74,0.87,0.06,0.77
2025-04-03,603808,6.9,6.96,6.99,6.86,21906,15281978.0,1.87,0.14,0.01,0.59
2025-04-07,603808,6.72,6.26,6.72,6.26,57525,36755876.0,6.61,-10.06,-0.7,1.56
2025-04-08,603808,6.16,6.13,6.26,6.01,78119,48168401.0,3.99,-2.08,-0.13,2.12
2025-04-09,603808,6.05,6.19,6.24,5.71,65486,39489857.0,8.65,0.98,0.06,1.77
2025-04-10,603808,6.21,6.36,6.43,6.21,49843,31940546.0,3.55,2.75,0.17,1.35
2025-04-11,603808,6.33,6.37,6.47,6.32,28134,18125775.0,2.36,0.16,0.01,0.76
2025-04-14,603808,6.39,6.52,6.58,6.39,39423,25868064.0,2.98,2.35,0.15,1.07
2025-04-15,603808,6.51,6.67,6.67,6.47,37320,24806776.0,3.07,2.3,0.15,1.01
2025-04-16,603808,6.67,6.66,6.71,6.42,47334,31374786.0,4.35,-0.15,-0.01,1.28
2025-04-17,603808,6.64,6.75,6.89,6.56,49509,33706969.0,4.95,1.35,0.09,1.34
2025-04-18,603808,6.75,6.73,6.99,6.59,77438,52572464.0,5.93,-0.3,-0.02,2.1
2025-04-21,603808,6.71,6.7,6.79,6.6,45413,30689422.0,2.82,-0.45,-0.03,1.23
2025-04-22,603808,6.7,6.73,6.75,6.66,35616,24063731.0,1.34,0.45,0.03,0.96
2025-04-23,603808,6.76,6.64,6.8,6.63,30358,20485511.0,2.53,-1.34,-0.09,0.82
2025-04-24,603808,6.63,6.62,6.74,6.57,30636,20539239.0,2.56,-0.3,-0.02,0.83
2025-04-25,603808,6.65,6.66,6.72,6.62,28705,19305236.0,1.51,0.6,0.04,0.78
2025-04-28,603808,6.65,6.57,6.65,6.48,29772,19681020.0,2.55,-1.35,-0.09,0.81
2025-04-29,603808,6.67,6.92,7.08,6.67,112367,78532354.0,6.24,5.33,0.35,3.04
2025-04-30,603808,6.96,6.85,7.11,6.82,62615,43869821.0,4.19,-1.01,-0.07,1.7
2025-05-06,603808,6.9,7.04,7.07,6.9,63885,45083357.0,2.48,2.77,0.19,1.73
2025-05-07,603808,7.08,7.1,7.15,7.03,59514,42525514.0,1.7,0.85,0.06,1.61
2025-05-08,603808,7.11,7.13,7.15,7.02,41065,29385360.0,1.83,0.42,0.03,1.11
2025-05-09,603808,7.15,7.12,7.2,7.1,41517,29852045.0,1.4,-0.14,-0.01,1.12
2025-05-12,603808,7.16,7.14,7.25,7.08,41563,29887851.0,2.39,0.28,0.02,1.13
2025-05-13,603808,7.17,7.19,7.26,7.14,38680,28057103.0,1.68,0.7,0.05,1.05
2025-05-14,603808,7.18,7.16,7.18,7.03,31414,22490027.0,2.09,-0.42,-0.03,0.85
2025-05-15,603808,7.14,7.21,7.25,7.13,40276,29184491.0,1.68,0.7,0.05,1.09
2025-05-16,603808,7.19,7.27,7.3,7.13,37419,27230073.0,2.36,0.83,0.06,1.01
2025-05-19,603808,7.26,7.4,7.43,7.23,51881,38465832.0,2.75,1.79,0.13,1.41
2025-05-20,603808,7.4,7.55,7.58,7.3,46159,34855623.0,3.78,2.03,0.15,1.25
2025-05-21,603808,7.53,7.57,7.6,7.43,41487,31448717.0,2.25,0.26,0.02,1.12
2025-05-22,603808,7.56,7.44,7.63,7.41,39453,29812508.0,2.91,-1.72,-0.13,1.07
2025-05-23,603808,7.44,7.33,7.49,7.32,34502,25729678.0,2.28,-1.48,-0.11,0.93
2025-05-26,603808,7.37,7.36,7.45,7.25,41964,31103596.0,2.73,0.41,0.03,1.14
2025-05-27,603808,7.34,7.55,7.57,7.34,51571,38931104.0,3.13,2.58,0.19,1.4
2025-05-28,603808,7.49,7.64,7.67,7.49,39774,30427822.0,2.38,1.19,0.09,1.08
2025-05-29,603808,7.7,7.72,7.76,7.56,50430,39021877.0,2.62,1.05,0.08,1.37
2025-05-30,603808,7.69,7.61,7.82,7.59,39341,30357112.0,2.98,-1.42,-0.11,1.07
2025-06-03,603808,7.53,7.78,7.81,7.53,52562,40794819.0,3.68,2.23,0.17,1.42
2025-06-04,603808,7.82,7.98,8.21,7.82,70604,56512448.0,5.01,2.57,0.2,1.91
2025-06-05,603808,7.92,7.82,8.02,7.77,48389,38318516.0,3.13,-2.01,-0.16,1.31
2025-06-06,603808,7.82,7.87,7.88,7.74,36639,28839143.0,1.79,0.64,0.05,0.99
2025-06-09,603808,7.86,7.96,7.98,7.82,40618,32345234.0,2.03,1.14,0.09,1.1
2025-06-10,603808,7.99,7.92,8.04,7.78,49386,39421657.0,3.27,-0.5,-0.04,1.34
2025-06-11,603808,7.89,8.04,8.07,7.88,43021,34647157.0,2.4,1.52,0.12,1.17
2025-06-12,603808,8.06,8.28,8.85,7.98,166363,140406789.0,10.82,2.99,0.24,4.51
