日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603828,2.82,2.8,2.88,2.79,54416,15397443.0,3.1,-3.45,-0.1,0.91
2025-01-03,603828,2.8,2.83,2.86,2.8,31997,9091724.0,2.14,1.07,0.03,0.54
2025-01-06,603828,2.85,2.88,2.97,2.83,90782,26564415.0,4.95,1.77,0.05,1.52
2025-01-07,603828,2.84,3.02,3.02,2.84,127135,37831802.0,6.25,4.86,0.14,2.13
2025-01-08,603828,3.05,2.98,3.07,2.96,99374,29867922.0,3.64,-1.32,-0.04,1.67
2025-01-09,603828,2.96,3.1,3.12,2.96,72264,22116418.0,5.37,4.03,0.12,1.21
2025-01-10,603828,3.1,3.07,3.14,3.04,60078,18497415.0,3.23,-0.97,-0.03,1.01
2025-01-13,603828,3.01,2.98,3.05,2.92,59452,17710423.0,4.23,-2.93,-0.09,1.0
2025-01-14,603828,2.98,3.05,3.08,2.95,43040,13007925.0,4.36,2.35,0.07,0.72
2025-01-15,603828,3.07,3.2,3.2,3.04,151662,48155363.0,5.25,4.92,0.15,2.54
2025-01-16,603828,3.15,3.18,3.22,3.14,88682,28147627.0,2.5,-0.63,-0.02,1.49
2025-01-17,603828,3.18,3.15,3.28,3.13,55205,17665487.0,4.72,-0.94,-0.03,0.93
2025-01-20,603828,3.26,3.31,3.31,3.16,104371,34213242.0,4.76,5.08,0.16,1.75
2025-01-21,603828,3.31,3.27,3.47,3.24,113106,37785048.0,6.95,-1.21,-0.04,1.9
2025-01-22,603828,3.21,3.28,3.32,3.17,45918,15051091.0,4.59,0.31,0.01,0.77
2025-01-23,603828,3.28,3.39,3.41,3.27,46933,15787832.0,4.27,3.35,0.11,0.79
2025-01-24,603828,3.37,3.25,3.38,3.22,71036,23185598.0,4.72,-4.13,-0.14,1.19
2025-01-27,603828,3.33,3.28,3.34,3.25,26740,8785857.0,2.77,0.92,0.03,0.45
2025-02-05,603828,3.34,3.2,3.34,3.18,48598,15834446.0,4.88,-2.44,-0.08,0.82
2025-02-06,603828,3.21,3.23,3.24,3.15,47151,15165288.0,2.81,0.94,0.03,0.79
2025-02-07,603828,3.21,3.21,3.26,3.18,47770,15364182.0,2.48,-0.62,-0.02,0.8
2025-02-10,603828,3.21,3.22,3.25,3.18,35096,11263407.0,2.18,0.31,0.01,0.59
2025-02-11,603828,3.18,3.17,3.25,3.16,53785,17190051.0,2.8,-1.55,-0.05,0.9
2025-02-12,603828,3.16,3.19,3.28,3.12,83954,26873258.0,5.05,0.63,0.02,1.41
2025-02-13,603828,3.18,3.09,3.2,3.08,74854,23593284.0,3.76,-3.13,-0.1,1.26
2025-02-14,603828,3.09,3.08,3.14,3.05,48374,14939521.0,2.91,-0.32,-0.01,0.81
2025-02-17,603828,3.08,3.15,3.17,3.03,73374,22847648.0,4.55,2.27,0.07,1.23
2025-02-18,603828,3.12,3.06,3.18,3.05,42601,13192613.0,4.13,-2.86,-0.09,0.71
2025-02-19,603828,3.06,3.05,3.1,3.05,50198,15382043.0,1.63,-0.33,-0.01,0.84
2025-02-20,603828,3.06,3.12,3.15,3.03,43107,13297652.0,3.93,2.3,0.07,0.72
2025-02-21,603828,3.12,3.08,3.14,3.03,66016,20240653.0,3.53,-1.28,-0.04,1.11
