日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603833,64.8,65.12,65.99,63.35,33244,227731006.0,4.05,-0.18,-0.12,0.55
2025-01-03,603833,65.12,63.6,66.48,62.32,26267,178996027.0,6.39,-2.33,-1.52,0.43
2025-01-06,603833,63.19,62.8,64.46,61.98,23077,154124455.0,3.9,-1.26,-0.8,0.38
2025-01-07,603833,62.8,64.52,64.79,61.96,25561,172774605.0,4.51,2.74,1.72,0.42
2025-01-08,603833,64.1,63.48,64.8,63.0,20944,141578798.0,2.79,-1.61,-1.04,0.34
2025-01-09,603833,63.28,62.92,63.89,61.98,19298,128486875.0,3.01,-0.88,-0.56,0.32
2025-01-10,603833,62.93,60.0,63.42,60.0,27243,175840259.0,5.44,-4.64,-2.92,0.45
2025-01-13,603833,59.9,58.46,60.68,58.07,36641,229761310.0,4.35,-2.57,-1.54,0.6
2025-01-14,603833,58.46,59.39,59.75,57.65,35126,219804711.0,3.59,1.59,0.93,0.58
2025-01-15,603833,59.24,58.4,60.25,57.82,28606,179067507.0,4.09,-1.67,-0.99,0.47
2025-01-16,603833,58.4,59.73,60.2,58.29,31866,201445868.0,3.27,2.28,1.33,0.52
2025-01-17,603833,59.62,58.02,59.93,57.82,26651,166048493.0,3.53,-2.86,-1.71,0.44
2025-01-20,603833,58.9,60.55,60.98,58.01,34511,220024582.0,5.12,4.36,2.53,0.57
2025-01-21,603833,61.23,60.89,61.45,59.66,17428,112352487.0,2.96,0.56,0.34,0.29
2025-01-22,603833,60.01,58.99,60.59,58.63,23186,145859506.0,3.22,-3.12,-1.9,0.38
2025-01-23,603833,59.4,57.44,59.71,57.25,31997,197889014.0,4.17,-2.63,-1.55,0.53
2025-01-24,603833,57.8,60.07,60.77,56.8,33358,209672100.0,6.91,4.58,2.63,0.55
2025-01-27,603833,59.98,61.7,62.4,59.66,28545,186923790.0,4.56,2.71,1.63,0.47
2025-02-05,603833,61.3,60.42,61.3,58.9,32074,203873782.0,3.89,-2.07,-1.28,0.53
2025-02-06,603833,60.12,58.24,60.4,57.85,38659,240810752.0,4.22,-3.61,-2.18,0.63
2025-02-07,603833,57.9,59.57,60.3,57.61,34074,214572721.0,4.62,2.28,1.33,0.56
