日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603906,10.25,9.96,10.36,9.87,142032,143484291.0,4.73,-3.86,-0.4,2.51
2025-01-03,603906,9.98,9.52,10.07,9.51,117462,114425895.0,5.62,-4.42,-0.44,2.08
2025-01-06,603906,9.53,9.33,9.59,9.22,114504,107113690.0,3.89,-2.0,-0.19,2.03
2025-01-07,603906,9.45,9.74,9.95,9.34,127133,121755010.0,6.54,4.39,0.41,2.25
2025-01-08,603906,9.6,9.72,9.8,9.28,134039,127945543.0,5.34,-0.21,-0.02,2.37
2025-01-09,603906,9.6,9.77,10.05,9.57,103002,101633459.0,4.94,0.51,0.05,1.82
2025-01-10,603906,9.73,9.35,9.79,9.35,82027,78498428.0,4.5,-4.3,-0.42,1.45
2025-01-13,603906,9.38,9.51,9.6,9.32,92359,87675512.0,2.99,1.71,0.16,1.63
2025-01-14,603906,9.51,10.06,10.13,9.48,131549,129400558.0,6.83,5.78,0.55,2.33
2025-01-15,603906,10.05,10.01,10.16,9.91,93452,93843602.0,2.49,-0.5,-0.05,1.65
2025-01-16,603906,10.11,10.03,10.2,9.87,83301,83714039.0,3.3,0.2,0.02,1.47
2025-01-17,603906,9.98,10.0,10.14,9.94,58355,58551823.0,1.99,-0.3,-0.03,1.03
2025-01-20,603906,10.05,10.11,10.25,10.0,91990,93168487.0,2.5,1.1,0.11,1.63
2025-01-21,603906,10.14,9.99,10.2,9.9,72382,72197385.0,2.97,-1.19,-0.12,1.28
2025-01-22,603906,9.94,9.94,10.01,9.79,76568,75705546.0,2.2,-0.5,-0.05,1.35
2025-01-23,603906,10.01,10.14,10.43,9.97,147171,150308175.0,4.63,2.01,0.2,2.6
2025-01-24,603906,10.11,10.11,10.23,10.03,83205,84114254.0,1.97,-0.3,-0.03,1.47
2025-01-27,603906,10.1,9.79,10.19,9.77,95410,94692036.0,4.15,-3.17,-0.32,1.69
2025-02-05,603906,9.81,9.91,9.97,9.76,66586,65902583.0,2.15,1.23,0.12,1.18
2025-02-06,603906,9.83,10.17,10.18,9.81,83453,84095638.0,3.73,2.62,0.26,1.48
2025-02-07,603906,10.17,10.25,10.43,10.08,116038,119071858.0,3.44,0.79,0.08,2.05
2025-02-10,603906,10.26,10.34,10.35,10.08,113761,116017065.0,2.63,0.88,0.09,2.01
2025-02-11,603906,10.36,10.12,10.38,10.08,107105,108516991.0,2.9,-2.13,-0.22,1.9
2025-02-12,603906,10.19,10.29,10.35,10.08,124769,127383082.0,2.67,1.68,0.17,2.21
2025-02-13,603906,10.38,10.3,10.55,10.29,129260,134461193.0,2.53,0.1,0.01,2.29
2025-02-14,603906,10.25,10.22,10.54,10.16,108410,111958398.0,3.69,-0.78,-0.08,1.92
2025-02-17,603906,10.22,10.13,10.26,10.05,102986,104272910.0,2.05,-0.88,-0.09,1.82
2025-02-18,603906,10.2,11.14,11.14,10.16,342087,373282350.0,9.67,9.97,1.01,6.05
2025-02-19,603906,11.44,12.14,12.21,11.22,800692,937918618.0,8.89,8.98,1.0,14.17
2025-02-20,603906,11.7,11.78,12.02,11.45,478917,561923700.0,4.7,-2.97,-0.36,8.48
2025-02-21,603906,11.72,11.89,12.48,11.48,510339,609762911.0,8.49,0.93,0.11,9.03
2025-02-24,603906,11.98,11.82,12.13,11.71,294230,349437915.0,3.53,-0.59,-0.07,5.21
2025-02-25,603906,11.62,11.9,12.46,11.51,358878,432327900.0,8.04,0.68,0.08,6.35
2025-02-26,603906,11.97,11.94,12.15,11.83,260418,310973117.0,2.69,0.34,0.04,4.61
