日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603916,7.37,7.2,7.44,7.12,54595,40436523.0,4.35,-2.17,-0.16,1.3
2025-01-03,603916,7.25,7.02,7.3,7.0,48181,34854531.0,4.17,-2.5,-0.18,1.15
2025-01-06,603916,7.05,7.09,7.14,6.84,31640,22530947.0,4.27,1.0,0.07,0.75
2025-01-07,603916,7.08,7.15,7.15,7.01,24862,17860640.0,1.97,0.85,0.06,0.59
2025-01-08,603916,7.15,7.08,7.15,6.92,31086,22210934.0,3.22,-0.98,-0.07,0.74
2025-01-09,603916,7.09,7.05,7.1,7.0,20971,15015219.0,1.41,-0.42,-0.03,0.5
2025-01-10,603916,7.04,6.86,7.09,6.86,26830,18930060.0,3.26,-2.7,-0.19,0.64
2025-01-13,603916,6.83,6.89,6.91,6.73,18929,13135322.0,2.62,0.44,0.03,0.45
2025-01-14,603916,6.91,7.06,7.07,6.91,30135,21435151.0,2.32,2.47,0.17,0.72
2025-01-15,603916,7.05,7.08,7.1,6.99,26227,18770193.0,1.56,0.28,0.02,0.62
2025-01-16,603916,7.07,7.1,7.19,7.05,28659,20655126.0,1.98,0.28,0.02,0.68
2025-01-17,603916,7.09,7.22,7.34,7.02,50745,37197075.0,4.51,1.69,0.12,1.21
2025-01-20,603916,7.25,7.22,7.3,7.15,36785,26986403.0,2.08,0.0,0.0,0.88
2025-01-21,603916,7.27,7.23,7.28,7.18,23651,17311737.0,1.39,0.14,0.01,0.56
2025-01-22,603916,7.2,7.16,7.24,7.12,24308,17655864.0,1.66,-0.97,-0.07,0.58
2025-01-23,603916,7.18,7.24,7.5,7.17,45566,33733656.0,4.61,1.12,0.08,1.08
2025-01-24,603916,7.28,7.26,7.33,7.2,31316,23000693.0,1.8,0.28,0.02,0.75
2025-01-27,603916,7.26,7.33,7.44,7.26,35234,26365764.0,2.48,0.96,0.07,0.84
2025-02-05,603916,7.37,7.25,7.38,7.2,39994,29539865.0,2.46,-1.09,-0.08,0.95
2025-02-06,603916,7.32,7.31,7.32,7.19,43477,32040566.0,1.79,0.83,0.06,1.03
2025-02-07,603916,7.31,7.34,7.41,7.26,64057,47651304.0,2.05,0.41,0.03,1.52
2025-02-10,603916,7.35,7.42,7.44,7.33,44257,33171805.0,1.5,1.09,0.08,1.05
2025-02-11,603916,7.41,7.41,7.42,7.32,29510,22056476.0,1.35,-0.13,-0.01,0.7
2025-02-12,603916,7.4,7.42,7.44,7.34,31078,23318450.0,1.35,0.13,0.01,0.74
2025-02-13,603916,7.42,7.35,7.46,7.35,39239,29421331.0,1.48,-0.94,-0.07,0.93
2025-02-14,603916,7.35,7.37,7.43,7.32,33100,24774714.0,1.5,0.27,0.02,0.79
2025-02-17,603916,7.38,7.39,7.44,7.34,43305,32445497.0,1.36,0.27,0.02,1.03
2025-02-18,603916,7.42,7.28,7.42,7.25,37776,28137222.0,2.3,-1.49,-0.11,0.9
2025-02-19,603916,7.3,7.38,7.4,7.26,32627,24347106.0,1.92,1.37,0.1,0.78
2025-02-20,603916,7.38,7.4,7.4,7.32,23442,17512597.0,1.08,0.27,0.02,0.56
2025-02-21,603916,7.4,7.46,7.5,7.32,51791,38933642.0,2.43,0.81,0.06,1.23
2025-02-24,603916,7.45,7.58,7.61,7.42,57929,44177920.0,2.55,1.61,0.12,1.38
2025-02-25,603916,7.59,7.53,7.68,7.5,51075,39263917.0,2.37,-0.66,-0.05,1.22
2025-02-26,603916,7.54,7.65,7.7,7.54,41839,32405321.0,2.12,1.59,0.12,1.0
2025-02-27,603916,7.6,7.65,7.69,7.52,45007,34675431.0,2.22,0.0,0.0,1.07
2025-02-28,603916,7.66,7.59,7.7,7.57,45822,35421730.0,1.7,-0.78,-0.06,1.09
2025-03-03,603916,7.6,7.64,7.73,7.58,47040,36586132.0,1.98,0.66,0.05,1.12
2025-03-04,603916,7.66,7.75,7.77,7.58,41129,32068465.0,2.49,1.44,0.11,0.98
2025-03-05,603916,7.75,7.65,7.75,7.58,37878,29282673.0,2.19,-1.29,-0.1,0.9
2025-03-06,603916,7.69,7.69,7.73,7.64,41838,32617478.0,1.18,0.52,0.04,1.0
2025-03-07,603916,7.72,7.74,7.76,7.64,34952,27317393.0,1.56,0.65,0.05,0.83
2025-03-10,603916,7.76,7.86,7.9,7.75,47481,37669221.0,1.94,1.55,0.12,1.13
2025-03-11,603916,7.86,7.84,7.86,7.74,40448,31954582.0,1.53,-0.25,-0.02,0.96
2025-03-12,603916,7.85,7.73,7.88,7.71,55043,43378636.0,2.17,-1.4,-0.11,1.31
2025-03-13,603916,7.74,7.69,7.75,7.57,57332,44408241.0,2.33,-0.52,-0.04,1.36
2025-03-14,603916,7.72,7.84,7.84,7.66,56739,44600793.0,2.34,1.95,0.15,1.35
2025-03-17,603916,7.89,7.88,7.9,7.83,39712,31642820.0,0.89,0.51,0.04,0.94
2025-03-18,603916,7.92,7.86,7.92,7.81,27506,21855731.0,1.4,-0.25,-0.02,0.65
2025-03-19,603916,7.88,7.83,7.9,7.78,37310,29569257.0,1.53,-0.38,-0.03,0.89
2025-03-20,603916,7.83,7.82,7.88,7.77,36752,29132744.0,1.4,-0.13,-0.01,0.87
2025-03-21,603916,7.87,7.78,7.88,7.74,38357,30325618.0,1.79,-0.51,-0.04,0.91
2025-03-24,603916,7.79,7.61,7.85,7.5,57033,44214670.0,4.5,-2.19,-0.17,1.36
2025-03-25,603916,7.67,7.68,7.69,7.49,50188,38678174.0,2.63,0.92,0.07,1.19
2025-03-26,603916,7.66,7.86,7.93,7.63,58654,46540240.0,3.91,2.34,0.18,1.4
2025-03-27,603916,7.88,7.86,7.9,7.75,43657,34677487.0,1.91,0.0,0.0,1.04
2025-03-28,603916,7.92,7.64,7.94,7.6,56850,44467146.0,4.33,-2.8,-0.22,1.35
2025-03-31,603916,7.57,7.47,7.6,7.39,46744,35480651.0,2.75,-2.23,-0.17,1.11
2025-04-01,603916,7.52,7.68,7.78,7.47,64839,50398317.0,4.15,2.81,0.21,1.54
2025-04-02,603916,7.68,7.69,7.8,7.55,33528,26127136.0,3.26,0.13,0.01,0.8
2025-04-03,603916,7.61,7.77,7.78,7.61,40335,31560679.0,2.21,1.04,0.08,0.96
2025-04-07,603916,7.48,6.98,7.59,6.98,96027,69644726.0,7.85,-10.17,-0.79,2.28
2025-04-08,603916,6.96,6.91,7.12,6.8,74676,52440416.0,4.58,-1.0,-0.07,1.78
2025-04-09,603916,6.86,6.94,6.99,6.52,87330,60225999.0,6.8,0.43,0.03,2.08
2025-04-10,603916,7.09,7.06,7.14,7.01,57663,41370427.0,1.87,1.73,0.12,1.37
2025-04-11,603916,6.98,7.01,7.11,6.98,41395,29610502.0,1.84,-0.71,-0.05,0.98
2025-04-14,603916,7.03,7.06,7.11,7.02,37822,27117641.0,1.28,0.71,0.05,0.9
2025-04-15,603916,7.05,7.09,7.1,7.01,37748,27035294.0,1.27,0.42,0.03,0.9
2025-04-16,603916,7.02,6.99,7.08,6.86,44868,31679602.0,3.1,-1.41,-0.1,1.07
2025-04-17,603916,6.98,7.15,7.22,6.93,59654,43008562.0,4.15,2.29,0.16,1.42
2025-04-18,603916,7.14,7.14,7.22,7.07,35143,25432267.0,2.1,-0.14,-0.01,0.84
2025-04-21,603916,7.1,7.13,7.15,7.06,40632,29268121.0,1.26,-0.14,-0.01,0.97
2025-04-22,603916,7.12,7.22,7.25,7.1,48121,35033806.0,2.1,1.26,0.09,1.14
2025-04-23,603916,7.26,7.33,7.53,7.22,54809,40931592.0,4.29,1.52,0.11,1.3
2025-04-24,603916,7.3,7.38,7.47,7.3,34475,25818937.0,2.32,0.68,0.05,0.82
2025-04-25,603916,7.35,7.44,7.55,7.35,34155,25879193.0,2.71,0.81,0.06,0.81
2025-04-28,603916,7.47,7.32,7.47,7.26,35575,26466287.0,2.82,-1.61,-0.12,0.85
2025-04-29,603916,7.35,7.82,7.95,7.31,157865,123876312.0,8.74,6.83,0.5,3.76
2025-04-30,603916,7.89,8.06,8.11,7.76,133789,108264898.0,4.48,3.07,0.24,3.18
2025-05-06,603916,8.12,8.17,8.19,7.94,109372,89704779.0,3.1,1.36,0.11,2.6
2025-05-07,603916,8.24,8.11,8.31,8.06,102306,84535530.0,3.06,-0.73,-0.06,2.43
2025-05-08,603916,8.06,8.0,8.15,7.98,103706,84504297.0,2.1,-1.36,-0.11,2.47
2025-05-09,603916,8.07,8.14,8.16,8.0,67289,55116316.0,2.0,1.75,0.14,1.6
2025-05-12,603916,8.32,8.72,8.85,8.31,274961,241163010.0,6.63,7.13,0.58,6.54
2025-05-13,603916,8.6,8.79,9.01,8.6,196542,174126873.0,4.7,0.8,0.07,4.68
2025-05-14,603916,8.74,8.83,8.96,8.71,124184,110643982.0,2.84,0.46,0.04,2.95
2025-05-15,603916,8.83,9.02,9.2,8.71,171932,156507095.0,5.55,2.15,0.19,4.09
2025-05-16,603916,9.0,8.91,9.19,8.88,116253,105557805.0,3.44,-1.22,-0.11,2.77
2025-05-19,603916,8.76,8.87,8.89,8.65,122002,107975475.0,2.69,-0.45,-0.04,2.9
2025-05-20,603916,8.88,8.79,8.88,8.74,66586,59224775.0,1.58,-0.9,-0.08,1.58
2025-05-21,603916,8.78,8.72,8.8,8.68,65584,57892549.0,1.37,-0.8,-0.07,1.56
2025-05-22,603916,8.72,8.65,8.79,8.6,45793,40235600.0,2.18,-0.8,-0.07,1.09
2025-05-23,603916,8.6,8.57,8.68,8.56,50465,44001501.0,1.39,-0.92,-0.08,1.2
2025-05-26,603916,8.57,8.62,8.72,8.5,53814,46862376.0,2.57,0.58,0.05,1.28
2025-05-27,603916,8.59,8.61,8.63,8.5,51788,44855142.0,1.51,-0.12,-0.01,1.23
2025-05-28,603916,8.65,8.57,8.65,8.53,39274,34152070.0,1.39,-0.46,-0.04,0.93
2025-05-29,603916,8.57,8.62,8.72,8.52,53437,46556019.0,2.33,0.58,0.05,1.27
2025-05-30,603916,8.61,8.69,8.7,8.48,74065,64260028.0,2.55,0.81,0.07,1.76
2025-06-03,603916,8.7,8.74,8.99,8.52,137729,122089584.0,5.41,0.58,0.05,3.28
2025-06-04,603916,8.77,8.76,8.87,8.7,47676,42240083.0,1.95,0.23,0.02,1.13
2025-06-05,603916,8.7,8.73,8.82,8.66,44796,39563947.0,1.83,-0.34,-0.03,1.07
2025-06-06,603916,8.77,9.09,9.12,8.73,134003,121583269.0,4.47,4.12,0.36,3.19
2025-06-09,603916,9.25,9.48,9.55,9.12,183220,173399815.0,4.73,4.29,0.39,4.36
2025-06-10,603916,9.4,9.2,9.5,9.16,129017,121466928.0,3.59,-2.95,-0.28,3.07
2025-06-11,603916,9.17,9.17,9.29,9.14,59319,55106974.0,1.63,-0.33,-0.03,1.41
2025-06-12,603916,9.19,9.14,9.3,9.11,48388,44390713.0,2.07,-0.33,-0.03,1.15
2025-06-13,603916,9.17,9.02,9.17,8.97,65733,59419221.0,2.19,-1.31,-0.12,1.56
2025-06-16,603916,8.98,9.3,9.58,8.98,110759,102741777.0,6.65,3.1,0.28,2.64
2025-06-17,603916,9.29,9.12,9.45,9.06,76446,70328595.0,4.19,-1.94,-0.18,1.82
2025-06-18,603916,9.1,8.86,9.15,8.82,67493,60123405.0,3.62,-2.85,-0.26,1.61
2025-06-19,603916,8.85,8.69,8.9,8.6,60994,53209504.0,3.39,-1.92,-0.17,1.45
2025-06-20,603916,8.67,8.62,8.81,8.6,40024,34739284.0,2.42,-0.81,-0.07,0.95
