日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603919,18.73,18.47,19.12,18.37,40254,78424747.0,3.97,-2.33,-0.44,0.79
2025-01-03,603919,18.47,17.94,18.61,17.83,41932,79318665.0,4.22,-2.87,-0.53,0.83
2025-01-06,603919,17.5,17.49,17.81,17.02,41742,75906989.0,4.4,-2.51,-0.45,0.82
2025-01-07,603919,17.51,17.67,17.68,17.4,25135,45876219.0,1.6,1.03,0.18,0.5
2025-01-08,603919,17.61,17.49,17.65,17.09,32834,59455764.0,3.17,-1.02,-0.18,0.65
2025-01-09,603919,17.4,17.38,17.68,17.22,29444,53418198.0,2.63,-0.63,-0.11,0.58
2025-01-10,603919,17.36,17.09,17.47,17.06,24116,43287765.0,2.36,-1.67,-0.29,0.48
2025-01-13,603919,17.01,17.33,17.34,16.92,23053,41153357.0,2.46,1.4,0.24,0.45
2025-01-14,603919,17.33,17.82,17.87,17.33,41938,76959976.0,3.12,2.83,0.49,0.83
2025-01-15,603919,17.76,18.03,18.1,17.72,33473,62441964.0,2.13,1.18,0.21,0.66
2025-01-16,603919,18.04,18.05,18.39,17.91,31664,59624961.0,2.66,0.11,0.02,0.62
2025-01-17,603919,18.0,18.28,18.4,18.0,25098,47530345.0,2.22,1.27,0.23,0.49
2025-01-20,603919,18.31,18.39,18.55,18.29,24821,47455401.0,1.42,0.6,0.11,0.49
2025-01-21,603919,18.5,18.31,18.5,18.1,19875,37636846.0,2.18,-0.44,-0.08,0.39
2025-01-22,603919,18.24,18.02,18.3,17.87,20001,37412038.0,2.35,-1.58,-0.29,0.39
2025-01-23,603919,18.16,18.28,18.48,18.13,34315,65285867.0,1.94,1.44,0.26,0.68
2025-01-24,603919,18.23,18.18,18.4,18.11,24986,47215013.0,1.59,-0.55,-0.1,0.49
2025-01-27,603919,18.19,18.14,18.44,18.06,20187,38211510.0,2.09,-0.22,-0.04,0.4
2025-02-05,603919,18.23,17.75,18.29,17.73,27164,50490524.0,3.09,-2.15,-0.39,0.54
2025-02-06,603919,17.72,17.86,17.94,17.67,28516,52783276.0,1.52,0.62,0.11,0.56
2025-02-07,603919,17.86,18.0,18.16,17.71,35917,67171882.0,2.52,0.78,0.14,0.71
2025-02-10,603919,18.01,17.88,18.1,17.77,32711,60783862.0,1.83,-0.67,-0.12,0.64
2025-02-11,603919,17.9,17.73,18.05,17.56,31240,57475480.0,2.74,-0.84,-0.15,0.62
2025-02-12,603919,17.73,17.86,17.86,17.63,28888,53178587.0,1.3,0.73,0.13,0.57
2025-02-13,603919,17.86,18.24,18.34,17.81,70699,133225528.0,2.97,2.13,0.38,1.39
2025-02-14,603919,18.01,17.93,18.18,17.85,48005,89664593.0,1.81,-1.7,-0.31,0.95
2025-02-17,603919,17.91,17.84,18.06,17.8,36266,67431418.0,1.45,-0.5,-0.09,0.71
2025-02-18,603919,17.84,17.54,17.84,17.49,37345,68468037.0,1.96,-1.68,-0.3,0.74
2025-02-19,603919,17.51,17.68,17.71,17.29,29891,54359358.0,2.39,0.8,0.14,0.59
2025-02-20,603919,17.64,17.58,17.78,17.5,25836,47319745.0,1.58,-0.57,-0.1,0.51
2025-02-21,603919,17.66,17.72,17.89,17.43,34299,63078481.0,2.62,0.8,0.14,0.68
2025-02-24,603919,17.69,17.72,18.03,17.52,44100,81636636.0,2.88,0.0,0.0,0.87
2025-02-25,603919,17.66,17.52,17.67,17.47,30155,55006657.0,1.13,-1.13,-0.2,0.59
2025-02-26,603919,17.56,17.94,17.96,17.56,42580,78775776.0,2.28,2.4,0.42,0.84
2025-02-27,603919,17.82,18.19,18.35,17.81,57346,108273245.0,3.01,1.39,0.25,1.13
2025-02-28,603919,18.16,18.0,18.46,17.91,52754,99688775.0,3.02,-1.04,-0.19,1.04
2025-03-03,603919,18.04,17.84,18.3,17.77,40484,75854420.0,2.94,-0.89,-0.16,0.8
2025-03-04,603919,17.57,17.65,17.84,17.53,25806,47238829.0,1.74,-1.07,-0.19,0.51
2025-03-05,603919,17.66,17.75,17.76,17.4,26085,47630313.0,2.04,0.57,0.1,0.51
2025-03-06,603919,17.74,17.73,17.8,17.55,31941,58633240.0,1.41,-0.11,-0.02,0.63
2025-03-07,603919,17.63,17.95,18.06,17.63,38647,71645340.0,2.43,1.24,0.22,0.76
2025-03-10,603919,17.87,18.34,18.38,17.78,57397,108218032.0,3.34,2.17,0.39,1.13
2025-03-11,603919,18.19,18.8,18.81,18.07,65611,126563200.0,4.03,2.51,0.46,1.29
2025-03-12,603919,18.87,18.45,18.96,18.42,52518,101464850.0,2.87,-1.86,-0.35,1.04
2025-03-13,603919,18.41,18.41,18.66,18.31,32243,61734372.0,1.9,-0.22,-0.04,0.64
2025-03-14,603919,18.47,19.15,19.32,18.43,113348,223664833.0,4.83,4.02,0.74,2.23
2025-03-17,603919,19.21,18.85,19.25,18.77,70823,138977946.0,2.51,-1.57,-0.3,1.4
2025-03-18,603919,18.97,18.73,18.98,18.66,36344,70611463.0,1.7,-0.64,-0.12,0.72
2025-03-19,603919,18.74,18.64,18.87,18.56,34053,65896598.0,1.66,-0.48,-0.09,0.67
2025-03-20,603919,18.66,18.47,18.7,18.42,27444,52665427.0,1.5,-0.91,-0.17,0.54
2025-03-21,603919,18.41,18.33,18.68,18.21,35637,67998749.0,2.54,-0.76,-0.14,0.7
2025-03-24,603919,18.41,18.33,18.42,17.96,42991,81247282.0,2.51,0.0,0.0,0.85
2025-03-25,603919,18.33,18.29,18.39,17.97,38072,71693698.0,2.29,-0.22,-0.04,0.75
2025-03-26,603919,18.25,18.25,18.37,18.19,32386,61466954.0,0.98,-0.22,-0.04,0.64
2025-03-27,603919,18.3,18.41,18.5,18.17,29562,56330541.0,1.81,0.88,0.16,0.58
2025-03-28,603919,18.25,18.13,18.46,18.09,26377,49887207.0,2.01,-1.52,-0.28,0.52
2025-03-31,603919,18.12,18.22,18.37,18.03,31997,60414005.0,1.88,0.5,0.09,0.63
2025-04-01,603919,18.16,18.61,18.68,18.16,44773,86053873.0,2.85,2.14,0.39,0.88
2025-04-02,603919,18.58,18.5,18.78,18.47,23806,45871148.0,1.67,-0.59,-0.11,0.47
2025-04-03,603919,18.31,18.65,18.86,18.31,38424,74236914.0,2.97,0.81,0.15,0.76
2025-04-07,603919,18.11,17.73,18.67,17.22,84362,158149615.0,7.77,-4.93,-0.92,1.66
2025-04-08,603919,18.17,18.58,18.71,17.99,78527,150222162.0,4.06,4.79,0.85,1.55
2025-04-09,603919,18.36,18.74,18.86,17.99,64392,123570896.0,4.68,0.86,0.16,1.27
2025-04-10,603919,18.61,19.18,19.18,18.51,80272,157434435.0,3.58,2.35,0.44,1.58
2025-04-11,603919,18.99,18.75,19.03,18.67,63230,123581378.0,1.88,-2.24,-0.43,1.25
2025-04-14,603919,18.76,18.9,18.93,18.63,48995,95476152.0,1.6,0.8,0.15,0.97
2025-04-15,603919,19.11,18.66,19.11,18.58,53064,103487335.0,2.8,-1.27,-0.24,1.05
2025-04-16,603919,18.59,18.72,18.86,18.32,43424,83761626.0,2.89,0.32,0.06,0.86
2025-04-17,603919,18.71,19.41,19.53,18.52,103597,206566240.0,5.4,3.69,0.69,2.04
2025-04-18,603919,19.41,19.0,19.46,18.89,54112,107143315.0,2.94,-2.11,-0.41,1.07
2025-04-21,603919,18.81,18.84,18.97,18.67,40375,78677717.0,1.58,-0.84,-0.16,0.8
2025-04-22,603919,18.74,18.77,18.88,18.56,42850,83353298.0,1.7,-0.37,-0.07,0.84
2025-04-23,603919,18.7,18.71,18.84,18.55,40409,78276423.0,1.55,-0.32,-0.06,0.8
2025-04-24,603919,18.69,18.44,18.74,18.37,39636,76243577.0,1.98,-1.44,-0.27,0.78
2025-04-25,603919,18.4,18.77,18.89,18.4,43784,85108806.0,2.66,1.79,0.33,0.86
2025-04-28,603919,18.7,18.5,18.75,18.42,31968,61403476.0,1.76,-1.44,-0.27,0.63
2025-04-29,603919,18.43,18.61,18.73,18.39,33521,64598327.0,1.84,0.59,0.11,0.66
2025-04-30,603919,18.56,18.53,18.86,18.53,31214,60429333.0,1.77,-0.43,-0.08,0.62
2025-05-06,603919,18.55,18.77,18.79,18.42,34810,67135370.0,2.0,1.3,0.24,0.69
2025-05-07,603919,18.87,18.7,19.04,18.62,35787,69591314.0,2.24,-0.37,-0.07,0.71
2025-05-08,603919,18.64,18.76,18.81,18.52,24284,47182491.0,1.55,0.32,0.06,0.48
2025-05-09,603919,18.79,18.74,18.81,18.61,18359,35643595.0,1.07,-0.11,-0.02,0.36
2025-05-12,603919,18.79,18.67,18.79,18.62,20868,40414654.0,0.91,-0.37,-0.07,0.41
2025-05-13,603919,18.77,18.69,18.78,18.53,24179,46772942.0,1.34,0.11,0.02,0.48
2025-05-14,603919,18.61,18.69,18.89,18.44,37861,73229740.0,2.41,0.0,0.0,0.75
2025-05-15,603919,18.61,18.63,18.72,18.55,18902,36541755.0,0.91,-0.32,-0.06,0.37
2025-05-16,603919,18.59,18.44,18.66,18.4,25453,48810247.0,1.4,-1.02,-0.19,0.5
