日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603986,105.91,102.65,106.86,101.42,302431,3146583067.0,5.11,-3.58,-3.81,4.56
2025-01-03,603986,103.26,102.76,106.26,99.75,341289,3543095733.0,6.34,0.11,0.11,5.15
2025-01-06,603986,103.3,99.2,104.46,98.29,313420,3183655204.0,6.0,-3.46,-3.56,4.73
2025-01-07,603986,100.1,104.86,105.99,99.31,338771,3503531766.0,6.73,5.71,5.66,5.11
2025-01-08,603986,103.82,114.31,115.38,103.46,620005,6885517434.0,11.37,9.01,9.45,9.35
2025-01-09,603986,112.98,122.56,124.95,112.77,636921,7602732557.0,10.66,7.22,8.25,9.61
2025-01-10,603986,119.66,120.16,123.52,119.54,359245,4379028367.0,3.25,-1.96,-2.4,5.42
2025-01-13,603986,118.66,117.51,121.56,115.69,313077,3694225474.0,4.89,-2.21,-2.65,4.72
2025-01-14,603986,117.65,129.3,129.3,114.17,504030,6244303724.0,12.88,10.03,11.79,7.6
2025-01-15,603986,129.45,132.52,137.46,127.87,535336,7077664756.0,7.42,2.49,3.22,8.07
2025-01-16,603986,131.73,127.86,133.54,124.83,394024,5094807798.0,6.57,-3.52,-4.66,5.94
2025-01-17,603986,128.56,134.45,137.42,128.1,418945,5598345066.0,7.29,5.15,6.59,6.32
2025-01-20,603986,134.46,132.66,134.54,130.66,275941,3669606623.0,2.89,-1.33,-1.79,4.16
2025-01-21,603986,133.69,131.76,139.46,127.78,446601,5961717138.0,8.8,-0.68,-0.9,6.74
2025-01-22,603986,129.66,135.87,138.96,128.26,407133,5527481375.0,8.12,3.12,4.11,6.14
2025-01-23,603986,136.66,130.13,140.66,129.31,398255,5355847551.0,8.35,-4.22,-5.74,6.01
2025-01-24,603986,129.45,130.16,131.34,127.11,336735,4370248969.0,3.25,0.02,0.03,5.08
2025-01-27,603986,129.0,127.06,131.11,126.15,223230,2862587665.0,3.81,-2.38,-3.1,3.37
2025-02-05,603986,133.64,135.01,138.37,132.91,354214,4807238224.0,4.3,6.26,7.95,5.34
2025-02-06,603986,132.76,140.29,143.06,132.66,368582,5141324065.0,7.7,3.91,5.28,5.56
2025-02-07,603986,139.16,138.22,143.21,135.13,357779,4995411215.0,5.76,-1.48,-2.07,5.4
2025-02-10,603986,138.16,134.29,138.16,133.57,264705,3585109650.0,3.32,-2.84,-3.93,3.99
2025-02-11,603986,134.26,133.66,136.04,131.65,201522,2699171403.0,3.27,-0.47,-0.63,3.04
2025-02-12,603986,133.16,134.64,135.1,130.65,254827,3405837564.0,3.33,0.73,0.98,3.84
2025-02-13,603986,134.54,127.34,134.54,126.66,364995,4734748607.0,5.85,-5.42,-7.3,5.51
2025-02-14,603986,126.93,126.98,128.1,124.7,261862,3313432138.0,2.67,-0.28,-0.36,3.95
2025-02-17,603986,126.96,127.15,128.46,125.47,270844,3436539128.0,2.35,0.13,0.17,4.09
2025-02-18,603986,127.06,123.13,127.12,122.34,286452,3569947145.0,3.76,-3.16,-4.02,4.32
2025-02-19,603986,123.12,127.17,128.1,122.66,344094,4380302119.0,4.42,3.28,4.04,5.19
2025-02-20,603986,127.16,128.05,129.67,124.66,235787,3019593743.0,3.94,0.69,0.88,3.56
2025-02-21,603986,128.07,137.71,139.86,127.26,495341,6642724434.0,9.84,7.54,9.66,7.47
2025-02-24,603986,138.46,142.66,147.22,136.71,396754,5667611409.0,7.63,3.59,4.95,5.98
2025-02-25,603986,138.66,136.66,141.41,135.02,359209,4950144510.0,4.48,-4.21,-6.0,5.42
2025-02-26,603986,136.66,136.43,137.16,130.97,276195,3729755704.0,4.53,-0.17,-0.23,4.17
2025-02-27,603986,135.66,133.4,138.15,130.17,273432,3651461603.0,5.85,-2.22,-3.03,4.12
