日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605008,11.95,11.59,11.99,11.48,34085,39887156.0,4.27,-2.93,-0.35,0.53
2025-01-03,605008,11.62,11.42,11.75,11.36,23584,27274842.0,3.36,-1.47,-0.17,0.37
2025-01-06,605008,11.42,11.44,11.59,11.22,15406,17585198.0,3.24,0.18,0.02,0.24
2025-01-07,605008,11.44,11.67,11.75,11.39,18941,21865784.0,3.15,2.01,0.23,0.29
2025-01-08,605008,11.63,11.61,11.65,11.35,17553,20216025.0,2.57,-0.51,-0.06,0.27
2025-01-09,605008,11.6,11.59,11.68,11.45,11831,13728649.0,1.98,-0.17,-0.02,0.18
2025-01-10,605008,11.54,11.24,11.62,11.24,14344,16415112.0,3.28,-3.02,-0.35,0.22
2025-01-13,605008,11.0,10.78,11.17,10.69,30824,33610646.0,4.27,-4.09,-0.46,0.48
2025-01-14,605008,10.8,11.04,11.07,10.78,41319,45096162.0,2.69,2.41,0.26,0.64
2025-01-15,605008,10.96,10.92,10.98,10.8,23064,25081489.0,1.63,-1.09,-0.12,0.36
2025-01-16,605008,11.05,10.93,11.14,10.85,22699,24989748.0,2.66,0.09,0.01,0.35
2025-01-17,605008,10.93,11.0,11.18,10.87,18982,20892321.0,2.84,0.64,0.07,0.3
2025-01-20,605008,11.15,11.01,11.15,10.98,16483,18185976.0,1.55,0.09,0.01,0.26
2025-01-21,605008,11.05,10.97,11.08,10.93,12189,13373977.0,1.36,-0.36,-0.04,0.19
2025-01-22,605008,10.98,10.83,11.0,10.79,12785,13884497.0,1.91,-1.28,-0.14,0.2
2025-01-23,605008,10.99,10.94,11.17,10.94,27410,30315482.0,2.12,1.02,0.11,0.43
2025-01-24,605008,10.93,10.93,10.99,10.85,13591,14844632.0,1.28,-0.09,-0.01,0.21
2025-01-27,605008,10.99,10.93,11.08,10.92,15577,17128782.0,1.46,0.0,0.0,0.24
2025-02-05,605008,10.99,10.99,11.02,10.87,10489,11500346.0,1.37,0.55,0.06,0.16
2025-02-06,605008,10.98,11.09,11.1,10.9,16942,18654963.0,1.82,0.91,0.1,0.26
2025-02-07,605008,11.1,11.24,11.39,11.0,29975,33636343.0,3.52,1.35,0.15,0.47
2025-02-10,605008,11.25,11.27,11.32,11.22,17018,19158782.0,0.89,0.27,0.03,0.26
2025-02-11,605008,11.27,11.27,11.35,11.15,18891,21231371.0,1.77,0.0,0.0,0.29
2025-02-12,605008,11.27,11.67,11.72,11.21,40969,47072414.0,4.53,3.55,0.4,0.64
2025-02-13,605008,11.67,11.78,12.15,11.57,44615,52731841.0,4.97,0.94,0.11,0.69
2025-02-14,605008,11.65,11.74,11.82,11.65,18147,21292077.0,1.44,-0.34,-0.04,0.28
2025-02-17,605008,11.7,11.53,11.84,11.52,25768,29880878.0,2.73,-1.79,-0.21,0.4
2025-02-18,605008,11.59,11.61,11.99,11.52,36608,42986097.0,4.08,0.69,0.08,0.57
2025-02-19,605008,11.54,12.27,12.29,11.54,65867,79457198.0,6.46,5.68,0.66,1.03
2025-02-20,605008,12.41,13.5,13.5,12.41,144765,189532957.0,8.88,10.02,1.23,2.25
2025-02-21,605008,13.95,13.55,14.1,13.34,227250,311807650.0,5.63,0.37,0.05,3.54
2025-02-24,605008,12.99,13.5,13.62,12.86,120004,159448406.0,5.61,-0.37,-0.05,1.87
2025-02-25,605008,13.2,13.1,13.45,13.1,68463,90686311.0,2.59,-2.96,-0.4,1.07
2025-02-26,605008,13.11,13.25,13.57,13.02,54537,72401701.0,4.2,1.15,0.15,0.85
2025-02-27,605008,13.37,13.3,13.46,12.97,46191,61092235.0,3.7,0.38,0.05,0.72
2025-02-28,605008,13.28,13.04,13.3,13.0,32979,43201502.0,2.26,-1.95,-0.26,0.51
2025-03-03,605008,13.15,13.23,13.59,13.0,58964,78585564.0,4.52,1.46,0.19,0.92
2025-03-04,605008,13.1,13.46,13.5,13.03,49238,65738283.0,3.55,1.74,0.23,0.77
2025-03-05,605008,13.5,13.54,13.64,13.4,39800,53813941.0,1.78,0.59,0.08,0.62
2025-03-06,605008,13.57,13.64,13.8,13.5,44114,60272440.0,2.22,0.74,0.1,0.69
2025-03-07,605008,13.63,14.0,14.18,13.53,71939,100048653.0,4.77,2.64,0.36,1.12
2025-03-10,605008,14.31,15.03,15.39,14.02,116836,173365063.0,9.79,7.36,1.03,1.82
2025-03-11,605008,14.76,15.15,15.32,14.71,81531,122237976.0,4.06,0.8,0.12,1.27
2025-03-12,605008,15.04,15.49,15.55,15.04,71786,110177553.0,3.37,2.24,0.34,1.12
2025-03-13,605008,15.48,15.32,15.65,15.0,74894,114186622.0,4.2,-1.1,-0.17,1.17
2025-03-14,605008,15.23,15.39,15.42,15.06,49644,75824010.0,2.35,0.46,0.07,0.77
2025-03-17,605008,15.4,15.93,16.46,15.4,71329,114398320.0,6.89,3.51,0.54,1.11
2025-03-18,605008,15.75,16.04,16.19,15.75,58008,92759588.0,2.76,0.69,0.11,0.9
2025-03-19,605008,16.0,16.81,16.94,16.0,71919,119143635.0,5.86,4.8,0.77,1.12
2025-03-20,605008,16.83,16.61,16.9,16.06,78341,129300434.0,5.0,-1.19,-0.2,1.22
2025-03-21,605008,16.45,15.84,16.59,15.75,74822,120307336.0,5.06,-4.64,-0.77,1.16
2025-03-24,605008,15.8,15.84,16.14,15.29,77388,121839199.0,5.37,0.0,0.0,1.2
2025-03-25,605008,15.84,15.81,16.07,15.59,39475,62519024.0,3.03,-0.19,-0.03,0.61
2025-03-26,605008,15.82,15.87,16.28,15.81,37354,59866868.0,2.97,0.38,0.06,0.58
2025-03-27,605008,15.8,15.79,15.98,15.5,35078,55139268.0,3.02,-0.5,-0.08,0.55
2025-03-28,605008,15.79,15.48,15.8,15.34,34754,53852480.0,2.91,-1.96,-0.31,0.54
2025-03-31,605008,15.58,15.7,15.79,15.29,25874,40227315.0,3.23,1.42,0.22,0.4
2025-04-01,605008,15.7,15.61,15.95,15.53,22253,34890709.0,2.68,-0.57,-0.09,0.35
2025-04-02,605008,15.7,15.7,15.88,15.52,19827,31137451.0,2.31,0.58,0.09,0.31
2025-04-03,605008,15.53,15.6,15.85,15.43,24871,38768990.0,2.68,-0.64,-0.1,0.39
2025-04-07,605008,14.8,14.04,14.98,14.04,23540,33542174.0,6.03,-10.0,-1.56,0.37
2025-04-08,605008,13.87,13.62,14.2,13.26,59347,81111295.0,6.7,-2.99,-0.42,0.92
2025-04-09,605008,13.4,13.7,13.83,12.5,48508,64344174.0,9.77,0.59,0.08,0.76
2025-04-10,605008,13.79,14.15,14.41,13.79,34331,48551907.0,4.53,3.28,0.45,0.53
2025-04-11,605008,14.15,14.69,14.94,13.89,38349,56371070.0,7.42,3.82,0.54,0.6
2025-04-14,605008,15.0,15.55,15.85,14.85,54270,83580198.0,6.81,5.85,0.86,0.84
2025-04-15,605008,15.73,17.11,17.11,15.44,92274,151872118.0,10.74,10.03,1.56,1.44
2025-04-16,605008,17.11,16.04,17.11,15.88,80979,133855382.0,7.19,-6.25,-1.07,1.26
2025-04-17,605008,16.1,16.8,17.05,15.9,61710,102500967.0,7.17,4.74,0.76,0.96
2025-04-18,605008,16.52,16.11,16.69,16.03,43871,71175420.0,3.93,-4.11,-0.69,0.68
2025-04-21,605008,16.05,16.11,16.32,15.92,31083,49875709.0,2.48,0.0,0.0,0.48
2025-04-22,605008,16.11,15.82,16.25,15.8,21746,34747139.0,2.79,-1.8,-0.29,0.34
2025-04-23,605008,15.96,15.61,16.23,15.51,43192,68171694.0,4.55,-1.33,-0.21,0.67
2025-04-24,605008,15.7,16.51,16.54,15.62,71213,116390437.0,5.89,5.77,0.9,1.11
2025-04-25,605008,16.54,16.65,16.69,16.26,34744,57386565.0,2.6,0.85,0.14,0.54
2025-04-28,605008,16.65,15.73,16.73,15.7,49330,79153379.0,6.19,-5.53,-0.92,0.77
2025-04-29,605008,15.97,15.97,16.14,15.63,29644,47129194.0,3.24,1.53,0.24,0.46
2025-04-30,605008,15.83,16.35,16.63,15.71,50450,82452173.0,5.76,2.38,0.38,0.79
2025-05-06,605008,16.71,17.56,17.89,16.58,94628,165918691.0,8.01,7.4,1.21,1.47
2025-05-07,605008,17.7,16.87,17.8,16.66,63215,108029879.0,6.49,-3.93,-0.69,0.98
2025-05-08,605008,16.78,17.37,17.66,16.7,74642,129348434.0,5.69,2.96,0.5,1.16
2025-05-09,605008,17.2,17.33,17.66,17.05,31785,54907336.0,3.51,-0.23,-0.04,0.49
2025-05-12,605008,17.41,17.15,17.88,17.13,38817,67688503.0,4.33,-1.04,-0.18,0.6
2025-05-13,605008,17.2,17.03,17.62,16.9,37646,64834713.0,4.2,-0.7,-0.12,0.59
2025-05-14,605008,17.03,16.56,17.03,16.48,43507,72552961.0,3.23,-2.76,-0.47,0.68
2025-05-15,605008,16.52,16.25,16.66,16.06,24974,40678867.0,3.62,-1.87,-0.31,0.39
2025-05-16,605008,16.19,16.28,16.73,16.18,29849,48966749.0,3.38,0.18,0.03,0.46
2025-05-19,605008,16.37,16.0,16.37,15.5,32183,51402509.0,5.34,-1.72,-0.28,0.5
2025-05-20,605008,16.18,15.91,16.18,15.73,20656,32887842.0,2.81,-0.56,-0.09,0.32
2025-05-21,605008,15.88,15.75,15.88,15.55,24519,38508822.0,2.07,-1.01,-0.16,0.38
2025-05-22,605008,15.76,15.6,15.93,15.43,20781,32576794.0,3.17,-0.95,-0.15,0.32
2025-05-23,605008,15.22,15.68,15.95,15.22,27835,43520855.0,4.68,0.51,0.08,0.43
2025-05-26,605008,15.67,15.38,15.79,15.22,21783,33641357.0,3.64,-1.91,-0.3,0.34
2025-05-27,605008,15.4,15.14,15.4,15.0,29601,44793746.0,2.6,-1.56,-0.24,0.46
2025-05-28,605008,15.11,15.6,15.99,15.11,44912,69688111.0,5.81,3.04,0.46,0.7
2025-05-29,605008,15.6,15.59,15.93,15.36,28518,44461434.0,3.65,-0.06,-0.01,0.44
2025-05-30,605008,15.75,15.88,16.14,15.22,41468,65269705.0,5.9,1.86,0.29,0.65
2025-06-03,605008,15.88,15.56,16.28,15.53,35270,55778590.0,4.72,-2.02,-0.32,0.55
2025-06-04,605008,15.62,15.24,15.65,15.16,29527,45312905.0,3.15,-2.06,-0.32,0.46
2025-06-05,605008,15.3,15.07,15.39,15.05,16744,25395778.0,2.23,-1.12,-0.17,0.26
2025-06-06,605008,15.18,14.92,15.18,14.75,32636,48533284.0,2.85,-1.0,-0.15,0.51
2025-06-09,605008,14.9,14.77,15.03,14.65,24147,35812476.0,2.55,-1.01,-0.15,0.38
2025-06-10,605008,14.76,14.6,15.15,14.48,34886,51520210.0,4.54,-1.15,-0.17,0.54
2025-06-11,605008,14.65,14.79,14.87,14.5,17147,25257135.0,2.53,1.3,0.19,0.27
