日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605028,15.73,15.52,16.06,15.38,21560,36336827.0,4.3,-1.96,-0.31,1.35
2025-01-03,605028,15.5,15.09,15.7,15.09,23072,38043970.0,3.93,-2.77,-0.43,1.44
2025-01-06,605028,14.96,15.23,15.51,14.78,17210,28121088.0,4.84,0.93,0.14,1.08
2025-01-07,605028,15.26,15.53,15.53,15.07,13254,21737144.0,3.02,1.97,0.3,0.83
2025-01-08,605028,15.42,15.62,15.66,15.14,15407,25518586.0,3.35,0.58,0.09,0.96
2025-01-09,605028,15.44,15.62,15.69,15.43,10208,17054970.0,1.66,0.0,0.0,0.64
2025-01-10,605028,15.64,15.34,15.73,15.28,13084,21776619.0,2.88,-1.79,-0.28,0.82
2025-01-13,605028,15.26,15.19,15.34,14.98,9954,16223730.0,2.35,-0.98,-0.15,0.62
2025-01-14,605028,15.18,15.83,15.85,15.15,15528,26011247.0,4.61,4.21,0.64,0.97
2025-01-15,605028,15.9,16.05,16.2,15.8,16999,29101262.0,2.53,1.39,0.22,1.06
2025-01-16,605028,16.06,16.17,16.25,15.9,17120,29458617.0,2.18,0.75,0.12,1.07
2025-01-17,605028,16.16,16.33,16.39,15.96,17452,30283198.0,2.66,0.99,0.16,1.09
2025-01-20,605028,16.36,16.87,17.12,16.34,38051,68137789.0,4.78,3.31,0.54,2.38
2025-01-21,605028,16.82,15.98,16.85,15.85,36987,61355374.0,5.93,-5.28,-0.89,2.31
2025-01-22,605028,15.9,15.91,16.08,15.7,16501,27149503.0,2.38,-0.44,-0.07,1.03
2025-01-23,605028,16.06,15.72,16.18,15.72,18307,30144890.0,2.89,-1.19,-0.19,1.14
2025-01-24,605028,15.73,15.74,15.83,15.54,14875,24096171.0,1.84,0.13,0.02,0.93
2025-01-27,605028,15.76,15.89,16.11,15.76,13662,22523421.0,2.22,0.95,0.15,0.85
2025-02-05,605028,15.89,15.95,16.03,15.8,10648,17470089.0,1.45,0.38,0.06,0.67
2025-02-06,605028,15.91,16.2,16.22,15.82,15233,25183951.0,2.51,1.57,0.25,0.95
2025-02-07,605028,16.21,16.21,16.45,16.02,21319,35697821.0,2.65,0.06,0.01,1.33
2025-02-10,605028,16.23,16.6,16.65,16.22,23425,39792705.0,2.65,2.41,0.39,1.46
2025-02-11,605028,16.53,16.55,16.59,16.35,13935,23639863.0,1.45,-0.3,-0.05,0.87
2025-02-12,605028,16.52,16.63,16.76,16.42,19975,34118018.0,2.05,0.48,0.08,1.25
2025-02-13,605028,16.55,16.31,16.63,16.31,15718,26558830.0,1.92,-1.92,-0.32,0.98
2025-02-14,605028,16.3,16.23,16.35,16.17,11656,19525851.0,1.1,-0.49,-0.08,0.73
2025-02-17,605028,16.3,16.48,16.51,16.12,16598,28011785.0,2.4,1.54,0.25,1.04
2025-02-18,605028,16.4,16.19,16.7,16.13,17286,29228271.0,3.46,-1.76,-0.29,1.08
2025-02-19,605028,16.18,16.32,16.32,16.01,14946,24981888.0,1.91,0.8,0.13,0.93
2025-02-20,605028,16.34,16.48,16.55,16.21,20289,34296223.0,2.08,0.98,0.16,1.27
2025-02-21,605028,16.49,16.82,16.82,16.28,32206,55078442.0,3.28,2.06,0.34,2.01
2025-02-24,605028,16.82,16.66,17.13,16.57,30047,52083718.0,3.33,-0.95,-0.16,1.88
2025-02-25,605028,16.51,16.4,16.65,16.39,19369,32965165.0,1.56,-1.56,-0.26,1.21
2025-02-26,605028,16.39,16.68,16.88,16.37,27787,47698592.0,3.11,1.71,0.28,1.74
2025-02-27,605028,16.68,16.66,16.9,16.48,24350,41839121.0,2.52,-0.12,-0.02,1.52
2025-02-28,605028,16.65,16.37,16.67,16.29,17343,29395147.0,2.28,-1.74,-0.29,1.08
2025-03-03,605028,16.43,16.38,16.74,16.08,21958,37435015.0,4.03,0.06,0.01,1.37
2025-03-04,605028,16.27,16.6,16.97,16.27,27586,47349897.0,4.27,1.34,0.22,1.72
2025-03-05,605028,16.53,16.46,16.58,16.23,18025,30384597.0,2.11,-0.84,-0.14,1.13
2025-03-06,605028,16.45,16.57,16.59,16.33,12172,20675349.0,1.58,0.67,0.11,0.76
2025-03-07,605028,16.48,16.55,16.75,16.43,16253,27773453.0,1.93,-0.12,-0.02,1.02
2025-03-10,605028,16.55,16.81,16.82,16.55,20450,35189890.0,1.63,1.57,0.26,1.28
2025-03-11,605028,16.75,16.86,16.86,16.56,22545,38695263.0,1.78,0.3,0.05,1.41
2025-03-12,605028,16.82,16.95,17.0,16.78,25251,43956999.0,1.3,0.53,0.09,1.58
2025-03-13,605028,16.95,16.98,17.09,16.78,31168,54423468.0,1.83,0.18,0.03,1.95
2025-03-14,605028,16.97,17.07,17.08,16.77,27952,48787210.0,1.83,0.53,0.09,1.75
2025-03-17,605028,17.09,17.29,17.43,17.07,30861,54830583.0,2.11,1.29,0.22,1.93
2025-03-18,605028,17.2,17.5,17.54,17.15,32752,58389008.0,2.26,1.21,0.21,2.05
2025-03-19,605028,17.18,16.98,17.25,16.81,41830,73167507.0,2.51,-2.97,-0.52,2.61
2025-03-20,605028,16.9,17.06,17.1,16.85,24907,43601010.0,1.47,0.47,0.08,1.56
2025-03-21,605028,17.06,16.82,17.2,16.81,22170,38803692.0,2.29,-1.41,-0.24,1.39
