日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605050,9.19,9.18,9.28,9.03,24665,23948958.0,2.73,0.33,0.03,0.5
2025-01-03,605050,9.18,9.1,9.45,9.03,37175,36373116.0,4.58,-0.87,-0.08,0.75
2025-01-06,605050,9.12,9.26,9.3,8.77,25162,24424199.0,5.82,1.76,0.16,0.51
2025-01-07,605050,9.28,9.3,9.39,9.13,17370,17012852.0,2.81,0.43,0.04,0.35
2025-01-08,605050,9.25,9.14,9.27,8.87,22620,21795988.0,4.3,-1.72,-0.16,0.46
2025-01-09,605050,9.08,9.17,9.31,9.04,20752,20153052.0,2.95,0.33,0.03,0.42
2025-01-10,605050,9.17,8.82,9.21,8.81,20899,19999866.0,4.36,-3.82,-0.35,0.42
2025-01-13,605050,8.68,8.77,8.84,8.59,13489,12543685.0,2.83,-0.57,-0.05,0.27
2025-01-14,605050,8.78,9.2,9.32,8.78,27684,26668189.0,6.16,4.9,0.43,0.56
2025-01-15,605050,9.2,9.11,9.2,9.08,12817,12403906.0,1.3,-0.98,-0.09,0.26
2025-01-16,605050,9.13,9.27,9.31,9.07,21865,21293154.0,2.63,1.76,0.16,0.44
2025-01-17,605050,9.2,9.4,9.51,9.17,26598,26379600.0,3.67,1.4,0.13,0.54
2025-01-20,605050,9.38,9.48,9.55,9.37,19298,19349489.0,1.91,0.85,0.08,0.39
2025-01-21,605050,9.5,9.4,9.53,9.36,12043,12010103.0,1.79,-0.84,-0.08,0.24
2025-01-22,605050,9.35,9.32,9.46,9.31,12186,12061115.0,1.6,-0.85,-0.08,0.25
2025-01-23,605050,9.45,9.34,9.67,9.32,27646,27751181.0,3.76,0.21,0.02,0.56
2025-01-24,605050,9.26,9.34,9.38,9.23,13671,13481224.0,1.61,0.0,0.0,0.28
2025-01-27,605050,9.38,9.39,9.62,9.3,25818,25900153.0,3.43,0.54,0.05,0.52
2025-02-05,605050,9.46,9.25,9.52,9.23,29392,29012244.0,3.09,-1.49,-0.14,0.6
2025-02-06,605050,9.25,9.42,9.43,9.25,21261,21081703.0,1.95,1.84,0.17,0.43
2025-02-07,605050,9.45,9.65,9.7,9.4,44170,44860738.0,3.18,2.44,0.23,0.9
2025-02-10,605050,9.65,9.7,9.72,9.57,29858,30399510.0,1.55,0.52,0.05,0.61
2025-02-11,605050,9.7,9.66,9.75,9.62,17242,17639850.0,1.34,-0.41,-0.04,0.35
2025-02-12,605050,9.68,9.66,9.73,9.63,19527,19960770.0,1.04,0.0,0.0,0.4
2025-02-13,605050,9.66,9.64,9.71,9.58,22688,23148057.0,1.35,-0.21,-0.02,0.46
2025-02-14,605050,9.56,9.66,9.77,9.56,19960,20406783.0,2.18,0.21,0.02,0.41
2025-02-17,605050,9.71,9.74,9.8,9.66,32590,33517581.0,1.45,0.83,0.08,0.66
2025-02-18,605050,9.75,9.78,9.9,9.67,56605,58382376.0,2.36,0.41,0.04,1.15
2025-02-19,605050,9.69,9.75,9.84,9.56,40975,41346558.0,2.86,-0.31,-0.03,0.83
2025-02-20,605050,9.78,10.24,10.41,9.7,93586,98394658.0,7.28,5.03,0.49,1.9
