日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605069,7.63,7.6,7.93,7.52,37971,29329371.0,5.37,-0.39,-0.03,4.51
2025-01-03,605069,7.62,7.06,7.72,7.06,46203,33531272.0,8.68,-7.11,-0.54,5.49
2025-01-06,605069,7.06,7.07,7.17,6.68,38471,26916616.0,6.94,0.14,0.01,4.57
2025-01-07,605069,7.08,7.41,7.43,7.08,38674,28048865.0,4.95,4.81,0.34,4.6
2025-01-08,605069,7.38,7.31,7.5,7.1,39199,28623068.0,5.4,-1.35,-0.1,4.66
2025-01-09,605069,7.31,7.47,7.5,7.26,38023,28206376.0,3.28,2.19,0.16,4.52
2025-01-10,605069,7.41,7.3,7.76,7.25,69829,52006581.0,6.83,-2.28,-0.17,8.3
2025-01-13,605069,7.2,7.25,7.35,7.0,36696,26492065.0,4.79,-0.68,-0.05,4.36
2025-01-14,605069,7.26,7.68,7.69,7.26,49856,37503505.0,5.93,5.93,0.43,5.92
2025-01-15,605069,7.76,7.71,7.77,7.58,34781,26693074.0,2.47,0.39,0.03,4.13
2025-01-16,605069,7.75,7.72,7.89,7.67,42119,32715004.0,2.85,0.13,0.01,5.0
2025-01-17,605069,7.68,7.73,7.75,7.58,39795,30578880.0,2.2,0.13,0.01,4.73
2025-01-20,605069,7.5,7.13,7.56,7.08,91312,65803579.0,6.21,-7.76,-0.6,10.85
2025-01-21,605069,7.22,6.98,7.39,6.92,68916,48956865.0,6.59,-2.1,-0.15,8.19
2025-01-22,605069,6.94,6.89,6.96,6.74,42172,28900146.0,3.15,-1.29,-0.09,5.01
2025-01-23,605069,6.98,7.01,7.28,6.94,53073,37591214.0,4.93,1.74,0.12,6.31
2025-01-24,605069,7.09,7.71,7.71,6.98,90497,67401519.0,10.41,9.99,0.7,10.75
2025-01-27,605069,8.25,8.48,8.48,7.93,96607,80150596.0,7.13,9.99,0.77,11.48
2025-02-05,605069,8.4,8.52,9.33,8.06,313511,273341687.0,14.98,0.47,0.04,37.25
2025-02-06,605069,7.67,8.29,8.6,7.67,239335,190978520.0,10.92,-2.7,-0.23,28.44
2025-02-07,605069,8.08,8.19,8.33,8.01,189459,154640895.0,3.86,-1.21,-0.1,22.51
2025-02-10,605069,8.19,9.01,9.01,8.19,191242,165696665.0,10.01,10.01,0.82,22.72
2025-02-11,605069,9.0,8.69,9.13,8.6,223979,196581666.0,5.88,-3.55,-0.32,26.61
2025-02-12,605069,8.58,8.82,8.85,8.58,144947,126775136.0,3.11,1.5,0.13,17.22
2025-02-13,605069,8.66,8.63,8.79,8.53,109730,94774028.0,2.95,-2.15,-0.19,13.04
2025-02-14,605069,8.59,8.39,8.68,8.34,86867,73498303.0,3.94,-2.78,-0.24,10.32
2025-02-17,605069,8.39,8.52,8.63,8.39,84700,72144994.0,2.86,1.55,0.13,10.06
2025-02-18,605069,8.5,8.17,8.52,8.1,93575,77340367.0,4.93,-4.11,-0.35,11.12
2025-02-19,605069,8.18,8.28,8.3,8.17,63198,51993678.0,1.59,1.35,0.11,7.51
2025-02-20,605069,8.26,8.29,8.32,8.2,59124,48921907.0,1.45,0.12,0.01,7.03
2025-02-21,605069,8.29,8.33,8.35,8.06,85371,70106751.0,3.5,0.48,0.04,10.14
2025-02-24,605069,8.4,8.37,8.55,8.25,94621,79354345.0,3.6,0.48,0.04,11.24
2025-02-25,605069,8.34,8.3,8.59,8.25,91018,76922211.0,4.06,-0.84,-0.07,10.81
2025-02-26,605069,8.3,8.33,8.38,8.18,68548,56713190.0,2.41,0.36,0.03,8.14
2025-02-27,605069,8.35,7.98,8.35,7.9,78463,63334412.0,5.4,-4.2,-0.35,9.32
2025-02-28,605069,7.93,7.79,8.03,7.73,62061,48820537.0,3.76,-2.38,-0.19,7.37
2025-03-03,605069,7.93,7.9,8.2,7.86,66149,53002106.0,4.36,1.41,0.11,7.86
2025-03-04,605069,7.83,8.02,8.06,7.77,47991,38062199.0,3.67,1.52,0.12,5.7
2025-03-05,605069,7.98,7.95,8.05,7.76,49810,39153565.0,3.62,-0.87,-0.07,5.92
2025-03-06,605069,8.3,8.75,8.75,8.09,148495,126307695.0,8.3,10.06,0.8,17.64
2025-03-07,605069,9.0,9.63,9.63,8.76,301280,284378355.0,9.94,10.06,0.88,35.8
2025-03-10,605069,9.18,9.43,10.51,9.15,383388,371411380.0,14.12,-2.08,-0.2,45.55
2025-03-11,605069,9.25,10.37,10.37,8.97,318409,301848758.0,14.85,9.97,0.94,37.83
2025-03-12,605069,10.59,11.41,11.41,10.0,458573,488152885.0,13.6,10.03,1.04,54.49
2025-03-13,605069,10.75,10.61,11.41,10.55,335809,366890777.0,7.54,-7.01,-0.8,39.9
2025-03-14,605069,10.72,9.79,10.82,9.6,258102,255513879.0,11.5,-7.73,-0.82,30.67
2025-03-17,605069,9.78,10.12,10.44,9.51,250379,247945129.0,9.5,3.37,0.33,29.75
2025-03-18,605069,9.92,9.76,10.05,9.74,174455,172133023.0,3.06,-3.56,-0.36,20.73
2025-03-19,605069,9.71,9.57,9.76,9.4,132766,127030048.0,3.69,-1.95,-0.19,15.78
2025-03-20,605069,9.57,9.51,9.64,9.4,109745,104176953.0,2.51,-0.63,-0.06,13.04
2025-03-21,605069,9.51,9.7,9.85,9.33,161221,154580673.0,5.47,2.0,0.19,19.16
2025-03-24,605069,9.55,10.67,10.67,9.5,289608,293819533.0,12.06,10.0,0.97,34.41
2025-03-25,605069,11.36,11.74,11.74,10.83,228316,265340777.0,8.53,10.03,1.07,27.13
2025-03-26,605069,11.4,12.91,12.91,10.89,524502,636889223.0,17.21,9.97,1.17,62.32
2025-03-27,605069,12.0,11.62,12.03,11.62,186177,217313575.0,3.18,-9.99,-1.29,22.12
2025-03-28,605069,10.46,10.46,10.46,10.46,27229,28481534.0,0.0,-9.98,-1.16,3.24
2025-03-31,605069,9.41,9.41,9.5,9.41,67364,63413207.0,0.86,-10.04,-1.05,8.0
2025-04-01,605069,9.09,9.02,9.71,9.01,285519,263825494.0,7.44,-4.14,-0.39,33.93
2025-04-02,605069,9.0,9.27,9.44,8.85,215038,196401359.0,6.54,2.77,0.25,25.55
2025-04-03,605069,9.1,8.87,9.23,8.8,165643,148647634.0,4.64,-4.31,-0.4,19.68
2025-04-07,605069,8.0,7.98,8.26,7.98,52397,42071262.0,3.16,-10.03,-0.89,6.23
2025-04-08,605069,7.83,8.17,8.39,7.57,172454,137701030.0,10.28,2.38,0.19,20.49
