日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605077,14.05,13.83,14.28,13.75,22949,33761626.0,3.78,-1.36,-0.19,0.77
2025-01-03,605077,13.94,13.32,14.0,13.29,26026,37099041.0,5.13,-3.69,-0.51,0.87
2025-01-06,605077,13.02,13.32,13.55,12.98,17949,24995694.0,4.28,0.0,0.0,0.6
2025-01-07,605077,13.32,13.25,13.45,13.04,14307,19887919.0,3.08,-0.53,-0.07,0.48
2025-01-08,605077,13.25,13.18,13.29,12.88,20995,28931309.0,3.09,-0.53,-0.07,0.7
2025-01-09,605077,13.1,13.1,13.28,13.05,10616,14721935.0,1.75,-0.61,-0.08,0.35
2025-01-10,605077,13.06,12.85,13.15,12.85,12397,16957818.0,2.29,-1.91,-0.25,0.41
2025-01-13,605077,12.76,12.78,12.85,12.65,11028,14845443.0,1.56,-0.54,-0.07,0.37
2025-01-14,605077,13.08,13.15,13.16,12.81,19020,26133686.0,2.74,2.9,0.37,0.64
2025-01-15,605077,13.11,13.24,13.36,13.06,13684,19036720.0,2.28,0.68,0.09,0.46
2025-01-16,605077,13.22,13.23,13.43,13.07,12029,16767204.0,2.72,-0.08,-0.01,0.4
2025-01-17,605077,13.22,13.44,13.48,13.17,14284,20099195.0,2.34,1.59,0.21,0.48
2025-01-20,605077,13.49,13.51,13.7,13.4,11564,16483663.0,2.23,0.52,0.07,0.39
2025-01-21,605077,13.6,13.35,13.68,13.3,14988,21170907.0,2.81,-1.18,-0.16,0.5
2025-01-22,605077,13.38,13.14,13.38,13.08,16315,22623610.0,2.25,-1.57,-0.21,0.54
2025-01-23,605077,13.22,13.15,13.36,13.15,13119,18321099.0,1.6,0.08,0.01,0.44
2025-01-24,605077,13.11,13.24,13.31,13.11,11517,16055632.0,1.52,0.68,0.09,0.38
2025-01-27,605077,13.31,13.35,13.55,13.31,16321,23079419.0,1.81,0.83,0.11,0.55
2025-02-05,605077,13.4,13.27,13.5,13.16,14059,19670943.0,2.55,-0.6,-0.08,0.47
2025-02-06,605077,13.27,13.45,13.45,13.15,14093,19729915.0,2.26,1.36,0.18,0.47
2025-02-07,605077,13.43,13.58,13.64,13.4,20560,29295421.0,1.78,0.97,0.13,0.69
2025-02-10,605077,13.62,13.75,13.76,13.49,19255,27604368.0,1.99,1.25,0.17,0.64
2025-02-11,605077,13.85,14.06,14.1,13.72,33833,49462174.0,2.76,2.25,0.31,1.13
2025-02-12,605077,14.08,14.47,14.81,13.98,59201,90182252.0,5.9,2.92,0.41,1.98
2025-02-13,605077,14.45,14.17,14.53,14.14,26918,40356897.0,2.7,-2.07,-0.3,0.9
2025-02-14,605077,14.05,14.05,14.24,14.0,14521,21482271.0,1.69,-0.85,-0.12,0.48
2025-02-17,605077,14.16,14.28,14.6,14.04,21638,32449343.0,3.99,1.64,0.23,0.72
2025-02-18,605077,14.2,14.15,14.39,14.1,18540,27734306.0,2.03,-0.91,-0.13,0.62
2025-02-19,605077,14.18,14.29,14.3,14.09,18340,27297898.0,1.48,0.99,0.14,0.61
2025-02-20,605077,14.26,14.5,14.56,14.19,24691,37341043.0,2.59,1.47,0.21,0.82
2025-02-21,605077,14.51,14.6,14.65,14.33,22511,34215222.0,2.21,0.69,0.1,0.75
2025-02-24,605077,14.55,14.49,14.71,14.44,19082,29086454.0,1.85,-0.75,-0.11,0.64
2025-02-25,605077,14.45,14.5,14.67,14.33,23202,35280284.0,2.35,0.07,0.01,0.77
2025-02-26,605077,14.55,14.52,14.68,14.43,23196,35347286.0,1.72,0.14,0.02,0.77
2025-02-27,605077,14.52,14.45,14.58,14.26,24001,36168225.0,2.2,-0.48,-0.07,0.8
2025-02-28,605077,14.55,14.32,14.7,14.31,41113,62561947.0,2.7,-0.9,-0.13,1.37
2025-03-03,605077,14.49,14.66,14.85,14.45,52963,81773141.0,2.79,2.37,0.34,1.77
2025-03-04,605077,14.78,14.75,14.85,14.55,26867,41434498.0,2.05,0.61,0.09,0.9
2025-03-05,605077,14.75,14.62,14.8,14.38,22788,34714715.0,2.85,-0.88,-0.13,0.76
2025-03-06,605077,14.71,14.66,14.78,14.5,20700,31805420.0,1.92,0.27,0.04,0.69
2025-03-07,605077,14.62,14.84,14.89,14.58,30299,46909802.0,2.11,1.23,0.18,1.01
2025-03-10,605077,14.87,14.76,14.87,14.61,20063,30958494.0,1.75,-0.54,-0.08,0.67
2025-03-11,605077,14.66,14.77,14.77,14.59,19194,29524055.0,1.22,0.07,0.01,0.64
2025-03-12,605077,14.75,14.43,14.76,14.4,35109,53477672.0,2.44,-2.3,-0.34,1.17
2025-03-13,605077,14.42,14.45,14.5,14.25,24012,36142647.0,1.73,0.14,0.02,0.8
2025-03-14,605077,14.44,14.75,14.84,14.3,29371,45055514.0,3.74,2.08,0.3,0.98
2025-03-17,605077,14.85,14.78,14.93,14.74,17762,27535425.0,1.29,0.2,0.03,0.59
2025-03-18,605077,14.85,14.9,14.99,14.75,24720,38584438.0,1.62,0.81,0.12,0.83
2025-03-19,605077,14.87,14.75,14.94,14.67,19065,29541467.0,1.81,-1.01,-0.15,0.64
2025-03-20,605077,14.82,14.64,14.86,14.6,22606,34825082.0,1.76,-0.75,-0.11,0.75
2025-03-21,605077,14.59,14.38,14.69,14.26,33700,50952620.0,2.94,-1.78,-0.26,1.13
2025-03-24,605077,14.38,14.45,14.52,14.21,24953,37609771.0,2.16,0.49,0.07,0.83
2025-03-25,605077,14.46,14.49,14.51,14.22,24654,37175469.0,2.01,0.28,0.04,0.82
2025-03-26,605077,14.55,14.75,14.79,14.48,21726,33428332.0,2.14,1.79,0.26,0.73
2025-03-27,605077,14.62,14.82,14.89,14.51,24268,37479296.0,2.58,0.47,0.07,0.81
2025-03-28,605077,15.15,14.71,15.56,14.68,112947,179117331.0,5.94,-0.74,-0.11,3.77
2025-03-31,605077,14.26,14.4,14.83,14.2,52098,79067203.0,4.28,-2.11,-0.31,1.74
2025-04-01,605077,14.4,14.75,14.9,14.39,37152,57285203.0,3.54,2.43,0.35,1.24
2025-04-02,605077,14.71,14.75,15.05,14.69,28397,44214690.0,2.44,0.0,0.0,0.95
2025-04-03,605077,14.61,14.61,14.85,14.46,27633,42322975.0,2.64,-0.95,-0.14,0.92
2025-04-07,605077,14.02,13.08,14.02,13.08,56805,79315821.0,6.43,-10.47,-1.53,1.9
2025-04-08,605077,13.2,13.09,13.38,12.76,56135,76803134.0,4.74,0.08,0.01,1.87
2025-04-09,605077,12.7,13.15,13.34,12.41,54302,74047460.0,7.1,0.46,0.06,1.81
2025-04-10,605077,13.55,14.54,14.54,13.3,161443,241168271.0,9.43,10.57,1.39,5.39
2025-04-11,605077,14.35,13.89,14.41,13.88,123581,182188259.0,3.65,-4.47,-0.65,4.13
2025-04-14,605077,13.98,13.91,14.15,13.83,56497,82994533.0,2.3,0.14,0.02,1.89
2025-04-15,605077,14.05,14.0,14.14,13.72,29678,43439147.0,3.02,0.65,0.09,0.99
2025-04-16,605077,13.87,13.95,14.1,13.72,31103,45365284.0,2.71,-0.36,-0.05,1.04
2025-04-17,605077,13.9,14.05,14.15,13.82,34571,50916140.0,2.37,0.72,0.1,1.15
2025-04-18,605077,14.11,14.02,14.28,13.88,22509,33124604.0,2.85,-0.21,-0.03,0.75
2025-04-21,605077,14.08,14.2,14.2,13.92,25315,37437203.0,2.0,1.28,0.18,0.85
2025-04-22,605077,14.12,14.28,14.3,14.06,27327,40684493.0,1.69,0.56,0.08,0.91
2025-04-23,605077,14.28,14.28,14.54,14.23,37461,56518845.0,2.17,0.0,0.0,1.25
2025-04-24,605077,14.3,14.28,14.39,14.06,29958,43277925.0,2.31,0.0,0.0,1.0
2025-04-25,605077,14.25,14.41,14.48,14.21,23098,33613242.0,1.89,0.91,0.13,0.77
2025-04-28,605077,14.49,14.72,15.0,14.26,51925,77090291.0,5.14,2.15,0.31,1.73
2025-04-29,605077,14.69,15.05,15.2,14.61,46461,70435153.0,4.01,2.24,0.33,1.55
2025-04-30,605077,15.01,14.89,15.25,14.85,46510,70938339.0,2.66,-1.06,-0.16,1.55
2025-05-06,605077,14.93,15.12,15.15,14.77,41106,62262557.0,2.55,1.54,0.23,1.37
2025-05-07,605077,15.2,15.57,15.7,15.12,78161,122619709.0,3.84,2.98,0.45,2.61
2025-05-08,605077,15.5,15.62,15.75,15.38,64281,101497987.0,2.38,0.32,0.05,2.15
2025-05-09,605077,15.49,15.61,15.9,15.36,58519,92524920.0,3.46,-0.06,-0.01,1.95
2025-05-12,605077,15.71,15.3,15.73,15.23,42154,65659582.0,3.2,-1.99,-0.31,1.41
2025-05-13,605077,15.49,15.4,15.53,15.17,33580,52251053.0,2.35,0.65,0.1,1.12
2025-05-14,605077,15.35,15.39,15.66,15.31,30000,46873187.0,2.27,-0.06,-0.01,1.0
2025-05-15,605077,15.39,15.39,15.58,15.25,24953,38961024.0,2.14,0.0,0.0,0.83
2025-05-16,605077,15.39,15.57,15.76,15.26,35993,56563623.0,3.25,1.17,0.18,1.2
2025-05-19,605077,15.59,16.65,16.79,15.49,132208,218725826.0,8.35,6.94,1.08,4.42
2025-05-20,605077,16.33,16.58,16.69,16.26,69317,115660574.0,2.58,-0.42,-0.07,2.31
2025-05-21,605077,16.54,16.53,16.79,16.37,49460,82873121.0,2.53,-0.3,-0.05,1.65
2025-05-22,605077,16.37,16.2,16.86,16.2,51935,86476923.0,3.99,-2.0,-0.33,1.73
2025-05-23,605077,16.22,16.02,16.45,16.01,33872,55539308.0,2.72,-1.11,-0.18,1.13
2025-05-26,605077,15.97,15.99,16.2,15.8,29148,47183556.0,2.5,-0.19,-0.03,0.97
2025-05-27,605077,16.05,16.43,16.51,15.94,49755,82064560.0,3.56,2.75,0.44,1.66
2025-05-28,605077,16.45,16.32,16.65,16.23,28730,47578400.0,2.56,-0.67,-0.11,0.96
2025-05-29,605077,16.24,16.06,16.33,15.99,50576,82408492.0,2.08,-1.59,-0.26,1.69
2025-05-30,605077,16.05,16.0,16.16,15.93,25126,40842658.0,1.43,-0.37,-0.06,0.84
2025-06-03,605077,15.86,16.18,16.23,15.84,28934,47141734.0,2.44,1.13,0.18,0.97
2025-06-04,605077,16.25,16.22,16.38,16.07,30848,50753067.0,1.92,0.25,0.04,1.03
2025-06-05,605077,16.19,15.75,16.34,15.72,43064,69346710.0,3.82,-2.9,-0.47,1.44
2025-06-06,605077,15.71,15.98,15.99,15.62,22698,36507585.0,2.35,1.46,0.23,0.76
2025-06-09,605077,15.95,16.13,16.2,15.86,23545,38326352.0,2.13,0.94,0.15,0.79
2025-06-10,605077,16.05,16.06,16.2,15.83,18137,29464926.0,2.29,-0.43,-0.07,0.61
2025-06-11,605077,16.15,16.07,16.27,16.06,21136,34584426.0,1.31,0.06,0.01,0.71
2025-06-12,605077,16.17,16.05,16.17,15.92,16710,27059700.0,1.56,-0.12,-0.02,0.56
2025-06-13,605077,16.05,15.61,16.05,15.59,41435,65968673.0,2.87,-2.74,-0.44,1.38
2025-06-16,605077,15.6,15.6,15.74,15.42,25027,39593644.0,2.05,-0.06,-0.01,0.84
2025-06-17,605077,15.62,15.5,15.73,15.46,18937,29802966.0,1.73,-0.64,-0.1,0.63
2025-06-18,605077,15.41,15.5,15.59,15.36,21562,33830602.0,1.48,0.0,0.0,0.72
2025-06-19,605077,15.44,15.46,15.82,15.4,42126,66716486.0,2.71,-0.26,-0.04,1.41
2025-06-20,605077,15.43,15.09,15.52,15.02,41961,64628485.0,3.23,-2.39,-0.37,1.4
2025-06-23,605077,14.93,15.42,15.48,14.93,29088,44942264.0,3.64,2.19,0.33,0.97
2025-06-24,605077,15.55,15.5,15.59,15.39,19400,30484156.0,1.3,0.52,0.08,0.65
2025-06-25,605077,15.59,15.59,15.72,15.42,21645,34140989.0,1.94,0.58,0.09,0.72
2025-06-26,605077,15.69,15.21,15.69,15.18,24686,38410981.0,3.27,-2.44,-0.38,0.82
2025-06-27,605077,15.25,15.2,15.3,15.18,20908,32260806.0,0.79,-0.07,-0.01,0.7
2025-06-30,605077,15.25,15.98,16.19,15.21,54323,86597842.0,6.45,5.13,0.78,1.81
2025-07-01,605077,15.98,16.09,16.18,15.87,29503,47893527.0,1.94,0.69,0.11,0.99
2025-07-02,605077,16.05,17.35,17.71,15.96,228670,396264913.0,10.88,7.83,1.26,7.64
2025-07-03,605077,17.05,16.87,17.23,16.72,105523,180803838.0,2.94,-2.77,-0.48,3.52
2025-07-04,605077,16.98,16.36,17.03,16.31,100493,168650917.0,4.27,-3.02,-0.51,3.36
2025-07-07,605077,16.26,16.27,16.45,16.13,52693,86689682.0,1.96,-0.55,-0.09,1.76
2025-07-08,605077,16.27,16.31,16.41,16.18,47147,77830596.0,1.41,0.25,0.04,1.57
