日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605167,9.41,9.08,9.42,8.99,48562,45270177.0,4.51,-4.72,-0.45,1.08
2025-01-03,605167,9.07,8.78,9.17,8.77,40165,36354575.0,4.41,-3.3,-0.3,0.89
2025-01-06,605167,8.78,8.89,8.95,8.66,26883,24071482.0,3.3,1.25,0.11,0.6
2025-01-07,605167,8.86,9.28,9.32,8.86,48216,44723090.0,5.17,4.39,0.39,1.07
2025-01-08,605167,9.28,9.27,9.46,9.03,54922,51390527.0,4.63,-0.11,-0.01,1.22
2025-01-09,605167,9.18,9.19,9.43,9.15,33335,31224711.0,3.02,-0.86,-0.08,0.74
2025-01-10,605167,9.1,8.87,9.18,8.86,32544,29736967.0,3.48,-3.48,-0.32,0.72
2025-01-13,605167,8.79,8.82,8.87,8.69,20052,17845385.0,2.03,-0.56,-0.05,0.45
2025-01-14,605167,8.91,9.23,9.24,8.88,34387,31761296.0,4.08,4.65,0.41,0.77
2025-01-15,605167,9.17,9.15,9.28,9.13,19426,18060678.0,1.63,-0.87,-0.08,0.43
2025-01-16,605167,9.26,9.18,9.29,9.1,26064,24274957.0,2.08,0.33,0.03,0.58
2025-01-17,605167,9.13,9.27,9.28,9.11,22467,20959569.0,1.85,0.98,0.09,0.5
2025-01-20,605167,9.31,9.4,9.46,9.29,35183,33462092.0,1.83,1.4,0.13,0.78
2025-01-21,605167,9.5,9.38,9.5,9.33,26561,25265033.0,1.81,-0.21,-0.02,0.59
2025-01-22,605167,9.39,9.3,9.47,9.28,25284,23962120.0,2.03,-0.85,-0.08,0.56
2025-01-23,605167,9.38,9.37,9.49,9.35,35679,34011045.0,1.51,0.75,0.07,0.79
2025-01-24,605167,9.38,9.41,9.42,9.27,27837,26350423.0,1.6,0.43,0.04,0.62
2025-01-27,605167,9.38,9.42,9.49,9.36,24833,23723659.0,1.38,0.11,0.01,0.55
2025-02-05,605167,9.42,9.33,9.49,9.29,25630,24269619.0,2.12,-0.96,-0.09,0.57
2025-02-06,605167,9.33,9.47,9.47,9.28,32023,30415045.0,2.04,1.5,0.14,0.71
2025-02-07,605167,9.38,9.5,9.59,9.38,40230,38697778.0,2.22,0.32,0.03,0.9
