日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605198,27.28,27.7,28.23,27.2,13898,38979920.0,3.77,1.39,0.38,0.55
2025-01-03,605198,27.63,26.98,28.01,26.95,14060,38863390.0,3.83,-2.6,-0.72,0.56
2025-01-06,605198,27.05,26.63,27.13,25.76,8677,23405059.0,5.08,-1.3,-0.35,0.35
2025-01-07,605198,26.51,27.57,27.6,26.35,9662,26309600.0,4.69,3.53,0.94,0.39
2025-01-08,605198,27.58,26.9,27.84,26.31,12108,32910411.0,5.55,-2.43,-0.67,0.48
2025-01-09,605198,26.88,27.56,27.72,26.55,9467,26105935.0,4.35,2.45,0.66,0.38
2025-01-10,605198,27.61,26.84,27.93,26.76,9142,25253018.0,4.25,-2.61,-0.72,0.36
2025-01-13,605198,26.53,27.35,27.5,26.27,8316,22671366.0,4.58,1.9,0.51,0.33
2025-01-14,605198,27.25,28.35,28.43,27.21,10082,28605415.0,4.46,3.66,1.0,0.4
2025-01-15,605198,28.34,29.29,29.32,28.05,19988,58346154.0,4.48,3.32,0.94,0.8
2025-01-16,605198,29.55,29.73,30.16,29.15,18824,56250551.0,3.45,1.5,0.44,0.75
2025-01-17,605198,29.73,29.79,29.88,29.29,8129,24244659.0,1.98,0.2,0.06,0.32
2025-01-20,605198,29.79,29.34,30.25,29.04,8930,26533894.0,4.06,-1.51,-0.45,0.36
2025-01-21,605198,29.34,29.69,29.87,29.12,8192,24421693.0,2.56,1.19,0.35,0.33
2025-01-22,605198,29.69,29.56,29.93,29.13,8369,24933237.0,2.69,-0.44,-0.13,0.33
2025-01-23,605198,29.69,29.27,29.95,29.27,5824,17369001.0,2.3,-0.98,-0.29,0.23
2025-01-24,605198,29.56,29.6,29.63,29.11,5511,16337297.0,1.78,1.13,0.33,0.22
2025-01-27,605198,29.67,29.28,30.36,29.25,6850,20587083.0,3.75,-1.08,-0.32,0.27
2025-02-05,605198,29.28,28.81,29.42,28.49,7220,20959971.0,3.18,-1.61,-0.47,0.29
2025-02-06,605198,28.75,29.24,29.24,28.4,7517,21927313.0,2.92,1.49,0.43,0.3
2025-02-07,605198,29.24,29.11,29.7,28.59,9962,29264525.0,3.8,-0.44,-0.13,0.4
2025-02-10,605198,29.15,29.2,29.31,28.31,8614,25097492.0,3.44,0.31,0.09,0.34
2025-02-11,605198,29.16,29.47,29.99,29.02,9514,28264566.0,3.32,0.92,0.27,0.38
2025-02-12,605198,29.25,30.08,31.57,28.97,25795,77617825.0,8.82,2.07,0.61,1.03
2025-02-13,605198,30.07,29.76,30.35,29.66,12524,37848064.0,2.29,-1.06,-0.32,0.5
2025-02-14,605198,30.23,30.84,30.92,29.81,17040,52419813.0,3.73,3.63,1.08,0.68
2025-02-17,605198,30.84,30.93,31.46,30.28,14412,44829852.0,3.83,0.29,0.09,0.58
2025-02-18,605198,30.93,29.89,31.24,29.64,15273,46851077.0,5.17,-3.36,-1.04,0.61
2025-02-19,605198,29.6,30.24,30.25,29.02,11369,34216006.0,4.12,1.17,0.35,0.45
2025-02-20,605198,30.2,30.08,30.7,29.83,4744,14369719.0,2.88,-0.53,-0.16,0.19
2025-02-21,605198,30.1,30.45,30.45,29.66,8760,26582940.0,2.63,1.23,0.37,0.35
2025-02-24,605198,30.75,30.6,31.08,30.36,6778,20950993.0,2.36,0.49,0.15,0.27
2025-02-25,605198,30.36,30.83,31.17,30.09,8054,24993992.0,3.53,0.75,0.23,0.32
2025-02-26,605198,30.83,31.2,31.4,30.62,7249,22729301.0,2.53,1.2,0.37,0.29
2025-02-27,605198,31.25,31.96,31.96,30.86,9011,28480802.0,3.53,2.44,0.76,0.36
2025-02-28,605198,31.98,32.03,32.75,31.75,12264,39635297.0,3.13,0.22,0.07,0.49
2025-03-03,605198,32.03,32.14,32.65,31.94,12905,41908928.0,2.22,0.34,0.11,0.52
2025-03-04,605198,32.14,32.95,32.95,31.83,11020,36213109.0,3.48,2.52,0.81,0.44
2025-03-05,605198,32.94,33.8,33.8,32.65,13041,43818582.0,3.49,2.58,0.85,0.52
2025-03-06,605198,33.85,34.03,34.23,33.1,16270,55316585.0,3.34,0.68,0.23,0.65
2025-03-07,605198,34.01,34.73,34.74,33.94,13024,45017401.0,2.35,2.06,0.7,0.52
2025-03-10,605198,34.75,35.89,37.25,33.29,36770,131540831.0,11.4,3.34,1.16,1.47
2025-03-11,605198,35.13,36.45,36.5,34.93,20975,75673402.0,4.37,1.56,0.56,0.84
2025-03-12,605198,36.43,37.29,37.97,36.08,17956,67487656.0,5.19,2.3,0.84,0.72
2025-03-13,605198,37.37,36.57,37.55,36.35,14373,53234949.0,3.22,-1.93,-0.72,0.57
2025-03-14,605198,36.25,36.52,36.78,35.97,11445,41903674.0,2.21,-0.14,-0.05,0.46
2025-03-17,605198,36.52,36.35,36.83,35.95,8771,32051084.0,2.41,-0.47,-0.17,0.35
2025-03-18,605198,36.33,36.69,36.83,36.03,8360,30684422.0,2.2,0.94,0.34,0.33
2025-03-19,605198,36.34,36.55,37.03,36.34,6776,25077259.0,1.88,-0.38,-0.14,0.27
2025-03-20,605198,36.36,36.62,37.05,36.35,6974,25666159.0,1.92,0.19,0.07,0.28
2025-03-21,605198,36.39,36.64,37.02,36.26,7951,29367449.0,2.08,0.05,0.02,0.32
2025-03-24,605198,36.74,36.73,36.93,36.29,10596,39073336.0,1.75,0.25,0.09,0.42
2025-03-25,605198,36.65,36.34,36.82,35.84,17025,62255487.0,2.67,-1.06,-0.39,0.68
2025-03-26,605198,36.18,36.37,36.51,36.07,9543,34955143.0,1.21,0.08,0.03,0.38
2025-03-27,605198,36.55,36.23,36.8,35.99,18607,68131033.0,2.23,-0.38,-0.14,0.74
2025-03-28,605198,36.21,36.21,36.43,36.1,8865,32386911.0,0.91,-0.06,-0.02,0.35
2025-03-31,605198,36.1,36.73,36.83,36.01,13071,47879783.0,2.26,1.44,0.52,0.52
2025-04-01,605198,36.72,37.3,39.08,36.63,23710,90660306.0,6.67,1.55,0.57,0.95
2025-04-02,605198,37.42,37.52,38.15,36.91,12023,45436340.0,3.32,0.59,0.22,0.48
2025-04-03,605198,37.05,38.13,38.52,36.97,14272,54342111.0,4.13,1.63,0.61,0.57
2025-04-07,605198,36.79,34.35,38.0,34.29,30262,108766595.0,9.73,-9.91,-3.78,1.21
2025-04-08,605198,34.07,35.68,36.25,34.07,17000,60627933.0,6.35,3.87,1.33,0.68
2025-04-09,605198,35.75,36.46,37.23,35.41,22491,82413730.0,5.1,2.19,0.78,0.9
2025-04-10,605198,36.46,37.51,37.75,36.29,26097,96808003.0,4.0,2.88,1.05,1.04
2025-04-11,605198,37.49,38.33,38.7,37.49,33032,126850291.0,3.23,2.19,0.82,1.32
2025-04-14,605198,37.95,37.78,38.52,37.28,20867,79615922.0,3.24,-1.43,-0.55,0.83
2025-04-15,605198,37.82,37.48,37.93,37.4,8103,30696267.0,1.4,-0.79,-0.3,0.32
2025-04-16,605198,37.5,39.03,39.15,37.41,27034,104831734.0,4.64,4.14,1.55,1.08
2025-04-17,605198,39.25,39.3,39.61,38.08,16166,63240112.0,3.92,0.69,0.27,0.65
2025-04-18,605198,38.85,39.3,40.02,38.82,16828,66804949.0,3.05,0.0,0.0,0.67
2025-04-21,605198,39.3,38.97,39.7,38.43,19118,75018627.0,3.23,-0.84,-0.33,0.76
2025-04-22,605198,38.64,35.55,38.64,35.05,34704,125766589.0,9.21,-8.78,-3.42,1.39
2025-04-23,605198,35.35,37.45,37.65,35.35,36991,136590554.0,6.47,5.34,1.9,1.48
2025-04-24,605198,37.47,37.67,37.95,36.88,17595,66325744.0,2.86,0.59,0.22,0.7
2025-04-25,605198,37.62,37.72,37.82,37.1,11121,41998531.0,1.91,0.13,0.05,0.44
2025-04-28,605198,37.46,37.82,38.19,37.26,11482,43685468.0,2.47,0.27,0.1,0.46
2025-04-29,605198,37.75,37.75,38.02,37.48,6333,24091401.0,1.43,-0.19,-0.07,0.25
2025-04-30,605198,37.75,37.78,38.1,37.35,9675,36781526.0,1.99,0.08,0.03,0.39
2025-05-06,605198,37.78,41.58,41.58,37.78,37426,151802471.0,10.06,10.06,3.8,1.49
2025-05-07,605198,43.98,45.75,45.76,42.84,53153,242052520.0,7.02,10.03,4.17,2.12
2025-05-08,605198,45.75,45.5,46.79,44.44,46000,211569985.0,5.14,-0.55,-0.25,1.84
2025-05-09,605198,46.25,49.14,49.75,46.25,43318,212863824.0,7.69,8.0,3.64,1.73
2025-05-12,605198,49.08,50.79,51.25,46.75,38076,189283036.0,9.16,3.36,1.65,1.52
