日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,605499,242.57,242.44,245.62,237.5,20562,507647984.0,3.33,-0.44,-1.08,0.4
2025-01-03,605499,242.14,241.4,245.89,240.54,15416,382727294.0,2.21,-0.43,-1.04,0.3
2025-01-06,605499,241.0,246.7,248.49,238.53,32486,812928075.0,4.13,2.2,5.3,0.62
2025-01-07,605499,247.05,253.68,254.48,245.47,21766,557986291.0,3.65,2.83,6.98,0.42
2025-01-08,605499,253.58,263.91,265.99,252.04,33994,902465029.0,5.5,4.03,10.23,0.65
2025-01-09,605499,263.0,266.4,269.93,260.18,19859,539218049.0,3.69,0.94,2.49,0.38
2025-01-10,605499,265.99,271.96,273.49,265.0,16224,447561655.0,3.19,2.09,5.56,0.31
2025-01-13,605499,270.83,262.01,271.95,259.18,31692,853279081.0,4.7,-3.66,-9.95,0.61
2025-01-14,605499,260.44,240.87,262.18,239.52,65247,1650805993.0,8.65,-8.07,-21.14,1.25
2025-01-15,605499,238.0,231.03,239.0,228.33,60451,1433456507.0,4.43,-4.09,-9.84,1.16
2025-01-16,605499,228.04,229.3,232.98,228.04,33436,785598016.0,2.14,-0.75,-1.73,0.64
2025-01-17,605499,229.3,238.0,239.3,227.0,34853,833993185.0,5.36,3.79,8.7,0.67
2025-01-20,605499,236.99,241.79,245.0,235.99,26519,656048020.0,3.79,1.59,3.79,0.51
2025-01-21,605499,243.5,244.9,249.46,242.07,27075,678286489.0,3.06,1.29,3.11,0.52
2025-01-22,605499,243.09,237.81,245.89,233.76,22971,558223854.0,4.95,-2.9,-7.09,0.44
2025-01-23,605499,241.0,237.79,241.36,236.58,17879,435183470.0,2.01,-0.01,-0.02,0.34
2025-01-24,605499,237.12,236.13,238.5,231.0,21228,508082511.0,3.15,-0.7,-1.66,0.41
2025-01-27,605499,236.48,238.15,240.45,233.02,18265,444533891.0,3.15,0.86,2.02,0.35
2025-02-05,605499,240.45,226.5,240.45,226.1,31872,747484348.0,6.03,-4.89,-11.65,0.61
2025-02-06,605499,226.5,229.5,231.99,226.45,22081,518889265.0,2.45,1.32,3.0,0.42
2025-02-07,605499,231.96,227.31,231.96,226.3,21793,508328150.0,2.47,-0.95,-2.19,0.42
2025-02-10,605499,222.67,217.0,222.67,210.02,62225,1369677224.0,5.57,-4.54,-10.31,1.2
