日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-22,920076,33.11,28.06,34.34,27.68,161517,483136177.71,61.9,160.78,17.3,81.73
2026-01-23,920076,27.5,29.6,32.48,27.08,133829,397851208.61,19.24,5.49,1.54,67.72
2026-01-26,920076,29.23,28.59,31.55,28.5,102655,303111192.39,10.3,-3.41,-1.01,51.95
2026-01-27,920076,27.4,26.62,27.5,25.91,79293,211186139.0,5.56,-6.89,-1.97,40.13
2026-01-28,920076,26.3,26.15,26.8,26.1,45208,118862909.54,2.63,-1.77,-0.47,22.88
2026-01-29,920076,25.93,25.37,26.04,25.33,42168,108085545.79,2.72,-2.98,-0.78,21.34
2026-01-30,920076,25.01,25.09,25.7,25.01,20861,52794401.77,2.72,-1.1,-0.28,10.56
2026-02-02,920076,25.14,24.93,25.34,24.8,20399,50953696.22,2.15,-0.64,-0.16,10.32
2026-02-03,920076,25.3,25.14,25.42,24.87,14378,36084098.11,2.21,0.84,0.21,7.28
2026-02-04,920076,25.24,25.15,25.68,25.0,17131,43272056.98,2.7,0.04,0.01,8.67
2026-02-05,920076,25.01,24.27,25.17,24.11,18570,45701389.75,4.21,-3.5,-0.88,9.4
2026-02-06,920076,24.2,24.25,24.46,24.15,9052,22020896.55,1.28,-0.08,-0.02,4.58
2026-02-09,920076,24.41,24.29,24.42,24.18,12672,30773978.28,0.99,0.16,0.04,6.41
2026-02-10,920076,24.3,23.72,24.3,23.68,15254,36439096.95,2.55,-2.35,-0.57,7.72
2026-02-11,920076,23.67,23.64,23.88,23.62,11795,27979810.98,1.1,-0.34,-0.08,5.97
2026-02-12,920076,23.64,23.69,23.83,23.56,10115,24016837.65,1.14,0.21,0.05,5.12
2026-02-13,920076,23.6,23.71,23.98,23.55,13802,32759073.02,1.82,0.08,0.02,6.98
2026-02-24,920076,23.85,23.75,23.9,23.66,11195,26585741.95,1.01,0.17,0.04,5.66
2026-02-25,920076,23.77,24.25,24.29,23.72,22398,53995075.37,2.4,2.11,0.5,11.33
2026-02-26,920076,24.53,24.39,24.95,24.29,29682,73216248.23,2.72,0.58,0.14,15.02
2026-02-27,920076,24.2,24.41,24.64,23.95,16206,39308593.66,2.83,0.08,0.02,8.2
2026-03-02,920076,24.01,23.52,24.09,23.36,19059,45156989.67,2.99,-3.65,-0.89,9.64
2026-03-03,920076,23.57,23.62,23.89,23.35,13062,30882217.69,2.3,0.43,0.1,6.61
2026-03-04,920076,23.55,23.05,23.75,22.96,13704,31916275.49,3.34,-2.41,-0.57,6.93
2026-03-05,920076,23.23,23.07,23.42,23.07,5620,13063645.07,1.52,0.09,0.02,2.84
2026-03-06,920076,23.09,23.16,23.24,22.8,6016,13876549.4,1.91,0.39,0.09,3.04
2026-03-09,920076,22.97,22.57,22.98,22.43,8906,20176628.73,2.37,-2.55,-0.59,4.51
2026-03-10,920076,22.62,23.15,23.15,22.59,7362,16875980.73,2.48,2.57,0.58,3.73
2026-03-11,920076,23.15,23.33,23.61,23.0,9794,22901995.35,2.63,0.78,0.18,4.96
2026-03-12,920076,23.32,23.2,23.56,23.03,6835,15918396.57,2.27,-0.56,-0.13,3.46
2026-03-13,920076,23.1,23.3,23.65,23.09,8900,20819332.19,2.41,0.43,0.1,4.5
