日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920146,6.36,6.25,6.51,6.18,33373,21246627.81,5.2,-1.57,-0.1,3.44
2025-01-03,920146,6.26,6.31,6.49,6.23,34850,22081530.89,4.16,0.96,0.06,3.59
2025-01-06,920146,6.36,6.94,7.14,6.22,75209,49598473.07,14.58,9.98,0.63,7.75
2025-01-07,920146,6.93,6.91,6.93,6.6,57152,38725789.53,4.76,-0.43,-0.03,5.89
2025-01-08,920146,6.9,6.77,6.93,6.55,44127,29894595.68,5.5,-2.03,-0.14,4.55
2025-01-09,920146,6.66,6.81,6.99,6.66,38530,26439936.04,4.87,0.59,0.04,3.97
2025-01-10,920146,6.77,6.49,6.86,6.48,29796,19995362.49,5.58,-4.7,-0.32,3.07
2025-01-13,920146,6.57,6.46,6.66,6.31,22387,14577725.15,5.39,-0.46,-0.03,2.31
2025-01-14,920146,6.49,7.03,7.03,6.49,66006,45150330.77,8.36,8.82,0.57,6.8
2025-01-15,920146,7.08,6.89,7.28,6.86,56280,39673826.14,5.97,-1.99,-0.14,5.8
2025-01-16,920146,6.92,6.94,7.2,6.88,42081,29495212.28,4.64,0.73,0.05,4.34
2025-01-17,920146,6.95,6.81,7.0,6.75,27199,18686785.73,3.6,-1.87,-0.13,2.8
2025-01-20,920146,6.9,6.76,7.07,6.73,20995,14392531.83,4.99,-0.73,-0.05,2.16
2025-01-21,920146,6.92,6.83,6.92,6.73,18913,12864420.39,2.81,1.04,0.07,1.95
2025-01-22,920146,6.87,6.56,6.9,6.52,23122,15478609.75,5.56,-3.95,-0.27,2.38
2025-01-23,920146,6.65,6.51,6.88,6.49,30238,20290596.53,5.95,-0.76,-0.05,3.12
2025-01-24,920146,6.53,6.49,6.67,6.3,27735,18079800.19,5.68,-0.31,-0.02,2.86
2025-01-27,920146,6.55,6.31,6.61,6.3,18348,11818034.6,4.78,-2.77,-0.18,1.89
2025-02-05,920146,6.37,6.32,6.48,6.26,22932,14528333.38,3.49,0.16,0.01,2.36
2025-02-06,920146,6.35,8.21,8.21,6.25,175891,129796347.45,31.01,29.91,1.89,18.13
2025-02-07,920146,9.0,10.67,10.67,8.59,471344,463155465.25,25.33,29.96,2.46,48.58
2025-02-10,920146,10.13,11.23,11.5,9.77,437890,460836303.59,16.21,5.25,0.56,45.13
2025-02-11,920146,10.7,10.26,11.37,10.18,376305,397856796.97,10.6,-8.64,-0.97,38.78
2025-02-12,920146,9.62,9.76,10.31,9.47,242497,238278016.1,8.19,-4.87,-0.5,24.99
2025-02-13,920146,9.58,9.33,10.0,9.26,184374,176580508.84,7.58,-4.41,-0.43,19.0
2025-02-14,920146,9.4,9.66,10.18,9.21,216459,210140634.3,10.4,3.54,0.33,22.31
2025-02-17,920146,9.28,9.74,9.87,9.28,179006,170662840.82,6.11,0.83,0.08,18.45
2025-02-18,920146,9.56,9.11,9.98,9.08,152528,146163928.15,9.24,-6.47,-0.63,15.72
2025-02-19,920146,9.03,9.32,9.53,9.03,134025,124505279.97,5.49,2.31,0.21,13.81
2025-02-20,920146,9.28,9.17,9.45,9.15,127244,118286988.79,3.22,-1.61,-0.15,13.11
2025-02-21,920146,9.09,9.38,9.7,9.09,163957,154948959.08,6.65,2.29,0.21,16.9
2025-02-24,920146,9.3,9.14,9.47,9.01,116474,107267427.19,4.9,-2.56,-0.24,12.0
2025-02-25,920146,8.97,9.63,9.88,8.68,191026,179002825.99,13.13,5.36,0.49,19.69
2025-02-26,920146,9.5,9.5,9.9,9.4,151492,145439926.42,5.19,-1.35,-0.13,15.61
2025-02-27,920146,9.65,9.16,9.75,9.05,128522,120571788.23,7.37,-3.58,-0.34,13.25
2025-02-28,920146,9.0,8.72,9.46,8.72,99628,90876452.75,8.08,-4.8,-0.44,10.27
2025-03-03,920146,8.62,8.97,9.48,8.57,103555,93949631.73,10.44,2.87,0.25,10.67
2025-03-04,920146,8.76,9.26,9.34,8.72,96982,87961392.61,6.91,3.23,0.29,10.0
2025-03-05,920146,9.3,9.7,9.79,9.15,164465,156799076.15,6.91,4.75,0.44,16.95
2025-03-06,920146,9.64,9.4,9.9,9.34,113081,107677644.72,5.77,-3.09,-0.3,11.65
2025-03-07,920146,9.45,9.3,9.65,9.15,99500,93731121.57,5.32,-1.06,-0.1,10.25
2025-03-10,920146,9.25,9.5,9.85,9.22,112277,107481234.0,6.77,2.15,0.2,11.57
2025-03-11,920146,9.29,9.5,9.5,9.1,74557,69370243.67,4.21,0.0,0.0,7.68
2025-03-12,920146,9.68,9.94,10.16,9.46,178411,175603196.03,7.37,4.63,0.44,18.39
2025-03-13,920146,10.4,9.73,10.47,9.48,141632,139417478.64,9.96,-2.11,-0.21,14.6
2025-03-14,920146,9.55,10.42,10.82,9.53,198775,202204864.96,13.26,7.09,0.69,20.49
2025-03-17,920146,10.36,10.8,11.26,10.16,174587,185453520.04,10.56,3.65,0.38,17.99
2025-03-18,920146,11.05,10.38,11.08,10.2,130674,136649171.0,8.15,-3.89,-0.42,13.47
2025-03-19,920146,9.92,9.56,10.19,9.4,120840,118757762.6,7.61,-7.9,-0.82,12.45
2025-03-20,920146,9.7,9.04,9.71,9.0,101416,94399146.0,7.43,-5.44,-0.52,10.45
2025-03-21,920146,8.83,8.4,9.13,8.4,78999,68768252.85,8.08,-7.08,-0.64,8.14
2025-03-24,920146,8.52,8.77,8.85,8.33,74906,63969787.98,6.19,4.4,0.37,7.72
2025-03-25,920146,8.74,8.93,8.95,8.7,63600,56365768.14,2.85,1.82,0.16,6.55
2025-03-26,920146,9.03,9.18,9.46,8.86,97664,89264878.15,6.72,2.8,0.25,10.07
