日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920152,11.15,11.08,11.4,11.01,12409,13933725.51,3.5,-0.63,-0.07,1.51
2025-01-03,920152,11.28,11.13,11.36,10.74,14474,16141822.01,5.6,0.45,0.05,1.76
2025-01-06,920152,11.22,11.15,11.27,10.71,9717,10767330.85,5.03,0.18,0.02,1.18
2025-01-07,920152,11.19,11.94,11.94,11.08,21952,25315307.32,7.71,7.09,0.79,2.67
2025-01-08,920152,11.94,11.81,11.96,11.38,19926,23266832.52,4.86,-1.09,-0.13,2.43
2025-01-09,920152,11.94,12.26,12.56,11.55,29697,36282844.19,8.55,3.81,0.45,3.61
2025-01-10,920152,12.46,11.8,12.7,11.71,22360,27257351.47,8.08,-3.75,-0.46,2.72
2025-01-13,920152,11.66,11.28,11.67,11.2,14553,16512516.71,3.98,-4.41,-0.52,1.77
2025-01-14,920152,11.53,12.23,12.26,11.24,26330,31056240.75,9.04,8.42,0.95,3.2
2025-01-15,920152,12.16,12.11,12.6,12.02,29006,35617556.47,4.74,-0.98,-0.12,3.53
2025-01-16,920152,12.03,12.18,12.5,12.0,17998,22060969.14,4.13,0.58,0.07,2.19
2025-01-17,920152,12.16,11.89,12.23,11.8,11716,14045820.97,3.53,-2.38,-0.29,1.43
2025-01-20,920152,11.93,11.73,12.28,11.62,12344,14611567.62,5.55,-1.35,-0.16,1.5
2025-01-21,920152,11.8,11.47,11.85,11.4,10764,12380785.13,3.84,-2.22,-0.26,1.31
2025-01-22,920152,11.58,11.11,11.58,11.08,10083,11281158.87,4.36,-3.14,-0.36,1.23
2025-01-23,920152,11.26,11.15,11.51,11.15,14827,16819241.34,3.24,0.36,0.04,1.8
2025-01-24,920152,11.17,11.7,11.8,11.11,18311,20979540.33,6.19,4.93,0.55,2.23
2025-01-27,920152,11.72,12.3,12.38,11.55,24211,29117140.55,7.09,5.13,0.6,2.95
2025-02-05,920152,12.5,12.1,12.51,11.88,16127,19541640.44,5.12,-1.63,-0.2,1.96
2025-02-06,920152,11.9,12.46,12.49,11.78,27743,33744574.4,5.87,2.98,0.36,3.38
2025-02-07,920152,12.38,12.87,12.97,12.22,40744,51644778.23,6.02,3.29,0.41,4.96
2025-02-10,920152,12.98,13.32,13.46,12.56,33186,43496486.88,6.99,3.5,0.45,4.04
2025-02-11,920152,13.5,13.21,13.6,13.0,34133,45323395.56,4.5,-0.83,-0.11,4.15
2025-02-12,920152,13.44,13.78,14.23,13.25,38560,53581251.92,7.42,4.31,0.57,4.69
2025-02-13,920152,13.41,14.4,14.5,13.41,47208,66560465.17,7.91,4.5,0.62,5.75
2025-02-14,920152,14.4,14.08,14.96,13.9,42572,61492409.65,7.36,-2.22,-0.32,5.18
2025-02-17,920152,13.8,13.8,14.3,13.51,25038,34807084.55,5.61,-1.99,-0.28,3.05
2025-02-18,920152,14.8,17.94,17.94,14.8,77354,131822290.4,22.75,30.0,4.14,9.41
2025-02-19,920152,18.89,17.94,20.71,17.91,154519,292077485.62,15.61,0.0,0.0,18.81
2025-02-20,920152,17.0,17.35,17.71,16.59,90771,155035667.45,6.24,-3.29,-0.59,11.05
2025-02-21,920152,17.15,20.0,22.3,16.8,160873,311632054.95,31.7,15.27,2.65,19.58
2025-02-24,920152,20.5,19.9,21.62,18.76,104465,211183612.36,14.3,-0.5,-0.1,12.71
2025-02-25,920152,18.92,19.75,21.23,18.52,113608,226587882.54,13.62,-0.75,-0.15,13.83
2025-02-26,920152,20.4,19.62,21.18,19.49,91599,184456047.05,8.56,-0.66,-0.13,11.15
