日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-28,920159,49.9,52.89,65.18,47.07,136843,703488469.24,72.44,111.56,27.89,95.03
2026-01-29,920159,46.0,46.05,48.44,46.0,81642,381278957.06,4.61,-12.93,-6.84,56.7
2026-01-30,920159,44.88,46.6,50.29,44.88,68105,326089915.28,11.75,1.19,0.55,47.29
2026-02-02,920159,44.88,42.53,45.39,42.53,52100,227389622.58,6.14,-8.73,-4.07,36.18
2026-02-03,920159,42.77,42.05,43.18,41.86,31300,132220179.97,3.1,-1.13,-0.48,21.74
2026-02-04,920159,42.8,42.66,44.74,42.6,40861,177458462.89,5.09,1.45,0.61,28.38
2026-02-05,920159,41.58,41.32,42.48,41.02,27962,116302640.65,3.42,-3.14,-1.34,19.42
2026-02-06,920159,41.32,41.72,42.78,41.2,22098,93080622.93,3.82,0.97,0.4,15.35
2026-02-09,920159,41.92,41.9,41.98,41.35,18668,77690618.78,1.51,0.43,0.18,12.96
2026-02-10,920159,42.0,40.72,42.33,40.71,21607,88890737.93,3.87,-2.82,-1.18,15.0
2026-02-11,920159,40.71,40.96,41.98,40.41,17293,71352000.26,3.86,0.59,0.24,12.01
2026-02-12,920159,40.7,40.06,40.7,40.0,15671,63127835.05,1.71,-2.2,-0.9,10.88
2026-02-13,920159,40.19,40.88,41.39,40.19,15222,62159759.33,3.0,2.05,0.82,10.57
2026-02-24,920159,41.41,42.7,43.18,41.06,25975,109664759.87,5.19,4.45,1.82,18.04
2026-02-25,920159,42.7,42.99,44.86,42.23,35868,156729707.78,6.16,0.68,0.29,24.91
2026-02-26,920159,42.53,42.23,43.77,42.1,22471,95724158.0,3.88,-1.77,-0.76,15.6
2026-02-27,920159,42.03,42.08,42.66,41.83,13438,56686253.02,1.97,-0.36,-0.15,9.33
2026-03-02,920159,42.8,40.84,42.8,40.31,16447,67975701.39,5.92,-2.95,-1.24,11.42
2026-03-03,920159,40.8,44.0,44.9,40.67,43458,186869020.54,10.36,7.74,3.16,30.18
2026-03-04,920159,44.4,45.06,48.4,44.0,54842,254891741.03,10.0,2.41,1.06,38.09
2026-03-05,920159,43.2,42.4,43.9,42.03,36207,154654399.11,4.15,-5.9,-2.66,25.14
2026-03-06,920159,41.88,47.25,48.17,41.38,49516,222773813.87,16.01,11.44,4.85,34.39
2026-03-09,920159,50.0,46.09,52.45,46.0,50401,245415846.04,13.65,-2.46,-1.16,35.0
2026-03-10,920159,43.0,44.9,45.34,42.98,32237,142566528.8,5.12,-2.58,-1.19,22.39
2026-03-11,920159,45.06,46.2,46.64,44.0,30703,139184015.46,5.88,2.9,1.3,21.32
2026-03-12,920159,45.83,45.33,49.98,45.02,42109,199597970.92,10.74,-1.88,-0.87,29.24
2026-03-13,920159,46.56,51.0,55.52,46.56,74488,382478520.01,19.77,12.51,5.67,51.73
