日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920163,14.08,13.3,14.08,13.1,12833,17556347.46,7.06,-4.18,-0.58,2.09
2025-01-03,920163,13.34,12.68,13.48,12.52,11957,15732151.93,7.22,-4.66,-0.62,1.95
2025-01-06,920163,12.63,12.24,12.83,12.19,8768,11063727.59,5.05,-3.47,-0.44,1.43
2025-01-07,920163,12.23,12.76,12.76,11.96,9945,12393540.7,6.54,4.25,0.52,1.62
2025-01-08,920163,12.72,12.77,12.87,12.22,10366,13182715.4,5.09,0.08,0.01,1.69
2025-01-09,920163,12.76,13.06,13.23,12.63,13823,18171264.1,4.7,2.27,0.29,2.25
2025-01-10,920163,13.09,12.42,13.28,12.42,9030,11693531.17,6.58,-4.9,-0.64,1.47
2025-01-13,920163,12.55,12.22,12.55,11.89,6092,7438297.01,5.31,-1.61,-0.2,0.99
2025-01-14,920163,12.34,13.24,13.24,12.26,17010,21984054.09,8.02,8.35,1.02,2.77
2025-01-15,920163,13.24,13.25,13.74,12.98,16063,21591256.07,5.74,0.08,0.01,2.62
2025-01-16,920163,13.38,13.22,13.58,13.16,9550,12848064.96,3.17,-0.23,-0.03,1.56
2025-01-17,920163,13.28,13.13,13.29,12.97,9350,12349432.0,2.42,-0.68,-0.09,1.52
2025-01-20,920163,13.32,13.47,13.85,13.32,15847,21675221.5,4.04,2.59,0.34,2.58
2025-01-21,920163,13.67,13.39,13.85,13.24,7708,10415444.91,4.53,-0.59,-0.08,1.26
2025-01-22,920163,13.34,12.87,13.34,12.79,7324,9609635.13,4.11,-3.88,-0.52,1.19
2025-01-23,920163,13.07,12.62,13.37,12.6,9023,11865327.54,5.98,-1.94,-0.25,1.47
2025-01-24,920163,12.79,12.67,12.83,12.55,7352,9407521.75,2.22,0.4,0.05,1.2
2025-01-27,920163,12.85,12.57,13.04,12.56,5808,7432380.99,3.79,-0.79,-0.1,0.95
2025-02-05,920163,12.72,12.56,12.75,12.51,4367,5536776.0,1.91,-0.08,-0.01,0.71
2025-02-06,920163,12.5,12.99,13.05,12.49,12921,16580847.13,4.46,3.42,0.43,2.11
2025-02-07,920163,12.96,13.49,13.82,12.79,24910,33633093.25,7.93,3.85,0.5,4.06
2025-02-10,920163,13.49,13.66,13.67,13.36,17814,24376340.26,2.3,1.26,0.17,2.9
