日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920169,13.19,12.9,13.42,12.49,24121,31581815.31,7.06,-2.12,-0.28,4.74
2025-01-03,920169,13.06,12.62,13.19,12.48,19700,25356555.46,5.5,-2.17,-0.28,3.88
2025-01-06,920169,12.67,11.88,12.8,11.56,22714,27855840.3,9.83,-5.86,-0.74,4.47
2025-01-07,920169,11.9,12.23,12.25,11.61,21135,25519084.79,5.39,2.95,0.35,4.16
2025-01-08,920169,12.35,12.15,12.35,11.65,21170,25653622.6,5.72,-0.65,-0.08,4.16
2025-01-09,920169,12.04,12.64,12.85,11.95,28834,36441946.26,7.41,4.03,0.49,5.67
2025-01-10,920169,12.61,11.92,12.82,11.92,19937,24865354.39,7.12,-5.7,-0.72,3.92
2025-01-13,920169,11.67,11.39,11.85,11.29,14158,16396606.89,4.7,-4.45,-0.53,2.79
2025-01-14,920169,11.48,12.74,12.87,11.44,26507,32600670.94,12.55,11.85,1.35,5.21
2025-01-15,920169,12.78,12.8,13.37,12.57,29032,38066298.26,6.28,0.47,0.06,5.71
2025-01-16,920169,13.1,12.9,13.29,12.6,19371,25384517.89,5.39,0.78,0.1,3.81
2025-01-17,920169,12.95,12.67,12.95,12.56,12658,16225699.1,3.02,-1.78,-0.23,2.49
2025-01-20,920169,12.79,12.6,13.07,12.53,9799,12581875.15,4.26,-0.55,-0.07,1.93
2025-01-21,920169,12.8,12.67,12.87,12.5,7774,9916570.17,2.94,0.56,0.07,1.53
2025-01-22,920169,12.78,12.2,12.79,12.16,9713,12159177.12,4.97,-3.71,-0.47,1.91
2025-01-23,920169,12.45,12.48,13.09,12.34,21863,28097148.49,6.15,2.3,0.28,4.3
2025-01-24,920169,12.41,12.58,12.78,12.12,10988,13901388.3,5.29,0.8,0.1,2.16
2025-01-27,920169,12.88,12.06,12.88,12.06,7496,9415468.39,6.52,-4.13,-0.52,1.47
2025-02-05,920169,12.17,12.04,12.35,11.97,11109,13594677.57,3.15,-0.17,-0.02,2.19
2025-02-06,920169,12.17,13.04,13.09,11.92,33908,42812863.42,9.72,8.31,1.0,6.67
2025-02-07,920169,13.04,13.6,14.07,12.93,45774,62155497.04,8.74,4.29,0.56,9.0
2025-02-10,920169,14.19,14.1,14.19,13.65,32307,45259592.09,3.97,3.68,0.5,6.36
2025-02-11,920169,14.0,14.55,15.07,14.0,53905,79246836.67,7.59,3.19,0.45,10.6
2025-02-12,920169,14.42,15.14,15.41,14.42,42084,63556784.7,6.8,4.05,0.59,8.28
2025-02-13,920169,15.47,14.18,15.47,14.04,35700,52675329.16,9.45,-6.34,-0.96,7.02
2025-02-14,920169,14.17,13.98,14.3,13.56,24191,34144224.74,5.22,-1.41,-0.2,4.76
2025-02-17,920169,14.11,14.4,14.56,13.91,21036,30308149.49,4.65,3.0,0.42,4.14
2025-02-18,920169,14.37,13.68,14.49,13.56,23511,33337172.83,6.46,-5.0,-0.72,4.62
2025-02-19,920169,13.8,14.29,14.29,13.57,24450,34635258.76,5.26,4.46,0.61,4.81
2025-02-20,920169,14.48,15.01,15.29,14.13,50433,75368904.44,8.12,5.04,0.72,9.92
2025-02-21,920169,14.8,15.1,15.27,14.5,39238,59171235.49,5.13,0.6,0.09,7.72
2025-02-24,920169,15.12,14.77,15.32,14.58,26233,39417199.88,4.9,-2.19,-0.33,5.16
2025-02-25,920169,14.54,14.36,14.73,14.18,18359,26620475.84,3.72,-2.78,-0.41,3.61
2025-02-26,920169,14.44,14.78,14.89,14.2,20337,29981201.23,4.81,2.92,0.42,4.0
2025-02-27,920169,15.34,14.69,15.5,14.4,27581,41364330.85,7.44,-0.61,-0.09,5.43
2025-02-28,920169,14.53,14.54,15.38,14.38,36878,55450424.47,6.81,-1.02,-0.15,7.25
2025-03-03,920169,14.9,15.33,15.65,14.58,51304,78641614.9,7.36,5.43,0.79,10.09
2025-03-04,920169,15.42,16.9,17.4,15.13,98271,163566603.04,14.81,10.24,1.57,19.33
2025-03-05,920169,17.9,17.32,19.78,16.3,117707,210416402.97,20.59,2.49,0.42,23.15
2025-03-06,920169,16.9,16.7,17.32,16.4,79070,133434473.67,5.31,-3.58,-0.62,15.55
2025-03-07,920169,16.41,17.46,17.89,16.41,80651,139869830.18,8.86,4.55,0.76,15.86
2025-03-10,920169,17.28,17.2,18.18,16.78,51460,88571619.51,8.02,-1.49,-0.26,10.12
2025-03-11,920169,16.9,18.06,18.6,16.52,71471,126927162.81,12.09,5.0,0.86,14.06
2025-03-12,920169,17.93,17.75,18.2,17.56,53139,94888375.94,3.54,-1.72,-0.31,10.45
2025-03-13,920169,17.51,18.89,19.14,17.36,93697,172003076.26,10.03,6.42,1.14,18.43
2025-03-14,920169,18.56,19.69,20.57,18.26,96341,185651843.91,12.23,4.24,0.8,18.95
2025-03-17,920169,19.51,20.4,20.44,19.12,80616,160832315.76,6.7,3.61,0.71,15.86
2025-03-18,920169,20.3,19.8,20.56,19.28,56225,112031273.37,6.27,-2.94,-0.6,11.06
2025-03-19,920169,19.78,17.73,19.78,17.43,62945,117226503.35,11.87,-10.45,-2.07,12.38
2025-03-20,920169,17.73,16.95,18.35,16.95,49523,87239923.38,7.9,-4.4,-0.78,9.74
2025-03-21,920169,16.47,16.29,16.9,15.86,38600,63574802.89,6.14,-3.89,-0.66,7.59
2025-03-24,920169,16.39,15.99,16.39,15.18,29895,47213123.02,7.43,-1.84,-0.3,5.88
2025-03-25,920169,16.18,17.57,18.26,16.01,73445,129139117.58,14.07,9.88,1.58,14.45
2025-03-26,920169,17.24,17.03,17.4,16.8,38787,66557978.31,3.41,-3.07,-0.54,7.63
2025-03-27,920169,16.91,16.9,17.05,16.44,21937,36947833.67,3.58,-0.76,-0.13,4.32
2025-03-28,920169,16.71,15.78,16.96,15.78,30181,49313632.47,6.98,-6.63,-1.12,5.94
2025-03-31,920169,15.56,15.05,15.56,14.72,24433,37002485.96,5.32,-4.63,-0.73,4.81
2025-04-01,920169,15.2,15.55,16.39,15.2,26865,42384452.07,7.91,3.32,0.5,5.29
2025-04-02,920169,15.52,15.43,16.04,15.35,18023,28304313.83,4.44,-0.77,-0.12,3.55
2025-04-03,920169,15.22,15.8,15.88,15.08,21950,34602195.52,5.18,2.4,0.37,4.32
2025-04-07,920169,14.79,11.82,14.8,11.18,41522,53954921.09,22.91,-25.19,-3.98,8.17
2025-04-08,920169,11.9,12.72,12.78,11.9,34854,43570677.74,7.45,7.61,0.9,6.86
2025-04-09,920169,12.72,15.37,15.9,12.3,70644,103382202.31,28.3,20.83,2.65,13.9
2025-04-10,920169,14.88,15.48,16.4,14.78,78181,123074802.05,10.54,0.72,0.11,15.39
2025-04-11,920169,15.0,15.38,16.14,15.0,44072,69248232.69,7.36,-0.65,-0.1,8.67
2025-04-14,920169,15.7,15.9,16.18,15.55,38161,60841153.33,4.1,3.38,0.52,7.51
2025-04-15,920169,15.96,15.6,15.96,15.38,26058,40892638.64,3.65,-1.89,-0.3,5.13
2025-04-16,920169,16.1,15.4,16.88,15.13,42263,67969347.87,11.22,-1.28,-0.2,8.32
2025-04-17,920169,15.0,15.57,16.1,15.0,31728,49837929.23,7.14,1.1,0.17,6.24
2025-04-18,920169,15.45,15.79,16.08,15.4,35238,56040881.2,4.37,1.41,0.22,6.93
2025-04-21,920169,16.06,16.18,16.45,15.7,34006,55306380.03,4.75,2.47,0.39,6.69
2025-04-22,920169,16.04,16.08,16.53,15.88,32895,53574204.77,4.02,-0.62,-0.1,6.47
2025-04-23,920169,16.31,16.08,16.37,15.91,25920,42095229.47,2.86,0.0,0.0,5.1
2025-04-24,920169,15.96,15.01,16.19,14.91,32691,50937490.11,7.96,-6.65,-1.07,6.43
2025-04-25,920169,15.3,14.97,15.31,14.94,14657,22293757.61,2.47,-0.27,-0.04,2.88
2025-04-28,920169,15.28,14.19,15.37,14.17,18113,26862844.33,8.02,-5.21,-0.78,3.56
2025-04-29,920169,14.12,14.63,14.89,14.12,14658,21491660.05,5.43,3.1,0.44,2.88
2025-04-30,920169,14.63,15.18,15.36,14.63,18418,28070415.96,4.99,3.76,0.55,3.62
2025-05-06,920169,15.47,16.15,16.26,15.47,30866,49572171.76,5.2,6.39,0.97,6.07
2025-05-07,920169,16.9,17.84,19.9,16.2,113561,202321362.15,22.91,10.46,1.69,22.35
2025-05-08,920169,17.4,23.22,23.22,17.35,219259,467763735.72,32.9,30.16,5.38,43.15
2025-05-09,920169,25.9,27.29,30.21,23.51,246252,653485758.29,28.85,17.53,4.07,48.46
2025-05-12,920169,25.01,35.5,35.5,24.93,192071,596804888.61,38.73,30.08,8.21,37.8
2025-05-13,920169,40.7,38.1,43.2,35.9,219570,865886429.67,20.56,7.32,2.6,43.21
2025-05-14,920169,38.22,39.54,42.67,37.02,195389,778318254.78,14.83,3.78,1.44,38.45
2025-05-15,920169,37.9,37.21,41.78,36.67,183584,710648204.21,12.92,-5.89,-2.33,36.13
2025-05-16,920169,35.5,38.1,42.12,34.9,178979,699414140.52,19.4,2.39,0.89,35.22
2025-05-19,920169,38.9,37.34,40.2,35.5,163921,617196332.14,12.34,-1.99,-0.76,32.26
2025-05-20,920169,35.0,31.63,35.5,31.5,161625,536036158.29,10.71,-15.29,-5.71,31.81
2025-05-21,920169,30.95,30.88,32.46,30.25,104754,327141750.11,6.99,-2.37,-0.75,20.62
2025-05-22,920169,30.88,31.01,33.3,29.78,132462,423040216.57,11.4,0.42,0.13,26.07
2025-05-23,920169,30.23,28.9,30.88,28.78,99495,296864412.94,6.77,-6.8,-2.11,19.58
2025-05-26,920169,28.6,29.95,30.28,28.4,82239,241827068.59,6.51,3.63,1.05,16.18
2025-05-27,920169,29.9,31.3,31.9,29.42,116824,362089960.01,8.28,4.51,1.35,22.99
2025-05-28,920169,29.95,29.16,30.5,29.12,81295,242342862.22,4.41,-6.84,-2.14,16.0
2025-05-29,920169,29.0,29.35,29.8,28.96,60200,177716795.28,2.88,0.65,0.19,11.85
2025-05-30,920169,28.95,29.02,30.65,28.95,66776,199838049.76,5.79,-1.12,-0.33,13.14
2025-06-03,920169,29.83,30.26,31.19,28.89,86705,262239644.25,7.93,4.27,1.24,17.06
2025-06-04,920169,29.9,30.13,30.9,29.61,72629,220805877.9,4.26,-0.43,-0.13,14.29
2025-06-05,920169,29.76,30.67,32.13,29.5,107416,333180685.35,8.73,1.79,0.54,21.14
2025-06-06,920169,32.36,32.98,36.79,32.35,163610,559424772.86,14.48,7.53,2.31,32.2
2025-06-09,920169,32.79,35.7,37.7,32.79,143054,507455645.36,14.89,8.25,2.72,28.15
2025-06-10,920169,33.9,32.82,34.5,32.22,124033,414147805.31,6.39,-8.07,-2.88,24.41
2025-06-11,920169,32.35,33.1,33.9,31.45,82997,273573125.16,7.46,0.85,0.28,16.33
2025-06-12,920169,33.09,31.41,33.09,31.2,75802,240007172.98,5.71,-5.11,-1.69,14.92
2025-06-13,920169,32.77,39.95,40.82,32.55,200946,722166032.31,26.33,27.19,8.54,39.55
2025-06-16,920169,39.11,39.91,43.15,36.5,174459,689321893.47,16.65,-0.1,-0.04,34.33
2025-06-17,920169,39.9,39.8,41.68,37.5,134736,535150509.62,10.47,-0.28,-0.11,26.52
2025-06-18,920169,40.96,46.7,48.7,39.26,183326,803191794.75,23.72,17.34,6.9,36.08
2025-06-19,920169,43.5,45.0,50.66,42.5,162807,749455212.16,17.47,-3.64,-1.7,32.04
2025-06-20,920169,43.0,40.03,44.9,39.97,113392,479785518.78,10.96,-11.04,-4.97,22.32
2025-06-23,920169,42.5,41.64,43.85,40.97,103364,435646462.25,7.19,4.02,1.61,20.34
2025-06-24,920169,36.4,37.17,39.5,36.37,114363,430647144.47,7.52,-10.73,-4.47,22.51
2025-06-25,920169,36.8,39.8,43.44,36.62,127745,508189633.84,18.35,7.08,2.63,25.14
2025-06-26,920169,38.95,40.01,42.49,38.31,113286,463120931.05,10.5,0.53,0.21,22.3
2025-06-27,920169,38.86,38.95,41.13,38.51,80948,319428937.51,6.55,-2.65,-1.06,15.93
2025-06-30,920169,40.0,45.67,47.0,40.0,152395,670010615.4,17.97,17.25,6.72,29.99
2025-07-01,920169,44.7,43.67,45.91,42.34,118030,516243719.02,7.82,-4.38,-2.0,23.23
2025-07-02,920169,42.1,42.62,43.88,41.7,69545,295997012.77,4.99,-2.4,-1.05,13.69
2025-07-03,920169,43.22,43.02,45.5,42.86,78930,346309895.62,6.19,0.94,0.4,15.53
2025-07-04,920169,41.99,42.94,43.22,41.3,69742,294069044.88,4.46,-0.19,-0.08,13.73
2025-07-07,920169,41.02,40.54,41.88,40.5,68452,280582874.28,3.21,-5.59,-2.4,13.47
2025-07-08,920169,40.98,39.72,40.98,39.14,60453,238944569.61,4.54,-2.02,-0.82,11.9
2025-07-09,920169,40.05,40.64,42.3,40.01,76523,314341158.32,5.77,2.32,0.92,15.06
2025-07-10,920169,39.5,39.62,39.99,38.07,66149,257269259.81,4.72,-2.51,-1.02,13.02
2025-07-11,920169,39.48,40.85,40.96,39.08,66972,268601140.61,4.75,3.1,1.23,13.18
2025-07-14,920169,40.6,40.66,41.75,40.28,47254,193111477.42,3.6,-0.47,-0.19,9.3
2025-07-15,920169,40.2,39.09,40.59,38.84,46075,181295812.84,4.3,-3.86,-1.57,9.07
2025-07-16,920169,39.3,39.62,40.4,38.7,46473,183184188.07,4.35,1.36,0.53,9.15
2025-07-17,920169,40.0,41.24,42.4,39.51,77103,314986002.38,7.29,4.09,1.62,15.17
2025-07-18,920169,40.87,40.88,41.78,40.1,61654,252699934.97,4.07,-0.87,-0.36,12.13
2025-07-21,920169,39.77,40.74,41.73,39.69,47270,193064668.71,4.99,-0.34,-0.14,9.3
2025-07-22,920169,40.26,41.83,43.8,40.1,90321,381086244.32,9.08,2.68,1.09,17.78
2025-07-23,920169,40.17,39.81,40.99,39.51,63466,252987631.53,3.54,-4.83,-2.02,12.49
