日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920195,10.79,10.98,11.2,10.73,14092,15738815.29,4.36,1.86,0.2,1.99
2025-01-03,920195,11.09,11.65,11.98,10.92,31221,36249720.98,9.65,6.1,0.67,4.41
2025-01-06,920195,11.55,11.31,11.75,11.09,16605,19260048.81,5.67,-2.92,-0.34,2.35
2025-01-07,920195,11.41,11.4,11.5,10.91,14086,16069214.81,5.22,0.8,0.09,1.99
2025-01-08,920195,11.38,11.48,11.6,10.96,11226,12966917.79,5.61,0.7,0.08,1.59
2025-01-09,920195,11.55,11.71,11.9,11.46,14912,17732813.43,3.83,2.0,0.23,2.11
2025-01-10,920195,11.62,11.08,11.89,11.08,12040,14201348.14,6.92,-5.38,-0.63,1.7
2025-01-13,920195,11.02,10.65,11.02,10.58,12283,13502532.17,3.97,-3.88,-0.43,1.74
2025-01-14,920195,10.74,11.49,11.54,10.67,16878,19283819.99,8.17,7.89,0.84,2.39
2025-01-15,920195,11.49,11.61,12.1,11.43,27376,32884621.87,5.83,1.04,0.12,3.87
2025-01-16,920195,11.71,11.83,12.12,11.61,16542,19985797.33,4.39,1.89,0.22,2.34
2025-01-17,920195,11.87,11.68,11.87,11.64,11684,13925370.58,1.94,-1.27,-0.15,1.65
2025-01-20,920195,11.8,11.75,11.93,11.63,12194,14582390.17,2.57,0.6,0.07,1.72
2025-01-21,920195,11.78,11.51,11.8,11.33,9976,11691173.39,4.0,-2.04,-0.24,1.41
2025-01-22,920195,11.5,11.05,11.51,11.02,7710,8782699.3,4.26,-4.0,-0.46,1.09
2025-01-23,920195,11.18,11.11,11.68,11.07,8609,9911615.35,5.52,0.54,0.06,1.22
2025-01-24,920195,11.12,11.45,11.57,10.98,15905,18368825.71,5.31,3.06,0.34,2.25
2025-01-27,920195,11.48,11.24,11.75,11.22,8857,10302831.16,4.63,-1.83,-0.21,1.25
2025-02-05,920195,11.39,11.19,11.4,11.02,9658,10974116.99,3.38,-0.44,-0.05,1.36
2025-02-06,920195,11.21,11.98,12.07,11.02,24292,28461040.29,9.38,7.06,0.79,3.43
2025-02-07,920195,11.96,12.61,12.95,11.85,38778,49025543.18,9.18,5.26,0.63,5.48
2025-02-10,920195,12.68,12.8,12.8,12.2,33958,43234590.11,4.76,1.51,0.19,4.8
2025-02-11,920195,12.9,13.0,13.25,12.7,36521,48267290.28,4.3,1.56,0.2,5.16
2025-02-12,920195,12.98,13.08,13.27,12.85,22833,30225286.07,3.23,0.62,0.08,3.23
2025-02-13,920195,13.0,12.54,13.5,12.53,26817,35486855.95,7.42,-4.13,-0.54,3.79
2025-02-14,920195,12.5,12.38,12.69,12.27,18255,23047663.44,3.35,-1.28,-0.16,2.58
2025-02-17,920195,12.4,12.77,12.83,12.34,18127,23228215.78,3.96,3.15,0.39,2.56
2025-02-18,920195,12.72,12.27,12.87,12.17,15272,19470784.52,5.48,-3.92,-0.5,2.16
2025-02-19,920195,12.2,12.69,12.78,12.15,16664,21289873.35,5.13,3.42,0.42,2.36
2025-02-20,920195,12.53,13.11,13.13,12.5,26817,35182185.18,4.96,3.31,0.42,3.79
2025-02-21,920195,13.12,13.23,13.38,12.85,27001,36072822.97,4.04,0.92,0.12,3.82
2025-02-24,920195,13.24,13.08,13.36,12.96,22454,29972070.82,3.02,-1.13,-0.15,3.17
2025-02-25,920195,12.93,13.46,13.75,12.72,34180,46257096.41,7.87,2.91,0.38,4.83
2025-02-26,920195,13.46,13.44,14.05,13.3,35285,48830014.04,5.57,-0.15,-0.02,4.99
2025-02-27,920195,13.5,13.66,13.72,13.0,30692,41853601.73,5.36,1.64,0.22,4.34
2025-02-28,920195,13.66,13.31,14.18,13.29,42960,60271683.82,6.52,-2.56,-0.35,6.07
2025-03-03,920195,13.33,13.53,13.78,13.22,33228,45798567.9,4.21,1.65,0.22,4.7
2025-03-04,920195,13.36,14.09,14.15,13.33,32547,45881757.09,6.06,4.14,0.56,4.6
2025-03-05,920195,14.18,14.78,14.8,13.98,52968,77543188.42,5.82,4.9,0.69,7.49
2025-03-06,920195,14.83,14.25,15.0,14.08,38698,56607544.96,6.22,-3.59,-0.53,5.47
2025-03-07,920195,14.55,15.28,15.75,14.25,81023,124267484.43,10.53,7.23,1.03,11.45
2025-03-10,920195,14.95,15.75,15.96,14.95,53148,82973580.94,6.61,3.08,0.47,7.51
