日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920198,10.34,10.2,10.58,10.05,33016,34057941.67,5.09,-2.11,-0.22,4.7
2025-01-03,920198,10.2,10.5,11.1,10.06,53966,56941032.42,10.2,2.94,0.3,7.68
2025-01-06,920198,10.52,10.03,10.6,9.93,31343,32107607.27,6.38,-4.48,-0.47,4.46
2025-01-07,920198,10.02,10.39,10.41,9.89,31222,31587185.01,5.18,3.59,0.36,4.44
2025-01-08,920198,10.39,10.47,10.52,9.97,36144,37190442.22,5.29,0.77,0.08,5.15
2025-01-09,920198,10.35,10.78,10.95,10.35,47922,51297291.94,5.73,2.96,0.31,6.82
2025-01-10,920198,10.67,10.1,10.78,10.08,34208,35704776.68,6.49,-6.31,-0.68,4.87
2025-01-13,920198,9.8,9.87,10.16,9.4,17411,17210293.36,7.52,-2.28,-0.23,2.48
2025-01-14,920198,9.93,10.85,10.87,9.93,58033,60932846.14,9.52,9.93,0.98,8.26
2025-01-15,920198,10.8,10.9,11.28,10.61,58314,63808356.88,6.18,0.46,0.05,8.3
2025-01-16,920198,10.93,10.99,11.25,10.71,40567,44647629.16,4.95,0.83,0.09,5.78
2025-01-17,920198,10.95,10.8,11.06,10.73,33446,36448882.8,3.0,-1.73,-0.19,4.76
2025-01-20,920198,10.99,10.73,11.08,10.6,25847,28111393.74,4.44,-0.65,-0.07,3.68
2025-01-21,920198,10.88,10.64,10.95,10.4,23768,25223461.11,5.13,-0.84,-0.09,3.38
2025-01-22,920198,11.0,11.6,12.65,11.0,119485,140041626.01,15.51,9.02,0.96,17.01
2025-01-23,920198,11.51,11.5,12.1,11.23,84270,98356688.97,7.5,-0.86,-0.1,12.0
2025-01-24,920198,11.35,11.66,11.8,11.27,54258,62836109.06,4.61,1.39,0.16,7.72
2025-01-27,920198,11.75,11.06,11.88,11.0,31283,35835625.49,7.55,-5.15,-0.6,4.45
2025-02-05,920198,11.18,11.61,11.63,11.06,42512,48163136.97,5.15,4.97,0.55,6.05
2025-02-06,920198,11.42,12.23,12.53,11.3,82528,99008883.1,10.59,5.34,0.62,11.75
2025-02-07,920198,12.2,12.83,13.18,12.06,101288,128805917.88,9.16,4.91,0.6,14.42
2025-02-10,920198,12.86,14.15,14.19,12.86,109826,148206202.34,10.37,10.29,1.32,15.63
2025-02-11,920198,14.39,13.79,14.86,13.58,121034,170973815.64,9.05,-2.54,-0.36,17.23
2025-02-12,920198,13.55,13.81,14.24,13.55,79718,110758216.33,5.0,0.15,0.02,11.35
2025-02-13,920198,14.0,13.09,14.16,13.08,78190,106545192.5,7.82,-5.21,-0.72,11.13
2025-02-14,920198,13.24,14.99,15.2,13.15,179024,259119192.94,15.66,14.51,1.9,25.49
2025-02-17,920198,14.95,14.5,15.55,14.25,115705,171265736.91,8.67,-3.27,-0.49,16.47
2025-02-18,920198,14.59,14.82,14.88,13.89,97351,140583214.28,6.83,2.21,0.32,13.86
2025-02-19,920198,15.2,14.94,15.25,14.41,93469,138235068.28,5.67,0.81,0.12,13.31
2025-02-20,920198,15.28,14.73,15.76,14.72,100606,153182461.17,6.96,-1.41,-0.21,14.32
2025-02-21,920198,14.5,14.69,14.96,14.32,90015,132127376.96,4.34,-0.27,-0.04,12.81
2025-02-24,920198,14.71,14.74,15.15,14.45,66960,98814963.05,4.77,0.34,0.05,9.53
2025-02-25,920198,14.21,14.12,14.78,14.0,57614,83056745.47,5.29,-4.21,-0.62,8.2
2025-02-26,920198,14.32,14.09,14.43,13.88,48850,68987107.77,3.9,-0.21,-0.03,6.95
2025-02-27,920198,14.32,14.07,14.58,13.72,49042,69227090.67,6.1,-0.14,-0.02,6.98
2025-02-28,920198,14.23,13.8,14.8,13.76,73959,106258096.71,7.39,-1.92,-0.27,10.53
2025-03-03,920198,13.81,14.19,14.42,13.81,53921,75999341.51,4.42,2.83,0.39,7.68
2025-03-04,920198,13.88,15.1,15.16,13.82,98404,145413277.17,9.44,6.41,0.91,14.01
2025-03-05,920198,15.29,15.88,17.2,14.86,155040,245342684.0,15.5,5.17,0.78,22.07
2025-03-06,920198,15.88,16.15,16.63,15.25,144162,231039218.9,8.69,1.7,0.27,20.52
2025-03-07,920198,16.56,16.06,17.25,15.72,124126,203394170.45,9.47,-0.56,-0.09,17.67
2025-03-10,920198,15.7,17.5,17.5,15.6,150924,249645357.85,11.83,8.97,1.44,21.49
2025-03-11,920198,17.4,16.78,17.4,16.29,123688,207383045.64,6.34,-4.11,-0.72,17.61
2025-03-12,920198,16.8,16.39,17.12,16.25,96557,160888634.09,5.18,-2.32,-0.39,13.75
2025-03-13,920198,16.29,15.86,16.66,15.33,80979,129164973.38,8.11,-3.23,-0.53,11.53
2025-03-14,920198,15.89,16.47,16.54,15.71,75041,121807669.31,5.23,3.85,0.61,10.68
2025-03-17,920198,16.63,16.83,16.95,16.2,90448,150606647.52,4.55,2.19,0.36,12.88
2025-03-18,920198,16.79,16.35,16.98,16.08,73762,121126845.37,5.35,-2.85,-0.48,10.5
2025-03-19,920198,16.01,15.32,16.4,15.24,68873,109114144.48,7.09,-6.3,-1.03,9.8
2025-03-20,920198,15.39,14.35,15.44,14.15,76593,114044492.39,8.42,-6.33,-0.97,10.9
2025-03-21,920198,14.22,13.37,14.35,13.31,75326,102963170.34,7.25,-6.83,-0.98,10.72
2025-03-24,920198,13.42,13.55,13.56,12.74,46142,60668751.78,6.13,1.35,0.18,6.57
2025-03-25,920198,13.55,13.93,14.08,13.37,55892,76964608.72,5.24,2.8,0.38,7.96
2025-03-26,920198,13.79,13.69,14.05,13.66,38563,53422711.61,2.8,-1.72,-0.24,5.49
2025-03-27,920198,13.53,13.8,14.11,13.24,48035,66267701.01,6.36,0.8,0.11,6.84
