日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920344,17.85,17.39,18.06,17.0,3657,6418917.46,5.96,-2.25,-0.4,0.32
2025-01-03,920344,17.78,17.73,18.22,17.31,6942,12456339.56,5.23,1.96,0.34,0.61
2025-01-06,920344,17.54,18.7,19.25,17.46,10585,19740620.56,10.1,5.47,0.97,0.93
2025-01-07,920344,18.5,18.38,18.5,17.86,5540,10044439.53,3.42,-1.71,-0.32,0.49
2025-01-08,920344,18.28,18.14,18.47,17.66,5314,9597118.86,4.41,-1.31,-0.24,0.47
2025-01-09,920344,18.25,18.34,18.86,17.82,5915,10822956.62,5.73,1.1,0.2,0.52
2025-01-10,920344,18.19,17.57,18.38,17.57,3172,5711525.46,4.42,-4.2,-0.77,0.28
2025-01-13,920344,17.57,16.98,17.65,16.75,2797,4797256.9,5.12,-3.36,-0.59,0.25
2025-01-14,920344,17.1,18.14,18.16,17.01,12053,18894704.27,6.77,6.83,1.16,1.06
2025-01-15,920344,18.01,18.12,18.45,17.95,5960,10846013.91,2.76,-0.11,-0.02,0.52
2025-01-16,920344,18.15,18.24,18.49,18.0,4169,7612246.93,2.7,0.66,0.12,0.37
2025-01-17,920344,18.24,18.08,18.28,17.95,3354,6082869.18,1.81,-0.88,-0.16,0.3
2025-01-20,920344,18.26,17.97,18.43,17.8,3463,6301147.82,3.48,-0.61,-0.11,0.3
2025-01-21,920344,18.13,17.88,18.18,17.67,9538,13542496.29,2.84,-0.5,-0.09,0.84
2025-01-22,920344,17.8,17.35,17.94,17.3,6179,9344395.98,3.58,-2.96,-0.53,0.54
2025-01-23,920344,17.5,17.32,17.82,17.2,14909,20431654.26,3.57,-0.17,-0.03,1.31
2025-01-24,920344,17.4,17.43,17.58,17.21,2928,5097198.62,2.14,0.64,0.11,0.26
2025-01-27,920344,17.59,17.3,17.61,17.1,3045,5305473.93,2.93,-0.75,-0.13,0.27
2025-02-05,920344,17.45,17.13,17.45,17.0,4178,7201104.58,2.6,-0.98,-0.17,0.37
2025-02-06,920344,17.14,17.7,17.85,16.78,6668,11603844.46,6.25,3.33,0.57,0.59
2025-02-07,920344,17.69,21.44,21.66,17.54,38141,76392961.64,23.28,21.13,3.74,3.36
2025-02-10,920344,20.59,21.74,22.58,20.28,35484,75884711.87,10.73,1.4,0.3,3.12
2025-02-11,920344,21.07,20.59,21.5,20.08,28706,59272756.97,6.53,-5.29,-1.15,2.53
2025-02-12,920344,20.38,20.29,20.68,19.93,16510,33532729.21,3.64,-1.46,-0.3,1.45
2025-02-13,920344,20.64,19.65,20.91,19.6,13892,27921376.7,6.46,-3.15,-0.64,1.22
2025-02-14,920344,19.83,20.95,21.28,19.67,23773,48885791.45,8.19,6.62,1.3,2.09
2025-02-17,920344,21.48,21.21,22.29,20.62,25800,55584069.23,7.97,1.24,0.26,2.27
2025-02-18,920344,20.96,19.88,20.96,19.76,15942,32360012.81,5.66,-6.27,-1.33,1.4
2025-02-19,920344,19.88,21.0,21.48,19.55,19352,39831486.66,9.71,5.63,1.12,1.7
2025-02-20,920344,20.83,21.7,23.53,20.64,29724,66393580.86,13.76,3.33,0.7,2.62
2025-02-21,920344,21.12,22.12,22.89,20.7,24632,53737495.34,10.09,1.94,0.42,2.17
2025-02-24,920344,22.09,21.24,22.8,20.96,21292,45950131.49,8.32,-3.98,-0.88,1.87
2025-02-25,920344,21.0,20.55,21.29,20.22,14327,29560761.88,5.04,-3.25,-0.69,1.26
2025-02-26,920344,20.71,22.02,22.3,20.48,26049,56102680.44,8.86,7.15,1.47,2.29
2025-02-27,920344,21.98,21.85,22.65,21.38,19400,42255987.06,5.77,-0.77,-0.17,1.71
2025-02-28,920344,21.8,20.71,21.8,20.63,10907,23039743.97,5.35,-5.22,-1.14,0.96
2025-03-03,920344,20.92,21.06,21.42,20.65,12256,25814768.7,3.72,1.69,0.35,1.08
2025-03-04,920344,21.0,23.4,23.5,20.8,36644,81871047.52,12.82,11.11,2.34,3.23
2025-03-05,920344,22.5,22.7,23.33,22.34,24817,56440124.59,4.23,-2.99,-0.7,2.19
2025-03-06,920344,22.79,22.34,23.33,22.08,19363,43465063.39,5.51,-1.59,-0.36,1.71
2025-03-07,920344,22.15,23.07,24.69,22.13,33483,79058639.17,11.46,3.27,0.73,2.95
2025-03-10,920344,24.0,24.24,25.36,23.5,32888,80099783.45,8.06,5.07,1.17,2.9
2025-03-11,920344,23.35,23.7,23.98,23.04,21190,49722565.67,3.88,-2.23,-0.54,1.87
2025-03-12,920344,23.42,23.6,24.02,23.04,18425,42944886.16,4.14,-0.42,-0.1,1.62
2025-03-13,920344,23.37,22.75,23.83,22.37,15320,35014516.46,6.19,-3.6,-0.85,1.35
2025-03-14,920344,23.15,24.95,25.49,22.63,41641,101005627.41,12.57,9.67,2.2,3.67
2025-03-17,920344,24.94,24.78,25.19,24.0,27506,67353839.3,4.77,-0.68,-0.17,2.42
2025-03-18,920344,24.78,24.46,25.35,24.1,19984,49382311.02,5.04,-1.29,-0.32,1.76
2025-03-19,920344,24.68,23.32,25.6,23.11,27280,66772222.28,10.18,-4.66,-1.14,2.4
2025-03-20,920344,23.32,22.25,23.89,22.22,22431,51805403.21,7.16,-4.59,-1.07,1.98
2025-03-21,920344,22.0,21.84,22.77,21.38,15231,33324051.1,6.25,-1.84,-0.41,1.34
2025-03-24,920344,21.1,21.7,21.95,21.0,8896,19043601.14,4.35,-0.64,-0.14,0.78
2025-03-25,920344,21.9,22.29,22.44,21.53,11321,24986437.1,4.19,2.72,0.59,1.0
2025-03-26,920344,21.98,21.7,22.49,21.7,9588,21080532.35,3.54,-2.65,-0.59,0.84
2025-03-27,920344,21.75,22.41,22.74,21.14,16933,37426190.09,7.37,3.27,0.71,1.49
2025-03-28,920344,22.41,24.95,27.0,22.11,79250,200421667.53,21.82,11.33,2.54,6.98
2025-03-31,920344,23.27,23.65,24.75,23.01,51580,121709207.61,6.97,-5.21,-1.3,4.54
2025-04-01,920344,23.23,25.91,27.5,23.23,86898,225153267.84,18.05,9.56,2.26,7.65
2025-04-02,920344,24.89,25.66,25.93,24.5,48210,121671429.89,5.52,-0.96,-0.25,4.25
2025-04-03,920344,25.52,24.4,27.0,24.06,49832,126506175.1,11.46,-4.91,-1.26,4.39
2025-04-07,920344,22.23,19.85,22.97,18.5,48997,103303150.09,18.32,-18.65,-4.55,4.31
2025-04-08,920344,20.06,20.76,20.85,19.11,40196,80767024.91,8.77,4.58,0.91,3.54
2025-04-09,920344,20.02,21.46,21.96,19.21,48787,101340656.01,13.25,3.37,0.7,4.3
2025-04-10,920344,22.0,23.54,24.0,21.0,57455,130565296.06,13.98,9.69,2.08,5.06
2025-04-11,920344,22.67,22.75,23.88,22.67,35144,81126342.38,5.14,-3.36,-0.79,3.09
2025-04-14,920344,22.75,23.6,24.0,22.56,32528,76220086.2,6.33,3.74,0.85,2.86
