日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920496,9.26,9.11,9.49,8.96,42100,39365290.61,5.73,-1.51,-0.14,4.47
2025-01-03,920496,9.21,8.91,9.29,8.77,46711,42904300.18,5.71,-2.2,-0.2,4.96
2025-01-06,920496,8.9,8.96,9.08,8.66,36390,32794619.98,4.71,0.56,0.05,3.87
2025-01-07,920496,8.97,9.28,9.3,8.75,49815,45792604.45,6.14,3.57,0.32,5.29
2025-01-08,920496,9.28,9.46,9.6,8.85,61151,57138194.15,8.08,1.94,0.18,6.5
2025-01-09,920496,9.45,9.61,9.85,9.28,68544,67094027.58,6.03,1.59,0.15,7.28
2025-01-10,920496,10.2,10.34,11.45,10.2,183812,202631252.17,13.01,7.6,0.73,19.52
2025-01-13,920496,9.62,9.85,10.73,9.52,97697,99330254.28,11.7,-4.74,-0.49,10.38
2025-01-14,920496,9.73,10.75,10.95,9.73,146949,155933078.1,12.39,9.14,0.9,15.61
2025-01-15,920496,10.57,10.65,11.2,10.47,129145,142609628.89,6.79,-0.93,-0.1,13.72
2025-01-16,920496,10.78,10.6,10.97,10.35,86262,93523632.61,5.82,-0.47,-0.05,9.16
2025-01-17,920496,10.6,10.15,10.62,10.07,71625,74611158.14,5.19,-4.25,-0.45,7.61
2025-01-20,920496,10.32,10.21,10.47,10.11,45184,46969796.64,3.55,0.59,0.06,4.8
2025-01-21,920496,10.3,10.09,10.37,9.9,39331,40365078.63,4.6,-1.18,-0.12,4.18
2025-01-22,920496,10.05,9.71,10.08,9.69,38108,38051643.98,3.87,-3.77,-0.38,4.05
2025-01-23,920496,10.06,10.14,10.53,10.0,88158,91670244.96,5.46,4.43,0.43,9.36
2025-01-24,920496,10.24,10.04,10.24,9.85,51625,52572446.16,3.85,-0.99,-0.1,5.48
2025-01-27,920496,9.97,9.75,10.18,9.75,35490,35686218.61,4.28,-2.89,-0.29,3.77
2025-02-05,920496,10.1,9.84,10.1,9.81,26406,26477182.9,2.97,0.92,0.09,2.8
2025-02-06,920496,9.76,10.55,10.6,9.76,78592,82020379.75,8.54,7.22,0.71,8.35
2025-02-07,920496,10.44,10.81,11.25,10.35,118403,129500933.84,8.53,2.46,0.26,12.58
2025-02-10,920496,10.9,11.35,11.35,10.71,104850,117757512.37,5.92,5.0,0.54,11.14
2025-02-11,920496,11.3,11.71,12.07,11.07,147689,173825734.76,8.81,3.17,0.36,15.69
2025-02-12,920496,11.57,12.39,12.65,11.57,179145,223308415.06,9.22,5.81,0.68,19.03
2025-02-13,920496,12.55,11.58,12.6,11.56,129950,156330522.16,8.39,-6.54,-0.81,13.8
2025-02-14,920496,11.64,11.28,11.64,11.05,85237,97764419.12,5.09,-2.59,-0.3,9.05
2025-02-17,920496,11.35,11.95,11.97,11.35,107527,127520937.08,5.5,5.94,0.67,11.42
2025-02-18,920496,12.53,11.35,12.93,11.29,145713,180341305.97,13.72,-5.02,-0.6,15.48
2025-02-19,920496,10.96,11.81,11.83,10.93,101793,118064753.62,7.93,4.05,0.46,10.81
2025-02-20,920496,11.72,11.78,12.03,11.56,93652,112055900.78,3.98,-0.25,-0.03,9.95
2025-02-21,920496,11.73,12.24,12.4,11.73,120013,147215797.21,5.69,3.9,0.46,12.75
2025-02-24,920496,12.13,11.8,12.24,11.66,93396,112913970.19,4.74,-3.59,-0.44,9.92
2025-02-25,920496,11.55,11.51,11.92,11.33,71642,84125477.49,5.0,-2.46,-0.29,7.61
2025-02-26,920496,11.57,11.96,12.33,11.51,109444,131993710.22,7.12,3.91,0.45,11.62
2025-02-27,920496,12.25,12.87,12.87,12.03,195365,246338577.0,7.02,7.61,0.91,20.75
2025-02-28,920496,12.56,12.24,13.59,12.11,192775,250920529.33,11.5,-4.9,-0.63,20.48
2025-03-03,920496,12.5,12.75,13.05,12.23,149540,191496378.86,6.7,4.17,0.51,15.88
2025-03-04,920496,12.65,13.66,13.66,12.51,184675,247408965.18,9.02,7.14,0.91,19.62
2025-03-05,920496,13.45,13.6,14.4,13.35,207208,288216340.11,7.69,-0.44,-0.06,22.01
2025-03-06,920496,13.83,13.15,13.83,12.9,149957,200940130.38,6.84,-3.31,-0.45,15.93
2025-03-07,920496,12.86,13.35,13.4,12.72,153895,203876086.78,5.17,1.52,0.2,16.35
2025-03-10,920496,13.16,13.29,13.95,12.9,152068,205685032.86,7.87,-0.45,-0.06,16.15
2025-03-11,920496,13.05,13.55,13.58,12.65,123908,163784830.99,7.0,1.96,0.26,8.54
2025-03-12,920496,13.55,14.21,14.83,13.3,245493,351033624.77,11.29,4.87,0.66,16.92
2025-03-13,920496,14.93,14.17,15.81,14.15,251521,375421112.51,11.68,-0.28,-0.04,17.33
2025-03-14,920496,13.74,14.26,14.58,13.61,170660,243950214.78,6.85,0.64,0.09,11.76
2025-03-17,920496,14.45,14.66,14.83,14.04,139750,205078112.74,5.54,2.81,0.4,9.63
2025-03-18,920496,15.28,14.75,15.79,14.7,175271,268187127.71,7.44,0.61,0.09,12.08
2025-03-19,920496,14.28,13.36,14.48,13.36,161751,228755076.34,7.59,-9.42,-1.39,11.15
2025-03-20,920496,13.11,12.65,13.45,12.41,159671,208297694.62,7.78,-5.31,-0.71,11.0
2025-03-21,920496,12.48,11.77,12.7,11.77,107103,131082794.0,7.35,-6.96,-0.88,7.38
2025-03-24,920496,11.66,12.08,12.12,11.45,83240,99455328.41,5.69,2.63,0.31,5.74
2025-03-25,920496,12.1,12.46,12.49,12.01,92914,115689917.6,3.97,3.15,0.38,6.4
2025-03-26,920496,12.34,12.17,12.49,12.17,72595,90575350.79,2.57,-2.33,-0.29,5.0
2025-03-27,920496,12.21,12.08,12.33,11.74,57522,70488483.68,4.85,-0.74,-0.09,3.96
2025-03-28,920496,12.05,11.52,12.18,11.5,53270,63778375.15,5.63,-4.64,-0.56,3.67
2025-03-31,920496,11.4,11.14,11.42,10.86,60382,67797963.76,4.86,-3.3,-0.38,4.16
2025-04-01,920496,11.21,11.53,11.59,11.21,47763,55285729.34,3.41,3.5,0.39,3.29
2025-04-02,920496,11.36,11.43,11.69,11.36,34684,40488112.76,2.86,-0.87,-0.1,2.39
2025-04-03,920496,11.37,11.58,11.62,11.28,41220,48126315.5,2.97,1.31,0.15,2.84
2025-04-07,920496,10.65,8.91,10.89,8.4,98763,96036894.91,21.5,-23.06,-2.67,6.81
2025-04-08,920496,9.1,9.35,9.45,9.03,71815,67278683.24,4.71,4.94,0.44,4.95
2025-04-09,920496,8.88,10.29,10.42,8.88,105109,105327177.72,16.47,10.05,0.94,7.24
2025-04-10,920496,10.64,10.64,11.13,10.44,97598,107236807.22,6.71,3.4,0.35,6.73
2025-04-11,920496,10.45,10.92,11.07,10.35,74379,81746918.59,6.77,2.63,0.28,5.13
2025-04-14,920496,11.2,11.08,11.4,10.97,67702,76750153.1,3.94,1.47,0.16,4.67
2025-04-15,920496,11.29,11.09,11.3,10.85,58339,65697653.42,4.06,0.09,0.01,4.02
2025-04-16,920496,11.24,11.03,11.32,10.77,63812,71337557.77,4.96,-0.54,-0.06,4.4
2025-04-17,920496,10.89,11.21,11.35,10.62,72186,81739133.58,6.62,1.63,0.18,4.97
2025-04-18,920496,11.26,11.43,11.49,11.06,62085,71088049.75,3.84,1.96,0.22,4.28
2025-04-21,920496,11.63,11.62,11.79,11.41,72362,84775094.47,3.32,1.66,0.19,4.99
2025-04-22,920496,11.6,11.35,11.78,11.26,56185,65548129.72,4.48,-2.32,-0.27,3.87
2025-04-23,920496,11.45,11.36,11.6,11.3,53793,62424012.61,2.64,0.09,0.01,3.71
2025-04-24,920496,11.39,10.84,11.51,10.73,64506,72300384.71,6.87,-4.58,-0.52,4.45
2025-04-25,920496,10.84,11.09,11.34,10.84,62142,70121199.83,4.61,2.31,0.25,4.28
