日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920519,9.54,9.36,9.74,9.2,16390,15708241.19,5.65,-1.99,-0.19,3.02
2025-01-03,920519,9.5,9.43,9.68,9.3,16126,15413999.88,4.06,0.75,0.07,2.97
2025-01-06,920519,9.54,9.2,9.54,8.91,19756,18570886.93,6.68,-2.44,-0.23,3.64
2025-01-07,920519,9.28,9.44,9.48,8.98,13242,12345749.21,5.43,2.61,0.24,2.44
2025-01-08,920519,9.38,9.69,9.74,9.15,20743,19871026.44,6.25,2.65,0.25,3.82
2025-01-09,920519,9.74,9.88,10.02,9.6,22115,21945548.5,4.33,1.96,0.19,4.08
2025-01-10,920519,9.89,9.38,9.89,9.38,12603,12241368.01,5.16,-5.06,-0.5,2.32
2025-01-13,920519,9.34,9.14,9.41,9.0,6131,5681078.98,4.37,-2.56,-0.24,1.13
2025-01-14,920519,9.23,9.83,9.89,9.06,18275,17791837.06,9.08,7.55,0.69,3.37
2025-01-15,920519,9.84,9.9,10.19,9.72,23100,23325010.76,4.78,0.71,0.07,4.26
2025-01-16,920519,9.91,10.05,10.26,9.91,18175,18531560.05,3.54,1.52,0.15,3.35
2025-01-17,920519,10.04,9.92,10.13,9.78,10926,10981961.21,3.48,-1.29,-0.13,2.01
2025-01-20,920519,10.07,9.92,10.1,9.87,11982,12108090.36,2.32,0.0,0.0,2.21
2025-01-21,920519,9.95,9.69,9.97,9.58,18865,18502588.86,3.93,-2.32,-0.23,3.48
2025-01-22,920519,9.67,9.36,9.67,9.34,13897,13236306.37,3.41,-3.41,-0.33,2.56
2025-01-23,920519,9.49,9.32,9.75,9.32,14616,14074176.68,4.59,-0.43,-0.04,2.69
2025-01-24,920519,9.31,9.41,9.46,9.24,8439,7988812.22,2.36,0.97,0.09,1.56
2025-01-27,920519,9.48,9.4,9.55,9.35,9509,9062602.65,2.13,-0.11,-0.01,1.75
2025-02-05,920519,9.53,9.27,9.55,9.2,7913,7449918.51,3.72,-1.38,-0.13,1.46
2025-02-06,920519,9.26,9.66,9.68,9.16,15800,15109748.68,5.61,4.21,0.39,2.91
2025-02-07,920519,9.72,10.1,10.25,9.6,32766,32998507.36,6.73,4.55,0.44,6.04
2025-02-10,920519,10.11,10.34,10.39,9.95,25151,25801452.56,4.36,2.38,0.24,4.64
2025-02-11,920519,10.49,10.66,10.77,10.3,32818,34946458.87,4.55,3.09,0.32,6.05
2025-02-12,920519,10.67,10.9,10.94,10.56,22420,24428154.93,3.56,2.25,0.24,4.13
2025-02-13,920519,10.96,10.6,11.1,10.6,25806,28221724.64,4.59,-2.75,-0.3,4.76
2025-02-14,920519,10.6,10.53,10.6,10.3,18579,19569834.26,2.83,-0.66,-0.07,3.43
2025-02-17,920519,10.4,10.82,10.89,10.39,12940,13974672.27,4.75,2.75,0.29,2.39
2025-02-18,920519,11.1,10.35,11.1,10.33,20434,22022069.16,7.12,-4.34,-0.47,3.77
2025-02-19,920519,10.39,10.58,10.6,10.26,11790,12432760.96,3.29,2.22,0.23,2.17
2025-02-20,920519,10.63,10.9,11.1,10.52,28846,31598913.49,5.48,3.02,0.32,5.32
2025-02-21,920519,10.88,10.93,11.02,10.68,18075,19842162.15,3.12,0.28,0.03,3.33
2025-02-24,920519,10.92,11.07,11.43,10.86,22518,25145858.32,5.22,1.28,0.14,4.15
2025-02-25,920519,10.91,10.88,11.11,10.73,15887,17488031.91,3.43,-1.72,-0.19,2.93
